,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff
0,2024-09-20,746013,Single,single,False,671739,678368,Michael Harris II,Valente Bellozo,0,3960a0c4-1a06-4b2f-8ff4-aa71a6894763,678368.0,valentebellozo,Bellozo,Right,Valente Bellozo,MIA,3.82,5.18,63.2,99.0,73.0,90.0,0.82,5.94,2.83,8.91,1.98,0.59,0.29,0.41,0.19,0.367,0.425,99.0,95.0,95.0,92.0,93.0,94.0,54.0,101.0,83.0,98.0,104.0,102.0,67.0,99.0,91.0,0.383,0.254,0.102,0.121,0.14,-0.22,1.13,0.68,-4.18,-3.62,89.2,82.9,81.0,77.8,73.7,0.228,0.446,0.13,0.206,0.456,0.154,0.333,0.513,0.317,0.36,0.8,0.279,0.231,0.346,0.306,,,,,,,,,,,,
1,2024-09-20,746013,Lineout,field_out,True,645277,678368,Ozzie Albies,Valente Bellozo,0,d7a4217d-42bb-4943-a4d7-8f6e9cf6c684,678368.0,valentebellozo,Bellozo,Right,Valente Bellozo,MIA,3.82,5.18,63.2,99.0,73.0,90.0,0.82,5.94,2.83,8.91,1.98,0.59,0.29,0.41,0.19,0.367,0.425,99.0,95.0,95.0,92.0,93.0,94.0,54.0,101.0,83.0,98.0,104.0,102.0,67.0,99.0,91.0,0.383,0.254,0.102,0.121,0.14,-0.22,1.13,0.68,-4.18,-3.62,89.2,82.9,81.0,77.8,73.7,0.228,0.446,0.13,0.206,0.456,0.154,0.333,0.513,0.317,0.36,0.8,0.279,0.231,0.346,0.306,,,,,,,,,,,,
2,2024-09-20,746013,Strikeout,strikeout,True,542303,678368,Marcell Ozuna,Valente Bellozo,0,af9329b4-12a6-4f9d-b3b4-9c5ec891b312,678368.0,valentebellozo,Bellozo,Right,Valente Bellozo,MIA,3.82,5.18,63.2,99.0,73.0,90.0,0.82,5.94,2.83,8.91,1.98,0.59,0.29,0.41,0.19,0.367,0.425,99.0,95.0,95.0,92.0,93.0,94.0,54.0,101.0,83.0,98.0,104.0,102.0,67.0,99.0,91.0,0.383,0.254,0.102,0.121,0.14,-0.22,1.13,0.68,-4.18,-3.62,89.2,82.9,81.0,77.8,73.7,0.228,0.446,0.13,0.206,0.456,0.154,0.333,0.513,0.317,0.36,0.8,0.279,0.231,0.346,0.306,,,,,,,,,,,,
3,2024-09-20,746013,Strikeout,strikeout,True,621566,678368,Matt Olson,Valente Bellozo,0,fadd24b4-5906-42eb-823a-f7e9ddd444f3,678368.0,valentebellozo,Bellozo,Right,Valente Bellozo,MIA,3.82,5.18,63.2,99.0,73.0,90.0,0.82,5.94,2.83,8.91,1.98,0.59,0.29,0.41,0.19,0.367,0.425,99.0,95.0,95.0,92.0,93.0,94.0,54.0,101.0,83.0,98.0,104.0,102.0,67.0,99.0,91.0,0.383,0.254,0.102,0.121,0.14,-0.22,1.13,0.68,-4.18,-3.62,89.2,82.9,81.0,77.8,73.7,0.228,0.446,0.13,0.206,0.456,0.154,0.333,0.513,0.317,0.36,0.8,0.279,0.231,0.346,0.306,,,,,,,,,,,,
4,2024-09-20,746013,Groundout,field_out,True,669364,450203,Xavier Edwards,Charlie Morton,0,861d335b-3ed6-4ea9-975b-0ed1d0999ef8,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.08,4.44,161.0,97.0,95.0,97.0,0.752,9.17,3.52,8.33,1.17,1.42,0.237,0.436,0.146,0.326,0.408,86.0,96.0,93.0,121.0,98.0,107.0,72.0,99.0,90.0,,,,73.0,91.0,86.0,0.291,0.079,,0.422,0.11,-1.2,-0.86,,0.74,-1.07,94.1,88.5,84.9,,81.5,0.277,0.497,0.195,0.286,0.571,0.14,0.286,0.556,0.323,0.201,0.313,0.345,,,,80.0,96.0,88.0,0.098,0.28,93.5,0.328,0.431,0.072,,,
5,2024-09-20,746013,Single,single,False,681393,450203,Connor Norby,Charlie Morton,0,6847db26-37ec-4355-b75b-60843bac8c2a,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.08,4.44,161.0,97.0,95.0,97.0,0.752,9.17,3.52,8.33,1.17,1.42,0.237,0.436,0.146,0.326,0.408,86.0,96.0,93.0,121.0,98.0,107.0,72.0,99.0,90.0,,,,73.0,91.0,86.0,0.291,0.079,,0.422,0.11,-1.2,-0.86,,0.74,-1.07,94.1,88.5,84.9,,81.5,0.277,0.497,0.195,0.286,0.571,0.14,0.286,0.556,0.323,0.201,0.313,0.345,,,,80.0,96.0,88.0,0.098,0.28,93.5,0.328,0.431,0.072,,,
6,2024-09-20,746013,Walk,walk,False,660821,450203,Jesús Sánchez,Charlie Morton,1,5251e2fa-fe53-4c20-9243-ba390d05a416,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.08,4.44,161.0,97.0,95.0,97.0,0.752,9.17,3.52,8.33,1.17,1.42,0.237,0.436,0.146,0.326,0.408,86.0,96.0,93.0,121.0,98.0,107.0,72.0,99.0,90.0,,,,73.0,91.0,86.0,0.291,0.079,,0.422,0.11,-1.2,-0.86,,0.74,-1.07,94.1,88.5,84.9,,81.5,0.277,0.497,0.195,0.286,0.571,0.14,0.286,0.556,0.323,0.201,0.313,0.345,,,,80.0,96.0,88.0,0.098,0.28,93.5,0.328,0.431,0.072,,,
7,2024-09-20,746013,Double,double,False,669394,450203,Jake Burger,Charlie Morton,1,f992aff8-896b-423c-ae34-aece25e9118a,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.08,4.44,161.0,97.0,95.0,97.0,0.752,9.17,3.52,8.33,1.17,1.42,0.237,0.436,0.146,0.326,0.408,86.0,96.0,93.0,121.0,98.0,107.0,72.0,99.0,90.0,,,,73.0,91.0,86.0,0.291,0.079,,0.422,0.11,-1.2,-0.86,,0.74,-1.07,94.1,88.5,84.9,,81.5,0.277,0.497,0.195,0.286,0.571,0.14,0.286,0.556,0.323,0.201,0.313,0.345,,,,80.0,96.0,88.0,0.098,0.28,93.5,0.328,0.431,0.072,,,
8,2024-09-20,746013,Single,single,False,669065,450203,Kyle Stowers,Charlie Morton,1,a7169e82-b58f-4b2a-921f-ee02e4641171,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.08,4.44,161.0,97.0,95.0,97.0,0.752,9.17,3.52,8.33,1.17,1.42,0.237,0.436,0.146,0.326,0.408,86.0,96.0,93.0,121.0,98.0,107.0,72.0,99.0,90.0,,,,73.0,91.0,86.0,0.291,0.079,,0.422,0.11,-1.2,-0.86,,0.74,-1.07,94.1,88.5,84.9,,81.5,0.277,0.497,0.195,0.286,0.571,0.14,0.286,0.556,0.323,0.201,0.313,0.345,,,,80.0,96.0,88.0,0.098,0.28,93.5,0.328,0.431,0.072,,,
9,2024-09-20,746013,Sac Fly,sac_fly,True,681146,450203,Jonah Bride,Charlie Morton,1,d8370a7d-8bee-4e9c-b984-a2c3be9b335b,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.08,4.44,161.0,97.0,95.0,97.0,0.752,9.17,3.52,8.33,1.17,1.42,0.237,0.436,0.146,0.326,0.408,86.0,96.0,93.0,121.0,98.0,107.0,72.0,99.0,90.0,,,,73.0,91.0,86.0,0.291,0.079,,0.422,0.11,-1.2,-0.86,,0.74,-1.07,94.1,88.5,84.9,,81.5,0.277,0.497,0.195,0.286,0.571,0.14,0.286,0.556,0.323,0.201,0.313,0.345,,,,80.0,96.0,88.0,0.098,0.28,93.5,0.328,0.431,0.072,,,
