,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,CH%,wFC/C,wSI/C,wSL/C,wCH/C,vFC,vCH,vSI,vSL,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,wFA/C,wFS/C,vFA,vFS,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,FS_ba,FS_slg,FS_whiff
0,2024-04-08,746735,Strikeout,strikeout,True,686554,668933,Oliver Dunn,Graham Ashcraft,0,e486f7e5-2d18-40c5-9b34-34044a4868af,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,CIN,5.24,5.02,77.1,98.0,113.0,96.0,0.795,6.63,3.14,10.36,1.28,1.54,0.273,0.369,0.154,0.277,0.43,87.0,78.0,79.0,71.0,100.0,84.0,119.0,98.0,109.0,125.0,99.0,92.0,0.172,0.479,0.319,0.03,-1.58,-2.75,1.37,-3.79,95.6,90.5,94.8,88.4,0.329,0.52,0.161,0.145,0.217,0.367,0.333,0.5,0.119,0.333,0.333,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-04-08,746735,Groundout,field_out,True,661388,668933,William Contreras,Graham Ashcraft,0,6e4427bf-af0a-4820-bdc1-8f5c6e2cbcf4,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,CIN,5.24,5.02,77.1,98.0,113.0,96.0,0.795,6.63,3.14,10.36,1.28,1.54,0.273,0.369,0.154,0.277,0.43,87.0,78.0,79.0,71.0,100.0,84.0,119.0,98.0,109.0,125.0,99.0,92.0,0.172,0.479,0.319,0.03,-1.58,-2.75,1.37,-3.79,95.6,90.5,94.8,88.4,0.329,0.52,0.161,0.145,0.217,0.367,0.333,0.5,0.119,0.333,0.333,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-04-08,746735,Groundout,field_out,True,592885,668933,Christian Yelich,Graham Ashcraft,0,5fae0731-42e1-4fff-8276-1cb01df1e151,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,CIN,5.24,5.02,77.1,98.0,113.0,96.0,0.795,6.63,3.14,10.36,1.28,1.54,0.273,0.369,0.154,0.277,0.43,87.0,78.0,79.0,71.0,100.0,84.0,119.0,98.0,109.0,125.0,99.0,92.0,0.172,0.479,0.319,0.03,-1.58,-2.75,1.37,-3.79,95.6,90.5,94.8,88.4,0.329,0.52,0.161,0.145,0.217,0.367,0.333,0.5,0.119,0.333,0.333,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-04-08,746735,Groundout,field_out,True,656413,676879,Stuart Fairchild,Aaron Ashby,0,2f4aec5a-3c06-4c00-819f-52fd24177788,676879.0,aaronashby,Ashby,Left,Aaron Ashby,MIL,6.23,6.67,8.2,94.0,76.0,95.0,0.792,5.19,7.27,8.31,2.08,3.5,0.129,0.516,0.032,0.452,0.41,77.0,90.0,97.0,53.0,101.0,92.0,115.0,82.0,92.0,,,,0.436,,0.145,0.355,,-4.49,4.27,-1.21,,87.8,94.3,81.9,,,,0.0,0.0,0.143,0.357,0.571,0.1,0.214,0.571,0.387,130.0,99.0,111.0,0.064,4.57,79.9,,,,,,,,,,,,,,,,,,,,,
4,2024-04-08,746735,Field Error,field_error,False,668715,676879,Spencer Steer,Aaron Ashby,1,f6f6d719-3d37-472d-be4a-545ab24fbd2b,676879.0,aaronashby,Ashby,Left,Aaron Ashby,MIL,6.23,6.67,8.2,94.0,76.0,95.0,0.792,5.19,7.27,8.31,2.08,3.5,0.129,0.516,0.032,0.452,0.41,77.0,90.0,97.0,53.0,101.0,92.0,115.0,82.0,92.0,,,,0.436,,0.145,0.355,,-4.49,4.27,-1.21,,87.8,94.3,81.9,,,,0.0,0.0,0.143,0.357,0.571,0.1,0.214,0.571,0.387,130.0,99.0,111.0,0.064,4.57,79.9,,,,,,,,,,,,,,,,,,,,,
5,2024-04-08,746735,Groundout,field_out,True,687952,676879,Christian Encarnacion-Strand,Aaron Ashby,0,c6d9da8d-33bb-4edc-9f66-f28b323aae84,676879.0,aaronashby,Ashby,Left,Aaron Ashby,MIL,6.23,6.67,8.2,94.0,76.0,95.0,0.792,5.19,7.27,8.31,2.08,3.5,0.129,0.516,0.032,0.452,0.41,77.0,90.0,97.0,53.0,101.0,92.0,115.0,82.0,92.0,,,,0.436,,0.145,0.355,,-4.49,4.27,-1.21,,87.8,94.3,81.9,,,,0.0,0.0,0.143,0.357,0.571,0.1,0.214,0.571,0.387,130.0,99.0,111.0,0.064,4.57,79.9,,,,,,,,,,,,,,,,,,,,,
6,2024-04-08,746735,Lineout,field_out,True,600869,676879,Jeimer Candelario,Aaron Ashby,0,02285400-c24d-4e7b-9b6e-821e4a6297c1,676879.0,aaronashby,Ashby,Left,Aaron Ashby,MIL,6.23,6.67,8.2,94.0,76.0,95.0,0.792,5.19,7.27,8.31,2.08,3.5,0.129,0.516,0.032,0.452,0.41,77.0,90.0,97.0,53.0,101.0,92.0,115.0,82.0,92.0,,,,0.436,,0.145,0.355,,-4.49,4.27,-1.21,,87.8,94.3,81.9,,,,0.0,0.0,0.143,0.357,0.571,0.1,0.214,0.571,0.387,130.0,99.0,111.0,0.064,4.57,79.9,,,,,,,,,,,,,,,,,,,,,
7,2024-04-08,746735,Flyout,field_out,True,642715,668933,Willy Adames,Graham Ashcraft,0,25ed9902-16ec-4af1-bf7c-2da9e2bbeb4f,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,CIN,5.24,5.02,77.1,98.0,113.0,96.0,0.795,6.63,3.14,10.36,1.28,1.54,0.273,0.369,0.154,0.277,0.43,87.0,78.0,79.0,71.0,100.0,84.0,119.0,98.0,109.0,125.0,99.0,92.0,0.172,0.479,0.319,0.03,-1.58,-2.75,1.37,-3.79,95.6,90.5,94.8,88.4,0.329,0.52,0.161,0.145,0.217,0.367,0.333,0.5,0.119,0.333,0.333,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-04-08,746735,Single,single,False,686217,668933,Sal Frelick,Graham Ashcraft,0,06c6b91d-9e0d-4a08-956c-e8dae42bcf0a,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,CIN,5.24,5.02,77.1,98.0,113.0,96.0,0.795,6.63,3.14,10.36,1.28,1.54,0.273,0.369,0.154,0.277,0.43,87.0,78.0,79.0,71.0,100.0,84.0,119.0,98.0,109.0,125.0,99.0,92.0,0.172,0.479,0.319,0.03,-1.58,-2.75,1.37,-3.79,95.6,90.5,94.8,88.4,0.329,0.52,0.161,0.145,0.217,0.367,0.333,0.5,0.119,0.333,0.333,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-04-08,746735,Strikeout,strikeout,True,656555,668933,Rhys Hoskins,Graham Ashcraft,0,fa48ab0b-2b2a-475e-ad08-92a9a47a761d,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,CIN,5.24,5.02,77.1,98.0,113.0,96.0,0.795,6.63,3.14,10.36,1.28,1.54,0.273,0.369,0.154,0.277,0.43,87.0,78.0,79.0,71.0,100.0,84.0,119.0,98.0,109.0,125.0,99.0,92.0,0.172,0.479,0.319,0.03,-1.58,-2.75,1.37,-3.79,95.6,90.5,94.8,88.4,0.329,0.52,0.161,0.145,0.217,0.367,0.333,0.5,0.119,0.333,0.333,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
