,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff
0,2024-08-22,747082,Walk,walk,False,656941,680885,Kyle Schwarber,Spencer Schwellenbach,0,30cd4121-035e-4325-8900-8d7357fb6a43,680885.0,spencerschwellenbach,Schwellenbach,Right,Spencer Schwellenbach,ATL,3.72,3.04,87.0,106.0,101.0,107.0,0.719,10.55,1.86,7.76,1.03,1.15,0.23,0.439,0.196,0.3,0.452,99.0,101.0,105.0,109.0,108.0,108.0,93.0,106.0,106.0,112.0,112.0,118.0,95.0,100.0,98.0,83.0,103.0,104.0,0.075,0.267,0.166,0.139,0.201,0.151,0.12,-0.21,1.84,0.46,0.83,0.48,96.0,92.7,84.3,95.1,87.0,80.3,0.198,0.296,0.299,0.25,0.45,0.247,0.145,0.255,0.466,0.32,0.58,0.211,0.227,0.432,0.444,0.25,0.35,0.103,,,,,,,,,
1,2024-08-22,747082,Forceout,force_out,True,607208,680885,Trea Turner,Spencer Schwellenbach,1,971f6497-5e95-43b7-be47-f180e7b94bec,680885.0,spencerschwellenbach,Schwellenbach,Right,Spencer Schwellenbach,ATL,3.72,3.04,87.0,106.0,101.0,107.0,0.719,10.55,1.86,7.76,1.03,1.15,0.23,0.439,0.196,0.3,0.452,99.0,101.0,105.0,109.0,108.0,108.0,93.0,106.0,106.0,112.0,112.0,118.0,95.0,100.0,98.0,83.0,103.0,104.0,0.075,0.267,0.166,0.139,0.201,0.151,0.12,-0.21,1.84,0.46,0.83,0.48,96.0,92.7,84.3,95.1,87.0,80.3,0.198,0.296,0.299,0.25,0.45,0.247,0.145,0.255,0.466,0.32,0.58,0.211,0.227,0.432,0.444,0.25,0.35,0.103,,,,,,,,,
2,2024-08-22,747082,Single,single,False,547180,680885,Bryce Harper,Spencer Schwellenbach,1,fcc69c1d-bf95-465b-86d2-22170b9653e8,680885.0,spencerschwellenbach,Schwellenbach,Right,Spencer Schwellenbach,ATL,3.72,3.04,87.0,106.0,101.0,107.0,0.719,10.55,1.86,7.76,1.03,1.15,0.23,0.439,0.196,0.3,0.452,99.0,101.0,105.0,109.0,108.0,108.0,93.0,106.0,106.0,112.0,112.0,118.0,95.0,100.0,98.0,83.0,103.0,104.0,0.075,0.267,0.166,0.139,0.201,0.151,0.12,-0.21,1.84,0.46,0.83,0.48,96.0,92.7,84.3,95.1,87.0,80.3,0.198,0.296,0.299,0.25,0.45,0.247,0.145,0.255,0.466,0.32,0.58,0.211,0.227,0.432,0.444,0.25,0.35,0.103,,,,,,,,,
3,2024-08-22,747082,Forceout,force_out,True,592206,680885,Nick Castellanos,Spencer Schwellenbach,1,693d34b1-eea4-4e39-a189-2dcf1377819f,680885.0,spencerschwellenbach,Schwellenbach,Right,Spencer Schwellenbach,ATL,3.72,3.04,87.0,106.0,101.0,107.0,0.719,10.55,1.86,7.76,1.03,1.15,0.23,0.439,0.196,0.3,0.452,99.0,101.0,105.0,109.0,108.0,108.0,93.0,106.0,106.0,112.0,112.0,118.0,95.0,100.0,98.0,83.0,103.0,104.0,0.075,0.267,0.166,0.139,0.201,0.151,0.12,-0.21,1.84,0.46,0.83,0.48,96.0,92.7,84.3,95.1,87.0,80.3,0.198,0.296,0.299,0.25,0.45,0.247,0.145,0.255,0.466,0.32,0.58,0.211,0.227,0.432,0.444,0.25,0.35,0.103,,,,,,,,,
4,2024-08-22,747082,Pop Out,field_out,True,681082,680885,Bryson Stott,Spencer Schwellenbach,0,5d784546-7df8-4205-ae20-4e476c95ca77,680885.0,spencerschwellenbach,Schwellenbach,Right,Spencer Schwellenbach,ATL,3.72,3.04,87.0,106.0,101.0,107.0,0.719,10.55,1.86,7.76,1.03,1.15,0.23,0.439,0.196,0.3,0.452,99.0,101.0,105.0,109.0,108.0,108.0,93.0,106.0,106.0,112.0,112.0,118.0,95.0,100.0,98.0,83.0,103.0,104.0,0.075,0.267,0.166,0.139,0.201,0.151,0.12,-0.21,1.84,0.46,0.83,0.48,96.0,92.7,84.3,95.1,87.0,80.3,0.198,0.296,0.299,0.25,0.45,0.247,0.145,0.255,0.466,0.32,0.58,0.211,0.227,0.432,0.444,0.25,0.35,0.103,,,,,,,,,
5,2024-08-22,747082,Walk,walk,False,671739,650911,Michael Harris II,Cristopher Sánchez,0,33485a25-ec4c-4719-9ac6-84e77e5abf63,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.49,3.62,152.0,102.0,93.0,105.0,0.785,7.34,2.13,9.36,0.47,3.03,0.197,0.41,0.19,0.294,0.421,,,,,,,93.0,100.0,98.0,99.0,100.0,103.0,86.0,52.0,74.0,,,,0.471,,0.001,,0.169,,,2.6,,-0.63,0.34,,,86.5,,94.3,84.3,,0.228,0.38,0.303,,,,,,,,,,,,,0.362,0.49,0.122,91.0,106.0,115.0,0.359,1.68,85.1,0.18,0.216,0.343
6,2024-08-22,747082,Strikeout,strikeout,True,593160,650911,Whit Merrifield,Cristopher Sánchez,0,1984ec69-f209-4c34-ba62-8a380455637d,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.49,3.62,152.0,102.0,93.0,105.0,0.785,7.34,2.13,9.36,0.47,3.03,0.197,0.41,0.19,0.294,0.421,,,,,,,93.0,100.0,98.0,99.0,100.0,103.0,86.0,52.0,74.0,,,,0.471,,0.001,,0.169,,,2.6,,-0.63,0.34,,,86.5,,94.3,84.3,,0.228,0.38,0.303,,,,,,,,,,,,,0.362,0.49,0.122,91.0,106.0,115.0,0.359,1.68,85.1,0.18,0.216,0.343
7,2024-08-22,747082,Single,single,False,542303,650911,Marcell Ozuna,Cristopher Sánchez,1,7386bb99-7b69-4fc6-8366-9e46328458f2,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.49,3.62,152.0,102.0,93.0,105.0,0.785,7.34,2.13,9.36,0.47,3.03,0.197,0.41,0.19,0.294,0.421,,,,,,,93.0,100.0,98.0,99.0,100.0,103.0,86.0,52.0,74.0,,,,0.471,,0.001,,0.169,,,2.6,,-0.63,0.34,,,86.5,,94.3,84.3,,0.228,0.38,0.303,,,,,,,,,,,,,0.362,0.49,0.122,91.0,106.0,115.0,0.359,1.68,85.1,0.18,0.216,0.343
8,2024-08-22,747082,Grounded Into DP,grounded_into_double_play,True,621566,650911,Matt Olson,Cristopher Sánchez,1,7ddc6034-e5e3-40e6-840f-0ed915af23cd,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.49,3.62,152.0,102.0,93.0,105.0,0.785,7.34,2.13,9.36,0.47,3.03,0.197,0.41,0.19,0.294,0.421,,,,,,,93.0,100.0,98.0,99.0,100.0,103.0,86.0,52.0,74.0,,,,0.471,,0.001,,0.169,,,2.6,,-0.63,0.34,,,86.5,,94.3,84.3,,0.228,0.38,0.303,,,,,,,,,,,,,0.362,0.49,0.122,91.0,106.0,115.0,0.359,1.68,85.1,0.18,0.216,0.343
9,2024-08-22,747082,Groundout,field_out,True,592663,680885,J.T. Realmuto,Spencer Schwellenbach,0,1df8ece5-001f-4b59-9f83-825e0cfcc350,680885.0,spencerschwellenbach,Schwellenbach,Right,Spencer Schwellenbach,ATL,3.72,3.04,87.0,106.0,101.0,107.0,0.719,10.55,1.86,7.76,1.03,1.15,0.23,0.439,0.196,0.3,0.452,99.0,101.0,105.0,109.0,108.0,108.0,93.0,106.0,106.0,112.0,112.0,118.0,95.0,100.0,98.0,83.0,103.0,104.0,0.075,0.267,0.166,0.139,0.201,0.151,0.12,-0.21,1.84,0.46,0.83,0.48,96.0,92.7,84.3,95.1,87.0,80.3,0.198,0.296,0.299,0.25,0.45,0.247,0.145,0.255,0.466,0.32,0.58,0.211,0.227,0.432,0.444,0.25,0.35,0.103,,,,,,,,,
