,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff
16,2024-04-06,746329,Strikeout,strikeout,True,641658,623167,Garrett Hampson,Chris Flexen,0,540c8778-a75d-444c-8607-cf0d54c399d0,623167.0,chrisflexen,Flexen,Right,Chris Flexen,CHW,5.22,4.79,101.2,99.0,53.0,93.0,0.798,6.64,3.63,8.94,1.5,0.77,0.255,0.402,0.171,0.343,0.385,127.0,99.0,106.0,86.0,103.0,104.0,-1.0,93.0,82.0,87.0,119.0,94.0,148.0,100.0,103.0,47.0,103.0,93.0,0.003,0.383,0.275,0.076,0.117,0.146,-1.19,0.91,2.95,-1.07,0.1,-1.45,91.3,87.3,81.3,91.3,79.8,72.1,0.25,0.433,0.322,0.269,0.506,0.131,,,,0.243,0.417,0.237,0.258,0.387,0.286,0.282,0.462,0.289
17,2024-04-06,746329,Strikeout,strikeout,True,664728,623167,Kyle Isbel,Chris Flexen,0,035771d9-19f3-4330-82c8-7fae7ec8edc4,623167.0,chrisflexen,Flexen,Right,Chris Flexen,CHW,5.22,4.79,101.2,99.0,53.0,93.0,0.798,6.64,3.63,8.94,1.5,0.77,0.255,0.402,0.171,0.343,0.385,127.0,99.0,106.0,86.0,103.0,104.0,-1.0,93.0,82.0,87.0,119.0,94.0,148.0,100.0,103.0,47.0,103.0,93.0,0.003,0.383,0.275,0.076,0.117,0.146,-1.19,0.91,2.95,-1.07,0.1,-1.45,91.3,87.3,81.3,91.3,79.8,72.1,0.25,0.433,0.322,0.269,0.506,0.131,,,,0.243,0.417,0.237,0.258,0.387,0.286,0.282,0.462,0.289
18,2024-04-06,746329,Lineout,field_out,True,672580,623167,Maikel Garcia,Chris Flexen,0,4d2dafff-e654-47e4-9f7c-cd91db057234,623167.0,chrisflexen,Flexen,Right,Chris Flexen,CHW,5.22,4.79,101.2,99.0,53.0,93.0,0.798,6.64,3.63,8.94,1.5,0.77,0.255,0.402,0.171,0.343,0.385,127.0,99.0,106.0,86.0,103.0,104.0,-1.0,93.0,82.0,87.0,119.0,94.0,148.0,100.0,103.0,47.0,103.0,93.0,0.003,0.383,0.275,0.076,0.117,0.146,-1.19,0.91,2.95,-1.07,0.1,-1.45,91.3,87.3,81.3,91.3,79.8,72.1,0.25,0.433,0.322,0.269,0.506,0.131,,,,0.243,0.417,0.237,0.258,0.387,0.286,0.282,0.462,0.289
19,2024-04-06,746329,Strikeout,strikeout,True,643217,608379,Andrew Benintendi,Michael Wacha,0,ab1fa57b-be4a-4141-85d8-36da60a1ea2c,608379.0,michaelwacha,Wacha,Right,Michael Wacha,KCR,3.55,3.91,96.1,102.0,91.0,99.0,0.783,7.94,2.62,8.22,0.84,1.09,0.262,0.454,0.206,0.284,0.436,111.0,111.0,115.0,71.0,88.0,91.0,82.0,101.0,97.0,79.0,101.0,87.0,97.0,94.0,93.0,81.0,96.0,91.0,0.152,0.233,0.109,0.101,0.087,0.318,-0.61,-0.79,0.86,-0.72,-0.88,2.13,93.5,88.6,81.4,93.4,84.0,75.0,0.18,0.316,0.352,0.321,0.513,0.15,0.214,0.257,0.06,0.302,0.442,0.139,0.3,0.4,0.442,0.278,0.556,0.138
20,2024-04-06,746329,Walk,walk,False,660162,608379,Yoán Moncada,Michael Wacha,0,4b18e12a-136c-45c1-aca9-1620115b9202,608379.0,michaelwacha,Wacha,Right,Michael Wacha,KCR,3.55,3.91,96.1,102.0,91.0,99.0,0.783,7.94,2.62,8.22,0.84,1.09,0.262,0.454,0.206,0.284,0.436,111.0,111.0,115.0,71.0,88.0,91.0,82.0,101.0,97.0,79.0,101.0,87.0,97.0,94.0,93.0,81.0,96.0,91.0,0.152,0.233,0.109,0.101,0.087,0.318,-0.61,-0.79,0.86,-0.72,-0.88,2.13,93.5,88.6,81.4,93.4,84.0,75.0,0.18,0.316,0.352,0.321,0.513,0.15,0.214,0.257,0.06,0.302,0.442,0.139,0.3,0.4,0.442,0.278,0.556,0.138
21,2024-04-06,746329,Strikeout,strikeout,True,683734,608379,Andrew Vaughn,Michael Wacha,0,391e2267-795b-440a-97c9-f592de3dac7e,608379.0,michaelwacha,Wacha,Right,Michael Wacha,KCR,3.55,3.91,96.1,102.0,91.0,99.0,0.783,7.94,2.62,8.22,0.84,1.09,0.262,0.454,0.206,0.284,0.436,111.0,111.0,115.0,71.0,88.0,91.0,82.0,101.0,97.0,79.0,101.0,87.0,97.0,94.0,93.0,81.0,96.0,91.0,0.152,0.233,0.109,0.101,0.087,0.318,-0.61,-0.79,0.86,-0.72,-0.88,2.13,93.5,88.6,81.4,93.4,84.0,75.0,0.18,0.316,0.352,0.321,0.513,0.15,0.214,0.257,0.06,0.302,0.442,0.139,0.3,0.4,0.442,0.278,0.556,0.138
22,2024-04-06,746329,Strikeout,strikeout,True,657757,608379,Gavin Sheets,Michael Wacha,0,ac94f1cd-f3b3-4acf-9116-deae1edec1e9,608379.0,michaelwacha,Wacha,Right,Michael Wacha,KCR,3.55,3.91,96.1,102.0,91.0,99.0,0.783,7.94,2.62,8.22,0.84,1.09,0.262,0.454,0.206,0.284,0.436,111.0,111.0,115.0,71.0,88.0,91.0,82.0,101.0,97.0,79.0,101.0,87.0,97.0,94.0,93.0,81.0,96.0,91.0,0.152,0.233,0.109,0.101,0.087,0.318,-0.61,-0.79,0.86,-0.72,-0.88,2.13,93.5,88.6,81.4,93.4,84.0,75.0,0.18,0.316,0.352,0.321,0.513,0.15,0.214,0.257,0.06,0.302,0.442,0.139,0.3,0.4,0.442,0.278,0.556,0.138
23,2024-04-06,746329,Groundout,field_out,True,677951,623167,Bobby Witt Jr.,Chris Flexen,0,c9f93333-d7ad-466a-a661-30d9fc74a627,623167.0,chrisflexen,Flexen,Right,Chris Flexen,CHW,5.22,4.79,101.2,99.0,53.0,93.0,0.798,6.64,3.63,8.94,1.5,0.77,0.255,0.402,0.171,0.343,0.385,127.0,99.0,106.0,86.0,103.0,104.0,-1.0,93.0,82.0,87.0,119.0,94.0,148.0,100.0,103.0,47.0,103.0,93.0,0.003,0.383,0.275,0.076,0.117,0.146,-1.19,0.91,2.95,-1.07,0.1,-1.45,91.3,87.3,81.3,91.3,79.8,72.1,0.25,0.433,0.322,0.269,0.506,0.131,,,,0.243,0.417,0.237,0.258,0.387,0.286,0.282,0.462,0.289
24,2024-04-06,746329,Groundout,field_out,True,686469,623167,Vinnie Pasquantino,Chris Flexen,0,cdc1ecac-94f8-43c8-9c1b-943ffde46930,623167.0,chrisflexen,Flexen,Right,Chris Flexen,CHW,5.22,4.79,101.2,99.0,53.0,93.0,0.798,6.64,3.63,8.94,1.5,0.77,0.255,0.402,0.171,0.343,0.385,127.0,99.0,106.0,86.0,103.0,104.0,-1.0,93.0,82.0,87.0,119.0,94.0,148.0,100.0,103.0,47.0,103.0,93.0,0.003,0.383,0.275,0.076,0.117,0.146,-1.19,0.91,2.95,-1.07,0.1,-1.45,91.3,87.3,81.3,91.3,79.8,72.1,0.25,0.433,0.322,0.269,0.506,0.131,,,,0.243,0.417,0.237,0.258,0.387,0.286,0.282,0.462,0.289
25,2024-04-06,746329,Pop Out,field_out,True,521692,623167,Salvador Perez,Chris Flexen,0,b77536e9-49aa-4cbf-906f-8e51e37912e7,623167.0,chrisflexen,Flexen,Right,Chris Flexen,CHW,5.22,4.79,101.2,99.0,53.0,93.0,0.798,6.64,3.63,8.94,1.5,0.77,0.255,0.402,0.171,0.343,0.385,127.0,99.0,106.0,86.0,103.0,104.0,-1.0,93.0,82.0,87.0,119.0,94.0,148.0,100.0,103.0,47.0,103.0,93.0,0.003,0.383,0.275,0.076,0.117,0.146,-1.19,0.91,2.95,-1.07,0.1,-1.45,91.3,87.3,81.3,91.3,79.8,72.1,0.25,0.433,0.322,0.269,0.506,0.131,,,,0.243,0.417,0.237,0.258,0.387,0.286,0.282,0.462,0.289
