,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff
0,2024-09-02,746265,Pop Out,field_out,True,680757,608379,Steven Kwan,Michael Wacha,0,c8ea69ec-154d-4d02-b2ed-35c0e99b727d,608379.0,michaelwacha,Wacha,Right,Michael Wacha,KCR,3.34,4.22,151.0,102.0,91.0,99.0,0.788,7.75,2.38,8.28,0.95,0.94,0.256,0.441,0.213,0.274,0.425,110.0,109.0,112.0,74.0,88.0,92.0,84.0,102.0,98.0,78.0,103.0,89.0,97.0,90.0,90.0,79.0,98.0,91.0,0.152,0.234,0.111,0.097,0.086,0.321,0.14,-1.43,0.73,-2.2,-1.4,2.4,93.6,88.8,81.3,93.7,84.2,75.2,0.171,0.313,0.348,0.3,0.483,0.156,0.227,0.282,0.091,0.328,0.484,0.116,0.375,0.563,0.397,0.333,0.63,0.182,,,,,,,,,,,,,,,,,,
1,2024-09-02,746265,Double,double,False,665926,608379,Andrés Giménez,Michael Wacha,0,f7d4a071-9b8d-45fb-9a35-e65b52f0d201,608379.0,michaelwacha,Wacha,Right,Michael Wacha,KCR,3.34,4.22,151.0,102.0,91.0,99.0,0.788,7.75,2.38,8.28,0.95,0.94,0.256,0.441,0.213,0.274,0.425,110.0,109.0,112.0,74.0,88.0,92.0,84.0,102.0,98.0,78.0,103.0,89.0,97.0,90.0,90.0,79.0,98.0,91.0,0.152,0.234,0.111,0.097,0.086,0.321,0.14,-1.43,0.73,-2.2,-1.4,2.4,93.6,88.8,81.3,93.7,84.2,75.2,0.171,0.313,0.348,0.3,0.483,0.156,0.227,0.282,0.091,0.328,0.484,0.116,0.375,0.563,0.397,0.333,0.63,0.182,,,,,,,,,,,,,,,,,,
2,2024-09-02,746265,Pop Out,field_out,True,608070,608379,José Ramírez,Michael Wacha,0,a7a90b63-c8c5-4b1b-921c-d5ce904f3c23,608379.0,michaelwacha,Wacha,Right,Michael Wacha,KCR,3.34,4.22,151.0,102.0,91.0,99.0,0.788,7.75,2.38,8.28,0.95,0.94,0.256,0.441,0.213,0.274,0.425,110.0,109.0,112.0,74.0,88.0,92.0,84.0,102.0,98.0,78.0,103.0,89.0,97.0,90.0,90.0,79.0,98.0,91.0,0.152,0.234,0.111,0.097,0.086,0.321,0.14,-1.43,0.73,-2.2,-1.4,2.4,93.6,88.8,81.3,93.7,84.2,75.2,0.171,0.313,0.348,0.3,0.483,0.156,0.227,0.282,0.091,0.328,0.484,0.116,0.375,0.563,0.397,0.333,0.63,0.182,,,,,,,,,,,,,,,,,,
3,2024-09-02,746265,Flyout,field_out,True,647304,608379,Josh Naylor,Michael Wacha,0,2f74384d-7d66-4590-82c6-beeace211495,608379.0,michaelwacha,Wacha,Right,Michael Wacha,KCR,3.34,4.22,151.0,102.0,91.0,99.0,0.788,7.75,2.38,8.28,0.95,0.94,0.256,0.441,0.213,0.274,0.425,110.0,109.0,112.0,74.0,88.0,92.0,84.0,102.0,98.0,78.0,103.0,89.0,97.0,90.0,90.0,79.0,98.0,91.0,0.152,0.234,0.111,0.097,0.086,0.321,0.14,-1.43,0.73,-2.2,-1.4,2.4,93.6,88.8,81.3,93.7,84.2,75.2,0.171,0.313,0.348,0.3,0.483,0.156,0.227,0.282,0.091,0.328,0.484,0.116,0.375,0.563,0.397,0.333,0.63,0.182,,,,,,,,,,,,,,,,,,
4,2024-09-02,746265,Pop Out,field_out,True,502054,668909,Tommy Pham,Gavin Williams,0,ac9b0833-1a88-447f-9687-24804f3b0691,668909.0,gavinwilliams,"Williams, G",Right,Gavin Williams,CLE,5.25,4.14,60.0,101.0,100.0,102.0,0.794,9.6,3.9,8.4,0.9,1.06,0.322,0.357,0.129,0.31,0.415,66.0,97.0,101.0,122.0,104.0,108.0,98.0,102.0,102.0,,,,107.0,66.0,89.0,98.0,99.0,92.0,,0.528,0.108,0.096,0.209,0.06,0.27,0.46,,-0.99,-0.12,-4.02,96.9,91.6,89.4,,88.7,79.7,0.417,0.833,0.125,0.272,0.386,0.222,,,,0.167,0.375,0.273,0.333,0.5,0.283,0.156,0.328,0.3,,,,,,,,,,,,,,,,,,
5,2024-09-02,746265,Walk,walk,False,677951,668909,Bobby Witt Jr.,Gavin Williams,0,d48bf921-b17a-48f9-9a3c-900789786789,668909.0,gavinwilliams,"Williams, G",Right,Gavin Williams,CLE,5.25,4.14,60.0,101.0,100.0,102.0,0.794,9.6,3.9,8.4,0.9,1.06,0.322,0.357,0.129,0.31,0.415,66.0,97.0,101.0,122.0,104.0,108.0,98.0,102.0,102.0,,,,107.0,66.0,89.0,98.0,99.0,92.0,,0.528,0.108,0.096,0.209,0.06,0.27,0.46,,-0.99,-0.12,-4.02,96.9,91.6,89.4,,88.7,79.7,0.417,0.833,0.125,0.272,0.386,0.222,,,,0.167,0.375,0.273,0.333,0.5,0.283,0.156,0.328,0.3,,,,,,,,,,,,,,,,,,
6,2024-09-02,746265,Flyout,field_out,True,686681,668909,Michael Massey,Gavin Williams,0,25a88379-2ca2-4ce1-8db7-de22ad78f11f,668909.0,gavinwilliams,"Williams, G",Right,Gavin Williams,CLE,5.25,4.14,60.0,101.0,100.0,102.0,0.794,9.6,3.9,8.4,0.9,1.06,0.322,0.357,0.129,0.31,0.415,66.0,97.0,101.0,122.0,104.0,108.0,98.0,102.0,102.0,,,,107.0,66.0,89.0,98.0,99.0,92.0,,0.528,0.108,0.096,0.209,0.06,0.27,0.46,,-0.99,-0.12,-4.02,96.9,91.6,89.4,,88.7,79.7,0.417,0.833,0.125,0.272,0.386,0.222,,,,0.167,0.375,0.273,0.333,0.5,0.283,0.156,0.328,0.3,,,,,,,,,,,,,,,,,,
7,2024-09-02,746265,Strikeout,strikeout,True,521692,668909,Salvador Perez,Gavin Williams,1,82fbba3f-0e41-4e98-b824-3fb9f395c878,668909.0,gavinwilliams,"Williams, G",Right,Gavin Williams,CLE,5.25,4.14,60.0,101.0,100.0,102.0,0.794,9.6,3.9,8.4,0.9,1.06,0.322,0.357,0.129,0.31,0.415,66.0,97.0,101.0,122.0,104.0,108.0,98.0,102.0,102.0,,,,107.0,66.0,89.0,98.0,99.0,92.0,,0.528,0.108,0.096,0.209,0.06,0.27,0.46,,-0.99,-0.12,-4.02,96.9,91.6,89.4,,88.7,79.7,0.417,0.833,0.125,0.272,0.386,0.222,,,,0.167,0.375,0.273,0.333,0.5,0.283,0.156,0.328,0.3,,,,,,,,,,,,,,,,,,
8,2024-09-02,746265,Strikeout,strikeout,True,678877,608379,Jhonkensy Noel,Michael Wacha,0,4cb12476-6f4d-4010-b1e8-d6165c52a284,608379.0,michaelwacha,Wacha,Right,Michael Wacha,KCR,3.34,4.22,151.0,102.0,91.0,99.0,0.788,7.75,2.38,8.28,0.95,0.94,0.256,0.441,0.213,0.274,0.425,110.0,109.0,112.0,74.0,88.0,92.0,84.0,102.0,98.0,78.0,103.0,89.0,97.0,90.0,90.0,79.0,98.0,91.0,0.152,0.234,0.111,0.097,0.086,0.321,0.14,-1.43,0.73,-2.2,-1.4,2.4,93.6,88.8,81.3,93.7,84.2,75.2,0.171,0.313,0.348,0.3,0.483,0.156,0.227,0.282,0.091,0.328,0.484,0.116,0.375,0.563,0.397,0.333,0.63,0.182,,,,,,,,,,,,,,,,,,
9,2024-09-02,746265,Strikeout,strikeout,True,700932,608379,Kyle Manzardo,Michael Wacha,0,cde21255-880f-4ee5-827e-82e1321f63ee,608379.0,michaelwacha,Wacha,Right,Michael Wacha,KCR,3.34,4.22,151.0,102.0,91.0,99.0,0.788,7.75,2.38,8.28,0.95,0.94,0.256,0.441,0.213,0.274,0.425,110.0,109.0,112.0,74.0,88.0,92.0,84.0,102.0,98.0,78.0,103.0,89.0,97.0,90.0,90.0,79.0,98.0,91.0,0.152,0.234,0.111,0.097,0.086,0.321,0.14,-1.43,0.73,-2.2,-1.4,2.4,93.6,88.8,81.3,93.7,84.2,75.2,0.171,0.313,0.348,0.3,0.483,0.156,0.227,0.282,0.091,0.328,0.484,0.116,0.375,0.563,0.397,0.333,0.63,0.182,,,,,,,,,,,,,,,,,,
