,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSL/C,wCU/C,vFA,vFC,vFS,vSL,vCU,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,SV_ba,SV_slg,SV_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff
10,2024-09-04,744964,Strikeout,strikeout,True,519317,543135,Giancarlo Stanton,Nathan Eovaldi,0,d3b0cfb5-fb9b-4ca3-b837-fcfc3ec36fa2,543135.0,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.55,3.75,147.0,105.0,98.0,104.0,0.749,8.82,2.14,7.41,1.16,1.56,0.224,0.396,0.115,0.344,0.454,101.0,103.0,104.0,75.0,106.0,99.0,112.0,101.0,103.0,91.0,107.0,99.0,128.0,102.0,111.0,0.376,0.149,0.308,0.031,0.135,1.39,-0.61,1.65,-1.19,-1.01,95.5,91.5,88.5,86.2,76.9,0.192,0.299,0.193,0.197,0.293,0.366,0.314,0.535,0.185,0.22,0.492,0.37,0.333,0.571,0.167,,,,,,,,,,,,,,,,,,,,,,,,
11,2024-09-04,744964,Flyout,field_out,True,519203,543135,Anthony Rizzo,Nathan Eovaldi,0,1c6a7ef7-442e-458d-b8f1-7fe778ae59b5,543135.0,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.55,3.75,147.0,105.0,98.0,104.0,0.749,8.82,2.14,7.41,1.16,1.56,0.224,0.396,0.115,0.344,0.454,101.0,103.0,104.0,75.0,106.0,99.0,112.0,101.0,103.0,91.0,107.0,99.0,128.0,102.0,111.0,0.376,0.149,0.308,0.031,0.135,1.39,-0.61,1.65,-1.19,-1.01,95.5,91.5,88.5,86.2,76.9,0.192,0.299,0.193,0.197,0.293,0.366,0.314,0.535,0.185,0.22,0.492,0.37,0.333,0.571,0.167,,,,,,,,,,,,,,,,,,,,,,,,
12,2024-09-04,744964,Flyout,field_out,True,683011,543135,Anthony Volpe,Nathan Eovaldi,0,16fce618-6757-4be8-9379-2b5b522becd6,543135.0,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.55,3.75,147.0,105.0,98.0,104.0,0.749,8.82,2.14,7.41,1.16,1.56,0.224,0.396,0.115,0.344,0.454,101.0,103.0,104.0,75.0,106.0,99.0,112.0,101.0,103.0,91.0,107.0,99.0,128.0,102.0,111.0,0.376,0.149,0.308,0.031,0.135,1.39,-0.61,1.65,-1.19,-1.01,95.5,91.5,88.5,86.2,76.9,0.192,0.299,0.193,0.197,0.293,0.366,0.314,0.535,0.185,0.22,0.492,0.37,0.333,0.571,0.167,,,,,,,,,,,,,,,,,,,,,,,,
13,2024-09-04,744964,Double,double,False,665750,573186,Leody Taveras,Marcus Stroman,0,cea1bdfa-d80c-4209-b4a6-2d9388d084ab,573186.0,marcusstroman,Stroman,Right,Marcus Stroman,NYY,4.03,4.93,143.0,96.0,92.0,94.0,0.818,6.61,3.65,9.13,1.13,1.51,0.208,0.4,0.145,0.322,0.36,90.0,87.0,93.0,48.0,89.0,81.0,94.0,102.0,102.0,106.0,101.0,99.0,82.0,98.0,93.0,0.031,0.181,0.112,0.171,0.157,-4.32,-0.11,0.05,-2.28,0.68,89.9,88.1,83.3,85.3,81.3,0.5,0.7,0.231,0.213,0.295,0.248,0.284,0.52,0.184,0.0,0.0,0.286,0.254,0.385,0.276,92.0,94.0,90.0,0.348,-0.09,90.0,0.297,0.477,0.12,0.255,0.455,0.313,,,,,,,,,,,,
14,2024-09-04,744964,Double,double,False,677649,573186,Ezequiel Duran,Marcus Stroman,1,0b228831-550a-4950-88fa-f1d813f63820,573186.0,marcusstroman,Stroman,Right,Marcus Stroman,NYY,4.03,4.93,143.0,96.0,92.0,94.0,0.818,6.61,3.65,9.13,1.13,1.51,0.208,0.4,0.145,0.322,0.36,90.0,87.0,93.0,48.0,89.0,81.0,94.0,102.0,102.0,106.0,101.0,99.0,82.0,98.0,93.0,0.031,0.181,0.112,0.171,0.157,-4.32,-0.11,0.05,-2.28,0.68,89.9,88.1,83.3,85.3,81.3,0.5,0.7,0.231,0.213,0.295,0.248,0.284,0.52,0.184,0.0,0.0,0.286,0.254,0.385,0.276,92.0,94.0,90.0,0.348,-0.09,90.0,0.297,0.477,0.12,0.255,0.455,0.313,,,,,,,,,,,,
15,2024-09-04,744964,Strikeout,strikeout,True,608671,573186,Travis Jankowski,Marcus Stroman,0,20fb8c30-ce2c-4dff-b3d2-1958e29fc62a,573186.0,marcusstroman,Stroman,Right,Marcus Stroman,NYY,4.03,4.93,143.0,96.0,92.0,94.0,0.818,6.61,3.65,9.13,1.13,1.51,0.208,0.4,0.145,0.322,0.36,90.0,87.0,93.0,48.0,89.0,81.0,94.0,102.0,102.0,106.0,101.0,99.0,82.0,98.0,93.0,0.031,0.181,0.112,0.171,0.157,-4.32,-0.11,0.05,-2.28,0.68,89.9,88.1,83.3,85.3,81.3,0.5,0.7,0.231,0.213,0.295,0.248,0.284,0.52,0.184,0.0,0.0,0.286,0.254,0.385,0.276,92.0,94.0,90.0,0.348,-0.09,90.0,0.297,0.477,0.12,0.255,0.455,0.313,,,,,,,,,,,,
16,2024-09-04,744964,Single,single,False,669701,573186,Josh Smith,Marcus Stroman,1,b8e438a1-7817-45af-bad0-bbe7a0c98c65,573186.0,marcusstroman,Stroman,Right,Marcus Stroman,NYY,4.03,4.93,143.0,96.0,92.0,94.0,0.818,6.61,3.65,9.13,1.13,1.51,0.208,0.4,0.145,0.322,0.36,90.0,87.0,93.0,48.0,89.0,81.0,94.0,102.0,102.0,106.0,101.0,99.0,82.0,98.0,93.0,0.031,0.181,0.112,0.171,0.157,-4.32,-0.11,0.05,-2.28,0.68,89.9,88.1,83.3,85.3,81.3,0.5,0.7,0.231,0.213,0.295,0.248,0.284,0.52,0.184,0.0,0.0,0.286,0.254,0.385,0.276,92.0,94.0,90.0,0.348,-0.09,90.0,0.297,0.477,0.12,0.255,0.455,0.313,,,,,,,,,,,,
17,2024-09-04,744964,Strikeout,strikeout,True,694671,573186,Wyatt Langford,Marcus Stroman,1,03553e48-eb54-4d49-98e4-a2659125da5b,573186.0,marcusstroman,Stroman,Right,Marcus Stroman,NYY,4.03,4.93,143.0,96.0,92.0,94.0,0.818,6.61,3.65,9.13,1.13,1.51,0.208,0.4,0.145,0.322,0.36,90.0,87.0,93.0,48.0,89.0,81.0,94.0,102.0,102.0,106.0,101.0,99.0,82.0,98.0,93.0,0.031,0.181,0.112,0.171,0.157,-4.32,-0.11,0.05,-2.28,0.68,89.9,88.1,83.3,85.3,81.3,0.5,0.7,0.231,0.213,0.295,0.248,0.284,0.52,0.184,0.0,0.0,0.286,0.254,0.385,0.276,92.0,94.0,90.0,0.348,-0.09,90.0,0.297,0.477,0.12,0.255,0.455,0.313,,,,,,,,,,,,
18,2024-09-04,744964,Strikeout,strikeout,True,663993,573186,Nathaniel Lowe,Marcus Stroman,0,8548e6ee-c931-4595-9581-0b29bf50721e,573186.0,marcusstroman,Stroman,Right,Marcus Stroman,NYY,4.03,4.93,143.0,96.0,92.0,94.0,0.818,6.61,3.65,9.13,1.13,1.51,0.208,0.4,0.145,0.322,0.36,90.0,87.0,93.0,48.0,89.0,81.0,94.0,102.0,102.0,106.0,101.0,99.0,82.0,98.0,93.0,0.031,0.181,0.112,0.171,0.157,-4.32,-0.11,0.05,-2.28,0.68,89.9,88.1,83.3,85.3,81.3,0.5,0.7,0.231,0.213,0.295,0.248,0.284,0.52,0.184,0.0,0.0,0.286,0.254,0.385,0.276,92.0,94.0,90.0,0.348,-0.09,90.0,0.297,0.477,0.12,0.255,0.455,0.313,,,,,,,,,,,,
19,2024-09-04,744964,Groundout,field_out,True,657077,543135,Alex Verdugo,Nathan Eovaldi,0,aef76ef6-e359-418a-b4a9-c09264d4eb94,543135.0,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.55,3.75,147.0,105.0,98.0,104.0,0.749,8.82,2.14,7.41,1.16,1.56,0.224,0.396,0.115,0.344,0.454,101.0,103.0,104.0,75.0,106.0,99.0,112.0,101.0,103.0,91.0,107.0,99.0,128.0,102.0,111.0,0.376,0.149,0.308,0.031,0.135,1.39,-0.61,1.65,-1.19,-1.01,95.5,91.5,88.5,86.2,76.9,0.192,0.299,0.193,0.197,0.293,0.366,0.314,0.535,0.185,0.22,0.492,0.37,0.333,0.571,0.167,,,,,,,,,,,,,,,,,,,,,,,,
20,2024-09-04,744964,Pop Out,field_out,True,624431,543135,Jose Trevino,Nathan Eovaldi,0,44c9e6df-b092-414c-b58b-dcc86e9e58fa,543135.0,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.55,3.75,147.0,105.0,98.0,104.0,0.749,8.82,2.14,7.41,1.16,1.56,0.224,0.396,0.115,0.344,0.454,101.0,103.0,104.0,75.0,106.0,99.0,112.0,101.0,103.0,91.0,107.0,99.0,128.0,102.0,111.0,0.376,0.149,0.308,0.031,0.135,1.39,-0.61,1.65,-1.19,-1.01,95.5,91.5,88.5,86.2,76.9,0.192,0.299,0.193,0.197,0.293,0.366,0.314,0.535,0.185,0.22,0.492,0.37,0.333,0.571,0.167,,,,,,,,,,,,,,,,,,,,,,,,
21,2024-09-04,744964,Single,single,False,650402,543135,Gleyber Torres,Nathan Eovaldi,1,a1e5651b-21be-4b43-a909-26499ba15255,543135.0,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.55,3.75,147.0,105.0,98.0,104.0,0.749,8.82,2.14,7.41,1.16,1.56,0.224,0.396,0.115,0.344,0.454,101.0,103.0,104.0,75.0,106.0,99.0,112.0,101.0,103.0,91.0,107.0,99.0,128.0,102.0,111.0,0.376,0.149,0.308,0.031,0.135,1.39,-0.61,1.65,-1.19,-1.01,95.5,91.5,88.5,86.2,76.9,0.192,0.299,0.193,0.197,0.293,0.366,0.314,0.535,0.185,0.22,0.492,0.37,0.333,0.571,0.167,,,,,,,,,,,,,,,,,,,,,,,,
22,2024-09-04,744964,Walk,walk,False,665742,543135,Juan Soto,Nathan Eovaldi,0,fd750dc7-9c8c-4710-add3-000af547a4c0,543135.0,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.55,3.75,147.0,105.0,98.0,104.0,0.749,8.82,2.14,7.41,1.16,1.56,0.224,0.396,0.115,0.344,0.454,101.0,103.0,104.0,75.0,106.0,99.0,112.0,101.0,103.0,91.0,107.0,99.0,128.0,102.0,111.0,0.376,0.149,0.308,0.031,0.135,1.39,-0.61,1.65,-1.19,-1.01,95.5,91.5,88.5,86.2,76.9,0.192,0.299,0.193,0.197,0.293,0.366,0.314,0.535,0.185,0.22,0.492,0.37,0.333,0.571,0.167,,,,,,,,,,,,,,,,,,,,,,,,
23,2024-09-04,744964,Walk,walk,False,592450,543135,Aaron Judge,Nathan Eovaldi,1,d17cac90-7bb3-465d-8332-460996b13768,543135.0,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.55,3.75,147.0,105.0,98.0,104.0,0.749,8.82,2.14,7.41,1.16,1.56,0.224,0.396,0.115,0.344,0.454,101.0,103.0,104.0,75.0,106.0,99.0,112.0,101.0,103.0,91.0,107.0,99.0,128.0,102.0,111.0,0.376,0.149,0.308,0.031,0.135,1.39,-0.61,1.65,-1.19,-1.01,95.5,91.5,88.5,86.2,76.9,0.192,0.299,0.193,0.197,0.293,0.366,0.314,0.535,0.185,0.22,0.492,0.37,0.333,0.571,0.167,,,,,,,,,,,,,,,,,,,,,,,,
24,2024-09-04,744964,Flyout,field_out,True,665862,543135,Jazz Chisholm Jr.,Nathan Eovaldi,0,ece0283f-2a49-44e2-ac86-fa318cabab40,543135.0,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.55,3.75,147.0,105.0,98.0,104.0,0.749,8.82,2.14,7.41,1.16,1.56,0.224,0.396,0.115,0.344,0.454,101.0,103.0,104.0,75.0,106.0,99.0,112.0,101.0,103.0,91.0,107.0,99.0,128.0,102.0,111.0,0.376,0.149,0.308,0.031,0.135,1.39,-0.61,1.65,-1.19,-1.01,95.5,91.5,88.5,86.2,76.9,0.192,0.299,0.193,0.197,0.293,0.366,0.314,0.535,0.185,0.22,0.492,0.37,0.333,0.571,0.167,,,,,,,,,,,,,,,,,,,,,,,,
25,2024-09-04,744964,Lineout,field_out,True,666969,573186,Adolis García,Marcus Stroman,0,eec238aa-ee38-4378-ac91-75ae031c17b0,573186.0,marcusstroman,Stroman,Right,Marcus Stroman,NYY,4.03,4.93,143.0,96.0,92.0,94.0,0.818,6.61,3.65,9.13,1.13,1.51,0.208,0.4,0.145,0.322,0.36,90.0,87.0,93.0,48.0,89.0,81.0,94.0,102.0,102.0,106.0,101.0,99.0,82.0,98.0,93.0,0.031,0.181,0.112,0.171,0.157,-4.32,-0.11,0.05,-2.28,0.68,89.9,88.1,83.3,85.3,81.3,0.5,0.7,0.231,0.213,0.295,0.248,0.284,0.52,0.184,0.0,0.0,0.286,0.254,0.385,0.276,92.0,94.0,90.0,0.348,-0.09,90.0,0.297,0.477,0.12,0.255,0.455,0.313,,,,,,,,,,,,
26,2024-09-04,744964,Lineout,field_out,True,673962,573186,Josh Jung,Marcus Stroman,0,8e758b82-4e7f-4ac4-a60b-ca1de8490e19,573186.0,marcusstroman,Stroman,Right,Marcus Stroman,NYY,4.03,4.93,143.0,96.0,92.0,94.0,0.818,6.61,3.65,9.13,1.13,1.51,0.208,0.4,0.145,0.322,0.36,90.0,87.0,93.0,48.0,89.0,81.0,94.0,102.0,102.0,106.0,101.0,99.0,82.0,98.0,93.0,0.031,0.181,0.112,0.171,0.157,-4.32,-0.11,0.05,-2.28,0.68,89.9,88.1,83.3,85.3,81.3,0.5,0.7,0.231,0.213,0.295,0.248,0.284,0.52,0.184,0.0,0.0,0.286,0.254,0.385,0.276,92.0,94.0,90.0,0.348,-0.09,90.0,0.297,0.477,0.12,0.255,0.455,0.313,,,,,,,,,,,,
27,2024-09-04,744964,Groundout,field_out,True,641680,573186,Jonah Heim,Marcus Stroman,0,4a4a11b9-3b93-4482-ae1f-01848f41ed3a,573186.0,marcusstroman,Stroman,Right,Marcus Stroman,NYY,4.03,4.93,143.0,96.0,92.0,94.0,0.818,6.61,3.65,9.13,1.13,1.51,0.208,0.4,0.145,0.322,0.36,90.0,87.0,93.0,48.0,89.0,81.0,94.0,102.0,102.0,106.0,101.0,99.0,82.0,98.0,93.0,0.031,0.181,0.112,0.171,0.157,-4.32,-0.11,0.05,-2.28,0.68,89.9,88.1,83.3,85.3,81.3,0.5,0.7,0.231,0.213,0.295,0.248,0.284,0.52,0.184,0.0,0.0,0.286,0.254,0.385,0.276,92.0,94.0,90.0,0.348,-0.09,90.0,0.297,0.477,0.12,0.255,0.455,0.313,,,,,,,,,,,,
