,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFS,vSI,vSL,vCU,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CH%,wFC/C,wCH/C,vFC,vCH,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff
59,2024-04-06,746498,Double,double,False,608348,695243,Carson Kelly,Mason Miller,0,94ad1959-f6a5-4a94-b6c3-88ae5b5ee5e0,695243.0,masonmiller,"Miller, M",Right,Mason Miller,OAK,2.27,1.51,39.2,102.0,150.0,108.0,0.599,15.88,3.18,4.54,0.68,0.9,0.318,0.288,0.242,0.318,0.432,,,,141.0,101.0,106.0,,,,163.0,107.0,113.0,,,,,0.612,0.003,0.376,,2.21,-1.0,,2.1,,100.9,97.6,,87.4,,0.14,0.193,0.461,,,,0.158,0.289,0.415,,,,,,,108.0,105.0,109.0,,,,,0.008,,5.68,,92.7,,,,,,
60,2024-04-06,746498,Pop Out,field_out,True,678009,695243,Parker Meadows,Mason Miller,0,c19c1322-3110-427e-a7b7-31c1b4e38256,695243.0,masonmiller,"Miller, M",Right,Mason Miller,OAK,2.27,1.51,39.2,102.0,150.0,108.0,0.599,15.88,3.18,4.54,0.68,0.9,0.318,0.288,0.242,0.318,0.432,,,,141.0,101.0,106.0,,,,163.0,107.0,113.0,,,,,0.612,0.003,0.376,,2.21,-1.0,,2.1,,100.9,97.6,,87.4,,0.14,0.193,0.461,,,,0.158,0.289,0.415,,,,,,,108.0,105.0,109.0,,,,,0.008,,5.68,,92.7,,,,,,
61,2024-04-06,746498,Walk,walk,False,679529,695243,Spencer Torkelson,Mason Miller,0,b25e5682-13a9-4565-be77-b5890abc57a6,695243.0,masonmiller,"Miller, M",Right,Mason Miller,OAK,2.27,1.51,39.2,102.0,150.0,108.0,0.599,15.88,3.18,4.54,0.68,0.9,0.318,0.288,0.242,0.318,0.432,,,,141.0,101.0,106.0,,,,163.0,107.0,113.0,,,,,0.612,0.003,0.376,,2.21,-1.0,,2.1,,100.9,97.6,,87.4,,0.14,0.193,0.461,,,,0.158,0.289,0.415,,,,,,,108.0,105.0,109.0,,,,,0.008,,5.68,,92.7,,,,,,
62,2024-04-06,746498,Groundout,field_out,True,681481,695243,Kerry Carpenter,Mason Miller,0,5139f82e-0ef5-4f1c-93a7-c20ad91a6f8e,695243.0,masonmiller,"Miller, M",Right,Mason Miller,OAK,2.27,1.51,39.2,102.0,150.0,108.0,0.599,15.88,3.18,4.54,0.68,0.9,0.318,0.288,0.242,0.318,0.432,,,,141.0,101.0,106.0,,,,163.0,107.0,113.0,,,,,0.612,0.003,0.376,,2.21,-1.0,,2.1,,100.9,97.6,,87.4,,0.14,0.193,0.461,,,,0.158,0.289,0.415,,,,,,,108.0,105.0,109.0,,,,,0.008,,5.68,,92.7,,,,,,
63,2024-04-06,746498,Pop Out,field_out,True,669127,676684,Shea Langeliers,Will Vest,0,52c58135-429e-4fa7-8782-f7ea6cabdea6,676684.0,willvest,Vest,Right,Will Vest,DET,3.24,3.72,41.2,102.0,96.0,101.0,0.767,7.78,2.38,8.64,0.43,1.82,0.407,0.285,0.146,0.358,0.477,,,,96.0,107.0,105.0,94.0,98.0,95.0,102.0,98.0,99.0,,,,0.137,0.532,,0.255,,1.94,,0.47,-1.7,,95.8,,94.4,86.6,,0.347,0.51,0.337,,,,0.219,0.26,0.233,0.318,0.455,0.216,,,,83.0,89.0,91.0,,,,,0.077,,3.23,,88.4,,,,0.0,0.0,0.35
64,2024-04-06,746498,Groundout,field_out,True,671732,676684,Lawrence Butler,Will Vest,0,6d09229c-8c2a-47d7-9811-70d6433535dd,676684.0,willvest,Vest,Right,Will Vest,DET,3.24,3.72,41.2,102.0,96.0,101.0,0.767,7.78,2.38,8.64,0.43,1.82,0.407,0.285,0.146,0.358,0.477,,,,96.0,107.0,105.0,94.0,98.0,95.0,102.0,98.0,99.0,,,,0.137,0.532,,0.255,,1.94,,0.47,-1.7,,95.8,,94.4,86.6,,0.347,0.51,0.337,,,,0.219,0.26,0.233,0.318,0.455,0.216,,,,83.0,89.0,91.0,,,,,0.077,,3.23,,88.4,,,,0.0,0.0,0.35
65,2024-04-06,746498,Walk,walk,False,669397,676684,Nick Allen,Will Vest,0,ece3c388-f370-4f75-aa3f-0652a172a500,676684.0,willvest,Vest,Right,Will Vest,DET,3.24,3.72,41.2,102.0,96.0,101.0,0.767,7.78,2.38,8.64,0.43,1.82,0.407,0.285,0.146,0.358,0.477,,,,96.0,107.0,105.0,94.0,98.0,95.0,102.0,98.0,99.0,,,,0.137,0.532,,0.255,,1.94,,0.47,-1.7,,95.8,,94.4,86.6,,0.347,0.51,0.337,,,,0.219,0.26,0.233,0.318,0.455,0.216,,,,83.0,89.0,91.0,,,,,0.077,,3.23,,88.4,,,,0.0,0.0,0.35
66,2024-04-06,746498,Strikeout,strikeout,True,676116,676684,Ryan Noda,Will Vest,0,7a8fef10-7b29-4186-99b2-f0f408dc6600,676684.0,willvest,Vest,Right,Will Vest,DET,3.24,3.72,41.2,102.0,96.0,101.0,0.767,7.78,2.38,8.64,0.43,1.82,0.407,0.285,0.146,0.358,0.477,,,,96.0,107.0,105.0,94.0,98.0,95.0,102.0,98.0,99.0,,,,0.137,0.532,,0.255,,1.94,,0.47,-1.7,,95.8,,94.4,86.6,,0.347,0.51,0.337,,,,0.219,0.26,0.233,0.318,0.455,0.216,,,,83.0,89.0,91.0,,,,,0.077,,3.23,,88.4,,,,0.0,0.0,0.35
67,2024-04-06,746498,Strikeout,strikeout,True,682985,695243,Riley Greene,Mason Miller,0,6dcb9d25-02c0-4016-8341-e911c0a5abf4,695243.0,masonmiller,"Miller, M",Right,Mason Miller,OAK,2.27,1.51,39.2,102.0,150.0,108.0,0.599,15.88,3.18,4.54,0.68,0.9,0.318,0.288,0.242,0.318,0.432,,,,141.0,101.0,106.0,,,,163.0,107.0,113.0,,,,,0.612,0.003,0.376,,2.21,-1.0,,2.1,,100.9,97.6,,87.4,,0.14,0.193,0.461,,,,0.158,0.289,0.415,,,,,,,108.0,105.0,109.0,,,,,0.008,,5.68,,92.7,,,,,,
68,2024-04-06,746498,Strikeout,strikeout,True,592192,695243,Mark Canha,Mason Miller,0,73010865-f9ab-4809-b044-f6df2c459a29,695243.0,masonmiller,"Miller, M",Right,Mason Miller,OAK,2.27,1.51,39.2,102.0,150.0,108.0,0.599,15.88,3.18,4.54,0.68,0.9,0.318,0.288,0.242,0.318,0.432,,,,141.0,101.0,106.0,,,,163.0,107.0,113.0,,,,,0.612,0.003,0.376,,2.21,-1.0,,2.1,,100.9,97.6,,87.4,,0.14,0.193,0.461,,,,0.158,0.289,0.415,,,,,,,108.0,105.0,109.0,,,,,0.008,,5.68,,92.7,,,,,,
69,2024-04-06,746498,Single,single,False,690993,695243,Colt Keith,Mason Miller,0,3b359da1-3f6c-41ae-919a-3336eab3c546,695243.0,masonmiller,"Miller, M",Right,Mason Miller,OAK,2.27,1.51,39.2,102.0,150.0,108.0,0.599,15.88,3.18,4.54,0.68,0.9,0.318,0.288,0.242,0.318,0.432,,,,141.0,101.0,106.0,,,,163.0,107.0,113.0,,,,,0.612,0.003,0.376,,2.21,-1.0,,2.1,,100.9,97.6,,87.4,,0.14,0.193,0.461,,,,0.158,0.289,0.415,,,,,,,108.0,105.0,109.0,,,,,0.008,,5.68,,92.7,,,,,,
70,2024-04-06,746498,Pop Out,field_out,True,570482,695243,Gio Urshela,Mason Miller,0,25c6b055-5eef-43ea-8591-491838631360,695243.0,masonmiller,"Miller, M",Right,Mason Miller,OAK,2.27,1.51,39.2,102.0,150.0,108.0,0.599,15.88,3.18,4.54,0.68,0.9,0.318,0.288,0.242,0.318,0.432,,,,141.0,101.0,106.0,,,,163.0,107.0,113.0,,,,,0.612,0.003,0.376,,2.21,-1.0,,2.1,,100.9,97.6,,87.4,,0.14,0.193,0.461,,,,0.158,0.289,0.415,,,,,,,108.0,105.0,109.0,,,,,0.008,,5.68,,92.7,,,,,,
