,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff
53,2024-10-07,775325,Intent Walk,intent_walk,False,682985,683769,Riley Greene,Hunter Gaddis,0,07753256-0546-1033-000c-f08cd117d70a,683769.0,huntergaddis,Gaddis,Right,Hunter Gaddis,CLE,1.57,2.72,74.2,104.0,106.0,107.0,0.774,7.96,1.69,5.18,0.48,0.82,0.237,0.418,0.165,0.289,0.447,99.0,91.0,108.0,,,,94.0,105.0,102.0,,,,120.0,108.0,112.0,,0.383,0.448,,0.168,1.14,,2.59,,2.33,95.4,80.3,,89.1,,0.05,0.075,0.288,0.219,0.417,0.179,0.163,0.244,0.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2024-10-07,775325,Lineout,field_out,True,672761,661403,Wenceel Pérez,Emmanuel Clase,0,f25f3a2f-d5a9-4981-b0cb-390eb727adc5,661403.0,emmanuelclase,"Clase, E",Right,Emmanuel Clase,CLE,0.61,2.47,74.1,105.0,146.0,114.0,0.758,7.99,1.21,4.72,0.24,2.37,0.255,0.349,0.172,0.224,0.453,,,,,,,206.0,123.0,115.0,137.0,101.0,65.0,145.0,114.0,126.0,0.004,0.012,0.205,,,-3.42,0.83,2.84,,,99.8,,100.7,91.0,,,,,0.5,0.5,0.25,0.145,0.161,0.355,,,,,,,,,,,,,,,,,,,,,,,,,146.0,103.0,111.0,0.778,3.26,99.5,0.15,0.209,0.245
55,2024-10-07,775325,Lineout,field_out,True,686823,676684,Will Brennan,Will Vest,0,bc80b678-2bbd-4350-bb51-fa3f13304c9c,676684.0,willvest,Vest,Right,Will Vest,DET,2.82,3.83,70.1,104.0,101.0,103.0,0.788,8.06,2.3,7.81,0.38,1.77,0.341,0.263,0.151,0.327,0.455,96.0,100.0,100.0,,,,101.0,107.0,105.0,94.0,99.0,98.0,107.0,98.0,102.0,0.126,0.56,0.216,,0.098,2.36,1.39,-2.33,,1.76,96.1,89.0,94.9,86.9,,0.095,0.095,0.32,0.183,0.214,0.229,0.352,0.521,0.297,0.263,0.368,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2024-10-07,775325,Strikeout,strikeout,True,665926,676684,Andrés Giménez,Will Vest,0,720a6064-3c9f-44f7-82dd-f8cf6a2b5834,676684.0,willvest,Vest,Right,Will Vest,DET,2.82,3.83,70.1,104.0,101.0,103.0,0.788,8.06,2.3,7.81,0.38,1.77,0.341,0.263,0.151,0.327,0.455,96.0,100.0,100.0,,,,101.0,107.0,105.0,94.0,99.0,98.0,107.0,98.0,102.0,0.126,0.56,0.216,,0.098,2.36,1.39,-2.33,,1.76,96.1,89.0,94.9,86.9,,0.095,0.095,0.32,0.183,0.214,0.229,0.352,0.521,0.297,0.263,0.368,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2024-10-07,775325,Flyout,field_out,True,700932,676684,Kyle Manzardo,Will Vest,0,87bdc76b-972b-4c3a-a389-0574fa5f75d3,676684.0,willvest,Vest,Right,Will Vest,DET,2.82,3.83,70.1,104.0,101.0,103.0,0.788,8.06,2.3,7.81,0.38,1.77,0.341,0.263,0.151,0.327,0.455,96.0,100.0,100.0,,,,101.0,107.0,105.0,94.0,99.0,98.0,107.0,98.0,102.0,0.126,0.56,0.216,,0.098,2.36,1.39,-2.33,,1.76,96.1,89.0,94.9,86.9,,0.095,0.095,0.32,0.183,0.214,0.229,0.352,0.521,0.297,0.263,0.368,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2024-10-07,775325,Strikeout,strikeout,True,679529,661403,Spencer Torkelson,Emmanuel Clase,0,c96c8f25-7475-4eb9-b97b-56e408fc6e4c,661403.0,emmanuelclase,"Clase, E",Right,Emmanuel Clase,CLE,0.61,2.47,74.1,105.0,146.0,114.0,0.758,7.99,1.21,4.72,0.24,2.37,0.255,0.349,0.172,0.224,0.453,,,,,,,206.0,123.0,115.0,137.0,101.0,65.0,145.0,114.0,126.0,0.004,0.012,0.205,,,-3.42,0.83,2.84,,,99.8,,100.7,91.0,,,,,0.5,0.5,0.25,0.145,0.161,0.355,,,,,,,,,,,,,,,,,,,,,,,,,146.0,103.0,111.0,0.778,3.26,99.5,0.15,0.209,0.245
59,2024-10-07,775325,Pop Out,field_out,True,678009,661403,Parker Meadows,Emmanuel Clase,0,d6ccc16c-af26-41ae-b739-441e7f2c1352,661403.0,emmanuelclase,"Clase, E",Right,Emmanuel Clase,CLE,0.61,2.47,74.1,105.0,146.0,114.0,0.758,7.99,1.21,4.72,0.24,2.37,0.255,0.349,0.172,0.224,0.453,,,,,,,206.0,123.0,115.0,137.0,101.0,65.0,145.0,114.0,126.0,0.004,0.012,0.205,,,-3.42,0.83,2.84,,,99.8,,100.7,91.0,,,,,0.5,0.5,0.25,0.145,0.161,0.355,,,,,,,,,,,,,,,,,,,,,,,,,146.0,103.0,111.0,0.778,3.26,99.5,0.15,0.209,0.245
60,2024-10-07,775325,Single,single,False,668670,661403,Jake Rogers,Emmanuel Clase,0,55b29dc6-69c4-4fd5-bbac-e0c9d400e985,661403.0,emmanuelclase,"Clase, E",Right,Emmanuel Clase,CLE,0.61,2.47,74.1,105.0,146.0,114.0,0.758,7.99,1.21,4.72,0.24,2.37,0.255,0.349,0.172,0.224,0.453,,,,,,,206.0,123.0,115.0,137.0,101.0,65.0,145.0,114.0,126.0,0.004,0.012,0.205,,,-3.42,0.83,2.84,,,99.8,,100.7,91.0,,,,,0.5,0.5,0.25,0.145,0.161,0.355,,,,,,,,,,,,,,,,,,,,,,,,,146.0,103.0,111.0,0.778,3.26,99.5,0.15,0.209,0.245
61,2024-10-07,775325,Single,single,False,700242,661403,Trey Sweeney,Emmanuel Clase,1,7512f7f3-f494-4fae-b1fe-e04b8bce5462,661403.0,emmanuelclase,"Clase, E",Right,Emmanuel Clase,CLE,0.61,2.47,74.1,105.0,146.0,114.0,0.758,7.99,1.21,4.72,0.24,2.37,0.255,0.349,0.172,0.224,0.453,,,,,,,206.0,123.0,115.0,137.0,101.0,65.0,145.0,114.0,126.0,0.004,0.012,0.205,,,-3.42,0.83,2.84,,,99.8,,100.7,91.0,,,,,0.5,0.5,0.25,0.145,0.161,0.355,,,,,,,,,,,,,,,,,,,,,,,,,146.0,103.0,111.0,0.778,3.26,99.5,0.15,0.209,0.245
62,2024-10-07,775325,Home Run,home_run,False,681481,661403,Kerry Carpenter,Emmanuel Clase,1,5359c1af-17a5-4d0c-97e4-4b46b43ca96e,661403.0,emmanuelclase,"Clase, E",Right,Emmanuel Clase,CLE,0.61,2.47,74.1,105.0,146.0,114.0,0.758,7.99,1.21,4.72,0.24,2.37,0.255,0.349,0.172,0.224,0.453,,,,,,,206.0,123.0,115.0,137.0,101.0,65.0,145.0,114.0,126.0,0.004,0.012,0.205,,,-3.42,0.83,2.84,,,99.8,,100.7,91.0,,,,,0.5,0.5,0.25,0.145,0.161,0.355,,,,,,,,,,,,,,,,,,,,,,,,,146.0,103.0,111.0,0.778,3.26,99.5,0.15,0.209,0.245
63,2024-10-07,775325,Single,single,False,663837,661403,Matt Vierling,Emmanuel Clase,0,c4204628-2c0c-4d19-b9bf-84f7c5fb1c97,661403.0,emmanuelclase,"Clase, E",Right,Emmanuel Clase,CLE,0.61,2.47,74.1,105.0,146.0,114.0,0.758,7.99,1.21,4.72,0.24,2.37,0.255,0.349,0.172,0.224,0.453,,,,,,,206.0,123.0,115.0,137.0,101.0,65.0,145.0,114.0,126.0,0.004,0.012,0.205,,,-3.42,0.83,2.84,,,99.8,,100.7,91.0,,,,,0.5,0.5,0.25,0.145,0.161,0.355,,,,,,,,,,,,,,,,,,,,,,,,,146.0,103.0,111.0,0.778,3.26,99.5,0.15,0.209,0.245
64,2024-10-07,775325,Pop Out,field_out,True,690993,669212,Colt Keith,Eli Morgan,0,6e0381f5-c32b-42d7-835e-30d270d4114c,669212.0,elimorgan,Morgan,Right,Eli Morgan,CLE,1.93,2.51,42.0,104.0,89.0,101.0,0.783,7.29,2.36,6.43,0.86,0.63,0.314,0.364,0.231,0.19,0.433,90.0,119.0,117.0,,,,67.0,102.0,92.0,,,,116.0,98.0,102.0,,0.402,0.361,,0.237,1.34,,0.01,,1.91,92.2,78.9,,86.8,,0.188,0.313,0.237,0.176,0.314,0.186,0.226,0.377,0.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2024-10-07,775325,Flyout,field_out,True,677587,689225,Brayan Rocchio,Beau Brieske,0,75f050e3-e346-4549-989c-3fd9ba5e8482,689225.0,beaubrieske,Brieske,Right,Beau Brieske,DET,3.59,3.31,67.2,101.0,110.0,102.0,0.778,9.18,3.99,7.32,0.67,0.87,0.21,0.348,0.177,0.298,0.406,103.0,108.0,110.0,,,,120.0,99.0,101.0,84.0,106.0,97.0,122.0,93.0,100.0,0.159,0.404,0.173,,0.265,0.99,2.22,-1.62,,0.26,95.9,88.4,95.5,86.1,,0.212,0.4,0.319,0.222,0.272,0.212,0.241,0.552,0.271,0.235,0.294,0.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2024-10-07,775325,Strikeout,strikeout,True,680757,689225,Steven Kwan,Beau Brieske,0,f4ae1a9b-7343-4450-a4c3-d6d823ff9ab8,689225.0,beaubrieske,Brieske,Right,Beau Brieske,DET,3.59,3.31,67.2,101.0,110.0,102.0,0.778,9.18,3.99,7.32,0.67,0.87,0.21,0.348,0.177,0.298,0.406,103.0,108.0,110.0,,,,120.0,99.0,101.0,84.0,106.0,97.0,122.0,93.0,100.0,0.159,0.404,0.173,,0.265,0.99,2.22,-1.62,,0.26,95.9,88.4,95.5,86.1,,0.212,0.4,0.319,0.222,0.272,0.212,0.241,0.552,0.271,0.235,0.294,0.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2024-10-07,775325,Strikeout,strikeout,True,681807,689225,David Fry,Beau Brieske,0,cb3d3394-8935-4dce-8924-a105be6cdad3,689225.0,beaubrieske,Brieske,Right,Beau Brieske,DET,3.59,3.31,67.2,101.0,110.0,102.0,0.778,9.18,3.99,7.32,0.67,0.87,0.21,0.348,0.177,0.298,0.406,103.0,108.0,110.0,,,,120.0,99.0,101.0,84.0,106.0,97.0,122.0,93.0,100.0,0.159,0.404,0.173,,0.265,0.99,2.22,-1.62,,0.26,95.9,88.4,95.5,86.1,,0.212,0.4,0.319,0.222,0.272,0.212,0.241,0.552,0.271,0.235,0.294,0.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
