,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,wFA/C,wFC/C,wSI/C,wSL/C,vFA,vFC,vSI,vSL,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,CU%,wFS/C,wCU/C,vFS,vCU,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff
0,2024-07-28,745063,Groundout,field_out,True,663697,542888,Jonathan India,Shawn Armstrong,0,4f2b304b-e6fa-4a70-b1bb-4dac71fb3ddb,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,- - -,4.85,4.81,59.1,106.0,97.0,103.0,0.812,9.4,3.19,10.16,0.91,0.89,0.309,0.315,0.18,0.348,0.465,87.0,110.0,105.0,95.0,101.0,98.0,129.0,113.0,116.0,102.0,103.0,101.0,0.278,0.352,0.29,0.08,1.32,-1.59,-1.61,-1.02,93.3,90.4,93.7,84.3,0.174,0.314,0.344,0.385,0.462,0.11,0.31,0.586,0.194,0.273,0.455,0.25,0.167,0.333,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-07-28,745063,Single,single,False,682829,542888,Elly De La Cruz,Shawn Armstrong,0,15a814f6-d8c1-4b0f-9799-335a7ce66614,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,- - -,4.85,4.81,59.1,106.0,97.0,103.0,0.812,9.4,3.19,10.16,0.91,0.89,0.309,0.315,0.18,0.348,0.465,87.0,110.0,105.0,95.0,101.0,98.0,129.0,113.0,116.0,102.0,103.0,101.0,0.278,0.352,0.29,0.08,1.32,-1.59,-1.61,-1.02,93.3,90.4,93.7,84.3,0.174,0.314,0.344,0.385,0.462,0.11,0.31,0.586,0.194,0.273,0.455,0.25,0.167,0.333,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-07-28,745063,Groundout,field_out,True,663886,542888,Tyler Stephenson,Shawn Armstrong,1,1138d79a-de2b-456a-b846-6746a3d45a26,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,- - -,4.85,4.81,59.1,106.0,97.0,103.0,0.812,9.4,3.19,10.16,0.91,0.89,0.309,0.315,0.18,0.348,0.465,87.0,110.0,105.0,95.0,101.0,98.0,129.0,113.0,116.0,102.0,103.0,101.0,0.278,0.352,0.29,0.08,1.32,-1.59,-1.61,-1.02,93.3,90.4,93.7,84.3,0.174,0.314,0.344,0.385,0.462,0.11,0.31,0.586,0.194,0.273,0.455,0.25,0.167,0.333,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-07-28,745063,Groundout,field_out,True,668715,542888,Spencer Steer,Shawn Armstrong,0,bdc2e7f4-1602-4936-b8bb-11e743c50eaf,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,- - -,4.85,4.81,59.1,106.0,97.0,103.0,0.812,9.4,3.19,10.16,0.91,0.89,0.309,0.315,0.18,0.348,0.465,87.0,110.0,105.0,95.0,101.0,98.0,129.0,113.0,116.0,102.0,103.0,101.0,0.278,0.352,0.29,0.08,1.32,-1.59,-1.61,-1.02,93.3,90.4,93.7,84.3,0.174,0.314,0.344,0.385,0.462,0.11,0.31,0.586,0.194,0.273,0.455,0.25,0.167,0.333,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-07-28,745063,Flyout,field_out,True,650490,668881,Yandy Díaz,Hunter Greene,0,39e7065c-f697-4e76-a313-9234424482c2,668881.0,huntergreene,"Greene, H",Right,Hunter Greene,CIN,2.83,2.97,143.1,99.0,124.0,104.0,0.745,10.17,3.33,5.84,0.69,0.72,0.281,0.395,0.198,0.269,0.43,124.0,102.0,105.0,,,,125.0,96.0,103.0,,,,,0.553,,0.346,1.63,,,0.49,97.6,,,86.8,0.186,0.268,0.246,,,,,,,,,,0.168,0.312,0.386,117.0,97.0,100.0,122.0,90.0,104.0,0.084,0.017,-0.93,-1.98,87.0,80.6,0.257,0.429,0.287,0.25,1.0,0.125,,,,,,,,,
5,2024-07-28,745063,Flyout,field_out,True,664040,668881,Brandon Lowe,Hunter Greene,0,5ec7f432-46e6-4602-be83-b9110a994fe9,668881.0,huntergreene,"Greene, H",Right,Hunter Greene,CIN,2.83,2.97,143.1,99.0,124.0,104.0,0.745,10.17,3.33,5.84,0.69,0.72,0.281,0.395,0.198,0.269,0.43,124.0,102.0,105.0,,,,125.0,96.0,103.0,,,,,0.553,,0.346,1.63,,,0.49,97.6,,,86.8,0.186,0.268,0.246,,,,,,,,,,0.168,0.312,0.386,117.0,97.0,100.0,122.0,90.0,104.0,0.084,0.017,-0.93,-1.98,87.0,80.6,0.257,0.429,0.287,0.25,1.0,0.125,,,,,,,,,
6,2024-07-28,745063,Groundout,field_out,True,670623,668881,Isaac Paredes,Hunter Greene,0,c144d448-5405-4bce-bcba-afca37037755,668881.0,huntergreene,"Greene, H",Right,Hunter Greene,CIN,2.83,2.97,143.1,99.0,124.0,104.0,0.745,10.17,3.33,5.84,0.69,0.72,0.281,0.395,0.198,0.269,0.43,124.0,102.0,105.0,,,,125.0,96.0,103.0,,,,,0.553,,0.346,1.63,,,0.49,97.6,,,86.8,0.186,0.268,0.246,,,,,,,,,,0.168,0.312,0.386,117.0,97.0,100.0,122.0,90.0,104.0,0.084,0.017,-0.93,-1.98,87.0,80.6,0.257,0.429,0.287,0.25,1.0,0.125,,,,,,,,,
7,2024-07-28,745063,Groundout,field_out,True,600869,542888,Jeimer Candelario,Shawn Armstrong,0,28991a9a-e7fd-4778-bcf5-afa8f4d5f358,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,- - -,4.85,4.81,59.1,106.0,97.0,103.0,0.812,9.4,3.19,10.16,0.91,0.89,0.309,0.315,0.18,0.348,0.465,87.0,110.0,105.0,95.0,101.0,98.0,129.0,113.0,116.0,102.0,103.0,101.0,0.278,0.352,0.29,0.08,1.32,-1.59,-1.61,-1.02,93.3,90.4,93.7,84.3,0.174,0.314,0.344,0.385,0.462,0.11,0.31,0.586,0.194,0.273,0.455,0.25,0.167,0.333,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-07-28,745063,Field Error,field_error,False,656413,542888,Stuart Fairchild,Shawn Armstrong,0,646bf85f-69df-46c1-8a60-e080c1545484,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,- - -,4.85,4.81,59.1,106.0,97.0,103.0,0.812,9.4,3.19,10.16,0.91,0.89,0.309,0.315,0.18,0.348,0.465,87.0,110.0,105.0,95.0,101.0,98.0,129.0,113.0,116.0,102.0,103.0,101.0,0.278,0.352,0.29,0.08,1.32,-1.59,-1.61,-1.02,93.3,90.4,93.7,84.3,0.174,0.314,0.344,0.385,0.462,0.11,0.31,0.586,0.194,0.273,0.455,0.25,0.167,0.333,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-07-28,745063,Single,single,False,669289,542888,Santiago Espinal,Shawn Armstrong,1,07657053-8b45-457d-a57e-6e5cb84d057a,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,- - -,4.85,4.81,59.1,106.0,97.0,103.0,0.812,9.4,3.19,10.16,0.91,0.89,0.309,0.315,0.18,0.348,0.465,87.0,110.0,105.0,95.0,101.0,98.0,129.0,113.0,116.0,102.0,103.0,101.0,0.278,0.352,0.29,0.08,1.32,-1.59,-1.61,-1.02,93.3,90.4,93.7,84.3,0.174,0.314,0.344,0.385,0.462,0.11,0.31,0.586,0.194,0.273,0.455,0.25,0.167,0.333,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
