,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,vKN (sc),Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FC%,FS%,KC%,KN%,wFC/C,wFS/C,wSI/C,wKC/C,wKN/C,vFC,vFS,vSI,vKC,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff
0,2024-09-20,744960,Strikeout,strikeout,True,645302,594798,Victor Robles,Jacob deGrom,0,72aae7a0-7aac-4068-89fc-9d15487648fe,594798.0,jacobdegrom,deGrom,Right,Jacob deGrom,TEX,1.35,2.54,6.2,108.0,145.0,120.0,0.729,12.15,1.35,9.45,1.35,0.56,0.222,0.389,0.333,0.389,0.437,128.0,106.0,108.0,145.0,111.0,101.0,134.0,116.0,128.0,159.0,99.0,116.0,0.454,0.454,0.034,0.059,-0.64,-0.56,-0.76,8.84,97.4,89.8,90.0,81.5,0.333,0.333,0.357,0.25,0.583,0.222,0.0,0.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-09-20,744960,Single,single,False,677594,594798,Julio Rodríguez,Jacob deGrom,0,94df192d-9872-4cf7-8113-840569317f74,594798.0,jacobdegrom,deGrom,Right,Jacob deGrom,TEX,1.35,2.54,6.2,108.0,145.0,120.0,0.729,12.15,1.35,9.45,1.35,0.56,0.222,0.389,0.333,0.389,0.437,128.0,106.0,108.0,145.0,111.0,101.0,134.0,116.0,128.0,159.0,99.0,116.0,0.454,0.454,0.034,0.059,-0.64,-0.56,-0.76,8.84,97.4,89.8,90.0,81.5,0.333,0.333,0.357,0.25,0.583,0.222,0.0,0.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-09-20,744960,Walk,walk,False,663728,594798,Cal Raleigh,Jacob deGrom,1,e67662bd-17c9-46cf-8c4d-5438ead77351,594798.0,jacobdegrom,deGrom,Right,Jacob deGrom,TEX,1.35,2.54,6.2,108.0,145.0,120.0,0.729,12.15,1.35,9.45,1.35,0.56,0.222,0.389,0.333,0.389,0.437,128.0,106.0,108.0,145.0,111.0,101.0,134.0,116.0,128.0,159.0,99.0,116.0,0.454,0.454,0.034,0.059,-0.64,-0.56,-0.76,8.84,97.4,89.8,90.0,81.5,0.333,0.333,0.357,0.25,0.583,0.222,0.0,0.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-09-20,744960,Strikeout,strikeout,True,668227,594798,Randy Arozarena,Jacob deGrom,0,448ddbf8-d5d2-455a-80ab-e4e0b853e140,594798.0,jacobdegrom,deGrom,Right,Jacob deGrom,TEX,1.35,2.54,6.2,108.0,145.0,120.0,0.729,12.15,1.35,9.45,1.35,0.56,0.222,0.389,0.333,0.389,0.437,128.0,106.0,108.0,145.0,111.0,101.0,134.0,116.0,128.0,159.0,99.0,116.0,0.454,0.454,0.034,0.059,-0.64,-0.56,-0.76,8.84,97.4,89.8,90.0,81.5,0.333,0.333,0.357,0.25,0.583,0.222,0.0,0.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-09-20,744960,Pop Out,field_out,True,670042,594798,Luke Raley,Jacob deGrom,0,f182863e-4f8f-4bd1-bf58-97d41373be84,594798.0,jacobdegrom,deGrom,Right,Jacob deGrom,TEX,1.35,2.54,6.2,108.0,145.0,120.0,0.729,12.15,1.35,9.45,1.35,0.56,0.222,0.389,0.333,0.389,0.437,128.0,106.0,108.0,145.0,111.0,101.0,134.0,116.0,128.0,159.0,99.0,116.0,0.454,0.454,0.034,0.059,-0.64,-0.56,-0.76,8.84,97.4,89.8,90.0,81.5,0.333,0.333,0.357,0.25,0.583,0.222,0.0,0.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-09-20,744960,Groundout,field_out,True,543760,669923,Marcus Semien,George Kirby,0,42c821bc-ac61-4af7-8c3f-051c2d390d63,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.6,3.45,185.0,106.0,106.0,107.0,0.786,8.42,1.07,8.61,1.07,0.98,0.297,0.344,0.178,0.284,0.445,,,,,,,102.0,107.0,101.0,111.0,104.0,111.0,0.34,0.236,,,0.39,1.26,,,96.0,,87.2,,0.227,0.32,0.265,0.224,0.463,0.292,,,,73.9,106.0,108.0,108.0,113.0,110.0,114.0,97.0,99.0,93.0,107.0,100.0,107.0,0.238,0.004,0.101,0.081,0.0,0.8,-2.21,1.53,-1.9,-3.48,92.3,86.0,96.0,83.3,0.266,0.359,0.108,0.26,0.425,0.278,0.327,0.436,0.292,,,,,,
6,2024-09-20,744960,Flyout,field_out,True,669701,669923,Josh Smith,George Kirby,0,229bbac0-d677-406a-b328-38804073a263,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.6,3.45,185.0,106.0,106.0,107.0,0.786,8.42,1.07,8.61,1.07,0.98,0.297,0.344,0.178,0.284,0.445,,,,,,,102.0,107.0,101.0,111.0,104.0,111.0,0.34,0.236,,,0.39,1.26,,,96.0,,87.2,,0.227,0.32,0.265,0.224,0.463,0.292,,,,73.9,106.0,108.0,108.0,113.0,110.0,114.0,97.0,99.0,93.0,107.0,100.0,107.0,0.238,0.004,0.101,0.081,0.0,0.8,-2.21,1.53,-1.9,-3.48,92.3,86.0,96.0,83.3,0.266,0.359,0.108,0.26,0.425,0.278,0.327,0.436,0.292,,,,,,
7,2024-09-20,744960,Strikeout,strikeout,True,694671,669923,Wyatt Langford,George Kirby,0,f668f8fd-4a2f-45a1-9dca-da33fe1f7818,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.6,3.45,185.0,106.0,106.0,107.0,0.786,8.42,1.07,8.61,1.07,0.98,0.297,0.344,0.178,0.284,0.445,,,,,,,102.0,107.0,101.0,111.0,104.0,111.0,0.34,0.236,,,0.39,1.26,,,96.0,,87.2,,0.227,0.32,0.265,0.224,0.463,0.292,,,,73.9,106.0,108.0,108.0,113.0,110.0,114.0,97.0,99.0,93.0,107.0,100.0,107.0,0.238,0.004,0.101,0.081,0.0,0.8,-2.21,1.53,-1.9,-3.48,92.3,86.0,96.0,83.3,0.266,0.359,0.108,0.26,0.425,0.278,0.327,0.436,0.292,,,,,,
8,2024-09-20,744960,Strikeout,strikeout,True,457759,594798,Justin Turner,Jacob deGrom,0,30589b38-1958-4777-93f6-4195126df95a,594798.0,jacobdegrom,deGrom,Right,Jacob deGrom,TEX,1.35,2.54,6.2,108.0,145.0,120.0,0.729,12.15,1.35,9.45,1.35,0.56,0.222,0.389,0.333,0.389,0.437,128.0,106.0,108.0,145.0,111.0,101.0,134.0,116.0,128.0,159.0,99.0,116.0,0.454,0.454,0.034,0.059,-0.64,-0.56,-0.76,8.84,97.4,89.8,90.0,81.5,0.333,0.333,0.357,0.25,0.583,0.222,0.0,0.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-09-20,744960,Groundout,field_out,True,593871,594798,Jorge Polanco,Jacob deGrom,0,820403e1-2a4e-43c1-b59d-d7de0803292f,594798.0,jacobdegrom,deGrom,Right,Jacob deGrom,TEX,1.35,2.54,6.2,108.0,145.0,120.0,0.729,12.15,1.35,9.45,1.35,0.56,0.222,0.389,0.333,0.389,0.437,128.0,106.0,108.0,145.0,111.0,101.0,134.0,116.0,128.0,159.0,99.0,116.0,0.454,0.454,0.034,0.059,-0.64,-0.56,-0.76,8.84,97.4,89.8,90.0,81.5,0.333,0.333,0.357,0.25,0.583,0.222,0.0,0.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
