,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
11,2024-09-21,745936,Pop Out,field_out,True,642715,518876,Willy Adames,Merrill Kelly,0,362b9fbb-5c94-4d8f-a7b7-7563d167c780,518876.0,merrillkelly,"Kelly, M",Right,Merrill Kelly,ARI,3.71,5.11,68.0,104.0,99.0,100.0,0.803,7.28,2.38,7.81,1.46,1.14,0.217,0.465,0.136,0.323,0.373,119.0,108.0,107.0,72.0,105.0,97.0,84.0,97.0,90.0,117.0,111.0,111.0,95.0,101.0,96.0,,,,0.147,0.196,0.257,,0.116,0.08,-0.02,0.16,,-3.45,-0.64,-1.54,91.9,90.3,,92.3,85.5,82.3,0.275,0.49,0.11,0.39,0.683,0.097,,,,0.211,0.526,0.216,0.217,0.478,0.191,,,,0.281,0.469,0.413,121.0,108.0,106.0,0.204,4.72,88.4,0.095,0.095,0.296,,,,,,
12,2024-09-21,745936,Lineout,field_out,True,641343,518876,Jake Bauers,Merrill Kelly,0,6f500049-3d42-4246-a134-d08e41d0fb8d,518876.0,merrillkelly,"Kelly, M",Right,Merrill Kelly,ARI,3.71,5.11,68.0,104.0,99.0,100.0,0.803,7.28,2.38,7.81,1.46,1.14,0.217,0.465,0.136,0.323,0.373,119.0,108.0,107.0,72.0,105.0,97.0,84.0,97.0,90.0,117.0,111.0,111.0,95.0,101.0,96.0,,,,0.147,0.196,0.257,,0.116,0.08,-0.02,0.16,,-3.45,-0.64,-1.54,91.9,90.3,,92.3,85.5,82.3,0.275,0.49,0.11,0.39,0.683,0.097,,,,0.211,0.526,0.216,0.217,0.478,0.191,,,,0.281,0.469,0.413,121.0,108.0,106.0,0.204,4.72,88.4,0.095,0.095,0.296,,,,,,
13,2024-09-21,745936,Groundout,field_out,True,663368,518876,Blake Perkins,Merrill Kelly,0,2fbad5af-bac2-4131-a1cd-bbc655a697ff,518876.0,merrillkelly,"Kelly, M",Right,Merrill Kelly,ARI,3.71,5.11,68.0,104.0,99.0,100.0,0.803,7.28,2.38,7.81,1.46,1.14,0.217,0.465,0.136,0.323,0.373,119.0,108.0,107.0,72.0,105.0,97.0,84.0,97.0,90.0,117.0,111.0,111.0,95.0,101.0,96.0,,,,0.147,0.196,0.257,,0.116,0.08,-0.02,0.16,,-3.45,-0.64,-1.54,91.9,90.3,,92.3,85.5,82.3,0.275,0.49,0.11,0.39,0.683,0.097,,,,0.211,0.526,0.216,0.217,0.478,0.191,,,,0.281,0.469,0.413,121.0,108.0,106.0,0.204,4.72,88.4,0.095,0.095,0.296,,,,,,
14,2024-09-21,745936,Lineout,field_out,True,645444,650644,Jose Herrera,Aaron Civale,0,4da3f553-ecdc-4a96-bb04-630f7f305aee,650644.0,aaroncivale,Civale,Right,Aaron Civale,- - -,4.53,4.09,155.0,100.0,96.0,100.0,0.8,8.36,2.96,9.0,1.68,0.8,0.256,0.406,0.144,0.318,0.4,105.0,104.0,109.0,68.0,102.0,96.0,70.0,93.0,83.0,153.0,101.0,112.0,92.0,100.0,100.0,57.0,96.0,102.0,0.24,0.099,0.318,0.021,0.165,0.158,-1.89,0.92,-4.85,0.21,-0.97,-1.5,92.0,88.1,85.6,92.6,80.5,77.1,0.24,0.411,0.235,0.242,0.422,0.164,0.265,0.47,0.267,0.255,0.489,0.278,0.3,0.5,0.089,0.375,0.625,0.261,0.25,0.375,0.438,,,,,,,,,,,,,,,
15,2024-09-21,745936,Pop Out,field_out,True,682998,650644,Corbin Carroll,Aaron Civale,0,685b5fdb-ca29-4e2a-9efa-15c3f5632167,650644.0,aaroncivale,Civale,Right,Aaron Civale,- - -,4.53,4.09,155.0,100.0,96.0,100.0,0.8,8.36,2.96,9.0,1.68,0.8,0.256,0.406,0.144,0.318,0.4,105.0,104.0,109.0,68.0,102.0,96.0,70.0,93.0,83.0,153.0,101.0,112.0,92.0,100.0,100.0,57.0,96.0,102.0,0.24,0.099,0.318,0.021,0.165,0.158,-1.89,0.92,-4.85,0.21,-0.97,-1.5,92.0,88.1,85.6,92.6,80.5,77.1,0.24,0.411,0.235,0.242,0.422,0.164,0.265,0.47,0.267,0.255,0.489,0.278,0.3,0.5,0.089,0.375,0.625,0.261,0.25,0.375,0.438,,,,,,,,,,,,,,,
16,2024-09-21,745936,Walk,walk,False,606466,650644,Ketel Marte,Aaron Civale,0,2463da55-d73e-4a04-a863-a149f05ae95a,650644.0,aaroncivale,Civale,Right,Aaron Civale,- - -,4.53,4.09,155.0,100.0,96.0,100.0,0.8,8.36,2.96,9.0,1.68,0.8,0.256,0.406,0.144,0.318,0.4,105.0,104.0,109.0,68.0,102.0,96.0,70.0,93.0,83.0,153.0,101.0,112.0,92.0,100.0,100.0,57.0,96.0,102.0,0.24,0.099,0.318,0.021,0.165,0.158,-1.89,0.92,-4.85,0.21,-0.97,-1.5,92.0,88.1,85.6,92.6,80.5,77.1,0.24,0.411,0.235,0.242,0.422,0.164,0.265,0.47,0.267,0.255,0.489,0.278,0.3,0.5,0.089,0.375,0.625,0.261,0.25,0.375,0.438,,,,,,,,,,,,,,,
17,2024-09-21,745936,Groundout,field_out,True,592626,650644,Joc Pederson,Aaron Civale,0,f7043693-b44b-4d2d-9848-d6b3c09eac5b,650644.0,aaroncivale,Civale,Right,Aaron Civale,- - -,4.53,4.09,155.0,100.0,96.0,100.0,0.8,8.36,2.96,9.0,1.68,0.8,0.256,0.406,0.144,0.318,0.4,105.0,104.0,109.0,68.0,102.0,96.0,70.0,93.0,83.0,153.0,101.0,112.0,92.0,100.0,100.0,57.0,96.0,102.0,0.24,0.099,0.318,0.021,0.165,0.158,-1.89,0.92,-4.85,0.21,-0.97,-1.5,92.0,88.1,85.6,92.6,80.5,77.1,0.24,0.411,0.235,0.242,0.422,0.164,0.265,0.47,0.267,0.255,0.489,0.278,0.3,0.5,0.089,0.375,0.625,0.261,0.25,0.375,0.438,,,,,,,,,,,,,,,
18,2024-09-21,745936,Single,single,False,687401,518876,Joey Ortiz,Merrill Kelly,0,b93f5eb2-4d31-41b4-8107-0e5079b7f942,518876.0,merrillkelly,"Kelly, M",Right,Merrill Kelly,ARI,3.71,5.11,68.0,104.0,99.0,100.0,0.803,7.28,2.38,7.81,1.46,1.14,0.217,0.465,0.136,0.323,0.373,119.0,108.0,107.0,72.0,105.0,97.0,84.0,97.0,90.0,117.0,111.0,111.0,95.0,101.0,96.0,,,,0.147,0.196,0.257,,0.116,0.08,-0.02,0.16,,-3.45,-0.64,-1.54,91.9,90.3,,92.3,85.5,82.3,0.275,0.49,0.11,0.39,0.683,0.097,,,,0.211,0.526,0.216,0.217,0.478,0.191,,,,0.281,0.469,0.413,121.0,108.0,106.0,0.204,4.72,88.4,0.095,0.095,0.296,,,,,,
19,2024-09-21,745936,Single,single,False,686217,518876,Sal Frelick,Merrill Kelly,1,cc9c6f6f-cb65-4c50-9bb8-5e8f3f0d72df,518876.0,merrillkelly,"Kelly, M",Right,Merrill Kelly,ARI,3.71,5.11,68.0,104.0,99.0,100.0,0.803,7.28,2.38,7.81,1.46,1.14,0.217,0.465,0.136,0.323,0.373,119.0,108.0,107.0,72.0,105.0,97.0,84.0,97.0,90.0,117.0,111.0,111.0,95.0,101.0,96.0,,,,0.147,0.196,0.257,,0.116,0.08,-0.02,0.16,,-3.45,-0.64,-1.54,91.9,90.3,,92.3,85.5,82.3,0.275,0.49,0.11,0.39,0.683,0.097,,,,0.211,0.526,0.216,0.217,0.478,0.191,,,,0.281,0.469,0.413,121.0,108.0,106.0,0.204,4.72,88.4,0.095,0.095,0.296,,,,,,
20,2024-09-21,745936,Forceout,force_out,True,606992,518876,Eric Haase,Merrill Kelly,1,1c8f3c6c-0ba1-40cd-b9d9-9f58c64be3ef,518876.0,merrillkelly,"Kelly, M",Right,Merrill Kelly,ARI,3.71,5.11,68.0,104.0,99.0,100.0,0.803,7.28,2.38,7.81,1.46,1.14,0.217,0.465,0.136,0.323,0.373,119.0,108.0,107.0,72.0,105.0,97.0,84.0,97.0,90.0,117.0,111.0,111.0,95.0,101.0,96.0,,,,0.147,0.196,0.257,,0.116,0.08,-0.02,0.16,,-3.45,-0.64,-1.54,91.9,90.3,,92.3,85.5,82.3,0.275,0.49,0.11,0.39,0.683,0.097,,,,0.211,0.526,0.216,0.217,0.478,0.191,,,,0.281,0.469,0.413,121.0,108.0,106.0,0.204,4.72,88.4,0.095,0.095,0.296,,,,,,
