,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,SV_ba,SV_slg,SV_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,KC%,wFC/C,wSI/C,wKC/C,vFC,vSI,vKC,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff
0,2024-08-28,745943,Walk,walk,False,664774,642547,LaMonte Wade Jr.,Freddy Peralta,0,760ac7b2-84a7-464e-a855-f3a11ff06bb8,642547.0,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.7,3.78,148.1,98.0,103.0,100.0,0.722,10.44,3.4,7.28,1.33,0.84,0.263,0.384,0.218,0.305,0.38,80.0,93.0,88.0,102.0,99.0,106.0,113.0,98.0,101.0,98.0,101.0,107.0,0.541,0.228,0.055,0.175,0.14,0.15,-0.49,1.4,94.3,87.6,81.3,77.6,0.236,0.419,0.25,0.194,0.363,0.409,0.198,0.26,0.379,0.25,0.375,0.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-08-28,745943,Strikeout,strikeout,True,666149,642547,Tyler Fitzgerald,Freddy Peralta,0,10c6ba05-64dc-4d7f-8a61-ddf9be792ca1,642547.0,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.7,3.78,148.1,98.0,103.0,100.0,0.722,10.44,3.4,7.28,1.33,0.84,0.263,0.384,0.218,0.305,0.38,80.0,93.0,88.0,102.0,99.0,106.0,113.0,98.0,101.0,98.0,101.0,107.0,0.541,0.228,0.055,0.175,0.14,0.15,-0.49,1.4,94.3,87.6,81.3,77.6,0.236,0.419,0.25,0.194,0.363,0.409,0.198,0.26,0.379,0.25,0.375,0.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-08-28,745943,Grounded Into DP,grounded_into_double_play,True,624424,642547,Michael Conforto,Freddy Peralta,1,5c2b1611-464e-468c-8029-072e691f25c0,642547.0,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.7,3.78,148.1,98.0,103.0,100.0,0.722,10.44,3.4,7.28,1.33,0.84,0.263,0.384,0.218,0.305,0.38,80.0,93.0,88.0,102.0,99.0,106.0,113.0,98.0,101.0,98.0,101.0,107.0,0.541,0.228,0.055,0.175,0.14,0.15,-0.49,1.4,94.3,87.6,81.3,77.6,0.236,0.419,0.25,0.194,0.363,0.409,0.198,0.26,0.379,0.25,0.375,0.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-08-28,745943,Flyout,field_out,True,694192,690986,Jackson Chourio,Kyle Harrison,0,cf34a0a7-d941-4f13-a095-d6c690bf5027,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,4.22,4.78,121.2,98.0,89.0,92.0,0.792,8.51,3.03,8.73,1.26,0.98,0.283,0.334,0.147,0.351,0.432,70.0,96.0,88.0,86.0,94.0,94.0,97.0,100.0,92.0,93.0,107.0,97.0,0.58,0.003,0.22,0.197,0.36,-11.76,-0.07,-1.5,92.6,84.9,88.2,80.7,0.244,0.415,0.231,0.333,0.667,0.5,0.279,0.432,0.217,,,,0.264,0.431,0.287,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-08-28,745943,Single,single,False,663368,690986,Blake Perkins,Kyle Harrison,0,3a626aed-5c26-439c-8ff6-e3c427cefd36,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,4.22,4.78,121.2,98.0,89.0,92.0,0.792,8.51,3.03,8.73,1.26,0.98,0.283,0.334,0.147,0.351,0.432,70.0,96.0,88.0,86.0,94.0,94.0,97.0,100.0,92.0,93.0,107.0,97.0,0.58,0.003,0.22,0.197,0.36,-11.76,-0.07,-1.5,92.6,84.9,88.2,80.7,0.244,0.415,0.231,0.333,0.667,0.5,0.279,0.432,0.217,,,,0.264,0.431,0.287,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-08-28,745943,Flyout,field_out,True,661388,690986,William Contreras,Kyle Harrison,0,69a75121-b3b2-4a65-9d6d-dbd388bbdf82,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,4.22,4.78,121.2,98.0,89.0,92.0,0.792,8.51,3.03,8.73,1.26,0.98,0.283,0.334,0.147,0.351,0.432,70.0,96.0,88.0,86.0,94.0,94.0,97.0,100.0,92.0,93.0,107.0,97.0,0.58,0.003,0.22,0.197,0.36,-11.76,-0.07,-1.5,92.6,84.9,88.2,80.7,0.244,0.415,0.231,0.333,0.667,0.5,0.279,0.432,0.217,,,,0.264,0.431,0.287,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2024-08-28,745943,Strikeout,strikeout,True,642715,690986,Willy Adames,Kyle Harrison,0,060d3f9b-440f-4e78-870e-5ced722d44fc,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,4.22,4.78,121.2,98.0,89.0,92.0,0.792,8.51,3.03,8.73,1.26,0.98,0.283,0.334,0.147,0.351,0.432,70.0,96.0,88.0,86.0,94.0,94.0,97.0,100.0,92.0,93.0,107.0,97.0,0.58,0.003,0.22,0.197,0.36,-11.76,-0.07,-1.5,92.6,84.9,88.2,80.7,0.244,0.415,0.231,0.333,0.667,0.5,0.279,0.432,0.217,,,,0.264,0.431,0.287,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-08-28,745943,Pop Out,field_out,True,671218,642547,Heliot Ramos,Freddy Peralta,0,8f1e9938-a0e3-4ebc-ad73-0a3754bd30a2,642547.0,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.7,3.78,148.1,98.0,103.0,100.0,0.722,10.44,3.4,7.28,1.33,0.84,0.263,0.384,0.218,0.305,0.38,80.0,93.0,88.0,102.0,99.0,106.0,113.0,98.0,101.0,98.0,101.0,107.0,0.541,0.228,0.055,0.175,0.14,0.15,-0.49,1.4,94.3,87.6,81.3,77.6,0.236,0.419,0.25,0.194,0.363,0.409,0.198,0.26,0.379,0.25,0.375,0.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-08-28,745943,Groundout,field_out,True,656305,642547,Matt Chapman,Freddy Peralta,0,9741a433-d239-49c1-be46-158b29a7392c,642547.0,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.7,3.78,148.1,98.0,103.0,100.0,0.722,10.44,3.4,7.28,1.33,0.84,0.263,0.384,0.218,0.305,0.38,80.0,93.0,88.0,102.0,99.0,106.0,113.0,98.0,101.0,98.0,101.0,107.0,0.541,0.228,0.055,0.175,0.14,0.15,-0.49,1.4,94.3,87.6,81.3,77.6,0.236,0.419,0.25,0.194,0.363,0.409,0.198,0.26,0.379,0.25,0.375,0.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-08-28,745943,Strikeout,strikeout,True,573262,642547,Mike Yastrzemski,Freddy Peralta,0,62b720b7-f87f-4cde-9ec8-cf6a57515e75,642547.0,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.7,3.78,148.1,98.0,103.0,100.0,0.722,10.44,3.4,7.28,1.33,0.84,0.263,0.384,0.218,0.305,0.38,80.0,93.0,88.0,102.0,99.0,106.0,113.0,98.0,101.0,98.0,101.0,107.0,0.541,0.228,0.055,0.175,0.14,0.15,-0.49,1.4,94.3,87.6,81.3,77.6,0.236,0.419,0.25,0.194,0.363,0.409,0.198,0.26,0.379,0.25,0.375,0.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
