,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,CH%,wFA/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,wFC/C,wCU/C,vFC,vCU,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,ST_ba,ST_slg,ST_whiff,FS_ba,FS_slg,FS_whiff
0,2024-08-27,746105,Strikeout,strikeout,True,681297,656427,Colton Cowser,Jack Flaherty,0,320725f8-33a6-41e1-aa92-89a905b7115c,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.07,3.27,135.0,104.0,96.0,104.0,0.713,11.13,1.73,7.47,1.4,1.06,0.232,0.435,0.159,0.297,0.384,86.0,86.0,83.0,95.0,106.0,104.0,75.0,83.0,69.0,95.0,105.0,105.0,104.0,105.0,110.0,0.023,0.434,0.304,0.208,0.03,0.61,-5.92,0.23,2.39,-0.26,93.5,85.8,90.7,84.7,77.5,0.248,0.396,0.245,0.212,0.462,0.36,0.156,0.177,0.443,0.111,0.333,0.111,0.6,1.2,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-08-27,746105,Lineout,field_out,True,668939,656427,Adley Rutschman,Jack Flaherty,0,4b22c3f6-913c-4781-9a90-c080854a2501,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.07,3.27,135.0,104.0,96.0,104.0,0.713,11.13,1.73,7.47,1.4,1.06,0.232,0.435,0.159,0.297,0.384,86.0,86.0,83.0,95.0,106.0,104.0,75.0,83.0,69.0,95.0,105.0,105.0,104.0,105.0,110.0,0.023,0.434,0.304,0.208,0.03,0.61,-5.92,0.23,2.39,-0.26,93.5,85.8,90.7,84.7,77.5,0.248,0.396,0.245,0.212,0.462,0.36,0.156,0.177,0.443,0.111,0.333,0.111,0.6,1.2,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-08-27,746105,Lineout,field_out,True,683002,656427,Gunnar Henderson,Jack Flaherty,0,cd653f62-ebde-4d88-9218-efbe6246a95e,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.07,3.27,135.0,104.0,96.0,104.0,0.713,11.13,1.73,7.47,1.4,1.06,0.232,0.435,0.159,0.297,0.384,86.0,86.0,83.0,95.0,106.0,104.0,75.0,83.0,69.0,95.0,105.0,105.0,104.0,105.0,110.0,0.023,0.434,0.304,0.208,0.03,0.61,-5.92,0.23,2.39,-0.26,93.5,85.8,90.7,84.7,77.5,0.248,0.396,0.245,0.212,0.462,0.36,0.156,0.177,0.443,0.111,0.333,0.111,0.6,1.2,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-08-27,746105,Single,single,False,660271,608344,Shohei Ohtani,Cole Irvin,0,c54811a7-f3cb-494f-beef-90a927fcb5ea,608344.0,coleirvin,"Irvin, C",Left,Cole Irvin,BAL,4.79,5.75,103.1,102.0,79.0,95.0,0.85,6.18,2.18,10.63,1.31,0.94,0.249,0.412,0.116,0.35,0.483,67.0,108.0,100.0,62.0,100.0,85.0,79.0,103.0,91.0,86.0,120.0,119.0,,,,0.184,0.28,0.042,,0.135,-1.18,-0.38,-3.9,,-1.15,91.9,84.9,91.7,78.0,,0.299,0.598,0.157,0.267,0.467,0.159,0.267,0.372,0.184,0.274,0.438,0.254,0.306,0.482,0.075,100.0,98.0,103.0,87.0,104.0,94.0,0.106,0.254,-0.61,0.23,85.9,77.4,0.333,0.563,0.184,,,,,,,,,,,,
4,2024-08-27,746105,Grounded Into DP,grounded_into_double_play,True,605141,608344,Mookie Betts,Cole Irvin,1,92de42d6-0588-481c-9d0b-ae0115da9028,608344.0,coleirvin,"Irvin, C",Left,Cole Irvin,BAL,4.79,5.75,103.1,102.0,79.0,95.0,0.85,6.18,2.18,10.63,1.31,0.94,0.249,0.412,0.116,0.35,0.483,67.0,108.0,100.0,62.0,100.0,85.0,79.0,103.0,91.0,86.0,120.0,119.0,,,,0.184,0.28,0.042,,0.135,-1.18,-0.38,-3.9,,-1.15,91.9,84.9,91.7,78.0,,0.299,0.598,0.157,0.267,0.467,0.159,0.267,0.372,0.184,0.274,0.438,0.254,0.306,0.482,0.075,100.0,98.0,103.0,87.0,104.0,94.0,0.106,0.254,-0.61,0.23,85.9,77.4,0.333,0.563,0.184,,,,,,,,,,,,
5,2024-08-27,746105,Groundout,field_out,True,606192,608344,Teoscar Hernández,Cole Irvin,0,31f42102-cafd-4a3e-861e-d0a66eea87af,608344.0,coleirvin,"Irvin, C",Left,Cole Irvin,BAL,4.79,5.75,103.1,102.0,79.0,95.0,0.85,6.18,2.18,10.63,1.31,0.94,0.249,0.412,0.116,0.35,0.483,67.0,108.0,100.0,62.0,100.0,85.0,79.0,103.0,91.0,86.0,120.0,119.0,,,,0.184,0.28,0.042,,0.135,-1.18,-0.38,-3.9,,-1.15,91.9,84.9,91.7,78.0,,0.299,0.598,0.157,0.267,0.467,0.159,0.267,0.372,0.184,0.274,0.438,0.254,0.306,0.482,0.075,100.0,98.0,103.0,87.0,104.0,94.0,0.106,0.254,-0.61,0.23,85.9,77.4,0.333,0.563,0.184,,,,,,,,,,,,
6,2024-08-27,746105,Flyout,field_out,True,623993,656427,Anthony Santander,Jack Flaherty,0,b5e599d8-10c7-4ff6-af09-1e8dc46a4d4e,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.07,3.27,135.0,104.0,96.0,104.0,0.713,11.13,1.73,7.47,1.4,1.06,0.232,0.435,0.159,0.297,0.384,86.0,86.0,83.0,95.0,106.0,104.0,75.0,83.0,69.0,95.0,105.0,105.0,104.0,105.0,110.0,0.023,0.434,0.304,0.208,0.03,0.61,-5.92,0.23,2.39,-0.26,93.5,85.8,90.7,84.7,77.5,0.248,0.396,0.245,0.212,0.462,0.36,0.156,0.177,0.443,0.111,0.333,0.111,0.6,1.2,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-08-27,746105,Home Run,home_run,False,656811,656427,Ryan O'Hearn,Jack Flaherty,0,45106455-0476-4a3b-ab9f-444f2071f457,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.07,3.27,135.0,104.0,96.0,104.0,0.713,11.13,1.73,7.47,1.4,1.06,0.232,0.435,0.159,0.297,0.384,86.0,86.0,83.0,95.0,106.0,104.0,75.0,83.0,69.0,95.0,105.0,105.0,104.0,105.0,110.0,0.023,0.434,0.304,0.208,0.03,0.61,-5.92,0.23,2.39,-0.26,93.5,85.8,90.7,84.7,77.5,0.248,0.396,0.245,0.212,0.462,0.36,0.156,0.177,0.443,0.111,0.333,0.111,0.6,1.2,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-08-27,746105,Flyout,field_out,True,650391,656427,Eloy Jiménez,Jack Flaherty,0,77d34d61-b357-4b78-8443-0b605895670f,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.07,3.27,135.0,104.0,96.0,104.0,0.713,11.13,1.73,7.47,1.4,1.06,0.232,0.435,0.159,0.297,0.384,86.0,86.0,83.0,95.0,106.0,104.0,75.0,83.0,69.0,95.0,105.0,105.0,104.0,105.0,110.0,0.023,0.434,0.304,0.208,0.03,0.61,-5.92,0.23,2.39,-0.26,93.5,85.8,90.7,84.7,77.5,0.248,0.396,0.245,0.212,0.462,0.36,0.156,0.177,0.443,0.111,0.333,0.111,0.6,1.2,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-08-27,746105,Flyout,field_out,True,656775,656427,Cedric Mullins,Jack Flaherty,0,8756a21a-34f5-4df8-9af0-adab77178f68,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.07,3.27,135.0,104.0,96.0,104.0,0.713,11.13,1.73,7.47,1.4,1.06,0.232,0.435,0.159,0.297,0.384,86.0,86.0,83.0,95.0,106.0,104.0,75.0,83.0,69.0,95.0,105.0,105.0,104.0,105.0,110.0,0.023,0.434,0.304,0.208,0.03,0.61,-5.92,0.23,2.39,-0.26,93.5,85.8,90.7,84.7,77.5,0.248,0.396,0.245,0.212,0.462,0.36,0.156,0.177,0.443,0.111,0.333,0.111,0.6,1.2,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,
