,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SV_ba,SV_slg,SV_whiff,SL_ba,SL_slg,SL_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
61,2024-04-26,745347,Walk,walk,False,527038,547973,Wilmer Flores,Aroldis Chapman,1,5cbb8612-ba5d-4ba7-b0ad-bed34ead711b,547973.0,aroldischapman,Chapman,Left,Aroldis Chapman,PIT,4.15,4.02,34.2,92.0,132.0,101.0,0.704,14.54,8.31,6.23,1.04,0.87,0.304,0.348,0.188,0.304,0.424,,,,,,,97.0,80.0,82.0,100.0,86.0,102.0,0.342,0.286,,,-0.41,0.1,,,97.5,,86.6,,0.185,0.333,0.265,,,,,,,0.207,0.276,0.311,228.0,109.0,122.0,0.263,-1.42,99.3,0.222,0.467,0.316,,,,,,,,,,,,,91.0,104.0,105.0,0.11,1.87,91.3,0.136,0.182,0.514
62,2024-04-26,745347,Forceout,force_out,True,624585,547973,Jorge Soler,Aroldis Chapman,1,f57df5ae-871f-4bdc-a38b-6eb968b9ff1b,547973.0,aroldischapman,Chapman,Left,Aroldis Chapman,PIT,4.15,4.02,34.2,92.0,132.0,101.0,0.704,14.54,8.31,6.23,1.04,0.87,0.304,0.348,0.188,0.304,0.424,,,,,,,97.0,80.0,82.0,100.0,86.0,102.0,0.342,0.286,,,-0.41,0.1,,,97.5,,86.6,,0.185,0.333,0.265,,,,,,,0.207,0.276,0.311,228.0,109.0,122.0,0.263,-1.42,99.3,0.222,0.467,0.316,,,,,,,,,,,,,91.0,104.0,105.0,0.11,1.87,91.3,0.136,0.182,0.514
63,2024-04-26,745347,Single,single,False,665833,666808,Oneil Cruz,Camilo Doval,0,8d13572b-0b61-446e-ad90-cbaffd2457a0,666808.0,camilodoval,Doval,Right,Camilo Doval,SFG,4.38,3.67,37.0,96.0,113.0,98.0,0.655,11.92,5.84,8.76,0.73,2.15,0.204,0.48,0.204,0.306,0.393,,,,,,,,,,140.0,94.0,106.0,,0.487,,,,0.2,,,,,88.7,,,,,,,,,,,0.216,0.311,0.468,71.0,91.0,80.0,0.14,-1.95,98.0,0.333,0.476,0.175,,,,94.0,102.0,95.0,0.373,-0.42,99.6,0.26,0.5,0.241,,,,,,,,,
64,2024-04-26,745347,Single,single,False,572191,666808,Michael A. Taylor,Camilo Doval,1,fb1788a6-190b-4d23-b758-dd835bcdd86a,666808.0,camilodoval,Doval,Right,Camilo Doval,SFG,4.38,3.67,37.0,96.0,113.0,98.0,0.655,11.92,5.84,8.76,0.73,2.15,0.204,0.48,0.204,0.306,0.393,,,,,,,,,,140.0,94.0,106.0,,0.487,,,,0.2,,,,,88.7,,,,,,,,,,,0.216,0.311,0.468,71.0,91.0,80.0,0.14,-1.95,98.0,0.333,0.476,0.175,,,,94.0,102.0,95.0,0.373,-0.42,99.6,0.26,0.5,0.241,,,,,,,,,
65,2024-04-26,745347,Strikeout,strikeout,True,642133,666808,Rowdy Tellez,Camilo Doval,1,4f38f29c-2adf-4df2-83b4-55fee91cfb77,666808.0,camilodoval,Doval,Right,Camilo Doval,SFG,4.38,3.67,37.0,96.0,113.0,98.0,0.655,11.92,5.84,8.76,0.73,2.15,0.204,0.48,0.204,0.306,0.393,,,,,,,,,,140.0,94.0,106.0,,0.487,,,,0.2,,,,,88.7,,,,,,,,,,,0.216,0.311,0.468,71.0,91.0,80.0,0.14,-1.95,98.0,0.333,0.476,0.175,,,,94.0,102.0,95.0,0.373,-0.42,99.6,0.26,0.5,0.241,,,,,,,,,
66,2024-04-26,745347,Walk,walk,False,457705,666808,Andrew McCutchen,Camilo Doval,0,5744872c-17a5-4fab-8e89-5cdd6aff0dfe,666808.0,camilodoval,Doval,Right,Camilo Doval,SFG,4.38,3.67,37.0,96.0,113.0,98.0,0.655,11.92,5.84,8.76,0.73,2.15,0.204,0.48,0.204,0.306,0.393,,,,,,,,,,140.0,94.0,106.0,,0.487,,,,0.2,,,,,88.7,,,,,,,,,,,0.216,0.311,0.468,71.0,91.0,80.0,0.14,-1.95,98.0,0.333,0.476,0.175,,,,94.0,102.0,95.0,0.373,-0.42,99.6,0.26,0.5,0.241,,,,,,,,,
67,2024-04-26,745347,Grounded Into DP,grounded_into_double_play,True,668804,666808,Bryan Reynolds,Camilo Doval,1,7c99ce6a-f519-40a6-ac78-ec70ef4ce8fa,666808.0,camilodoval,Doval,Right,Camilo Doval,SFG,4.38,3.67,37.0,96.0,113.0,98.0,0.655,11.92,5.84,8.76,0.73,2.15,0.204,0.48,0.204,0.306,0.393,,,,,,,,,,140.0,94.0,106.0,,0.487,,,,0.2,,,,,88.7,,,,,,,,,,,0.216,0.311,0.468,71.0,91.0,80.0,0.14,-1.95,98.0,0.333,0.476,0.175,,,,94.0,102.0,95.0,0.373,-0.42,99.6,0.26,0.5,0.241,,,,,,,,,
68,2024-04-26,745347,Walk,walk,False,624424,670280,Michael Conforto,David Bednar,0,2c1d0b45-2f4d-4c16-9cd2-c1a023c2dcf6,670280.0,davidbednar,Bednar,Right,David Bednar,PIT,5.01,4.07,32.1,103.0,132.0,111.0,0.756,9.19,1.95,7.79,1.39,0.65,0.245,0.415,0.191,0.287,0.456,,,,97.0,94.0,100.0,146.0,105.0,115.0,,,,0.597,,0.207,,0.22,,1.61,,97.0,,,77.0,0.256,0.439,0.244,,,,,,,,,,,,,,,,,,,0.0,0.0,0.167,,,,,,,,,,125.0,107.0,112.0,0.196,-0.81,92.2,0.233,0.467,0.385
69,2024-04-26,745347,Single,single,False,656305,670280,Matt Chapman,David Bednar,1,ae8e70d7-ae43-4224-9d3b-f50a6ffeade1,670280.0,davidbednar,Bednar,Right,David Bednar,PIT,5.01,4.07,32.1,103.0,132.0,111.0,0.756,9.19,1.95,7.79,1.39,0.65,0.245,0.415,0.191,0.287,0.456,,,,97.0,94.0,100.0,146.0,105.0,115.0,,,,0.597,,0.207,,0.22,,1.61,,97.0,,,77.0,0.256,0.439,0.244,,,,,,,,,,,,,,,,,,,0.0,0.0,0.167,,,,,,,,,,125.0,107.0,112.0,0.196,-0.81,92.2,0.233,0.467,0.385
70,2024-04-26,745347,Home Run,home_run,False,672275,670280,Patrick Bailey,David Bednar,1,11188b83-3ddb-4e07-a520-db9e9535d1f2,670280.0,davidbednar,Bednar,Right,David Bednar,PIT,5.01,4.07,32.1,103.0,132.0,111.0,0.756,9.19,1.95,7.79,1.39,0.65,0.245,0.415,0.191,0.287,0.456,,,,97.0,94.0,100.0,146.0,105.0,115.0,,,,0.597,,0.207,,0.22,,1.61,,97.0,,,77.0,0.256,0.439,0.244,,,,,,,,,,,,,,,,,,,0.0,0.0,0.167,,,,,,,,,,125.0,107.0,112.0,0.196,-0.81,92.2,0.233,0.467,0.385
