,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff
18,2024-07-06,744835,Home Run,home_run,False,695578,458681,James Wood,Lance Lynn,1,3c3a121a-03b9-4524-8ea3-d8e56506e0db,458681.0,lancelynn,Lynn,Right,Lance Lynn,STL,4.39,4.92,96.1,99.0,84.0,95.0,0.785,8.6,3.46,9.06,1.31,1.03,0.229,0.396,0.147,0.311,0.401,61.0,91.0,83.0,,,,87.0,101.0,97.0,96.0,106.0,116.0,0.468,0.081,,0.05,0.69,-2.24,,-3.31,92.4,85.0,80.7,,0.206,0.394,0.312,,,,0.25,0.25,0.0,0.375,0.375,0.2,65.0,94.0,84.0,90.0,99.0,93.0,0.163,0.238,-1.16,-1.19,88.2,91.2,0.311,0.433,0.27,0.292,0.523,0.106
19,2024-07-06,744835,Walk,walk,False,608385,458681,Jesse Winker,Lance Lynn,0,6c14355d-982b-47ce-805e-cb0e535cb428,458681.0,lancelynn,Lynn,Right,Lance Lynn,STL,4.39,4.92,96.1,99.0,84.0,95.0,0.785,8.6,3.46,9.06,1.31,1.03,0.229,0.396,0.147,0.311,0.401,61.0,91.0,83.0,,,,87.0,101.0,97.0,96.0,106.0,116.0,0.468,0.081,,0.05,0.69,-2.24,,-3.31,92.4,85.0,80.7,,0.206,0.394,0.312,,,,0.25,0.25,0.0,0.375,0.375,0.2,65.0,94.0,84.0,90.0,99.0,93.0,0.163,0.238,-1.16,-1.19,88.2,91.2,0.311,0.433,0.27,0.292,0.523,0.106
20,2024-07-06,744835,Single,single,False,660688,458681,Keibert Ruiz,Lance Lynn,1,5847d26d-c91d-483c-acb2-4d781ee1ff2b,458681.0,lancelynn,Lynn,Right,Lance Lynn,STL,4.39,4.92,96.1,99.0,84.0,95.0,0.785,8.6,3.46,9.06,1.31,1.03,0.229,0.396,0.147,0.311,0.401,61.0,91.0,83.0,,,,87.0,101.0,97.0,96.0,106.0,116.0,0.468,0.081,,0.05,0.69,-2.24,,-3.31,92.4,85.0,80.7,,0.206,0.394,0.312,,,,0.25,0.25,0.0,0.375,0.375,0.2,65.0,94.0,84.0,90.0,99.0,93.0,0.163,0.238,-1.16,-1.19,88.2,91.2,0.311,0.433,0.27,0.292,0.523,0.106
21,2024-07-06,744835,Single,single,False,671277,458681,Luis García Jr.,Lance Lynn,1,e2557442-0307-4fdb-8ad7-e9982cf934bb,458681.0,lancelynn,Lynn,Right,Lance Lynn,STL,4.39,4.92,96.1,99.0,84.0,95.0,0.785,8.6,3.46,9.06,1.31,1.03,0.229,0.396,0.147,0.311,0.401,61.0,91.0,83.0,,,,87.0,101.0,97.0,96.0,106.0,116.0,0.468,0.081,,0.05,0.69,-2.24,,-3.31,92.4,85.0,80.7,,0.206,0.394,0.312,,,,0.25,0.25,0.0,0.375,0.375,0.2,65.0,94.0,84.0,90.0,99.0,93.0,0.163,0.238,-1.16,-1.19,88.2,91.2,0.311,0.433,0.27,0.292,0.523,0.106
22,2024-07-06,744835,Groundout,field_out,True,660766,458681,Juan Yepez,Lance Lynn,0,92d78bf4-7a03-4339-952e-ae6926eec1d4,458681.0,lancelynn,Lynn,Right,Lance Lynn,STL,4.39,4.92,96.1,99.0,84.0,95.0,0.785,8.6,3.46,9.06,1.31,1.03,0.229,0.396,0.147,0.311,0.401,61.0,91.0,83.0,,,,87.0,101.0,97.0,96.0,106.0,116.0,0.468,0.081,,0.05,0.69,-2.24,,-3.31,92.4,85.0,80.7,,0.206,0.394,0.312,,,,0.25,0.25,0.0,0.375,0.375,0.2,65.0,94.0,84.0,90.0,99.0,93.0,0.163,0.238,-1.16,-1.19,88.2,91.2,0.311,0.433,0.27,0.292,0.523,0.106
23,2024-07-06,744835,Double,double,False,669357,669022,Nolan Gorman,MacKenzie Gore,0,7b012f2d-ddec-40bd-9016-f734ea8d02e5,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.01,3.96,98.2,98.0,115.0,103.0,0.736,10.58,3.38,9.49,0.64,0.9,0.284,0.331,0.164,0.273,0.434,94.0,89.0,93.0,107.0,104.0,105.0,130.0,99.0,105.0,93.0,87.0,91.0,0.549,0.161,0.198,0.092,0.21,-0.7,0.66,-1.82,96.4,85.9,91.0,83.3,0.284,0.408,0.239,0.217,0.265,0.356,0.429,0.714,0.25,0.321,0.607,0.512,,,,,,,,,,,,,,,,,,
24,2024-07-06,744835,Single,single,False,672279,669022,Michael Siani,MacKenzie Gore,1,f3226284-1e8a-4353-ab93-651dd9db0720,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.01,3.96,98.2,98.0,115.0,103.0,0.736,10.58,3.38,9.49,0.64,0.9,0.284,0.331,0.164,0.273,0.434,94.0,89.0,93.0,107.0,104.0,105.0,130.0,99.0,105.0,93.0,87.0,91.0,0.549,0.161,0.198,0.092,0.21,-0.7,0.66,-1.82,96.4,85.9,91.0,83.3,0.284,0.408,0.239,0.217,0.265,0.356,0.429,0.714,0.25,0.321,0.607,0.512,,,,,,,,,,,,,,,,,,
25,2024-07-06,744835,Single,single,False,691026,669022,Masyn Winn,MacKenzie Gore,1,96d3e61b-720e-44a3-972f-0a9cd77f3c92,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.01,3.96,98.2,98.0,115.0,103.0,0.736,10.58,3.38,9.49,0.64,0.9,0.284,0.331,0.164,0.273,0.434,94.0,89.0,93.0,107.0,104.0,105.0,130.0,99.0,105.0,93.0,87.0,91.0,0.549,0.161,0.198,0.092,0.21,-0.7,0.66,-1.82,96.4,85.9,91.0,83.3,0.284,0.408,0.239,0.217,0.265,0.356,0.429,0.714,0.25,0.321,0.607,0.512,,,,,,,,,,,,,,,,,,
26,2024-07-06,744835,Groundout,field_out,True,676475,669022,Alec Burleson,MacKenzie Gore,1,a65817ef-a39f-477b-a32a-09f8c62b6092,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.01,3.96,98.2,98.0,115.0,103.0,0.736,10.58,3.38,9.49,0.64,0.9,0.284,0.331,0.164,0.273,0.434,94.0,89.0,93.0,107.0,104.0,105.0,130.0,99.0,105.0,93.0,87.0,91.0,0.549,0.161,0.198,0.092,0.21,-0.7,0.66,-1.82,96.4,85.9,91.0,83.3,0.284,0.408,0.239,0.217,0.265,0.356,0.429,0.714,0.25,0.321,0.607,0.512,,,,,,,,,,,,,,,,,,
27,2024-07-06,744835,Groundout,field_out,True,575929,669022,Willson Contreras,MacKenzie Gore,1,7fac3dfa-fb73-4839-b1db-b286915276ea,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.01,3.96,98.2,98.0,115.0,103.0,0.736,10.58,3.38,9.49,0.64,0.9,0.284,0.331,0.164,0.273,0.434,94.0,89.0,93.0,107.0,104.0,105.0,130.0,99.0,105.0,93.0,87.0,91.0,0.549,0.161,0.198,0.092,0.21,-0.7,0.66,-1.82,96.4,85.9,91.0,83.3,0.284,0.408,0.239,0.217,0.265,0.356,0.429,0.714,0.25,0.321,0.607,0.512,,,,,,,,,,,,,,,,,,
