,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff
0,2024-08-03,747087,Strikeout,strikeout,True,669364,656550,Xavier Edwards,Grant Holmes,0,8bef405f-840e-43f6-892d-0fd6537b36f7,656550.0,grantholmes,"Holmes, G",Right,Grant Holmes,ATL,3.48,3.47,51.2,102.0,97.0,101.0,0.71,8.88,1.92,8.36,0.87,1.22,0.267,0.356,0.151,0.336,0.452,69.0,97.0,87.0,106.0,103.0,106.0,79.0,102.0,93.0,116.0,107.0,113.0,94.0,88.0,89.0,0.367,0.105,0.282,0.234,0.012,1.75,-3.79,1.66,1.03,-0.82,94.5,92.6,91.2,86.7,84.0,0.224,0.368,0.223,0.237,0.288,0.357,0.239,0.283,0.433,0.462,0.923,0.167,,,,,,,,,,,,,,,
1,2024-08-03,747087,Flyout,field_out,True,669394,656550,Jake Burger,Grant Holmes,0,ffdfdad2-e47a-4219-b024-0409cd06c6ca,656550.0,grantholmes,"Holmes, G",Right,Grant Holmes,ATL,3.48,3.47,51.2,102.0,97.0,101.0,0.71,8.88,1.92,8.36,0.87,1.22,0.267,0.356,0.151,0.336,0.452,69.0,97.0,87.0,106.0,103.0,106.0,79.0,102.0,93.0,116.0,107.0,113.0,94.0,88.0,89.0,0.367,0.105,0.282,0.234,0.012,1.75,-3.79,1.66,1.03,-0.82,94.5,92.6,91.2,86.7,84.0,0.224,0.368,0.223,0.237,0.288,0.357,0.239,0.283,0.433,0.462,0.923,0.167,,,,,,,,,,,,,,,
2,2024-08-03,747087,Groundout,field_out,True,660821,656550,Jesús Sánchez,Grant Holmes,0,9fa0ea2e-552f-42e9-ae71-f3dc85c6c7ae,656550.0,grantholmes,"Holmes, G",Right,Grant Holmes,ATL,3.48,3.47,51.2,102.0,97.0,101.0,0.71,8.88,1.92,8.36,0.87,1.22,0.267,0.356,0.151,0.336,0.452,69.0,97.0,87.0,106.0,103.0,106.0,79.0,102.0,93.0,116.0,107.0,113.0,94.0,88.0,89.0,0.367,0.105,0.282,0.234,0.012,1.75,-3.79,1.66,1.03,-0.82,94.5,92.6,91.2,86.7,84.0,0.224,0.368,0.223,0.237,0.288,0.357,0.239,0.283,0.433,0.462,0.923,0.167,,,,,,,,,,,,,,,
3,2024-08-03,747087,Walk,walk,False,624585,667725,Jorge Soler,Kyle Tyler,0,4ca4da3b-1950-4fdb-88f0-8e5a82505608,667725.0,kyletyler,Tyler,Right,Kyle Tyler,MIA,5.4,6.17,31.2,95.0,101.0,95.0,0.76,7.11,5.12,10.52,1.14,1.75,0.235,0.408,0.153,0.327,0.379,47.0,78.0,66.0,97.0,89.0,93.0,81.0,91.0,88.0,117.0,87.0,90.0,108.0,102.0,100.0,0.143,0.448,0.112,0.284,0.012,0.05,-0.31,0.15,-1.6,-4.33,90.6,90.3,86.4,82.2,77.0,0.238,0.429,0.159,0.231,0.308,0.379,0.323,0.419,0.431,0.328,0.448,0.17,,,,,,,,,,,,,,,
4,2024-08-03,747087,Walk,walk,False,663586,667725,Austin Riley,Kyle Tyler,1,b0616606-66a7-472d-a7b8-3119ec4d65b6,667725.0,kyletyler,Tyler,Right,Kyle Tyler,MIA,5.4,6.17,31.2,95.0,101.0,95.0,0.76,7.11,5.12,10.52,1.14,1.75,0.235,0.408,0.153,0.327,0.379,47.0,78.0,66.0,97.0,89.0,93.0,81.0,91.0,88.0,117.0,87.0,90.0,108.0,102.0,100.0,0.143,0.448,0.112,0.284,0.012,0.05,-0.31,0.15,-1.6,-4.33,90.6,90.3,86.4,82.2,77.0,0.238,0.429,0.159,0.231,0.308,0.379,0.323,0.419,0.431,0.328,0.448,0.17,,,,,,,,,,,,,,,
5,2024-08-03,747087,Grounded Into DP,grounded_into_double_play,True,542303,667725,Marcell Ozuna,Kyle Tyler,1,826e4c15-0581-41d9-8194-42eca37bfb72,667725.0,kyletyler,Tyler,Right,Kyle Tyler,MIA,5.4,6.17,31.2,95.0,101.0,95.0,0.76,7.11,5.12,10.52,1.14,1.75,0.235,0.408,0.153,0.327,0.379,47.0,78.0,66.0,97.0,89.0,93.0,81.0,91.0,88.0,117.0,87.0,90.0,108.0,102.0,100.0,0.143,0.448,0.112,0.284,0.012,0.05,-0.31,0.15,-1.6,-4.33,90.6,90.3,86.4,82.2,77.0,0.238,0.429,0.159,0.231,0.308,0.379,0.323,0.419,0.431,0.328,0.448,0.17,,,,,,,,,,,,,,,
6,2024-08-03,747087,Single,single,False,621566,667725,Matt Olson,Kyle Tyler,1,11b95b5a-dd15-4871-8ea9-4cc342f29c06,667725.0,kyletyler,Tyler,Right,Kyle Tyler,MIA,5.4,6.17,31.2,95.0,101.0,95.0,0.76,7.11,5.12,10.52,1.14,1.75,0.235,0.408,0.153,0.327,0.379,47.0,78.0,66.0,97.0,89.0,93.0,81.0,91.0,88.0,117.0,87.0,90.0,108.0,102.0,100.0,0.143,0.448,0.112,0.284,0.012,0.05,-0.31,0.15,-1.6,-4.33,90.6,90.3,86.4,82.2,77.0,0.238,0.429,0.159,0.231,0.308,0.379,0.323,0.419,0.431,0.328,0.448,0.17,,,,,,,,,,,,,,,
7,2024-08-03,747087,Walk,walk,False,606115,667725,Orlando Arcia,Kyle Tyler,1,4c57777b-e4e7-427d-b8ef-c478e79557aa,667725.0,kyletyler,Tyler,Right,Kyle Tyler,MIA,5.4,6.17,31.2,95.0,101.0,95.0,0.76,7.11,5.12,10.52,1.14,1.75,0.235,0.408,0.153,0.327,0.379,47.0,78.0,66.0,97.0,89.0,93.0,81.0,91.0,88.0,117.0,87.0,90.0,108.0,102.0,100.0,0.143,0.448,0.112,0.284,0.012,0.05,-0.31,0.15,-1.6,-4.33,90.6,90.3,86.4,82.2,77.0,0.238,0.429,0.159,0.231,0.308,0.379,0.323,0.419,0.431,0.328,0.448,0.17,,,,,,,,,,,,,,,
8,2024-08-03,747087,Strikeout,strikeout,True,518595,667725,Travis d'Arnaud,Kyle Tyler,0,90b8d683-301c-4136-bef9-f3b02483c00f,667725.0,kyletyler,Tyler,Right,Kyle Tyler,MIA,5.4,6.17,31.2,95.0,101.0,95.0,0.76,7.11,5.12,10.52,1.14,1.75,0.235,0.408,0.153,0.327,0.379,47.0,78.0,66.0,97.0,89.0,93.0,81.0,91.0,88.0,117.0,87.0,90.0,108.0,102.0,100.0,0.143,0.448,0.112,0.284,0.012,0.05,-0.31,0.15,-1.6,-4.33,90.6,90.3,86.4,82.2,77.0,0.238,0.429,0.159,0.231,0.308,0.379,0.323,0.419,0.431,0.328,0.448,0.17,,,,,,,,,,,,,,,
9,2024-08-03,747087,Groundout,field_out,True,681146,656550,Jonah Bride,Grant Holmes,0,34b17c10-b587-4773-8c2d-825eec2d09a1,656550.0,grantholmes,"Holmes, G",Right,Grant Holmes,ATL,3.48,3.47,51.2,102.0,97.0,101.0,0.71,8.88,1.92,8.36,0.87,1.22,0.267,0.356,0.151,0.336,0.452,69.0,97.0,87.0,106.0,103.0,106.0,79.0,102.0,93.0,116.0,107.0,113.0,94.0,88.0,89.0,0.367,0.105,0.282,0.234,0.012,1.75,-3.79,1.66,1.03,-0.82,94.5,92.6,91.2,86.7,84.0,0.224,0.368,0.223,0.237,0.288,0.357,0.239,0.283,0.433,0.462,0.923,0.167,,,,,,,,,,,,,,,
