,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,wFA/C,wFC/C,wSI/C,wSL/C,vFA,vFC,vSI,vSL,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,CU%,CH%,wCU/C,wCH/C,vCH,vCU,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff
0,2024-04-14,745113,Single,single,False,808982,542888,Jung Hoo Lee,Shawn Armstrong,0,771a2fe3-7787-4eba-a09c-67c9578088ad,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,TBR,6.05,5.72,41.2,106.0,96.0,102.0,0.819,9.29,3.89,11.02,1.08,0.82,0.308,0.331,0.185,0.369,0.463,87.0,112.0,107.0,96.0,98.0,95.0,112.0,113.0,111.0,105.0,104.0,102.0,0.283,0.358,0.308,0.051,0.53,-0.4,-2.52,-4.27,93.2,90.1,93.6,83.3,0.21,0.387,0.336,0.424,0.492,0.09,0.25,0.5,0.212,0.286,0.571,0.25,,,,,,,,,,,,,,,,,,
1,2024-04-14,745113,Strikeout,strikeout,True,527038,542888,Wilmer Flores,Shawn Armstrong,1,e81ca5d1-b3cd-49f0-a82d-86c1297586ed,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,TBR,6.05,5.72,41.2,106.0,96.0,102.0,0.819,9.29,3.89,11.02,1.08,0.82,0.308,0.331,0.185,0.369,0.463,87.0,112.0,107.0,96.0,98.0,95.0,112.0,113.0,111.0,105.0,104.0,102.0,0.283,0.358,0.308,0.051,0.53,-0.4,-2.52,-4.27,93.2,90.1,93.6,83.3,0.21,0.387,0.336,0.424,0.492,0.09,0.25,0.5,0.212,0.286,0.571,0.25,,,,,,,,,,,,,,,,,,
2,2024-04-14,745113,Single,single,False,664774,542888,LaMonte Wade Jr.,Shawn Armstrong,1,e0d20540-7aa2-4c74-ac32-3a57fc838b06,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,TBR,6.05,5.72,41.2,106.0,96.0,102.0,0.819,9.29,3.89,11.02,1.08,0.82,0.308,0.331,0.185,0.369,0.463,87.0,112.0,107.0,96.0,98.0,95.0,112.0,113.0,111.0,105.0,104.0,102.0,0.283,0.358,0.308,0.051,0.53,-0.4,-2.52,-4.27,93.2,90.1,93.6,83.3,0.21,0.387,0.336,0.424,0.492,0.09,0.25,0.5,0.212,0.286,0.571,0.25,,,,,,,,,,,,,,,,,,
3,2024-04-14,745113,Strikeout,strikeout,True,624585,542888,Jorge Soler,Shawn Armstrong,0,06c3b8b9-f7f4-4cfd-89d5-b8c0d1549ef5,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,TBR,6.05,5.72,41.2,106.0,96.0,102.0,0.819,9.29,3.89,11.02,1.08,0.82,0.308,0.331,0.185,0.369,0.463,87.0,112.0,107.0,96.0,98.0,95.0,112.0,113.0,111.0,105.0,104.0,102.0,0.283,0.358,0.308,0.051,0.53,-0.4,-2.52,-4.27,93.2,90.1,93.6,83.3,0.21,0.387,0.336,0.424,0.492,0.09,0.25,0.5,0.212,0.286,0.571,0.25,,,,,,,,,,,,,,,,,,
4,2024-04-14,745113,Lineout,field_out,True,656305,542888,Matt Chapman,Shawn Armstrong,0,6795723b-7c86-4736-a1fc-77b9a82aea0b,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,TBR,6.05,5.72,41.2,106.0,96.0,102.0,0.819,9.29,3.89,11.02,1.08,0.82,0.308,0.331,0.185,0.369,0.463,87.0,112.0,107.0,96.0,98.0,95.0,112.0,113.0,111.0,105.0,104.0,102.0,0.283,0.358,0.308,0.051,0.53,-0.4,-2.52,-4.27,93.2,90.1,93.6,83.3,0.21,0.387,0.336,0.424,0.492,0.09,0.25,0.5,0.212,0.286,0.571,0.25,,,,,,,,,,,,,,,,,,
5,2024-04-14,745113,Double,double,False,650490,605483,Yandy Díaz,Blake Snell,0,c6e38ba1-2706-45bf-9dc1-8c2010e19212,605483.0,blakesnell,Snell,Left,Blake Snell,SFG,6.31,3.59,35.2,97.0,115.0,101.0,0.699,10.6,4.29,8.58,1.01,1.0,0.296,0.378,0.173,0.224,0.363,104.0,96.0,97.0,,,,107.0,86.0,90.0,,,,,0.479,,0.145,-1.07,,,0.34,95.5,,,88.7,0.322,0.559,0.283,,,,,,,0.188,0.188,0.385,110.0,103.0,108.0,148.0,103.0,110.0,0.21,0.166,2.13,-1.15,85.2,80.9,0.083,0.083,0.406,0.31,0.517,0.293
6,2024-04-14,745113,Groundout,field_out,True,623912,605483,Harold Ramírez,Blake Snell,1,137e1eb1-cfe5-41ae-9bc1-a13a7aabe2d8,605483.0,blakesnell,Snell,Left,Blake Snell,SFG,6.31,3.59,35.2,97.0,115.0,101.0,0.699,10.6,4.29,8.58,1.01,1.0,0.296,0.378,0.173,0.224,0.363,104.0,96.0,97.0,,,,107.0,86.0,90.0,,,,,0.479,,0.145,-1.07,,,0.34,95.5,,,88.7,0.322,0.559,0.283,,,,,,,0.188,0.188,0.385,110.0,103.0,108.0,148.0,103.0,110.0,0.21,0.166,2.13,-1.15,85.2,80.9,0.083,0.083,0.406,0.31,0.517,0.293
7,2024-04-14,745113,Single,single,False,668227,605483,Randy Arozarena,Blake Snell,1,94e4061b-369a-4cde-9694-5a73027aeb19,605483.0,blakesnell,Snell,Left,Blake Snell,SFG,6.31,3.59,35.2,97.0,115.0,101.0,0.699,10.6,4.29,8.58,1.01,1.0,0.296,0.378,0.173,0.224,0.363,104.0,96.0,97.0,,,,107.0,86.0,90.0,,,,,0.479,,0.145,-1.07,,,0.34,95.5,,,88.7,0.322,0.559,0.283,,,,,,,0.188,0.188,0.385,110.0,103.0,108.0,148.0,103.0,110.0,0.21,0.166,2.13,-1.15,85.2,80.9,0.083,0.083,0.406,0.31,0.517,0.293
8,2024-04-14,745113,Pop Out,field_out,True,670623,605483,Isaac Paredes,Blake Snell,0,8f9475a3-2f49-41c1-af5c-18b10c45773f,605483.0,blakesnell,Snell,Left,Blake Snell,SFG,6.31,3.59,35.2,97.0,115.0,101.0,0.699,10.6,4.29,8.58,1.01,1.0,0.296,0.378,0.173,0.224,0.363,104.0,96.0,97.0,,,,107.0,86.0,90.0,,,,,0.479,,0.145,-1.07,,,0.34,95.5,,,88.7,0.322,0.559,0.283,,,,,,,0.188,0.188,0.385,110.0,103.0,108.0,148.0,103.0,110.0,0.21,0.166,2.13,-1.15,85.2,80.9,0.083,0.083,0.406,0.31,0.517,0.293
9,2024-04-14,745113,Home Run,home_run,False,642708,605483,Amed Rosario,Blake Snell,1,7c739c62-4b7a-4905-9318-856959584619,605483.0,blakesnell,Snell,Left,Blake Snell,SFG,6.31,3.59,35.2,97.0,115.0,101.0,0.699,10.6,4.29,8.58,1.01,1.0,0.296,0.378,0.173,0.224,0.363,104.0,96.0,97.0,,,,107.0,86.0,90.0,,,,,0.479,,0.145,-1.07,,,0.34,95.5,,,88.7,0.322,0.559,0.283,,,,,,,0.188,0.188,0.385,110.0,103.0,108.0,148.0,103.0,110.0,0.21,0.166,2.13,-1.15,85.2,80.9,0.083,0.083,0.406,0.31,0.517,0.293
