,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,SV_ba,SV_slg,SV_whiff
0,2024-09-21,746338,Single,single,False,621493,669854,Taylor Ward,Ronel Blanco,0,1a1c0b63-72ee-45b9-8079-68bdeb437dfc,669854.0,ronelblanco,Blanco,Right,Ronel Blanco,HOU,2.88,4.0,162.1,99.0,94.0,98.0,0.727,9.04,3.66,6.26,1.22,0.92,0.213,0.45,0.18,0.316,0.402,120.0,103.0,107.0,75.0,95.0,100.0,85.0,95.0,90.0,88.0,103.0,101.0,0.385,0.304,0.09,0.222,-0.5,2.05,2.62,-0.1,93.5,85.2,86.4,80.1,0.184,0.291,0.34,0.236,0.505,0.195,0.188,0.364,0.349,0.073,0.073,0.407,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-09-21,746338,Strikeout,strikeout,True,687263,669854,Zach Neto,Ronel Blanco,0,256ea8ba-b134-46a0-bbd8-f7b1000347a6,669854.0,ronelblanco,Blanco,Right,Ronel Blanco,HOU,2.88,4.0,162.1,99.0,94.0,98.0,0.727,9.04,3.66,6.26,1.22,0.92,0.213,0.45,0.18,0.316,0.402,120.0,103.0,107.0,75.0,95.0,100.0,85.0,95.0,90.0,88.0,103.0,101.0,0.385,0.304,0.09,0.222,-0.5,2.05,2.62,-0.1,93.5,85.2,86.4,80.1,0.184,0.291,0.34,0.236,0.505,0.195,0.188,0.364,0.349,0.073,0.073,0.407,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-09-21,746338,Double,double,False,694384,669854,Nolan Schanuel,Ronel Blanco,1,f2982c5b-fade-4093-8029-ae87e55e1d3f,669854.0,ronelblanco,Blanco,Right,Ronel Blanco,HOU,2.88,4.0,162.1,99.0,94.0,98.0,0.727,9.04,3.66,6.26,1.22,0.92,0.213,0.45,0.18,0.316,0.402,120.0,103.0,107.0,75.0,95.0,100.0,85.0,95.0,90.0,88.0,103.0,101.0,0.385,0.304,0.09,0.222,-0.5,2.05,2.62,-0.1,93.5,85.2,86.4,80.1,0.184,0.291,0.34,0.236,0.505,0.195,0.188,0.364,0.349,0.073,0.073,0.407,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-09-21,746338,Groundout,field_out,True,694359,669854,Niko Kavadas,Ronel Blanco,0,f3835448-5219-43d9-b227-ff3cec011782,669854.0,ronelblanco,Blanco,Right,Ronel Blanco,HOU,2.88,4.0,162.1,99.0,94.0,98.0,0.727,9.04,3.66,6.26,1.22,0.92,0.213,0.45,0.18,0.316,0.402,120.0,103.0,107.0,75.0,95.0,100.0,85.0,95.0,90.0,88.0,103.0,101.0,0.385,0.304,0.09,0.222,-0.5,2.05,2.62,-0.1,93.5,85.2,86.4,80.1,0.184,0.291,0.34,0.236,0.505,0.195,0.188,0.364,0.349,0.073,0.073,0.407,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-09-21,746338,Strikeout,strikeout,True,676572,669854,Eric Wagaman,Ronel Blanco,0,f061f82b-7f1d-49d7-9c20-7941b4677753,669854.0,ronelblanco,Blanco,Right,Ronel Blanco,HOU,2.88,4.0,162.1,99.0,94.0,98.0,0.727,9.04,3.66,6.26,1.22,0.92,0.213,0.45,0.18,0.316,0.402,120.0,103.0,107.0,75.0,95.0,100.0,85.0,95.0,90.0,88.0,103.0,101.0,0.385,0.304,0.09,0.222,-0.5,2.05,2.62,-0.1,93.5,85.2,86.4,80.1,0.184,0.291,0.34,0.236,0.505,0.195,0.188,0.364,0.349,0.073,0.073,0.407,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-09-21,746338,Strikeout,strikeout,True,514888,672282,Jose Altuve,Reid Detmers,0,2a9ab388-d888-4e8e-b01d-e83def48543b,672282.0,reiddetmers,Detmers,Left,Reid Detmers,LAA,6.67,4.15,82.1,98.0,95.0,99.0,0.732,10.6,4.04,9.84,1.64,0.92,0.251,0.485,0.134,0.355,0.434,92.0,97.0,98.0,88.0,101.0,104.0,87.0,95.0,92.0,117.0,106.0,114.0,0.462,0.24,0.148,0.149,-0.44,-0.49,-3.47,-0.46,93.9,84.7,86.2,75.0,0.224,0.383,0.356,0.265,0.487,0.26,0.339,0.482,0.319,0.364,0.818,0.211,,,,,,,,,,,,,,,,,,,,,,,,
6,2024-09-21,746338,Double,double,False,670541,672282,Yordan Alvarez,Reid Detmers,0,66e1f4f4-809c-4c3e-a23c-348acc99b74c,672282.0,reiddetmers,Detmers,Left,Reid Detmers,LAA,6.67,4.15,82.1,98.0,95.0,99.0,0.732,10.6,4.04,9.84,1.64,0.92,0.251,0.485,0.134,0.355,0.434,92.0,97.0,98.0,88.0,101.0,104.0,87.0,95.0,92.0,117.0,106.0,114.0,0.462,0.24,0.148,0.149,-0.44,-0.49,-3.47,-0.46,93.9,84.7,86.2,75.0,0.224,0.383,0.356,0.265,0.487,0.26,0.339,0.482,0.319,0.364,0.818,0.211,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-09-21,746338,Double,double,False,663656,672282,Kyle Tucker,Reid Detmers,1,4f20e21c-a3c9-4d18-bea5-cb7e2a8229b5,672282.0,reiddetmers,Detmers,Left,Reid Detmers,LAA,6.67,4.15,82.1,98.0,95.0,99.0,0.732,10.6,4.04,9.84,1.64,0.92,0.251,0.485,0.134,0.355,0.434,92.0,97.0,98.0,88.0,101.0,104.0,87.0,95.0,92.0,117.0,106.0,114.0,0.462,0.24,0.148,0.149,-0.44,-0.49,-3.47,-0.46,93.9,84.7,86.2,75.0,0.224,0.383,0.356,0.265,0.487,0.26,0.339,0.482,0.319,0.364,0.818,0.211,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-09-21,746338,Walk,walk,False,608324,672282,Alex Bregman,Reid Detmers,0,864e96bb-ef84-42d2-80cd-a4efbffb10eb,672282.0,reiddetmers,Detmers,Left,Reid Detmers,LAA,6.67,4.15,82.1,98.0,95.0,99.0,0.732,10.6,4.04,9.84,1.64,0.92,0.251,0.485,0.134,0.355,0.434,92.0,97.0,98.0,88.0,101.0,104.0,87.0,95.0,92.0,117.0,106.0,114.0,0.462,0.24,0.148,0.149,-0.44,-0.49,-3.47,-0.46,93.9,84.7,86.2,75.0,0.224,0.383,0.356,0.265,0.487,0.26,0.339,0.482,0.319,0.364,0.818,0.211,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-09-21,746338,Strikeout,strikeout,True,673237,672282,Yainer Diaz,Reid Detmers,0,36f790dc-f46f-419e-ad0b-ad8cec9d526f,672282.0,reiddetmers,Detmers,Left,Reid Detmers,LAA,6.67,4.15,82.1,98.0,95.0,99.0,0.732,10.6,4.04,9.84,1.64,0.92,0.251,0.485,0.134,0.355,0.434,92.0,97.0,98.0,88.0,101.0,104.0,87.0,95.0,92.0,117.0,106.0,114.0,0.462,0.24,0.148,0.149,-0.44,-0.49,-3.47,-0.46,93.9,84.7,86.2,75.0,0.224,0.383,0.356,0.265,0.487,0.26,0.339,0.482,0.319,0.364,0.818,0.211,,,,,,,,,,,,,,,,,,,,,,,,
