,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,CU%,CH%,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFC,vCH,vSI,vSL,vCU,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FA,Loc+ FA,Pit+ FA,FA%,wFA/C,vFA,FF_ba,FF_slg,FF_whiff
0,2024-07-20,745638,Groundout,field_out,True,543685,687765,Anthony Rendon,Mitch Spence,0,b758e4db-9cf8-4782-a32c-7b698ec818e9,687765.0,mitchspence,Spence,Right,Mitch Spence,OAK,4.75,3.99,83.1,102.0,100.0,101.0,0.79,7.78,2.48,9.4,1.3,1.25,0.154,0.453,0.138,0.323,0.424,75.0,88.0,85.0,102.0,115.0,114.0,39.0,98.0,87.0,123.0,105.0,109.0,96.0,97.0,94.0,0.121,0.39,0.362,0.107,0.019,-0.32,-0.1,0.7,-2.9,-10.0,91.0,88.6,92.2,84.2,79.5,0.248,0.442,0.277,0.255,0.491,0.186,0.256,0.419,0.315,0.308,0.308,0.132,0.625,0.875,0.0,,,,,,,,,
1,2024-07-20,745638,Strikeout,strikeout,True,694384,687765,Nolan Schanuel,Mitch Spence,0,e665cf25-2319-4425-a7b4-b6522ea743bf,687765.0,mitchspence,Spence,Right,Mitch Spence,OAK,4.75,3.99,83.1,102.0,100.0,101.0,0.79,7.78,2.48,9.4,1.3,1.25,0.154,0.453,0.138,0.323,0.424,75.0,88.0,85.0,102.0,115.0,114.0,39.0,98.0,87.0,123.0,105.0,109.0,96.0,97.0,94.0,0.121,0.39,0.362,0.107,0.019,-0.32,-0.1,0.7,-2.9,-10.0,91.0,88.6,92.2,84.2,79.5,0.248,0.442,0.277,0.255,0.491,0.186,0.256,0.419,0.315,0.308,0.308,0.132,0.625,0.875,0.0,,,,,,,,,
2,2024-07-20,745638,Groundout,field_out,True,621493,687765,Taylor Ward,Mitch Spence,0,9ab24eb4-61e2-473f-9fc4-a2664c274be5,687765.0,mitchspence,Spence,Right,Mitch Spence,OAK,4.75,3.99,83.1,102.0,100.0,101.0,0.79,7.78,2.48,9.4,1.3,1.25,0.154,0.453,0.138,0.323,0.424,75.0,88.0,85.0,102.0,115.0,114.0,39.0,98.0,87.0,123.0,105.0,109.0,96.0,97.0,94.0,0.121,0.39,0.362,0.107,0.019,-0.32,-0.1,0.7,-2.9,-10.0,91.0,88.6,92.2,84.2,79.5,0.248,0.442,0.277,0.255,0.491,0.186,0.256,0.419,0.315,0.308,0.308,0.132,0.625,0.875,0.0,,,,,,,,,
3,2024-07-20,745638,Groundout,field_out,True,671732,686799,Lawrence Butler,Jack Kochanowicz,0,22acf015-fb66-412b-a7e6-afa05ab8729b,686799.0,jackkochanowicz,Kochanowicz,Right,Jack Kochanowicz,LAA,12.0,13.27,3.0,98.0,93.0,94.0,0.871,3.0,0.0,21.0,3.0,1.75,0.154,0.538,0.0,0.462,0.433,62.0,133.0,123.0,119.0,92.0,97.0,80.0,97.0,89.0,,,,,,,0.567,,,0.367,0.067,,-7.48,,-0.05,-15.45,,89.9,95.8,,86.3,,,,,,,0.0,0.0,0.273,0.6,1.1,0.111,,,,,,,,,,,,
4,2024-07-20,745638,Single,single,False,609280,686799,Miguel Andujar,Jack Kochanowicz,0,c26d6d18-bf06-411d-a990-785fe0ac73eb,686799.0,jackkochanowicz,Kochanowicz,Right,Jack Kochanowicz,LAA,12.0,13.27,3.0,98.0,93.0,94.0,0.871,3.0,0.0,21.0,3.0,1.75,0.154,0.538,0.0,0.462,0.433,62.0,133.0,123.0,119.0,92.0,97.0,80.0,97.0,89.0,,,,,,,0.567,,,0.367,0.067,,-7.48,,-0.05,-15.45,,89.9,95.8,,86.3,,,,,,,0.0,0.0,0.273,0.6,1.1,0.111,,,,,,,,,,,,
5,2024-07-20,745638,Double,double,False,668709,686799,JJ Bleday,Jack Kochanowicz,1,d0cf694b-d141-47e5-864c-93bccc539d7e,686799.0,jackkochanowicz,Kochanowicz,Right,Jack Kochanowicz,LAA,12.0,13.27,3.0,98.0,93.0,94.0,0.871,3.0,0.0,21.0,3.0,1.75,0.154,0.538,0.0,0.462,0.433,62.0,133.0,123.0,119.0,92.0,97.0,80.0,97.0,89.0,,,,,,,0.567,,,0.367,0.067,,-7.48,,-0.05,-15.45,,89.9,95.8,,86.3,,,,,,,0.0,0.0,0.273,0.6,1.1,0.111,,,,,,,,,,,,
6,2024-07-20,745638,Home Run,home_run,False,667670,686799,Brent Rooker,Jack Kochanowicz,1,be65b31f-b396-44b6-b68f-a7d63437da3d,686799.0,jackkochanowicz,Kochanowicz,Right,Jack Kochanowicz,LAA,12.0,13.27,3.0,98.0,93.0,94.0,0.871,3.0,0.0,21.0,3.0,1.75,0.154,0.538,0.0,0.462,0.433,62.0,133.0,123.0,119.0,92.0,97.0,80.0,97.0,89.0,,,,,,,0.567,,,0.367,0.067,,-7.48,,-0.05,-15.45,,89.9,95.8,,86.3,,,,,,,0.0,0.0,0.273,0.6,1.1,0.111,,,,,,,,,,,,
7,2024-07-20,745638,Groundout,field_out,True,664913,686799,Seth Brown,Jack Kochanowicz,0,f25b655b-1597-4f03-b94e-5d307e88f794,686799.0,jackkochanowicz,Kochanowicz,Right,Jack Kochanowicz,LAA,12.0,13.27,3.0,98.0,93.0,94.0,0.871,3.0,0.0,21.0,3.0,1.75,0.154,0.538,0.0,0.462,0.433,62.0,133.0,123.0,119.0,92.0,97.0,80.0,97.0,89.0,,,,,,,0.567,,,0.367,0.067,,-7.48,,-0.05,-15.45,,89.9,95.8,,86.3,,,,,,,0.0,0.0,0.273,0.6,1.1,0.111,,,,,,,,,,,,
8,2024-07-20,745638,Strikeout,strikeout,True,680869,686799,Zack Gelof,Jack Kochanowicz,0,e267197f-83b2-4348-ae39-b8f06891a14c,686799.0,jackkochanowicz,Kochanowicz,Right,Jack Kochanowicz,LAA,12.0,13.27,3.0,98.0,93.0,94.0,0.871,3.0,0.0,21.0,3.0,1.75,0.154,0.538,0.0,0.462,0.433,62.0,133.0,123.0,119.0,92.0,97.0,80.0,97.0,89.0,,,,,,,0.567,,,0.367,0.067,,-7.48,,-0.05,-15.45,,89.9,95.8,,86.3,,,,,,,0.0,0.0,0.273,0.6,1.1,0.111,,,,,,,,,,,,
9,2024-07-20,745638,Groundout,field_out,True,641432,687765,Willie Calhoun,Mitch Spence,0,27130372-df3a-4e7e-a847-0af7ca3a13fd,687765.0,mitchspence,Spence,Right,Mitch Spence,OAK,4.75,3.99,83.1,102.0,100.0,101.0,0.79,7.78,2.48,9.4,1.3,1.25,0.154,0.453,0.138,0.323,0.424,75.0,88.0,85.0,102.0,115.0,114.0,39.0,98.0,87.0,123.0,105.0,109.0,96.0,97.0,94.0,0.121,0.39,0.362,0.107,0.019,-0.32,-0.1,0.7,-2.9,-10.0,91.0,88.6,92.2,84.2,79.5,0.248,0.442,0.277,0.255,0.491,0.186,0.256,0.419,0.315,0.308,0.308,0.132,0.625,0.875,0.0,,,,,,,,,
