,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,vFA,vFC,vFS,vSI,vSL,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
0,2024-09-27,745930,Walk,walk,False,596019,593423,Francisco Lindor,Frankie Montas,0,86826a66-d2f6-4d04-9897-ee57d885959a,593423.0,frankiemontas,Montas,Right,Frankie Montas,- - -,4.84,4.71,150.2,101.0,98.0,99.0,0.777,8.84,3.94,8.36,1.43,1.1,0.235,0.376,0.147,0.311,0.418,83.0,105.0,98.0,83.0,100.0,98.0,117.0,103.0,106.0,109.0,95.0,95.0,119.0,99.0,105.0,0.191,0.332,0.187,0.183,0.107,-0.02,-1.4,-0.23,1.13,-1.94,95.6,90.4,86.0,94.8,85.4,0.206,0.367,0.231,0.248,0.407,0.113,0.218,0.297,0.426,0.326,0.609,0.223,0.288,0.577,0.325,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-09-27,745930,Strikeout,strikeout,True,668901,593423,Mark Vientos,Frankie Montas,0,8a39c4f0-b595-45c8-92cd-ffe73e6685ac,593423.0,frankiemontas,Montas,Right,Frankie Montas,- - -,4.84,4.71,150.2,101.0,98.0,99.0,0.777,8.84,3.94,8.36,1.43,1.1,0.235,0.376,0.147,0.311,0.418,83.0,105.0,98.0,83.0,100.0,98.0,117.0,103.0,106.0,109.0,95.0,95.0,119.0,99.0,105.0,0.191,0.332,0.187,0.183,0.107,-0.02,-1.4,-0.23,1.13,-1.94,95.6,90.4,86.0,94.8,85.4,0.206,0.367,0.231,0.248,0.407,0.113,0.218,0.297,0.426,0.326,0.609,0.223,0.288,0.577,0.325,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-09-27,745930,Lineout,field_out,True,607043,593423,Brandon Nimmo,Frankie Montas,0,3325024e-fdd7-48f6-af96-8f82169d1b36,593423.0,frankiemontas,Montas,Right,Frankie Montas,- - -,4.84,4.71,150.2,101.0,98.0,99.0,0.777,8.84,3.94,8.36,1.43,1.1,0.235,0.376,0.147,0.311,0.418,83.0,105.0,98.0,83.0,100.0,98.0,117.0,103.0,106.0,109.0,95.0,95.0,119.0,99.0,105.0,0.191,0.332,0.187,0.183,0.107,-0.02,-1.4,-0.23,1.13,-1.94,95.6,90.4,86.0,94.8,85.4,0.206,0.367,0.231,0.248,0.407,0.113,0.218,0.297,0.426,0.326,0.609,0.223,0.288,0.577,0.325,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-09-27,745930,Groundout,field_out,True,624413,593423,Pete Alonso,Frankie Montas,0,52808a68-1278-4830-8ba7-ed9b1c23d889,593423.0,frankiemontas,Montas,Right,Frankie Montas,- - -,4.84,4.71,150.2,101.0,98.0,99.0,0.777,8.84,3.94,8.36,1.43,1.1,0.235,0.376,0.147,0.311,0.418,83.0,105.0,98.0,83.0,100.0,98.0,117.0,103.0,106.0,109.0,95.0,95.0,119.0,99.0,105.0,0.191,0.332,0.187,0.183,0.107,-0.02,-1.4,-0.23,1.13,-1.94,95.6,90.4,86.0,94.8,85.4,0.206,0.367,0.231,0.248,0.407,0.113,0.218,0.297,0.426,0.326,0.609,0.223,0.288,0.577,0.325,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-09-27,745930,Single,single,False,668930,640455,Brice Turang,Sean Manaea,0,e3827946-54ec-4654-8143-c418e965e5f2,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.47,3.75,181.2,97.0,90.0,96.0,0.76,9.12,3.12,6.64,1.04,0.87,0.266,0.376,0.156,0.32,0.436,88.0,103.0,99.0,95.0,100.0,97.0,88.0,88.0,93.0,84.0,88.0,85.0,,,,0.447,0.113,0.071,,0.251,1.13,0.97,,1.36,0.37,92.3,88.4,,92.3,79.5,0.167,0.295,0.311,0.201,0.333,0.208,,,,0.222,0.25,0.179,0.174,0.435,0.32,83.0,98.0,95.0,0.118,-1.19,85.3,0.193,0.311,0.388,0.25,0.438,0.254,,,,,,,,,,,,,,,
5,2024-09-27,745930,Strikeout,strikeout,True,686217,640455,Sal Frelick,Sean Manaea,1,8216d254-f765-4487-bb2f-46c71730a1b9,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.47,3.75,181.2,97.0,90.0,96.0,0.76,9.12,3.12,6.64,1.04,0.87,0.266,0.376,0.156,0.32,0.436,88.0,103.0,99.0,95.0,100.0,97.0,88.0,88.0,93.0,84.0,88.0,85.0,,,,0.447,0.113,0.071,,0.251,1.13,0.97,,1.36,0.37,92.3,88.4,,92.3,79.5,0.167,0.295,0.311,0.201,0.333,0.208,,,,0.222,0.25,0.179,0.174,0.435,0.32,83.0,98.0,95.0,0.118,-1.19,85.3,0.193,0.311,0.388,0.25,0.438,0.254,,,,,,,,,,,,,,,
6,2024-09-27,745930,Flyout,field_out,True,694192,640455,Jackson Chourio,Sean Manaea,0,df96bc42-f2f8-4513-9e87-25a4a2b2cb0b,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.47,3.75,181.2,97.0,90.0,96.0,0.76,9.12,3.12,6.64,1.04,0.87,0.266,0.376,0.156,0.32,0.436,88.0,103.0,99.0,95.0,100.0,97.0,88.0,88.0,93.0,84.0,88.0,85.0,,,,0.447,0.113,0.071,,0.251,1.13,0.97,,1.36,0.37,92.3,88.4,,92.3,79.5,0.167,0.295,0.311,0.201,0.333,0.208,,,,0.222,0.25,0.179,0.174,0.435,0.32,83.0,98.0,95.0,0.118,-1.19,85.3,0.193,0.311,0.388,0.25,0.438,0.254,,,,,,,,,,,,,,,
7,2024-09-27,745930,Walk,walk,False,661388,640455,William Contreras,Sean Manaea,1,41f0f04a-1498-474e-bfc2-fb7b3a86699e,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.47,3.75,181.2,97.0,90.0,96.0,0.76,9.12,3.12,6.64,1.04,0.87,0.266,0.376,0.156,0.32,0.436,88.0,103.0,99.0,95.0,100.0,97.0,88.0,88.0,93.0,84.0,88.0,85.0,,,,0.447,0.113,0.071,,0.251,1.13,0.97,,1.36,0.37,92.3,88.4,,92.3,79.5,0.167,0.295,0.311,0.201,0.333,0.208,,,,0.222,0.25,0.179,0.174,0.435,0.32,83.0,98.0,95.0,0.118,-1.19,85.3,0.193,0.311,0.388,0.25,0.438,0.254,,,,,,,,,,,,,,,
8,2024-09-27,745930,Walk,walk,False,642715,640455,Willy Adames,Sean Manaea,1,cf51baee-a324-481a-9678-693b8df1b2ec,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.47,3.75,181.2,97.0,90.0,96.0,0.76,9.12,3.12,6.64,1.04,0.87,0.266,0.376,0.156,0.32,0.436,88.0,103.0,99.0,95.0,100.0,97.0,88.0,88.0,93.0,84.0,88.0,85.0,,,,0.447,0.113,0.071,,0.251,1.13,0.97,,1.36,0.37,92.3,88.4,,92.3,79.5,0.167,0.295,0.311,0.201,0.333,0.208,,,,0.222,0.25,0.179,0.174,0.435,0.32,83.0,98.0,95.0,0.118,-1.19,85.3,0.193,0.311,0.388,0.25,0.438,0.254,,,,,,,,,,,,,,,
9,2024-09-27,745930,Home Run,home_run,False,656555,640455,Rhys Hoskins,Sean Manaea,1,85fd170f-4c88-486b-b758-06ee4a0e8948,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.47,3.75,181.2,97.0,90.0,96.0,0.76,9.12,3.12,6.64,1.04,0.87,0.266,0.376,0.156,0.32,0.436,88.0,103.0,99.0,95.0,100.0,97.0,88.0,88.0,93.0,84.0,88.0,85.0,,,,0.447,0.113,0.071,,0.251,1.13,0.97,,1.36,0.37,92.3,88.4,,92.3,79.5,0.167,0.295,0.311,0.201,0.333,0.208,,,,0.222,0.25,0.179,0.174,0.435,0.32,83.0,98.0,95.0,0.118,-1.19,85.3,0.193,0.311,0.388,0.25,0.438,0.254,,,,,,,,,,,,,,,
