,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,FC_ba,FC_slg,FC_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,ST_ba,ST_slg,ST_whiff,SI_ba,SI_slg,SI_whiff
0,2024-09-02,744972,Single,single,False,650402,683004,Gleyber Torres,Jack Leiter,0,30afe7fd-e2b9-40b6-9737-0e9b08fa81b7,683004.0,jackleiter,Leiter,Right,Jack Leiter,TEX,10.41,6.08,23.1,98.0,120.0,103.0,0.76,7.33,3.86,12.73,1.54,0.97,0.202,0.429,0.131,0.321,0.419,115.0,77.0,88.0,85.0,99.0,102.0,133.0,99.0,106.0,116.0,102.0,107.0,59.0,65.0,57.0,0.522,0.026,0.271,0.124,0.057,-2.97,-13.16,-1.72,3.14,0.31,96.3,91.1,89.0,86.3,81.2,0.35,0.617,0.291,0.391,0.565,0.154,0.077,0.077,0.333,0.2,0.2,0.444,,,,,,,,,,,,,,,,,,,,,
1,2024-09-02,744972,Grounded Into DP,grounded_into_double_play,True,665742,683004,Juan Soto,Jack Leiter,1,bbbf3cf9-81a7-45e9-afbd-166191e2e4f2,683004.0,jackleiter,Leiter,Right,Jack Leiter,TEX,10.41,6.08,23.1,98.0,120.0,103.0,0.76,7.33,3.86,12.73,1.54,0.97,0.202,0.429,0.131,0.321,0.419,115.0,77.0,88.0,85.0,99.0,102.0,133.0,99.0,106.0,116.0,102.0,107.0,59.0,65.0,57.0,0.522,0.026,0.271,0.124,0.057,-2.97,-13.16,-1.72,3.14,0.31,96.3,91.1,89.0,86.3,81.2,0.35,0.617,0.291,0.391,0.565,0.154,0.077,0.077,0.333,0.2,0.2,0.444,,,,,,,,,,,,,,,,,,,,,
2,2024-09-02,744972,Flyout,field_out,True,592450,683004,Aaron Judge,Jack Leiter,0,6b7d9e8d-60c5-4538-8b10-389b6577ef28,683004.0,jackleiter,Leiter,Right,Jack Leiter,TEX,10.41,6.08,23.1,98.0,120.0,103.0,0.76,7.33,3.86,12.73,1.54,0.97,0.202,0.429,0.131,0.321,0.419,115.0,77.0,88.0,85.0,99.0,102.0,133.0,99.0,106.0,116.0,102.0,107.0,59.0,65.0,57.0,0.522,0.026,0.271,0.124,0.057,-2.97,-13.16,-1.72,3.14,0.31,96.3,91.1,89.0,86.3,81.2,0.35,0.617,0.291,0.391,0.565,0.154,0.077,0.077,0.333,0.2,0.2,0.444,,,,,,,,,,,,,,,,,,,,,
3,2024-09-02,744972,Strikeout,strikeout,True,543760,543037,Marcus Semien,Gerrit Cole,0,5e76f9ae-67b0-40cf-aeba-60f1808357b1,543037.0,gerritcole,Cole,Right,Gerrit Cole,NYY,3.36,3.75,75.0,101.0,111.0,105.0,0.772,10.2,2.88,8.28,1.32,0.82,0.275,0.377,0.176,0.328,0.428,71.0,92.0,90.0,,,,117.0,99.0,103.0,127.0,107.0,112.0,100.0,105.0,104.0,0.46,0.172,0.141,,0.038,-0.09,-1.16,0.77,,-4.48,96.0,91.3,88.1,88.2,,0.215,0.422,0.239,0.229,0.271,0.277,0.173,0.212,0.33,0.4,0.8,0.227,102.0,99.0,106.0,0.19,2.52,82.7,0.364,0.636,0.223,,,,,,,,,,,,
4,2024-09-02,744972,Single,single,False,608369,543037,Corey Seager,Gerrit Cole,0,9f742331-91b9-40cd-869b-562103f036f9,543037.0,gerritcole,Cole,Right,Gerrit Cole,NYY,3.36,3.75,75.0,101.0,111.0,105.0,0.772,10.2,2.88,8.28,1.32,0.82,0.275,0.377,0.176,0.328,0.428,71.0,92.0,90.0,,,,117.0,99.0,103.0,127.0,107.0,112.0,100.0,105.0,104.0,0.46,0.172,0.141,,0.038,-0.09,-1.16,0.77,,-4.48,96.0,91.3,88.1,88.2,,0.215,0.422,0.239,0.229,0.271,0.277,0.173,0.212,0.33,0.4,0.8,0.227,102.0,99.0,106.0,0.19,2.52,82.7,0.364,0.636,0.223,,,,,,,,,,,,
5,2024-09-02,744972,Walk,walk,False,669701,543037,Josh Smith,Gerrit Cole,1,7d2f9924-6f42-4d7a-87ee-ee09df893d61,543037.0,gerritcole,Cole,Right,Gerrit Cole,NYY,3.36,3.75,75.0,101.0,111.0,105.0,0.772,10.2,2.88,8.28,1.32,0.82,0.275,0.377,0.176,0.328,0.428,71.0,92.0,90.0,,,,117.0,99.0,103.0,127.0,107.0,112.0,100.0,105.0,104.0,0.46,0.172,0.141,,0.038,-0.09,-1.16,0.77,,-4.48,96.0,91.3,88.1,88.2,,0.215,0.422,0.239,0.229,0.271,0.277,0.173,0.212,0.33,0.4,0.8,0.227,102.0,99.0,106.0,0.19,2.52,82.7,0.364,0.636,0.223,,,,,,,,,,,,
6,2024-09-02,744972,Flyout,field_out,True,666969,543037,Adolis García,Gerrit Cole,0,8a89b53e-5b02-4dd7-8214-302a0ff3ae8d,543037.0,gerritcole,Cole,Right,Gerrit Cole,NYY,3.36,3.75,75.0,101.0,111.0,105.0,0.772,10.2,2.88,8.28,1.32,0.82,0.275,0.377,0.176,0.328,0.428,71.0,92.0,90.0,,,,117.0,99.0,103.0,127.0,107.0,112.0,100.0,105.0,104.0,0.46,0.172,0.141,,0.038,-0.09,-1.16,0.77,,-4.48,96.0,91.3,88.1,88.2,,0.215,0.422,0.239,0.229,0.271,0.277,0.173,0.212,0.33,0.4,0.8,0.227,102.0,99.0,106.0,0.19,2.52,82.7,0.364,0.636,0.223,,,,,,,,,,,,
7,2024-09-02,744972,Strikeout,strikeout,True,663993,543037,Nathaniel Lowe,Gerrit Cole,0,df727f3d-53f3-40da-8a9b-8e3675b5ef98,543037.0,gerritcole,Cole,Right,Gerrit Cole,NYY,3.36,3.75,75.0,101.0,111.0,105.0,0.772,10.2,2.88,8.28,1.32,0.82,0.275,0.377,0.176,0.328,0.428,71.0,92.0,90.0,,,,117.0,99.0,103.0,127.0,107.0,112.0,100.0,105.0,104.0,0.46,0.172,0.141,,0.038,-0.09,-1.16,0.77,,-4.48,96.0,91.3,88.1,88.2,,0.215,0.422,0.239,0.229,0.271,0.277,0.173,0.212,0.33,0.4,0.8,0.227,102.0,99.0,106.0,0.19,2.52,82.7,0.364,0.636,0.223,,,,,,,,,,,,
8,2024-09-02,744972,Groundout,field_out,True,669224,683004,Austin Wells,Jack Leiter,0,b397280b-6591-4ced-8799-541791a7b209,683004.0,jackleiter,Leiter,Right,Jack Leiter,TEX,10.41,6.08,23.1,98.0,120.0,103.0,0.76,7.33,3.86,12.73,1.54,0.97,0.202,0.429,0.131,0.321,0.419,115.0,77.0,88.0,85.0,99.0,102.0,133.0,99.0,106.0,116.0,102.0,107.0,59.0,65.0,57.0,0.522,0.026,0.271,0.124,0.057,-2.97,-13.16,-1.72,3.14,0.31,96.3,91.1,89.0,86.3,81.2,0.35,0.617,0.291,0.391,0.565,0.154,0.077,0.077,0.333,0.2,0.2,0.444,,,,,,,,,,,,,,,,,,,,,
9,2024-09-02,744972,Strikeout,strikeout,True,519317,683004,Giancarlo Stanton,Jack Leiter,0,13e83721-0e0b-4edf-a11e-da9171d1ecaa,683004.0,jackleiter,Leiter,Right,Jack Leiter,TEX,10.41,6.08,23.1,98.0,120.0,103.0,0.76,7.33,3.86,12.73,1.54,0.97,0.202,0.429,0.131,0.321,0.419,115.0,77.0,88.0,85.0,99.0,102.0,133.0,99.0,106.0,116.0,102.0,107.0,59.0,65.0,57.0,0.522,0.026,0.271,0.124,0.057,-2.97,-13.16,-1.72,3.14,0.31,96.3,91.1,89.0,86.3,81.2,0.35,0.617,0.291,0.391,0.565,0.154,0.077,0.077,0.333,0.2,0.2,0.444,,,,,,,,,,,,,,,,,,,,,
