,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,KC%,wFC/C,wSI/C,wKC/C,vFC,vSI,vKC,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff
0,2024-09-03,746185,Groundout,field_out,True,660271,672282,Shohei Ohtani,Reid Detmers,0,3febf0bf-0953-47ec-9f48-edad27f650ad,672282.0,reiddetmers,Detmers,Left,Reid Detmers,LAA,5.64,3.7,75.0,98.0,96.0,98.0,0.722,10.56,3.72,8.88,1.32,0.99,0.241,0.493,0.133,0.355,0.439,92.0,98.0,98.0,90.0,101.0,103.0,89.0,95.0,92.0,116.0,106.0,113.0,0.461,0.241,0.147,0.15,-0.13,0.23,-3.01,0.94,94.0,84.7,86.2,75.2,0.245,0.443,0.277,0.211,0.326,0.374,0.298,0.383,0.317,0.359,0.795,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-09-03,746185,Lineout,field_out,True,605141,672282,Mookie Betts,Reid Detmers,0,81674661-92da-4586-8e5f-d9f872495f6e,672282.0,reiddetmers,Detmers,Left,Reid Detmers,LAA,5.64,3.7,75.0,98.0,96.0,98.0,0.722,10.56,3.72,8.88,1.32,0.99,0.241,0.493,0.133,0.355,0.439,92.0,98.0,98.0,90.0,101.0,103.0,89.0,95.0,92.0,116.0,106.0,113.0,0.461,0.241,0.147,0.15,-0.13,0.23,-3.01,0.94,94.0,84.7,86.2,75.2,0.245,0.443,0.277,0.211,0.326,0.374,0.298,0.383,0.317,0.359,0.795,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-09-03,746185,Walk,walk,False,518692,672282,Freddie Freeman,Reid Detmers,0,212eb8c0-f2fd-4ea1-af73-727171e7099b,672282.0,reiddetmers,Detmers,Left,Reid Detmers,LAA,5.64,3.7,75.0,98.0,96.0,98.0,0.722,10.56,3.72,8.88,1.32,0.99,0.241,0.493,0.133,0.355,0.439,92.0,98.0,98.0,90.0,101.0,103.0,89.0,95.0,92.0,116.0,106.0,113.0,0.461,0.241,0.147,0.15,-0.13,0.23,-3.01,0.94,94.0,84.7,86.2,75.2,0.245,0.443,0.277,0.211,0.326,0.374,0.298,0.383,0.317,0.359,0.795,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-09-03,746185,Strikeout,strikeout,True,606192,672282,Teoscar Hernández,Reid Detmers,0,484c79ec-7cd6-482d-ac35-7e748622bb7c,672282.0,reiddetmers,Detmers,Left,Reid Detmers,LAA,5.64,3.7,75.0,98.0,96.0,98.0,0.722,10.56,3.72,8.88,1.32,0.99,0.241,0.493,0.133,0.355,0.439,92.0,98.0,98.0,90.0,101.0,103.0,89.0,95.0,92.0,116.0,106.0,113.0,0.461,0.241,0.147,0.15,-0.13,0.23,-3.01,0.94,94.0,84.7,86.2,75.2,0.245,0.443,0.277,0.211,0.326,0.374,0.298,0.383,0.317,0.359,0.795,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-09-03,746185,Flyout,field_out,True,621493,621111,Taylor Ward,Walker Buehler,0,80235303-9e8d-4b9a-bb32-1f308b358fa5,621111.0,walkerbuehler,Buehler,Right,Walker Buehler,LAD,5.95,5.2,59.0,102.0,95.0,100.0,0.83,7.47,3.2,11.59,2.29,1.15,0.236,0.437,0.131,0.377,0.441,72.0,99.0,94.0,,,,86.0,100.0,97.0,126.0,104.0,113.0,0.301,0.087,,0.058,-2.94,-2.1,,-7.04,95.2,90.1,83.3,,0.362,0.754,0.155,,,,0.5,0.85,0.067,0.289,0.444,0.256,82.0,104.0,97.0,102.0,99.0,107.0,104.0,103.0,99.0,0.166,0.191,0.196,0.89,-0.24,-1.64,91.4,95.0,78.1,0.277,0.298,0.133,0.25,0.477,0.222,0.143,0.429,0.222
5,2024-09-03,746185,Single,single,False,687263,621111,Zach Neto,Walker Buehler,0,ad687c46-3007-42c8-97a6-5466fd2d2c49,621111.0,walkerbuehler,Buehler,Right,Walker Buehler,LAD,5.95,5.2,59.0,102.0,95.0,100.0,0.83,7.47,3.2,11.59,2.29,1.15,0.236,0.437,0.131,0.377,0.441,72.0,99.0,94.0,,,,86.0,100.0,97.0,126.0,104.0,113.0,0.301,0.087,,0.058,-2.94,-2.1,,-7.04,95.2,90.1,83.3,,0.362,0.754,0.155,,,,0.5,0.85,0.067,0.289,0.444,0.256,82.0,104.0,97.0,102.0,99.0,107.0,104.0,103.0,99.0,0.166,0.191,0.196,0.89,-0.24,-1.64,91.4,95.0,78.1,0.277,0.298,0.133,0.25,0.477,0.222,0.143,0.429,0.222
6,2024-09-03,746185,Strikeout,strikeout,True,694384,621111,Nolan Schanuel,Walker Buehler,0,959973bc-ea84-481b-9ddc-a1a1132e20e7,621111.0,walkerbuehler,Buehler,Right,Walker Buehler,LAD,5.95,5.2,59.0,102.0,95.0,100.0,0.83,7.47,3.2,11.59,2.29,1.15,0.236,0.437,0.131,0.377,0.441,72.0,99.0,94.0,,,,86.0,100.0,97.0,126.0,104.0,113.0,0.301,0.087,,0.058,-2.94,-2.1,,-7.04,95.2,90.1,83.3,,0.362,0.754,0.155,,,,0.5,0.85,0.067,0.289,0.444,0.256,82.0,104.0,97.0,102.0,99.0,107.0,104.0,103.0,99.0,0.166,0.191,0.196,0.89,-0.24,-1.64,91.4,95.0,78.1,0.277,0.298,0.133,0.25,0.477,0.222,0.143,0.429,0.222
7,2024-09-03,746185,Walk,walk,False,543685,621111,Anthony Rendon,Walker Buehler,1,7d9450be-0d07-4056-a558-6b4d607a0d47,621111.0,walkerbuehler,Buehler,Right,Walker Buehler,LAD,5.95,5.2,59.0,102.0,95.0,100.0,0.83,7.47,3.2,11.59,2.29,1.15,0.236,0.437,0.131,0.377,0.441,72.0,99.0,94.0,,,,86.0,100.0,97.0,126.0,104.0,113.0,0.301,0.087,,0.058,-2.94,-2.1,,-7.04,95.2,90.1,83.3,,0.362,0.754,0.155,,,,0.5,0.85,0.067,0.289,0.444,0.256,82.0,104.0,97.0,102.0,99.0,107.0,104.0,103.0,99.0,0.166,0.191,0.196,0.89,-0.24,-1.64,91.4,95.0,78.1,0.277,0.298,0.133,0.25,0.477,0.222,0.143,0.429,0.222
8,2024-09-03,746185,Strikeout,strikeout,True,666160,621111,Mickey Moniak,Walker Buehler,0,7db25421-4039-4d0d-b153-daa8d6980fd5,621111.0,walkerbuehler,Buehler,Right,Walker Buehler,LAD,5.95,5.2,59.0,102.0,95.0,100.0,0.83,7.47,3.2,11.59,2.29,1.15,0.236,0.437,0.131,0.377,0.441,72.0,99.0,94.0,,,,86.0,100.0,97.0,126.0,104.0,113.0,0.301,0.087,,0.058,-2.94,-2.1,,-7.04,95.2,90.1,83.3,,0.362,0.754,0.155,,,,0.5,0.85,0.067,0.289,0.444,0.256,82.0,104.0,97.0,102.0,99.0,107.0,104.0,103.0,99.0,0.166,0.191,0.196,0.89,-0.24,-1.64,91.4,95.0,78.1,0.277,0.298,0.133,0.25,0.477,0.222,0.143,0.429,0.222
9,2024-09-03,746185,Lineout,field_out,True,669257,672282,Will Smith,Reid Detmers,0,3831e511-6234-46ea-a527-4df6c12dc9c6,672282.0,reiddetmers,Detmers,Left,Reid Detmers,LAA,5.64,3.7,75.0,98.0,96.0,98.0,0.722,10.56,3.72,8.88,1.32,0.99,0.241,0.493,0.133,0.355,0.439,92.0,98.0,98.0,90.0,101.0,103.0,89.0,95.0,92.0,116.0,106.0,113.0,0.461,0.241,0.147,0.15,-0.13,0.23,-3.01,0.94,94.0,84.7,86.2,75.2,0.245,0.443,0.277,0.211,0.326,0.374,0.298,0.383,0.317,0.359,0.795,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
