,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff
50,2024-05-14,746235,Walk,walk,False,680977,519326,Brendan Donovan,Hunter Strickland,1,d47def26-6206-47c5-a002-00fdea7c11ce,519326.0,hunterstrickland,Strickland,Right,Hunter Strickland,LAA,3.48,3.22,44.0,102.0,109.0,107.0,0.78,7.77,2.45,6.75,1.02,0.7,0.208,0.44,0.168,0.296,0.434,82.0,107.0,102.0,,,,80.0,101.0,99.0,133.0,103.0,115.0,0.282,0.549,,0.061,-0.79,2.24,,3.81,94.2,87.6,84.0,,0.27,0.486,0.186,0.158,0.284,0.283,0.077,0.077,0.333,,,,69.0,104.0,93.0,,,,0.105,0.003,-71.24,-1.13,90.6,92.7,0.375,0.5,0.103,,,
51,2024-05-14,746235,Strikeout,strikeout,True,502671,519326,Paul Goldschmidt,Hunter Strickland,0,ccac8ffd-b6ce-487f-9184-52b142653d6c,519326.0,hunterstrickland,Strickland,Right,Hunter Strickland,LAA,3.48,3.22,44.0,102.0,109.0,107.0,0.78,7.77,2.45,6.75,1.02,0.7,0.208,0.44,0.168,0.296,0.434,82.0,107.0,102.0,,,,80.0,101.0,99.0,133.0,103.0,115.0,0.282,0.549,,0.061,-0.79,2.24,,3.81,94.2,87.6,84.0,,0.27,0.486,0.186,0.158,0.284,0.283,0.077,0.077,0.333,,,,69.0,104.0,93.0,,,,0.105,0.003,-71.24,-1.13,90.6,92.7,0.375,0.5,0.103,,,
52,2024-05-14,746235,Groundout,field_out,True,607680,543243,Kevin Pillar,Sonny Gray,0,97154316-8ff9-4888-9d44-84f9aa975c8a,543243.0,sonnygray,"Gray, S",Right,Sonny Gray,STL,3.34,3.34,99.2,102.0,108.0,106.0,0.75,10.93,2.17,7.31,0.72,1.31,0.215,0.402,0.151,0.327,0.443,69.0,88.0,83.0,115.0,95.0,95.0,107.0,95.0,101.0,150.0,117.0,131.0,0.239,0.187,0.159,0.06,0.68,0.67,1.37,-2.47,92.6,88.5,85.0,80.1,0.31,0.479,0.147,0.162,0.216,0.422,0.385,0.769,0.345,0.184,0.342,0.299,92.0,116.0,114.0,88.0,99.0,99.0,0.173,0.182,1.7,1.47,87.7,93.1,0.197,0.316,0.181,0.237,0.407,0.303
53,2024-05-14,746235,Walk,walk,False,681351,543243,Logan O'Hoppe,Sonny Gray,0,096b9d5d-21ae-493d-9e97-d371c62fe6d7,543243.0,sonnygray,"Gray, S",Right,Sonny Gray,STL,3.34,3.34,99.2,102.0,108.0,106.0,0.75,10.93,2.17,7.31,0.72,1.31,0.215,0.402,0.151,0.327,0.443,69.0,88.0,83.0,115.0,95.0,95.0,107.0,95.0,101.0,150.0,117.0,131.0,0.239,0.187,0.159,0.06,0.68,0.67,1.37,-2.47,92.6,88.5,85.0,80.1,0.31,0.479,0.147,0.162,0.216,0.422,0.385,0.769,0.345,0.184,0.342,0.299,92.0,116.0,114.0,88.0,99.0,99.0,0.173,0.182,1.7,1.47,87.7,93.1,0.197,0.316,0.181,0.237,0.407,0.303
54,2024-05-14,746235,Catcher Interference,catcher_interf,False,666176,543243,Jo Adell,Sonny Gray,1,853c5993-69dc-454b-8311-62e1b891accc,543243.0,sonnygray,"Gray, S",Right,Sonny Gray,STL,3.34,3.34,99.2,102.0,108.0,106.0,0.75,10.93,2.17,7.31,0.72,1.31,0.215,0.402,0.151,0.327,0.443,69.0,88.0,83.0,115.0,95.0,95.0,107.0,95.0,101.0,150.0,117.0,131.0,0.239,0.187,0.159,0.06,0.68,0.67,1.37,-2.47,92.6,88.5,85.0,80.1,0.31,0.479,0.147,0.162,0.216,0.422,0.385,0.769,0.345,0.184,0.342,0.299,92.0,116.0,114.0,88.0,99.0,99.0,0.173,0.182,1.7,1.47,87.7,93.1,0.197,0.316,0.181,0.237,0.407,0.303
55,2024-05-14,746235,Strikeout,strikeout,True,657061,543243,Cole Tucker,Sonny Gray,0,7017b19a-cc1f-418f-8fdd-8938f0faafde,543243.0,sonnygray,"Gray, S",Right,Sonny Gray,STL,3.34,3.34,99.2,102.0,108.0,106.0,0.75,10.93,2.17,7.31,0.72,1.31,0.215,0.402,0.151,0.327,0.443,69.0,88.0,83.0,115.0,95.0,95.0,107.0,95.0,101.0,150.0,117.0,131.0,0.239,0.187,0.159,0.06,0.68,0.67,1.37,-2.47,92.6,88.5,85.0,80.1,0.31,0.479,0.147,0.162,0.216,0.422,0.385,0.769,0.345,0.184,0.342,0.299,92.0,116.0,114.0,88.0,99.0,99.0,0.173,0.182,1.7,1.47,87.7,93.1,0.197,0.316,0.181,0.237,0.407,0.303
56,2024-05-14,746235,Walk,walk,False,677347,543243,Kyren Paris,Sonny Gray,1,479b84f5-033c-4faa-b544-236072fb8304,543243.0,sonnygray,"Gray, S",Right,Sonny Gray,STL,3.34,3.34,99.2,102.0,108.0,106.0,0.75,10.93,2.17,7.31,0.72,1.31,0.215,0.402,0.151,0.327,0.443,69.0,88.0,83.0,115.0,95.0,95.0,107.0,95.0,101.0,150.0,117.0,131.0,0.239,0.187,0.159,0.06,0.68,0.67,1.37,-2.47,92.6,88.5,85.0,80.1,0.31,0.479,0.147,0.162,0.216,0.422,0.385,0.769,0.345,0.184,0.342,0.299,92.0,116.0,114.0,88.0,99.0,99.0,0.173,0.182,1.7,1.47,87.7,93.1,0.197,0.316,0.181,0.237,0.407,0.303
57,2024-05-14,746235,Strikeout,strikeout,True,694384,543243,Nolan Schanuel,Sonny Gray,0,4ce1517d-658f-43ab-890c-0cece4629c17,543243.0,sonnygray,"Gray, S",Right,Sonny Gray,STL,3.34,3.34,99.2,102.0,108.0,106.0,0.75,10.93,2.17,7.31,0.72,1.31,0.215,0.402,0.151,0.327,0.443,69.0,88.0,83.0,115.0,95.0,95.0,107.0,95.0,101.0,150.0,117.0,131.0,0.239,0.187,0.159,0.06,0.68,0.67,1.37,-2.47,92.6,88.5,85.0,80.1,0.31,0.479,0.147,0.162,0.216,0.422,0.385,0.769,0.345,0.184,0.342,0.299,92.0,116.0,114.0,88.0,99.0,99.0,0.173,0.182,1.7,1.47,87.7,93.1,0.197,0.316,0.181,0.237,0.407,0.303
58,2024-05-14,746235,Single,single,False,571448,519326,Nolan Arenado,Hunter Strickland,0,a5aabffb-0653-4588-9851-bfcda9a2c4de,519326.0,hunterstrickland,Strickland,Right,Hunter Strickland,LAA,3.48,3.22,44.0,102.0,109.0,107.0,0.78,7.77,2.45,6.75,1.02,0.7,0.208,0.44,0.168,0.296,0.434,82.0,107.0,102.0,,,,80.0,101.0,99.0,133.0,103.0,115.0,0.282,0.549,,0.061,-0.79,2.24,,3.81,94.2,87.6,84.0,,0.27,0.486,0.186,0.158,0.284,0.283,0.077,0.077,0.333,,,,69.0,104.0,93.0,,,,0.105,0.003,-71.24,-1.13,90.6,92.7,0.375,0.5,0.103,,,
59,2024-05-14,746235,Home Run,home_run,False,676475,607237,Alec Burleson,Amir Garrett,1,e1f61ba1-6830-4253-80c5-79db1aef074a,607237.0,amirgarrett,"Garrett, A",Left,Amir Garrett,LAA,5.06,3.44,5.1,95.0,92.0,95.0,0.605,18.56,8.44,6.75,1.69,0.33,0.25,0.375,0.125,0.375,0.385,,,,,,,85.0,105.0,100.0,98.0,95.0,99.0,0.346,0.635,,,0.69,-1.42,,,95.6,,85.1,,0.2,0.2,0.111,0.214,0.5,0.483,,,,,,,94.0,-32.0,-39.0,,,,0.019,,,-7.09,,94.9,,,,,,
