,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,FS_ba,FS_slg,FS_whiff
0,2024-04-18,745356,Single,single,False,606466,657277,Ketel Marte,Logan Webb,0,b019ef41-cc69-41bf-9eeb-445c1cd9a910,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.24,124.1,104.0,112.0,107.0,0.826,7.75,2.03,9.12,0.43,2.59,0.236,0.389,0.153,0.311,0.402,132.0,105.0,115.0,56.0,109.0,91.0,98.0,103.0,101.0,119.0,102.0,112.0,59.0,115.0,105.0,0.388,0.048,0.011,0.223,0.329,1.24,5.55,1.02,0.18,0.28,92.3,90.3,87.4,92.2,83.5,0.283,0.405,0.197,0.276,0.346,0.15,0.247,0.323,0.227,0.1,0.15,0.39,,,,,,,,,,,,,,,
1,2024-04-18,745356,Single,single,False,682998,657277,Corbin Carroll,Logan Webb,1,9106596f-e87b-48d1-9836-1923ea3e33ca,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.24,124.1,104.0,112.0,107.0,0.826,7.75,2.03,9.12,0.43,2.59,0.236,0.389,0.153,0.311,0.402,132.0,105.0,115.0,56.0,109.0,91.0,98.0,103.0,101.0,119.0,102.0,112.0,59.0,115.0,105.0,0.388,0.048,0.011,0.223,0.329,1.24,5.55,1.02,0.18,0.28,92.3,90.3,87.4,92.2,83.5,0.283,0.405,0.197,0.276,0.346,0.15,0.247,0.323,0.227,0.1,0.15,0.39,,,,,,,,,,,,,,,
2,2024-04-18,745356,Forceout,force_out,True,592626,657277,Joc Pederson,Logan Webb,1,6a9977fa-1de6-483f-9aa6-1f40c168e2e2,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.24,124.1,104.0,112.0,107.0,0.826,7.75,2.03,9.12,0.43,2.59,0.236,0.389,0.153,0.311,0.402,132.0,105.0,115.0,56.0,109.0,91.0,98.0,103.0,101.0,119.0,102.0,112.0,59.0,115.0,105.0,0.388,0.048,0.011,0.223,0.329,1.24,5.55,1.02,0.18,0.28,92.3,90.3,87.4,92.2,83.5,0.283,0.405,0.197,0.276,0.346,0.15,0.247,0.323,0.227,0.1,0.15,0.39,,,,,,,,,,,,,,,
3,2024-04-18,745356,Strikeout,strikeout,True,572233,657277,Christian Walker,Logan Webb,0,f80d8001-683e-418f-ad6c-cc8febc252bd,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.24,124.1,104.0,112.0,107.0,0.826,7.75,2.03,9.12,0.43,2.59,0.236,0.389,0.153,0.311,0.402,132.0,105.0,115.0,56.0,109.0,91.0,98.0,103.0,101.0,119.0,102.0,112.0,59.0,115.0,105.0,0.388,0.048,0.011,0.223,0.329,1.24,5.55,1.02,0.18,0.28,92.3,90.3,87.4,92.2,83.5,0.283,0.405,0.197,0.276,0.346,0.15,0.247,0.323,0.227,0.1,0.15,0.39,,,,,,,,,,,,,,,
4,2024-04-18,745356,Forceout,force_out,True,553993,657277,Eugenio Suárez,Logan Webb,1,6192cc82-fbd5-40f1-9920-bffbf838cc25,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.24,124.1,104.0,112.0,107.0,0.826,7.75,2.03,9.12,0.43,2.59,0.236,0.389,0.153,0.311,0.402,132.0,105.0,115.0,56.0,109.0,91.0,98.0,103.0,101.0,119.0,102.0,112.0,59.0,115.0,105.0,0.388,0.048,0.011,0.223,0.329,1.24,5.55,1.02,0.18,0.28,92.3,90.3,87.4,92.2,83.5,0.283,0.405,0.197,0.276,0.346,0.15,0.247,0.323,0.227,0.1,0.15,0.39,,,,,,,,,,,,,,,
5,2024-04-18,745356,Single,single,False,808982,669194,Jung Hoo Lee,Ryne Nelson,0,a80f71be-532d-4eb1-82ff-0be3663f3a7c,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.78,4.39,92.1,105.0,97.0,103.0,0.842,6.63,2.14,10.33,0.97,1.13,0.27,0.375,0.14,0.358,0.471,105.0,100.0,109.0,101.0,107.0,105.0,,,,108.0,112.0,110.0,76.0,103.0,92.0,,0.531,0.203,0.107,0.094,0.45,-1.15,,-1.78,-4.16,95.0,91.4,83.4,,84.5,0.368,0.737,0.208,,,,0.4,0.733,0.167,0.261,0.415,0.217,91.0,98.0,96.0,0.064,2.02,77.5,0.341,0.518,0.124,0.16,0.24,0.116,,,
6,2024-04-18,745356,Grounded Into DP,grounded_into_double_play,True,664774,669194,LaMonte Wade Jr.,Ryne Nelson,1,eabe4979-1c9f-4c80-9bf9-dc9b7f82da9c,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.78,4.39,92.1,105.0,97.0,103.0,0.842,6.63,2.14,10.33,0.97,1.13,0.27,0.375,0.14,0.358,0.471,105.0,100.0,109.0,101.0,107.0,105.0,,,,108.0,112.0,110.0,76.0,103.0,92.0,,0.531,0.203,0.107,0.094,0.45,-1.15,,-1.78,-4.16,95.0,91.4,83.4,,84.5,0.368,0.737,0.208,,,,0.4,0.733,0.167,0.261,0.415,0.217,91.0,98.0,96.0,0.064,2.02,77.5,0.341,0.518,0.124,0.16,0.24,0.116,,,
7,2024-04-18,745356,Lineout,field_out,True,624585,669194,Jorge Soler,Ryne Nelson,0,2a8a556c-0e7c-4a6c-ba07-9bbe95340fa4,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.78,4.39,92.1,105.0,97.0,103.0,0.842,6.63,2.14,10.33,0.97,1.13,0.27,0.375,0.14,0.358,0.471,105.0,100.0,109.0,101.0,107.0,105.0,,,,108.0,112.0,110.0,76.0,103.0,92.0,,0.531,0.203,0.107,0.094,0.45,-1.15,,-1.78,-4.16,95.0,91.4,83.4,,84.5,0.368,0.737,0.208,,,,0.4,0.733,0.167,0.261,0.415,0.217,91.0,98.0,96.0,0.064,2.02,77.5,0.341,0.518,0.124,0.16,0.24,0.116,,,
8,2024-04-18,745356,Groundout,field_out,True,672515,657277,Gabriel Moreno,Logan Webb,0,6b1543b0-a11d-472e-b7e2-e0f8a387049c,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.24,124.1,104.0,112.0,107.0,0.826,7.75,2.03,9.12,0.43,2.59,0.236,0.389,0.153,0.311,0.402,132.0,105.0,115.0,56.0,109.0,91.0,98.0,103.0,101.0,119.0,102.0,112.0,59.0,115.0,105.0,0.388,0.048,0.011,0.223,0.329,1.24,5.55,1.02,0.18,0.28,92.3,90.3,87.4,92.2,83.5,0.283,0.405,0.197,0.276,0.346,0.15,0.247,0.323,0.227,0.1,0.15,0.39,,,,,,,,,,,,,,,
9,2024-04-18,745356,Groundout,field_out,True,607054,657277,Jace Peterson,Logan Webb,0,f52ac80e-e288-4ace-b682-3fd9d7184203,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.24,124.1,104.0,112.0,107.0,0.826,7.75,2.03,9.12,0.43,2.59,0.236,0.389,0.153,0.311,0.402,132.0,105.0,115.0,56.0,109.0,91.0,98.0,103.0,101.0,119.0,102.0,112.0,59.0,115.0,105.0,0.388,0.048,0.011,0.223,0.329,1.24,5.55,1.02,0.18,0.28,92.3,90.3,87.4,92.2,83.5,0.283,0.405,0.197,0.276,0.346,0.15,0.247,0.323,0.227,0.1,0.15,0.39,,,,,,,,,,,,,,,
