,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff
0,2024-09-12,746591,Flyout,field_out,True,666624,668909,Christopher Morel,Gavin Williams,0,1c095ce7-f8f2-414c-89ff-5e613ce36da6,668909.0,gavinwilliams,"Williams, G",Right,Gavin Williams,CLE,5.23,4.42,65.1,102.0,100.0,102.0,0.788,9.51,3.86,8.68,0.96,0.97,0.319,0.346,0.122,0.314,0.417,66.0,98.0,102.0,122.0,104.0,107.0,98.0,102.0,103.0,105.0,75.0,94.0,97.0,100.0,93.0,0.526,0.101,0.106,0.208,0.059,-0.14,0.68,-0.5,-0.2,-3.85,96.8,91.6,89.3,88.7,79.6,0.293,0.439,0.225,0.162,0.324,0.311,0.16,0.36,0.298,0.28,0.44,0.268,0.417,0.833,0.154,,,,,,,,,,,,
1,2024-09-12,746591,Home Run,home_run,False,664040,668909,Brandon Lowe,Gavin Williams,0,333f760d-ccbc-4129-b9ef-e0ab65025e9e,668909.0,gavinwilliams,"Williams, G",Right,Gavin Williams,CLE,5.23,4.42,65.1,102.0,100.0,102.0,0.788,9.51,3.86,8.68,0.96,0.97,0.319,0.346,0.122,0.314,0.417,66.0,98.0,102.0,122.0,104.0,107.0,98.0,102.0,103.0,105.0,75.0,94.0,97.0,100.0,93.0,0.526,0.101,0.106,0.208,0.059,-0.14,0.68,-0.5,-0.2,-3.85,96.8,91.6,89.3,88.7,79.6,0.293,0.439,0.225,0.162,0.324,0.311,0.16,0.36,0.298,0.28,0.44,0.268,0.417,0.833,0.154,,,,,,,,,,,,
2,2024-09-12,746591,Groundout,field_out,True,691406,668909,Junior Caminero,Gavin Williams,0,873a0bbc-51c2-4602-9498-a13692b089e5,668909.0,gavinwilliams,"Williams, G",Right,Gavin Williams,CLE,5.23,4.42,65.1,102.0,100.0,102.0,0.788,9.51,3.86,8.68,0.96,0.97,0.319,0.346,0.122,0.314,0.417,66.0,98.0,102.0,122.0,104.0,107.0,98.0,102.0,103.0,105.0,75.0,94.0,97.0,100.0,93.0,0.526,0.101,0.106,0.208,0.059,-0.14,0.68,-0.5,-0.2,-3.85,96.8,91.6,89.3,88.7,79.6,0.293,0.439,0.225,0.162,0.324,0.311,0.16,0.36,0.298,0.28,0.44,0.268,0.417,0.833,0.154,,,,,,,,,,,,
3,2024-09-12,746591,Double,double,False,650490,668909,Yandy Díaz,Gavin Williams,0,228fd718-3a04-4a3a-b773-81b908852128,668909.0,gavinwilliams,"Williams, G",Right,Gavin Williams,CLE,5.23,4.42,65.1,102.0,100.0,102.0,0.788,9.51,3.86,8.68,0.96,0.97,0.319,0.346,0.122,0.314,0.417,66.0,98.0,102.0,122.0,104.0,107.0,98.0,102.0,103.0,105.0,75.0,94.0,97.0,100.0,93.0,0.526,0.101,0.106,0.208,0.059,-0.14,0.68,-0.5,-0.2,-3.85,96.8,91.6,89.3,88.7,79.6,0.293,0.439,0.225,0.162,0.324,0.311,0.16,0.36,0.298,0.28,0.44,0.268,0.417,0.833,0.154,,,,,,,,,,,,
4,2024-09-12,746591,Strikeout,strikeout,True,666139,668909,Josh Lowe,Gavin Williams,0,bed7fdf1-b3b6-4b94-a164-21fa79eb17e0,668909.0,gavinwilliams,"Williams, G",Right,Gavin Williams,CLE,5.23,4.42,65.1,102.0,100.0,102.0,0.788,9.51,3.86,8.68,0.96,0.97,0.319,0.346,0.122,0.314,0.417,66.0,98.0,102.0,122.0,104.0,107.0,98.0,102.0,103.0,105.0,75.0,94.0,97.0,100.0,93.0,0.526,0.101,0.106,0.208,0.059,-0.14,0.68,-0.5,-0.2,-3.85,96.8,91.6,89.3,88.7,79.6,0.293,0.439,0.225,0.162,0.324,0.311,0.16,0.36,0.298,0.28,0.44,0.268,0.417,0.833,0.154,,,,,,,,,,,,
5,2024-09-12,746591,Single,single,False,680757,686752,Steven Kwan,Ryan Pepiot,0,9f98cc50-112f-4c56-a577-6235db2c5589,686752.0,ryanpepiot,Pepiot,Right,Ryan Pepiot,TBR,3.76,3.87,115.0,99.0,117.0,105.0,0.74,9.31,3.29,7.28,1.25,0.83,0.274,0.403,0.171,0.306,0.422,117.0,106.0,116.0,140.0,74.0,83.0,115.0,98.0,101.0,119.0,95.0,106.0,102.0,102.0,100.0,0.515,0.045,0.181,0.03,0.23,1.06,-2.86,0.9,-1.55,-1.05,94.9,91.6,85.8,89.0,80.6,0.18,0.325,0.312,0.167,0.167,0.5,0.353,0.824,0.071,0.25,0.388,0.304,0.242,0.395,0.274,,,,,,,,,,,,
6,2024-09-12,746591,Strikeout,strikeout,True,665926,686752,Andrés Giménez,Ryan Pepiot,0,6e49e035-6e12-4a82-93e7-fc4e9092ca87,686752.0,ryanpepiot,Pepiot,Right,Ryan Pepiot,TBR,3.76,3.87,115.0,99.0,117.0,105.0,0.74,9.31,3.29,7.28,1.25,0.83,0.274,0.403,0.171,0.306,0.422,117.0,106.0,116.0,140.0,74.0,83.0,115.0,98.0,101.0,119.0,95.0,106.0,102.0,102.0,100.0,0.515,0.045,0.181,0.03,0.23,1.06,-2.86,0.9,-1.55,-1.05,94.9,91.6,85.8,89.0,80.6,0.18,0.325,0.312,0.167,0.167,0.5,0.353,0.824,0.071,0.25,0.388,0.304,0.242,0.395,0.274,,,,,,,,,,,,
7,2024-09-12,746591,Single,single,False,608070,686752,José Ramírez,Ryan Pepiot,1,61740484-cfa1-4e4c-9e16-b65bd789edca,686752.0,ryanpepiot,Pepiot,Right,Ryan Pepiot,TBR,3.76,3.87,115.0,99.0,117.0,105.0,0.74,9.31,3.29,7.28,1.25,0.83,0.274,0.403,0.171,0.306,0.422,117.0,106.0,116.0,140.0,74.0,83.0,115.0,98.0,101.0,119.0,95.0,106.0,102.0,102.0,100.0,0.515,0.045,0.181,0.03,0.23,1.06,-2.86,0.9,-1.55,-1.05,94.9,91.6,85.8,89.0,80.6,0.18,0.325,0.312,0.167,0.167,0.5,0.353,0.824,0.071,0.25,0.388,0.304,0.242,0.395,0.274,,,,,,,,,,,,
8,2024-09-12,746591,Fielders Choice Out,fielders_choice_out,True,647304,686752,Josh Naylor,Ryan Pepiot,1,eac55eac-4204-4b2f-abf6-b965b8970fde,686752.0,ryanpepiot,Pepiot,Right,Ryan Pepiot,TBR,3.76,3.87,115.0,99.0,117.0,105.0,0.74,9.31,3.29,7.28,1.25,0.83,0.274,0.403,0.171,0.306,0.422,117.0,106.0,116.0,140.0,74.0,83.0,115.0,98.0,101.0,119.0,95.0,106.0,102.0,102.0,100.0,0.515,0.045,0.181,0.03,0.23,1.06,-2.86,0.9,-1.55,-1.05,94.9,91.6,85.8,89.0,80.6,0.18,0.325,0.312,0.167,0.167,0.5,0.353,0.824,0.071,0.25,0.388,0.304,0.242,0.395,0.274,,,,,,,,,,,,
9,2024-09-12,746591,Double,double,False,657041,686752,Lane Thomas,Ryan Pepiot,1,6ed8b014-1614-4264-9f22-a979083f61d7,686752.0,ryanpepiot,Pepiot,Right,Ryan Pepiot,TBR,3.76,3.87,115.0,99.0,117.0,105.0,0.74,9.31,3.29,7.28,1.25,0.83,0.274,0.403,0.171,0.306,0.422,117.0,106.0,116.0,140.0,74.0,83.0,115.0,98.0,101.0,119.0,95.0,106.0,102.0,102.0,100.0,0.515,0.045,0.181,0.03,0.23,1.06,-2.86,0.9,-1.55,-1.05,94.9,91.6,85.8,89.0,80.6,0.18,0.325,0.312,0.167,0.167,0.5,0.353,0.824,0.071,0.25,0.388,0.304,0.242,0.395,0.274,,,,,,,,,,,,
