,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
54,2024-09-27,746173,Lineout,field_out,True,666969,672710,Adolis García,Roansy Contreras,0,3b44c8bb-0a90-4c52-9b7d-3f535a231937,672710.0,roansycontreras,Contreras,Right,Roansy Contreras,- - -,4.35,4.9,68.1,98.0,100.0,98.0,0.807,7.38,4.08,8.3,1.45,1.1,0.232,0.42,0.164,0.353,0.452,78.0,92.0,93.0,88.0,97.0,101.0,93.0,100.0,96.0,118.0,102.0,107.0,0.376,0.324,0.094,0.105,1.22,-1.41,1.14,-1.83,94.7,89.0,84.5,77.9,0.231,0.346,0.16,0.274,0.645,0.258,0.235,0.441,0.231,0.167,0.25,0.393,,,,0.1,0.25,0.302,95.0,93.0,81.0,0.101,-1.42,94.5,0.37,0.407,0.08,,,,,,,,,,,,,,,,,,,,,
55,2024-09-27,746173,Groundout,field_out,True,672569,605177,Gustavo Campero,Andrew Chafin,0,989bc6e4-a402-4509-bba5-a710ca0edf02,605177.0,andrewchafin,Chafin,Left,Andrew Chafin,- - -,3.51,3.59,56.1,90.0,89.0,92.0,0.664,11.18,4.95,8.31,0.8,0.9,0.25,0.313,0.146,0.257,0.289,,,,,,,71.0,90.0,81.0,107.0,88.0,105.0,0.166,0.458,,,1.45,1.38,,,91.7,,82.1,,0.176,0.353,0.206,0.127,0.186,0.547,,,,,,,,,,,,,75.0,91.0,82.0,0.375,-1.09,91.7,0.44,0.547,0.142,,,,,,,,,,,,,,,,,,,,,
56,2024-09-27,746173,Walk,walk,False,694359,605177,Niko Kavadas,Andrew Chafin,0,8149cc2e-1884-403d-bcb9-4a9e1b9a2e81,605177.0,andrewchafin,Chafin,Left,Andrew Chafin,- - -,3.51,3.59,56.1,90.0,89.0,92.0,0.664,11.18,4.95,8.31,0.8,0.9,0.25,0.313,0.146,0.257,0.289,,,,,,,71.0,90.0,81.0,107.0,88.0,105.0,0.166,0.458,,,1.45,1.38,,,91.7,,82.1,,0.176,0.353,0.206,0.127,0.186,0.547,,,,,,,,,,,,,75.0,91.0,82.0,0.375,-1.09,91.7,0.44,0.547,0.142,,,,,,,,,,,,,,,,,,,,,
57,2024-09-27,746173,Groundout,field_out,True,683021,605177,Michael Stefanic,Andrew Chafin,1,3d9c3d4e-6c68-4cd6-bd7a-18c8cb04c9ce,605177.0,andrewchafin,Chafin,Left,Andrew Chafin,- - -,3.51,3.59,56.1,90.0,89.0,92.0,0.664,11.18,4.95,8.31,0.8,0.9,0.25,0.313,0.146,0.257,0.289,,,,,,,71.0,90.0,81.0,107.0,88.0,105.0,0.166,0.458,,,1.45,1.38,,,91.7,,82.1,,0.176,0.353,0.206,0.127,0.186,0.547,,,,,,,,,,,,,75.0,91.0,82.0,0.375,-1.09,91.7,0.44,0.547,0.142,,,,,,,,,,,,,,,,,,,,,
58,2024-09-27,746173,Lineout,field_out,True,621493,600917,Taylor Ward,José Leclerc,0,3c66ae07-e1da-406b-bb0e-89da410927c4,600917.0,joseleclerc,Leclerc,Right,José Leclerc,TEX,4.32,3.57,66.2,97.0,110.0,100.0,0.652,12.02,4.32,7.56,0.95,0.82,0.221,0.436,0.166,0.294,0.381,76.0,102.0,94.0,,,,108.0,90.0,99.0,118.0,103.0,104.0,0.348,0.323,,0.102,0.49,0.43,,-1.53,95.3,88.2,82.0,,0.176,0.294,0.32,0.221,0.379,0.457,0.28,0.28,0.5,,,,0.27,0.351,0.241,,,,80.0,95.0,84.0,0.07,1.51,95.0,0.273,0.455,0.191,132.0,97.0,101.0,0.157,-0.26,90.2,,,,,,,,,,,,,,,
59,2024-09-27,746173,Lineout,field_out,True,663993,668943,Nathaniel Lowe,Ryan Miller,0,3448ee3c-01e7-45f5-b8e9-54b939e9f9d2,668943.0,ryanmiller,"Miller, R",Right,Ryan Miller,LAA,4.15,4.58,13.0,100.0,110.0,102.0,0.827,7.62,5.54,9.0,1.38,1.07,0.231,0.385,0.231,0.256,0.461,,,,,,,,,,115.0,102.0,108.0,,0.575,,,,-1.3,,,,,84.4,,,,,0.318,0.5,0.196,,,,,,,,,,0.222,0.444,0.067,111.0,101.0,100.0,0.425,1.03,93.6,0.211,0.368,0.239,,,,,,,,,,,,,,,,,,,,,
60,2024-09-27,746173,Strikeout,strikeout,True,641680,668943,Jonah Heim,Ryan Miller,0,ab5656ec-e5e8-4990-ba7d-3e0ae73dbcae,668943.0,ryanmiller,"Miller, R",Right,Ryan Miller,LAA,4.15,4.58,13.0,100.0,110.0,102.0,0.827,7.62,5.54,9.0,1.38,1.07,0.231,0.385,0.231,0.256,0.461,,,,,,,,,,115.0,102.0,108.0,,0.575,,,,-1.3,,,,,84.4,,,,,0.318,0.5,0.196,,,,,,,,,,0.222,0.444,0.067,111.0,101.0,100.0,0.425,1.03,93.6,0.211,0.368,0.239,,,,,,,,,,,,,,,,,,,,,
61,2024-09-27,746173,Strikeout,strikeout,True,608671,668943,Travis Jankowski,Ryan Miller,0,715b8769-ad15-4133-b187-b7bc958d5c72,668943.0,ryanmiller,"Miller, R",Right,Ryan Miller,LAA,4.15,4.58,13.0,100.0,110.0,102.0,0.827,7.62,5.54,9.0,1.38,1.07,0.231,0.385,0.231,0.256,0.461,,,,,,,,,,115.0,102.0,108.0,,0.575,,,,-1.3,,,,,84.4,,,,,0.318,0.5,0.196,,,,,,,,,,0.222,0.444,0.067,111.0,101.0,100.0,0.425,1.03,93.6,0.211,0.368,0.239,,,,,,,,,,,,,,,,,,,,,
62,2024-09-27,746173,Walk,walk,False,605346,502085,Jack López,David Robertson,0,684f53e4-5d1e-4f57-bd3e-8b6df122f30c,502085.0,davidrobertson,Robertson,Right,David Robertson,TEX,3.0,3.22,72.0,100.0,119.0,105.0,0.73,12.38,3.38,6.63,0.63,1.48,0.213,0.329,0.177,0.341,0.436,110.0,91.0,71.0,,,,,,,108.0,95.0,101.0,0.002,0.067,0.002,0.017,-2.45,-1.78,-4.17,6.28,94.1,88.0,83.7,80.9,,,,0.294,0.529,0.238,0.0,0.0,0.25,0.274,0.393,0.287,0.163,0.209,0.308,,,,107.0,112.0,111.0,0.014,1.85,94.7,0.0,0.0,0.25,121.0,102.0,108.0,0.632,2.18,93.3,119.0,94.0,101.0,0.267,-1.47,84.2,,,,,,,,,
63,2024-09-27,746173,Lineout,field_out,True,676572,502085,Eric Wagaman,David Robertson,0,1c4788d9-96ff-4605-98ef-8d8ef38626ff,502085.0,davidrobertson,Robertson,Right,David Robertson,TEX,3.0,3.22,72.0,100.0,119.0,105.0,0.73,12.38,3.38,6.63,0.63,1.48,0.213,0.329,0.177,0.341,0.436,110.0,91.0,71.0,,,,,,,108.0,95.0,101.0,0.002,0.067,0.002,0.017,-2.45,-1.78,-4.17,6.28,94.1,88.0,83.7,80.9,,,,0.294,0.529,0.238,0.0,0.0,0.25,0.274,0.393,0.287,0.163,0.209,0.308,,,,107.0,112.0,111.0,0.014,1.85,94.7,0.0,0.0,0.25,121.0,102.0,108.0,0.632,2.18,93.3,119.0,94.0,101.0,0.267,-1.47,84.2,,,,,,,,,
