,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,KC%,wFC/C,wKC/C,vFC,vKC,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU
0,2024-07-19,745228,Strikeout,strikeout,True,514888,622491,Jose Altuve,Luis Castillo,0,c6f78a94-a879-4db2-b46a-92165e6832f2,622491.0,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.55,3.82,124.1,104.0,102.0,102.0,0.77,8.61,2.53,7.89,1.09,0.96,0.251,0.437,0.174,0.309,0.394,90.0,104.0,97.0,119.0,105.0,102.0,102.0,101.0,98.0,77.0,105.0,108.0,0.168,0.442,0.236,0.154,0.96,-0.32,1.27,-1.2,95.4,88.1,95.5,85.8,0.2,0.357,0.278,0.189,0.311,0.351,0.306,0.449,0.092,0.289,0.526,0.244,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-07-19,745228,Field Error,field_error,False,608324,622491,Alex Bregman,Luis Castillo,0,c1b7ee6f-92a1-4a06-8935-d702326cdde3,622491.0,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.55,3.82,124.1,104.0,102.0,102.0,0.77,8.61,2.53,7.89,1.09,0.96,0.251,0.437,0.174,0.309,0.394,90.0,104.0,97.0,119.0,105.0,102.0,102.0,101.0,98.0,77.0,105.0,108.0,0.168,0.442,0.236,0.154,0.96,-0.32,1.27,-1.2,95.4,88.1,95.5,85.8,0.2,0.357,0.278,0.189,0.311,0.351,0.306,0.449,0.092,0.289,0.526,0.244,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-07-19,745228,Flyout,field_out,True,670541,622491,Yordan Alvarez,Luis Castillo,0,8cb472b0-d023-48ac-a2fc-62018c4205cd,622491.0,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.55,3.82,124.1,104.0,102.0,102.0,0.77,8.61,2.53,7.89,1.09,0.96,0.251,0.437,0.174,0.309,0.394,90.0,104.0,97.0,119.0,105.0,102.0,102.0,101.0,98.0,77.0,105.0,108.0,0.168,0.442,0.236,0.154,0.96,-0.32,1.27,-1.2,95.4,88.1,95.5,85.8,0.2,0.357,0.278,0.189,0.311,0.351,0.306,0.449,0.092,0.289,0.526,0.244,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-07-19,745228,Forceout,force_out,True,673237,622491,Yainer Diaz,Luis Castillo,1,15c08616-39f6-45d4-be76-9a9d665dccad,622491.0,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.55,3.82,124.1,104.0,102.0,102.0,0.77,8.61,2.53,7.89,1.09,0.96,0.251,0.437,0.174,0.309,0.394,90.0,104.0,97.0,119.0,105.0,102.0,102.0,101.0,98.0,77.0,105.0,108.0,0.168,0.442,0.236,0.154,0.96,-0.32,1.27,-1.2,95.4,88.1,95.5,85.8,0.2,0.357,0.278,0.189,0.311,0.351,0.306,0.449,0.092,0.289,0.526,0.244,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-07-19,745228,Strikeout,strikeout,True,641487,686613,J.P. Crawford,Hunter Brown,0,351c2ec9-3a9d-49b8-b6c2-863164a7fd99,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,4.14,3.49,104.1,101.0,104.0,102.0,0.775,9.49,3.54,8.71,1.21,1.43,0.317,0.317,0.214,0.245,0.431,88.0,102.0,105.0,106.0,101.0,100.0,90.0,100.0,98.0,114.0,105.0,107.0,0.134,0.376,0.071,0.134,-0.55,0.46,1.74,1.13,95.7,88.4,95.5,89.0,0.272,0.483,0.287,0.192,0.192,0.25,0.268,0.304,0.172,0.208,0.271,0.327,130.0,99.0,106.0,95.0,107.0,105.0,0.157,0.127,0.16,-1.93,92.3,82.4,0.236,0.375,0.185,0.28,0.5,0.281,,,,,,
5,2024-07-19,745228,Strikeout,strikeout,True,668942,686613,Josh Rojas,Hunter Brown,0,ca3e6304-02bc-4f4d-b263-22848d7de4f5,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,4.14,3.49,104.1,101.0,104.0,102.0,0.775,9.49,3.54,8.71,1.21,1.43,0.317,0.317,0.214,0.245,0.431,88.0,102.0,105.0,106.0,101.0,100.0,90.0,100.0,98.0,114.0,105.0,107.0,0.134,0.376,0.071,0.134,-0.55,0.46,1.74,1.13,95.7,88.4,95.5,89.0,0.272,0.483,0.287,0.192,0.192,0.25,0.268,0.304,0.172,0.208,0.271,0.327,130.0,99.0,106.0,95.0,107.0,105.0,0.157,0.127,0.16,-1.93,92.3,82.4,0.236,0.375,0.185,0.28,0.5,0.281,,,,,,
6,2024-07-19,745228,Groundout,field_out,True,677594,686613,Julio Rodríguez,Hunter Brown,0,fa41ef2c-91fb-4991-b36d-f5f29b7361cb,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,4.14,3.49,104.1,101.0,104.0,102.0,0.775,9.49,3.54,8.71,1.21,1.43,0.317,0.317,0.214,0.245,0.431,88.0,102.0,105.0,106.0,101.0,100.0,90.0,100.0,98.0,114.0,105.0,107.0,0.134,0.376,0.071,0.134,-0.55,0.46,1.74,1.13,95.7,88.4,95.5,89.0,0.272,0.483,0.287,0.192,0.192,0.25,0.268,0.304,0.172,0.208,0.271,0.327,130.0,99.0,106.0,95.0,107.0,105.0,0.157,0.127,0.16,-1.93,92.3,82.4,0.236,0.375,0.185,0.28,0.5,0.281,,,,,,
7,2024-07-19,745228,Strikeout,strikeout,True,572138,622491,Jon Singleton,Luis Castillo,0,ce93cc10-36c5-4c6a-b86a-721a531e2bd2,622491.0,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.55,3.82,124.1,104.0,102.0,102.0,0.77,8.61,2.53,7.89,1.09,0.96,0.251,0.437,0.174,0.309,0.394,90.0,104.0,97.0,119.0,105.0,102.0,102.0,101.0,98.0,77.0,105.0,108.0,0.168,0.442,0.236,0.154,0.96,-0.32,1.27,-1.2,95.4,88.1,95.5,85.8,0.2,0.357,0.278,0.189,0.311,0.351,0.306,0.449,0.092,0.289,0.526,0.244,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-07-19,745228,Single,single,False,665161,622491,Jeremy Peña,Luis Castillo,0,cc823aca-59a8-4e07-8826-e05cc67608c7,622491.0,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.55,3.82,124.1,104.0,102.0,102.0,0.77,8.61,2.53,7.89,1.09,0.96,0.251,0.437,0.174,0.309,0.394,90.0,104.0,97.0,119.0,105.0,102.0,102.0,101.0,98.0,77.0,105.0,108.0,0.168,0.442,0.236,0.154,0.96,-0.32,1.27,-1.2,95.4,88.1,95.5,85.8,0.2,0.357,0.278,0.189,0.311,0.351,0.306,0.449,0.092,0.289,0.526,0.244,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-07-19,745228,Pop Out,field_out,True,676694,622491,Jake Meyers,Luis Castillo,0,72a4827d-2c3d-4ff5-a580-ed0e0aeff1ee,622491.0,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.55,3.82,124.1,104.0,102.0,102.0,0.77,8.61,2.53,7.89,1.09,0.96,0.251,0.437,0.174,0.309,0.394,90.0,104.0,97.0,119.0,105.0,102.0,102.0,101.0,98.0,77.0,105.0,108.0,0.168,0.442,0.236,0.154,0.96,-0.32,1.27,-1.2,95.4,88.1,95.5,85.8,0.2,0.357,0.278,0.189,0.311,0.351,0.306,0.449,0.092,0.289,0.526,0.244,,,,,,,,,,,,,,,,,,,,,,,,
