,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,FA%,SL%,KC%,CH%,wFA/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSL,vKC,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,wFC/C,wCU/C,vFC,vCU,FC_ba,FC_slg,FC_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,SV_ba,SV_slg,SV_whiff
0,2024-03-29,746412,Strikeout,strikeout,True,650402,664299,Gleyber Torres,Cristian Javier,0,2057e14d-868a-4534-997e-f564741cafbc,664299.0,cristianjavier,Javier,Right,Cristian Javier,HOU,3.89,4.57,34.2,92.0,113.0,97.0,0.765,7.01,4.93,7.79,1.04,0.49,0.221,0.433,0.115,0.288,0.391,137.0,96.0,104.0,101.0,88.0,89.0,113.0,93.0,99.0,81.0,94.0,97.0,0.393,0.295,0.044,0.268,-1.32,0.37,-5.22,1.37,91.7,81.2,77.5,75.2,0.256,0.535,0.27,0.205,0.341,0.25,0.194,0.306,0.276,0.5,0.667,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-03-29,746412,Single,single,False,665742,664299,Juan Soto,Cristian Javier,0,61cd51d2-e311-42ea-88b7-939ccd15da32,664299.0,cristianjavier,Javier,Right,Cristian Javier,HOU,3.89,4.57,34.2,92.0,113.0,97.0,0.765,7.01,4.93,7.79,1.04,0.49,0.221,0.433,0.115,0.288,0.391,137.0,96.0,104.0,101.0,88.0,89.0,113.0,93.0,99.0,81.0,94.0,97.0,0.393,0.295,0.044,0.268,-1.32,0.37,-5.22,1.37,91.7,81.2,77.5,75.2,0.256,0.535,0.27,0.205,0.341,0.25,0.194,0.306,0.276,0.5,0.667,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-03-29,746412,Strikeout,strikeout,True,592450,664299,Aaron Judge,Cristian Javier,0,f35f5a48-4d38-40db-a90c-c269a32fd700,664299.0,cristianjavier,Javier,Right,Cristian Javier,HOU,3.89,4.57,34.2,92.0,113.0,97.0,0.765,7.01,4.93,7.79,1.04,0.49,0.221,0.433,0.115,0.288,0.391,137.0,96.0,104.0,101.0,88.0,89.0,113.0,93.0,99.0,81.0,94.0,97.0,0.393,0.295,0.044,0.268,-1.32,0.37,-5.22,1.37,91.7,81.2,77.5,75.2,0.256,0.535,0.27,0.205,0.341,0.25,0.194,0.306,0.276,0.5,0.667,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-03-29,746412,Pop Out,field_out,True,519203,664299,Anthony Rizzo,Cristian Javier,0,28f1fed5-f38b-4f2d-9f0d-11d615843487,664299.0,cristianjavier,Javier,Right,Cristian Javier,HOU,3.89,4.57,34.2,92.0,113.0,97.0,0.765,7.01,4.93,7.79,1.04,0.49,0.221,0.433,0.115,0.288,0.391,137.0,96.0,104.0,101.0,88.0,89.0,113.0,93.0,99.0,81.0,94.0,97.0,0.393,0.295,0.044,0.268,-1.32,0.37,-5.22,1.37,91.7,81.2,77.5,75.2,0.256,0.535,0.27,0.205,0.341,0.25,0.194,0.306,0.276,0.5,0.667,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-03-29,746412,Double,double,False,514888,607074,Jose Altuve,Carlos Rodón,0,c740d2e3-46e4-49a0-b56a-a022d87687ef,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,NYY,4.63,4.48,107.0,97.0,123.0,103.0,0.726,9.42,2.78,8.75,1.68,0.68,0.266,0.416,0.144,0.308,0.399,127.0,89.0,100.0,116.0,99.0,103.0,143.0,103.0,112.0,,,,0.496,0.265,,0.114,0.17,-1.56,,1.54,95.5,85.3,86.8,,0.261,0.531,0.202,0.237,0.43,0.388,0.171,0.195,0.49,0.333,0.4,0.35,103.0,80.0,88.0,100.0,83.0,83.0,0.056,0.07,-3.1,-1.37,91.8,81.0,0.353,0.647,0.255,,,,,,,,,,,,
5,2024-03-29,746412,Groundout,field_out,True,670541,607074,Yordan Alvarez,Carlos Rodón,1,b8ba256b-44c3-43a7-9546-f25679d2e9c6,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,NYY,4.63,4.48,107.0,97.0,123.0,103.0,0.726,9.42,2.78,8.75,1.68,0.68,0.266,0.416,0.144,0.308,0.399,127.0,89.0,100.0,116.0,99.0,103.0,143.0,103.0,112.0,,,,0.496,0.265,,0.114,0.17,-1.56,,1.54,95.5,85.3,86.8,,0.261,0.531,0.202,0.237,0.43,0.388,0.171,0.195,0.49,0.333,0.4,0.35,103.0,80.0,88.0,100.0,83.0,83.0,0.056,0.07,-3.1,-1.37,91.8,81.0,0.353,0.647,0.255,,,,,,,,,,,,
6,2024-03-29,746412,Strikeout,strikeout,True,663656,607074,Kyle Tucker,Carlos Rodón,0,83c7bfdb-c103-4720-a660-27a01d9756af,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,NYY,4.63,4.48,107.0,97.0,123.0,103.0,0.726,9.42,2.78,8.75,1.68,0.68,0.266,0.416,0.144,0.308,0.399,127.0,89.0,100.0,116.0,99.0,103.0,143.0,103.0,112.0,,,,0.496,0.265,,0.114,0.17,-1.56,,1.54,95.5,85.3,86.8,,0.261,0.531,0.202,0.237,0.43,0.388,0.171,0.195,0.49,0.333,0.4,0.35,103.0,80.0,88.0,100.0,83.0,83.0,0.056,0.07,-3.1,-1.37,91.8,81.0,0.353,0.647,0.255,,,,,,,,,,,,
7,2024-03-29,746412,Single,single,False,608324,607074,Alex Bregman,Carlos Rodón,1,39585124-2571-4a1e-ba53-c0f9ffe72824,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,NYY,4.63,4.48,107.0,97.0,123.0,103.0,0.726,9.42,2.78,8.75,1.68,0.68,0.266,0.416,0.144,0.308,0.399,127.0,89.0,100.0,116.0,99.0,103.0,143.0,103.0,112.0,,,,0.496,0.265,,0.114,0.17,-1.56,,1.54,95.5,85.3,86.8,,0.261,0.531,0.202,0.237,0.43,0.388,0.171,0.195,0.49,0.333,0.4,0.35,103.0,80.0,88.0,100.0,83.0,83.0,0.056,0.07,-3.1,-1.37,91.8,81.0,0.353,0.647,0.255,,,,,,,,,,,,
8,2024-03-29,746412,Flyout,field_out,True,547989,607074,José Abreu,Carlos Rodón,0,c77f5b44-9859-4edd-9aaa-17e0de870046,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,NYY,4.63,4.48,107.0,97.0,123.0,103.0,0.726,9.42,2.78,8.75,1.68,0.68,0.266,0.416,0.144,0.308,0.399,127.0,89.0,100.0,116.0,99.0,103.0,143.0,103.0,112.0,,,,0.496,0.265,,0.114,0.17,-1.56,,1.54,95.5,85.3,86.8,,0.261,0.531,0.202,0.237,0.43,0.388,0.171,0.195,0.49,0.333,0.4,0.35,103.0,80.0,88.0,100.0,83.0,83.0,0.056,0.07,-3.1,-1.37,91.8,81.0,0.353,0.647,0.255,,,,,,,,,,,,
9,2024-03-29,746412,Flyout,field_out,True,519317,664299,Giancarlo Stanton,Cristian Javier,0,ecfedb58-8ef1-4830-a5d3-7c684d39686b,664299.0,cristianjavier,Javier,Right,Cristian Javier,HOU,3.89,4.57,34.2,92.0,113.0,97.0,0.765,7.01,4.93,7.79,1.04,0.49,0.221,0.433,0.115,0.288,0.391,137.0,96.0,104.0,101.0,88.0,89.0,113.0,93.0,99.0,81.0,94.0,97.0,0.393,0.295,0.044,0.268,-1.32,0.37,-5.22,1.37,91.7,81.2,77.5,75.2,0.256,0.535,0.27,0.205,0.341,0.25,0.194,0.306,0.276,0.5,0.667,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,
