,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-09-11,744804,Strikeout,strikeout,True,671739,663623,Michael Harris II,Jake Irvin,0,ac841794-3a76-4a43-80f7-d4293b381585,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,4.07,4.15,179.1,104.0,94.0,101.0,0.803,7.53,2.26,8.23,1.3,1.21,0.237,0.424,0.171,0.333,0.467,99.0,92.0,94.0,111.0,105.0,106.0,81.0,105.0,98.0,97.0,102.0,103.0,110.0,115.0,117.0,78.0,103.0,93.0,0.201,0.376,0.068,0.003,0.316,0.036,0.64,-0.03,-0.28,-14.37,0.13,1.41,94.0,89.9,88.4,93.3,85.9,81.1,0.2,0.364,0.238,0.233,0.432,0.25,0.314,0.472,0.147,0.289,0.533,0.206,0.125,0.125,0.341,,,,,,,,,,,,,,,
1,2024-09-11,744804,Groundout,field_out,True,624585,663623,Jorge Soler,Jake Irvin,0,a597ed52-1fda-4810-b862-86ec70cba275,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,4.07,4.15,179.1,104.0,94.0,101.0,0.803,7.53,2.26,8.23,1.3,1.21,0.237,0.424,0.171,0.333,0.467,99.0,92.0,94.0,111.0,105.0,106.0,81.0,105.0,98.0,97.0,102.0,103.0,110.0,115.0,117.0,78.0,103.0,93.0,0.201,0.376,0.068,0.003,0.316,0.036,0.64,-0.03,-0.28,-14.37,0.13,1.41,94.0,89.9,88.4,93.3,85.9,81.1,0.2,0.364,0.238,0.233,0.432,0.25,0.314,0.472,0.147,0.289,0.533,0.206,0.125,0.125,0.341,,,,,,,,,,,,,,,
2,2024-09-11,744804,Groundout,field_out,True,542303,663623,Marcell Ozuna,Jake Irvin,0,f9dc6f34-188c-4a9e-982f-45891f2db1f5,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,4.07,4.15,179.1,104.0,94.0,101.0,0.803,7.53,2.26,8.23,1.3,1.21,0.237,0.424,0.171,0.333,0.467,99.0,92.0,94.0,111.0,105.0,106.0,81.0,105.0,98.0,97.0,102.0,103.0,110.0,115.0,117.0,78.0,103.0,93.0,0.201,0.376,0.068,0.003,0.316,0.036,0.64,-0.03,-0.28,-14.37,0.13,1.41,94.0,89.9,88.4,93.3,85.9,81.1,0.2,0.364,0.238,0.233,0.432,0.25,0.314,0.472,0.147,0.289,0.533,0.206,0.125,0.125,0.341,,,,,,,,,,,,,,,
3,2024-09-11,744804,Groundout,field_out,True,682928,608331,CJ Abrams,Max Fried,0,5b520155-dc1c-4fc0-83e6-2decc61cd147,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.49,3.76,159.2,98.0,94.0,99.0,0.776,8.51,3.04,7.78,0.73,2.57,0.253,0.434,0.148,0.271,0.411,92.0,101.0,102.0,114.0,103.0,108.0,77.0,93.0,93.0,92.0,99.0,95.0,100.0,96.0,96.0,93.0,95.0,93.0,0.16,0.329,0.058,0.107,0.209,0.137,0.42,-1.47,1.31,0.62,1.32,1.71,93.8,88.5,85.7,93.6,82.2,74.5,0.274,0.376,0.191,0.153,0.288,0.352,0.273,0.309,0.126,0.333,0.524,0.296,0.195,0.268,0.242,0.22,0.293,0.297,0.16,0.16,0.393,,,,,,,,,
4,2024-09-11,744804,Single,single,False,686611,608331,Dylan Crews,Max Fried,0,9928a8ec-3661-4624-aa72-de6544386b07,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.49,3.76,159.2,98.0,94.0,99.0,0.776,8.51,3.04,7.78,0.73,2.57,0.253,0.434,0.148,0.271,0.411,92.0,101.0,102.0,114.0,103.0,108.0,77.0,93.0,93.0,92.0,99.0,95.0,100.0,96.0,96.0,93.0,95.0,93.0,0.16,0.329,0.058,0.107,0.209,0.137,0.42,-1.47,1.31,0.62,1.32,1.71,93.8,88.5,85.7,93.6,82.2,74.5,0.274,0.376,0.191,0.153,0.288,0.352,0.273,0.309,0.126,0.333,0.524,0.296,0.195,0.268,0.242,0.22,0.293,0.297,0.16,0.16,0.393,,,,,,,,,
5,2024-09-11,744804,Grounded Into DP,grounded_into_double_play,True,665953,608331,Andrés Chaparro,Max Fried,1,4de5a7fe-7fba-4128-b7c9-b31082fa4f3a,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.49,3.76,159.2,98.0,94.0,99.0,0.776,8.51,3.04,7.78,0.73,2.57,0.253,0.434,0.148,0.271,0.411,92.0,101.0,102.0,114.0,103.0,108.0,77.0,93.0,93.0,92.0,99.0,95.0,100.0,96.0,96.0,93.0,95.0,93.0,0.16,0.329,0.058,0.107,0.209,0.137,0.42,-1.47,1.31,0.62,1.32,1.71,93.8,88.5,85.7,93.6,82.2,74.5,0.274,0.376,0.191,0.153,0.288,0.352,0.273,0.309,0.126,0.333,0.524,0.296,0.195,0.268,0.242,0.22,0.293,0.297,0.16,0.16,0.393,,,,,,,,,
6,2024-09-11,744804,Strikeout,strikeout,True,621566,663623,Matt Olson,Jake Irvin,0,ed405ebd-e858-4ed5-9116-c1e1dd6b131c,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,4.07,4.15,179.1,104.0,94.0,101.0,0.803,7.53,2.26,8.23,1.3,1.21,0.237,0.424,0.171,0.333,0.467,99.0,92.0,94.0,111.0,105.0,106.0,81.0,105.0,98.0,97.0,102.0,103.0,110.0,115.0,117.0,78.0,103.0,93.0,0.201,0.376,0.068,0.003,0.316,0.036,0.64,-0.03,-0.28,-14.37,0.13,1.41,94.0,89.9,88.4,93.3,85.9,81.1,0.2,0.364,0.238,0.233,0.432,0.25,0.314,0.472,0.147,0.289,0.533,0.206,0.125,0.125,0.341,,,,,,,,,,,,,,,
7,2024-09-11,744804,Groundout,field_out,True,606115,663623,Orlando Arcia,Jake Irvin,0,d4bb4de1-d507-4b66-a1a7-a00dc133355e,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,4.07,4.15,179.1,104.0,94.0,101.0,0.803,7.53,2.26,8.23,1.3,1.21,0.237,0.424,0.171,0.333,0.467,99.0,92.0,94.0,111.0,105.0,106.0,81.0,105.0,98.0,97.0,102.0,103.0,110.0,115.0,117.0,78.0,103.0,93.0,0.201,0.376,0.068,0.003,0.316,0.036,0.64,-0.03,-0.28,-14.37,0.13,1.41,94.0,89.9,88.4,93.3,85.9,81.1,0.2,0.364,0.238,0.233,0.432,0.25,0.314,0.472,0.147,0.289,0.533,0.206,0.125,0.125,0.341,,,,,,,,,,,,,,,
8,2024-09-11,744804,Lineout,field_out,True,657656,663623,Ramón Laureano,Jake Irvin,0,c4c43488-b678-4a17-be01-bc020404ece0,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,4.07,4.15,179.1,104.0,94.0,101.0,0.803,7.53,2.26,8.23,1.3,1.21,0.237,0.424,0.171,0.333,0.467,99.0,92.0,94.0,111.0,105.0,106.0,81.0,105.0,98.0,97.0,102.0,103.0,110.0,115.0,117.0,78.0,103.0,93.0,0.201,0.376,0.068,0.003,0.316,0.036,0.64,-0.03,-0.28,-14.37,0.13,1.41,94.0,89.9,88.4,93.3,85.9,81.1,0.2,0.364,0.238,0.233,0.432,0.25,0.314,0.472,0.147,0.289,0.533,0.206,0.125,0.125,0.341,,,,,,,,,,,,,,,
9,2024-09-11,744804,Groundout,field_out,True,695578,608331,James Wood,Max Fried,0,4b1ad0cb-3523-4548-94b5-8d8ce36785e8,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.49,3.76,159.2,98.0,94.0,99.0,0.776,8.51,3.04,7.78,0.73,2.57,0.253,0.434,0.148,0.271,0.411,92.0,101.0,102.0,114.0,103.0,108.0,77.0,93.0,93.0,92.0,99.0,95.0,100.0,96.0,96.0,93.0,95.0,93.0,0.16,0.329,0.058,0.107,0.209,0.137,0.42,-1.47,1.31,0.62,1.32,1.71,93.8,88.5,85.7,93.6,82.2,74.5,0.274,0.376,0.191,0.153,0.288,0.352,0.273,0.309,0.126,0.333,0.524,0.296,0.195,0.268,0.242,0.22,0.293,0.297,0.16,0.16,0.393,,,,,,,,,
