,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,CH%,wFA/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,wFC/C,wCU/C,vFC,vCU,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff
0,2024-08-09,746113,Double,double,False,643396,656427,Isiah Kiner-Falefa,Jack Flaherty,0,b97668d6-c709-4f9a-87a5-c61f5124198b,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.07,3.27,135.0,104.0,96.0,104.0,0.713,11.13,1.73,7.47,1.4,1.06,0.232,0.435,0.159,0.297,0.384,86.0,86.0,83.0,95.0,106.0,104.0,75.0,83.0,69.0,95.0,105.0,105.0,104.0,105.0,110.0,0.023,0.434,0.304,0.208,0.03,0.61,-5.92,0.23,2.39,-0.26,93.5,85.8,90.7,84.7,77.5,0.248,0.396,0.245,0.212,0.462,0.36,0.156,0.177,0.443,0.111,0.333,0.111,0.6,1.2,0.357,,,,,,,,,,,,,,,,,,
1,2024-08-09,746113,Strikeout,strikeout,True,668804,656427,Bryan Reynolds,Jack Flaherty,0,6daf9b47-2728-4a8f-b65a-93ddf8c94d0c,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.07,3.27,135.0,104.0,96.0,104.0,0.713,11.13,1.73,7.47,1.4,1.06,0.232,0.435,0.159,0.297,0.384,86.0,86.0,83.0,95.0,106.0,104.0,75.0,83.0,69.0,95.0,105.0,105.0,104.0,105.0,110.0,0.023,0.434,0.304,0.208,0.03,0.61,-5.92,0.23,2.39,-0.26,93.5,85.8,90.7,84.7,77.5,0.248,0.396,0.245,0.212,0.462,0.36,0.156,0.177,0.443,0.111,0.333,0.111,0.6,1.2,0.357,,,,,,,,,,,,,,,,,,
2,2024-08-09,746113,Strikeout,strikeout,True,665833,656427,Oneil Cruz,Jack Flaherty,0,fa08269a-9a0a-474c-9e34-96ca640cd8c5,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.07,3.27,135.0,104.0,96.0,104.0,0.713,11.13,1.73,7.47,1.4,1.06,0.232,0.435,0.159,0.297,0.384,86.0,86.0,83.0,95.0,106.0,104.0,75.0,83.0,69.0,95.0,105.0,105.0,104.0,105.0,110.0,0.023,0.434,0.304,0.208,0.03,0.61,-5.92,0.23,2.39,-0.26,93.5,85.8,90.7,84.7,77.5,0.248,0.396,0.245,0.212,0.462,0.36,0.156,0.177,0.443,0.111,0.333,0.111,0.6,1.2,0.357,,,,,,,,,,,,,,,,,,
3,2024-08-09,746113,Groundout,field_out,True,663698,656427,Joey Bart,Jack Flaherty,0,2ad3543b-fa8d-4897-854d-8d48404aa805,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.07,3.27,135.0,104.0,96.0,104.0,0.713,11.13,1.73,7.47,1.4,1.06,0.232,0.435,0.159,0.297,0.384,86.0,86.0,83.0,95.0,106.0,104.0,75.0,83.0,69.0,95.0,105.0,105.0,104.0,105.0,110.0,0.023,0.434,0.304,0.208,0.03,0.61,-5.92,0.23,2.39,-0.26,93.5,85.8,90.7,84.7,77.5,0.248,0.396,0.245,0.212,0.462,0.36,0.156,0.177,0.443,0.111,0.333,0.111,0.6,1.2,0.357,,,,,,,,,,,,,,,,,,
4,2024-08-09,746113,Strikeout,strikeout,True,660271,656605,Shohei Ohtani,Mitch Keller,0,5d53c819-eaa5-4df3-849b-7256efdd1bd4,656605.0,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,3.84,3.92,152.1,102.0,100.0,100.0,0.809,8.15,2.48,8.68,1.0,1.09,0.289,0.384,0.14,0.318,0.446,104.0,105.0,101.0,88.0,103.0,96.0,83.0,101.0,94.0,132.0,104.0,113.0,,,,0.224,0.313,0.241,,0.007,0.37,0.37,-0.54,,-11.28,94.5,90.2,93.6,85.0,,0.25,0.388,0.236,0.302,0.54,0.233,0.265,0.529,0.286,0.75,1.25,0.0,0.248,0.355,0.129,112.0,98.0,105.0,96.0,99.0,98.0,0.123,0.093,-0.11,-0.46,90.5,78.4,0.208,0.352,0.237,0.243,0.514,0.207
5,2024-08-09,746113,Strikeout,strikeout,True,606192,656605,Teoscar Hernández,Mitch Keller,0,95923e93-1c0f-4fbb-85a8-28cc177f182f,656605.0,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,3.84,3.92,152.1,102.0,100.0,100.0,0.809,8.15,2.48,8.68,1.0,1.09,0.289,0.384,0.14,0.318,0.446,104.0,105.0,101.0,88.0,103.0,96.0,83.0,101.0,94.0,132.0,104.0,113.0,,,,0.224,0.313,0.241,,0.007,0.37,0.37,-0.54,,-11.28,94.5,90.2,93.6,85.0,,0.25,0.388,0.236,0.302,0.54,0.233,0.265,0.529,0.286,0.75,1.25,0.0,0.248,0.355,0.129,112.0,98.0,105.0,96.0,99.0,98.0,0.123,0.093,-0.11,-0.46,90.5,78.4,0.208,0.352,0.237,0.243,0.514,0.207
6,2024-08-09,746113,Home Run,home_run,False,518692,656605,Freddie Freeman,Mitch Keller,0,0d963ca6-27d0-4300-8809-438749248725,656605.0,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,3.84,3.92,152.1,102.0,100.0,100.0,0.809,8.15,2.48,8.68,1.0,1.09,0.289,0.384,0.14,0.318,0.446,104.0,105.0,101.0,88.0,103.0,96.0,83.0,101.0,94.0,132.0,104.0,113.0,,,,0.224,0.313,0.241,,0.007,0.37,0.37,-0.54,,-11.28,94.5,90.2,93.6,85.0,,0.25,0.388,0.236,0.302,0.54,0.233,0.265,0.529,0.286,0.75,1.25,0.0,0.248,0.355,0.129,112.0,98.0,105.0,96.0,99.0,98.0,0.123,0.093,-0.11,-0.46,90.5,78.4,0.208,0.352,0.237,0.243,0.514,0.207
7,2024-08-09,746113,Groundout,field_out,True,669257,656605,Will Smith,Mitch Keller,0,2ba67018-ab41-4ebe-a265-16efa873b5b6,656605.0,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,3.84,3.92,152.1,102.0,100.0,100.0,0.809,8.15,2.48,8.68,1.0,1.09,0.289,0.384,0.14,0.318,0.446,104.0,105.0,101.0,88.0,103.0,96.0,83.0,101.0,94.0,132.0,104.0,113.0,,,,0.224,0.313,0.241,,0.007,0.37,0.37,-0.54,,-11.28,94.5,90.2,93.6,85.0,,0.25,0.388,0.236,0.302,0.54,0.233,0.265,0.529,0.286,0.75,1.25,0.0,0.248,0.355,0.129,112.0,98.0,105.0,96.0,99.0,98.0,0.123,0.093,-0.11,-0.46,90.5,78.4,0.208,0.352,0.237,0.243,0.514,0.207
8,2024-08-09,746113,Lineout,field_out,True,642133,656427,Rowdy Tellez,Jack Flaherty,0,3d2025f1-245b-4e95-85ee-dd047eba7d96,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.07,3.27,135.0,104.0,96.0,104.0,0.713,11.13,1.73,7.47,1.4,1.06,0.232,0.435,0.159,0.297,0.384,86.0,86.0,83.0,95.0,106.0,104.0,75.0,83.0,69.0,95.0,105.0,105.0,104.0,105.0,110.0,0.023,0.434,0.304,0.208,0.03,0.61,-5.92,0.23,2.39,-0.26,93.5,85.8,90.7,84.7,77.5,0.248,0.396,0.245,0.212,0.462,0.36,0.156,0.177,0.443,0.111,0.333,0.111,0.6,1.2,0.357,,,,,,,,,,,,,,,,,,
9,2024-08-09,746113,Flyout,field_out,True,650559,656427,Bryan De La Cruz,Jack Flaherty,0,4e32af33-245e-4769-bc13-4828d9b6cbc8,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.07,3.27,135.0,104.0,96.0,104.0,0.713,11.13,1.73,7.47,1.4,1.06,0.232,0.435,0.159,0.297,0.384,86.0,86.0,83.0,95.0,106.0,104.0,75.0,83.0,69.0,95.0,105.0,105.0,104.0,105.0,110.0,0.023,0.434,0.304,0.208,0.03,0.61,-5.92,0.23,2.39,-0.26,93.5,85.8,90.7,84.7,77.5,0.248,0.396,0.245,0.212,0.462,0.36,0.156,0.177,0.443,0.111,0.333,0.111,0.6,1.2,0.357,,,,,,,,,,,,,,,,,,
10,2024-08-09,746113,Groundout,field_out,True,663647,656427,Ke'Bryan Hayes,Jack Flaherty,0,836c5e7b-4ff8-4bc6-ae38-6444b1f391df,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.07,3.27,135.0,104.0,96.0,104.0,0.713,11.13,1.73,7.47,1.4,1.06,0.232,0.435,0.159,0.297,0.384,86.0,86.0,83.0,95.0,106.0,104.0,75.0,83.0,69.0,95.0,105.0,105.0,104.0,105.0,110.0,0.023,0.434,0.304,0.208,0.03,0.61,-5.92,0.23,2.39,-0.26,93.5,85.8,90.7,84.7,77.5,0.248,0.396,0.245,0.212,0.462,0.36,0.156,0.177,0.443,0.111,0.333,0.111,0.6,1.2,0.357,,,,,,,,,,,,,,,,,,
