,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
47,2024-05-15,745015,Hit By Pitch,hit_by_pitch,False,677649,657265,Ezequiel Duran,Peter Strzelecki,1,8c685164-c5ad-43b1-bea7-262f8da41b58,657265.0,peterstrzelecki,Strzelecki,Right,Peter Strzelecki,CLE,0.0,6.63,5.2,91.0,89.0,88.0,0.85,4.76,1.59,7.94,0.0,2.0,0.176,0.353,0.294,0.176,0.415,82.0,88.0,92.0,,,,85.0,95.0,87.0,141.0,93.0,102.0,0.512,0.171,,0.134,0.57,12.28,,-6.89,91.7,82.4,81.5,,0.375,0.375,0.238,0.0,0.0,0.167,0.5,0.5,0.0,,,,75.0,82.0,52.0,0.037,4.05,90.4,,,,,,,,,,,,,32.0,84.0,90.0,0.146,4.51,87.6,,,,,,,,,
48,2024-05-15,745015,Pop Out,field_out,True,665750,657265,Leody Taveras,Peter Strzelecki,0,4a09bae7-5349-49bd-9df0-8514a40cf489,657265.0,peterstrzelecki,Strzelecki,Right,Peter Strzelecki,CLE,0.0,6.63,5.2,91.0,89.0,88.0,0.85,4.76,1.59,7.94,0.0,2.0,0.176,0.353,0.294,0.176,0.415,82.0,88.0,92.0,,,,85.0,95.0,87.0,141.0,93.0,102.0,0.512,0.171,,0.134,0.57,12.28,,-6.89,91.7,82.4,81.5,,0.375,0.375,0.238,0.0,0.0,0.167,0.5,0.5,0.0,,,,75.0,82.0,52.0,0.037,4.05,90.4,,,,,,,,,,,,,32.0,84.0,90.0,0.146,4.51,87.6,,,,,,,,,
49,2024-05-15,745015,Flyout,field_out,True,543760,657265,Marcus Semien,Peter Strzelecki,0,bab85ca2-99fd-458f-8c44-50cbe2dfe302,657265.0,peterstrzelecki,Strzelecki,Right,Peter Strzelecki,CLE,0.0,6.63,5.2,91.0,89.0,88.0,0.85,4.76,1.59,7.94,0.0,2.0,0.176,0.353,0.294,0.176,0.415,82.0,88.0,92.0,,,,85.0,95.0,87.0,141.0,93.0,102.0,0.512,0.171,,0.134,0.57,12.28,,-6.89,91.7,82.4,81.5,,0.375,0.375,0.238,0.0,0.0,0.167,0.5,0.5,0.0,,,,75.0,82.0,52.0,0.037,4.05,90.4,,,,,,,,,,,,,32.0,84.0,90.0,0.146,4.51,87.6,,,,,,,,,
50,2024-05-15,745015,Flyout,field_out,True,686823,592351,Will Brennan,Jon Gray,0,80c045fa-ce3b-4a62-8075-c0a51c852042,592351.0,jongray,"Gray, Jn",Right,Jon Gray,TEX,3.96,4.83,86.1,103.0,83.0,97.0,0.769,7.61,2.4,9.49,0.83,1.0,0.239,0.386,0.136,0.382,0.447,74.0,97.0,92.0,98.0,96.0,103.0,72.0,103.0,91.0,94.0,105.0,104.0,0.447,0.438,0.045,0.069,-0.49,0.93,-1.3,-2.38,94.8,88.6,88.7,78.9,0.303,0.419,0.146,0.218,0.327,0.338,0.308,0.654,0.235,0.5,0.5,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2024-05-15,745015,Single,single,False,700932,592351,Kyle Manzardo,Jon Gray,0,903ad996-43d4-4c21-8fc3-f113419e0a2d,592351.0,jongray,"Gray, Jn",Right,Jon Gray,TEX,3.96,4.83,86.1,103.0,83.0,97.0,0.769,7.61,2.4,9.49,0.83,1.0,0.239,0.386,0.136,0.382,0.447,74.0,97.0,92.0,98.0,96.0,103.0,72.0,103.0,91.0,94.0,105.0,104.0,0.447,0.438,0.045,0.069,-0.49,0.93,-1.3,-2.38,94.8,88.6,88.7,78.9,0.303,0.419,0.146,0.218,0.327,0.338,0.308,0.654,0.235,0.5,0.5,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2024-05-15,745015,Strikeout,strikeout,True,672356,600917,Gabriel Arias,José Leclerc,1,cd5c6c55-9d42-4a86-98f1-e8455aefae02,600917.0,joseleclerc,Leclerc,Right,José Leclerc,TEX,3.95,3.8,41.0,95.0,110.0,98.0,0.628,11.85,5.27,5.49,0.88,0.85,0.217,0.457,0.152,0.348,0.368,66.0,99.0,89.0,,,,107.0,89.0,97.0,119.0,103.0,104.0,0.352,0.33,,0.105,0.85,1.16,,-0.04,95.1,88.1,81.9,,0.128,0.277,0.311,0.193,0.298,0.504,0.111,0.111,0.556,,,,78.0,88.0,81.0,0.046,2.9,94.8,0.2,0.2,0.143,,,,,,,,,,134.0,94.0,99.0,0.167,-0.6,90.0,0.227,0.364,0.259,,,,,,
53,2024-05-15,745015,Hit By Pitch,hit_by_pitch,False,664314,600917,Estevan Florial,José Leclerc,0,b2226cb3-c778-4a0f-8619-2196da994423,600917.0,joseleclerc,Leclerc,Right,José Leclerc,TEX,3.95,3.8,41.0,95.0,110.0,98.0,0.628,11.85,5.27,5.49,0.88,0.85,0.217,0.457,0.152,0.348,0.368,66.0,99.0,89.0,,,,107.0,89.0,97.0,119.0,103.0,104.0,0.352,0.33,,0.105,0.85,1.16,,-0.04,95.1,88.1,81.9,,0.128,0.277,0.311,0.193,0.298,0.504,0.111,0.111,0.556,,,,78.0,88.0,81.0,0.046,2.9,94.8,0.2,0.2,0.143,,,,,,,,,,134.0,94.0,99.0,0.167,-0.6,90.0,0.227,0.364,0.259,,,,,,
54,2024-05-15,745015,Flyout,field_out,True,666310,600917,Bo Naylor,José Leclerc,0,c45adec8-a8fd-4bd0-8d9b-313620ec6d54,600917.0,joseleclerc,Leclerc,Right,José Leclerc,TEX,3.95,3.8,41.0,95.0,110.0,98.0,0.628,11.85,5.27,5.49,0.88,0.85,0.217,0.457,0.152,0.348,0.368,66.0,99.0,89.0,,,,107.0,89.0,97.0,119.0,103.0,104.0,0.352,0.33,,0.105,0.85,1.16,,-0.04,95.1,88.1,81.9,,0.128,0.277,0.311,0.193,0.298,0.504,0.111,0.111,0.556,,,,78.0,88.0,81.0,0.046,2.9,94.8,0.2,0.2,0.143,,,,,,,,,,134.0,94.0,99.0,0.167,-0.6,90.0,0.227,0.364,0.259,,,,,,
55,2024-05-15,745015,Lineout,field_out,True,608369,657265,Corey Seager,Peter Strzelecki,0,b29e7859-68b4-4b96-8640-17abfb8fb122,657265.0,peterstrzelecki,Strzelecki,Right,Peter Strzelecki,CLE,0.0,6.63,5.2,91.0,89.0,88.0,0.85,4.76,1.59,7.94,0.0,2.0,0.176,0.353,0.294,0.176,0.415,82.0,88.0,92.0,,,,85.0,95.0,87.0,141.0,93.0,102.0,0.512,0.171,,0.134,0.57,12.28,,-6.89,91.7,82.4,81.5,,0.375,0.375,0.238,0.0,0.0,0.167,0.5,0.5,0.0,,,,75.0,82.0,52.0,0.037,4.05,90.4,,,,,,,,,,,,,32.0,84.0,90.0,0.146,4.51,87.6,,,,,,,,,
56,2024-05-15,745015,Strikeout,strikeout,True,663993,657265,Nathaniel Lowe,Peter Strzelecki,0,97d4688f-1bb3-4adc-bb40-2167a4ee0f94,657265.0,peterstrzelecki,Strzelecki,Right,Peter Strzelecki,CLE,0.0,6.63,5.2,91.0,89.0,88.0,0.85,4.76,1.59,7.94,0.0,2.0,0.176,0.353,0.294,0.176,0.415,82.0,88.0,92.0,,,,85.0,95.0,87.0,141.0,93.0,102.0,0.512,0.171,,0.134,0.57,12.28,,-6.89,91.7,82.4,81.5,,0.375,0.375,0.238,0.0,0.0,0.167,0.5,0.5,0.0,,,,75.0,82.0,52.0,0.037,4.05,90.4,,,,,,,,,,,,,32.0,84.0,90.0,0.146,4.51,87.6,,,,,,,,,
