,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,SL%,CH%,wSI/C,wSL/C,wCH/C,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,CU%,wFA/C,wFC/C,wCU/C,vFA,vFC,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-05-06,745669,Groundout,field_out,True,543760,622072,Marcus Semien,Alex Wood,0,446ca762-2dc7-40ef-ac31-e2fe38c5dcc8,622072.0,alexwood,Wood,Left,Alex Wood,OAK,5.26,6.58,39.1,99.0,71.0,93.0,0.814,7.55,4.35,11.67,1.37,0.98,0.287,0.318,0.109,0.357,0.44,42.0,103.0,97.0,83.0,100.0,94.0,74.0,94.0,91.0,0.462,0.315,0.224,-1.94,-0.4,-2.72,84.5,90.5,81.4,0.351,0.635,0.199,0.205,0.25,0.288,0.4,0.6,0.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-05-06,745669,Groundout,field_out,True,608369,622072,Corey Seager,Alex Wood,0,6a973ce0-e550-4567-9cd9-66c7bb17455e,622072.0,alexwood,Wood,Left,Alex Wood,OAK,5.26,6.58,39.1,99.0,71.0,93.0,0.814,7.55,4.35,11.67,1.37,0.98,0.287,0.318,0.109,0.357,0.44,42.0,103.0,97.0,83.0,100.0,94.0,74.0,94.0,91.0,0.462,0.315,0.224,-1.94,-0.4,-2.72,84.5,90.5,81.4,0.351,0.635,0.199,0.205,0.25,0.288,0.4,0.6,0.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-05-06,745669,Single,single,False,663993,622072,Nathaniel Lowe,Alex Wood,0,38459265-b26e-4bb1-8f3a-30e5b829eb94,622072.0,alexwood,Wood,Left,Alex Wood,OAK,5.26,6.58,39.1,99.0,71.0,93.0,0.814,7.55,4.35,11.67,1.37,0.98,0.287,0.318,0.109,0.357,0.44,42.0,103.0,97.0,83.0,100.0,94.0,74.0,94.0,91.0,0.462,0.315,0.224,-1.94,-0.4,-2.72,84.5,90.5,81.4,0.351,0.635,0.199,0.205,0.25,0.288,0.4,0.6,0.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-05-06,745669,Strikeout,strikeout,True,666969,622072,Adolis García,Alex Wood,0,11170315-846c-454a-9793-a8e6d6952004,622072.0,alexwood,Wood,Left,Alex Wood,OAK,5.26,6.58,39.1,99.0,71.0,93.0,0.814,7.55,4.35,11.67,1.37,0.98,0.287,0.318,0.109,0.357,0.44,42.0,103.0,97.0,83.0,100.0,94.0,74.0,94.0,91.0,0.462,0.315,0.224,-1.94,-0.4,-2.72,84.5,90.5,81.4,0.351,0.635,0.199,0.205,0.25,0.288,0.4,0.6,0.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-05-06,745669,Flyout,field_out,True,665923,571760,Esteury Ruiz,Andrew Heaney,0,23498e99-4d5a-4c77-a31d-01f8673d76b7,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,TEX,3.79,3.93,95.0,101.0,82.0,99.0,0.751,9.19,2.46,8.81,1.33,0.77,0.26,0.409,0.149,0.285,0.415,85.0,105.0,99.0,,,,89.0,98.0,100.0,,0.29,0.154,,-0.02,1.0,83.8,,82.0,,,,0.252,0.383,0.382,0.256,0.329,0.229,126.0,105.0,102.0,76.0,101.0,98.0,20.0,51.0,51.0,0.522,0.002,0.032,-0.05,-19.18,-7.71,91.5,86.6,75.5,0.22,0.422,0.224,0.8,2.0,0.125,,,,,,,,,,,,,,,,,,
5,2024-05-06,745669,Groundout,field_out,True,663527,571760,Tyler Nevin,Andrew Heaney,0,ea42ccbc-284d-41c5-95d3-707209081a04,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,TEX,3.79,3.93,95.0,101.0,82.0,99.0,0.751,9.19,2.46,8.81,1.33,0.77,0.26,0.409,0.149,0.285,0.415,85.0,105.0,99.0,,,,89.0,98.0,100.0,,0.29,0.154,,-0.02,1.0,83.8,,82.0,,,,0.252,0.383,0.382,0.256,0.329,0.229,126.0,105.0,102.0,76.0,101.0,98.0,20.0,51.0,51.0,0.522,0.002,0.032,-0.05,-19.18,-7.71,91.5,86.6,75.5,0.22,0.422,0.224,0.8,2.0,0.125,,,,,,,,,,,,,,,,,,
6,2024-05-06,745669,Strikeout,strikeout,True,667670,571760,Brent Rooker,Andrew Heaney,0,6debd571-89d1-4ff1-9257-b75102bf6935,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,TEX,3.79,3.93,95.0,101.0,82.0,99.0,0.751,9.19,2.46,8.81,1.33,0.77,0.26,0.409,0.149,0.285,0.415,85.0,105.0,99.0,,,,89.0,98.0,100.0,,0.29,0.154,,-0.02,1.0,83.8,,82.0,,,,0.252,0.383,0.382,0.256,0.329,0.229,126.0,105.0,102.0,76.0,101.0,98.0,20.0,51.0,51.0,0.522,0.002,0.032,-0.05,-19.18,-7.71,91.5,86.6,75.5,0.22,0.422,0.224,0.8,2.0,0.125,,,,,,,,,,,,,,,,,,
7,2024-05-06,745669,Strikeout,strikeout,True,641680,622072,Jonah Heim,Alex Wood,0,bbf1b988-0684-4f9f-aaad-7f353335ca92,622072.0,alexwood,Wood,Left,Alex Wood,OAK,5.26,6.58,39.1,99.0,71.0,93.0,0.814,7.55,4.35,11.67,1.37,0.98,0.287,0.318,0.109,0.357,0.44,42.0,103.0,97.0,83.0,100.0,94.0,74.0,94.0,91.0,0.462,0.315,0.224,-1.94,-0.4,-2.72,84.5,90.5,81.4,0.351,0.635,0.199,0.205,0.25,0.288,0.4,0.6,0.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-05-06,745669,Lineout,field_out,True,677649,622072,Ezequiel Duran,Alex Wood,0,1f28fc97-9045-4d3f-b25a-0e55e18ddc13,622072.0,alexwood,Wood,Left,Alex Wood,OAK,5.26,6.58,39.1,99.0,71.0,93.0,0.814,7.55,4.35,11.67,1.37,0.98,0.287,0.318,0.109,0.357,0.44,42.0,103.0,97.0,83.0,100.0,94.0,74.0,94.0,91.0,0.462,0.315,0.224,-1.94,-0.4,-2.72,84.5,90.5,81.4,0.351,0.635,0.199,0.205,0.25,0.288,0.4,0.6,0.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-05-06,745669,Groundout,field_out,True,673995,622072,Davis Wendzel,Alex Wood,0,899560e1-1161-4f61-947e-fa56e56146d4,622072.0,alexwood,Wood,Left,Alex Wood,OAK,5.26,6.58,39.1,99.0,71.0,93.0,0.814,7.55,4.35,11.67,1.37,0.98,0.287,0.318,0.109,0.357,0.44,42.0,103.0,97.0,83.0,100.0,94.0,74.0,94.0,91.0,0.462,0.315,0.224,-1.94,-0.4,-2.72,84.5,90.5,81.4,0.351,0.635,0.199,0.205,0.25,0.288,0.4,0.6,0.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2024-05-06,745669,Single,single,False,605204,571760,J.D. Davis,Andrew Heaney,0,77225742-d743-4012-a2c2-b722d7c85d8f,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,TEX,3.79,3.93,95.0,101.0,82.0,99.0,0.751,9.19,2.46,8.81,1.33,0.77,0.26,0.409,0.149,0.285,0.415,85.0,105.0,99.0,,,,89.0,98.0,100.0,,0.29,0.154,,-0.02,1.0,83.8,,82.0,,,,0.252,0.383,0.382,0.256,0.329,0.229,126.0,105.0,102.0,76.0,101.0,98.0,20.0,51.0,51.0,0.522,0.002,0.032,-0.05,-19.18,-7.71,91.5,86.6,75.5,0.22,0.422,0.224,0.8,2.0,0.125,,,,,,,,,,,,,,,,,,
11,2024-05-06,745669,Single,single,False,647351,571760,Abraham Toro,Andrew Heaney,1,1761d9f3-bcb2-490a-a2b0-34a2dc52a168,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,TEX,3.79,3.93,95.0,101.0,82.0,99.0,0.751,9.19,2.46,8.81,1.33,0.77,0.26,0.409,0.149,0.285,0.415,85.0,105.0,99.0,,,,89.0,98.0,100.0,,0.29,0.154,,-0.02,1.0,83.8,,82.0,,,,0.252,0.383,0.382,0.256,0.329,0.229,126.0,105.0,102.0,76.0,101.0,98.0,20.0,51.0,51.0,0.522,0.002,0.032,-0.05,-19.18,-7.71,91.5,86.6,75.5,0.22,0.422,0.224,0.8,2.0,0.125,,,,,,,,,,,,,,,,,,
12,2024-05-06,745669,Flyout,field_out,True,669127,571760,Shea Langeliers,Andrew Heaney,1,71d9e005-32a1-4cc5-b66d-a04bfe043aea,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,TEX,3.79,3.93,95.0,101.0,82.0,99.0,0.751,9.19,2.46,8.81,1.33,0.77,0.26,0.409,0.149,0.285,0.415,85.0,105.0,99.0,,,,89.0,98.0,100.0,,0.29,0.154,,-0.02,1.0,83.8,,82.0,,,,0.252,0.383,0.382,0.256,0.329,0.229,126.0,105.0,102.0,76.0,101.0,98.0,20.0,51.0,51.0,0.522,0.002,0.032,-0.05,-19.18,-7.71,91.5,86.6,75.5,0.22,0.422,0.224,0.8,2.0,0.125,,,,,,,,,,,,,,,,,,
