,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FS%,wFS/C,wSI/C,vFS,vSI,FS_ba,FS_slg,FS_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,ST_ba,ST_slg,ST_whiff
0,2024-09-19,746579,Pop Out,field_out,True,622534,676282,Manuel Margot,Joey Cantillo,0,71d24699-7bbe-4e49-b846-05c1ba45e8c1,676282.0,joeycantillo,Cantillo,Left,Joey Cantillo,CLE,4.63,3.95,35.0,95.0,96.0,93.0,0.71,9.51,3.34,7.46,1.54,1.29,0.204,0.473,0.172,0.355,0.434,89.0,90.0,95.0,97.0,110.0,104.0,96.0,91.0,87.0,115.0,103.0,102.0,0.485,0.087,0.142,0.285,-1.38,2.57,1.84,0.55,92.3,77.9,82.5,76.3,0.286,0.589,0.225,0.206,0.294,0.455,0.125,0.25,0.268,0.188,0.375,0.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-09-19,746579,Walk,walk,False,621043,676282,Carlos Correa,Joey Cantillo,0,1eccb453-0d83-4346-bfeb-c01133128d79,676282.0,joeycantillo,Cantillo,Left,Joey Cantillo,CLE,4.63,3.95,35.0,95.0,96.0,93.0,0.71,9.51,3.34,7.46,1.54,1.29,0.204,0.473,0.172,0.355,0.434,89.0,90.0,95.0,97.0,110.0,104.0,96.0,91.0,87.0,115.0,103.0,102.0,0.485,0.087,0.142,0.285,-1.38,2.57,1.84,0.55,92.3,77.9,82.5,76.3,0.286,0.589,0.225,0.206,0.294,0.455,0.125,0.25,0.268,0.188,0.375,0.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-09-19,746579,Flyout,field_out,True,621439,676282,Byron Buxton,Joey Cantillo,0,fb93a52c-eb4b-4486-a0b1-821664d0ab73,676282.0,joeycantillo,Cantillo,Left,Joey Cantillo,CLE,4.63,3.95,35.0,95.0,96.0,93.0,0.71,9.51,3.34,7.46,1.54,1.29,0.204,0.473,0.172,0.355,0.434,89.0,90.0,95.0,97.0,110.0,104.0,96.0,91.0,87.0,115.0,103.0,102.0,0.485,0.087,0.142,0.285,-1.38,2.57,1.84,0.55,92.3,77.9,82.5,76.3,0.286,0.589,0.225,0.206,0.294,0.455,0.125,0.25,0.268,0.188,0.375,0.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-09-19,746579,Strikeout,strikeout,True,467793,676282,Carlos Santana,Joey Cantillo,0,eef613f7-94f2-42d8-a29e-0eed62aa3d60,676282.0,joeycantillo,Cantillo,Left,Joey Cantillo,CLE,4.63,3.95,35.0,95.0,96.0,93.0,0.71,9.51,3.34,7.46,1.54,1.29,0.204,0.473,0.172,0.355,0.434,89.0,90.0,95.0,97.0,110.0,104.0,96.0,91.0,87.0,115.0,103.0,102.0,0.485,0.087,0.142,0.285,-1.38,2.57,1.84,0.55,92.3,77.9,82.5,76.3,0.286,0.589,0.225,0.206,0.294,0.455,0.125,0.25,0.268,0.188,0.375,0.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-09-19,746579,Pop Out,field_out,True,682657,680573,Angel Martínez,Simeon Woods Richardson,0,00451b73-7f04-4b69-aa82-c93c6c0e9f99,680573.0,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,4.0,4.09,132.2,104.0,87.0,100.0,0.807,7.8,3.19,8.07,1.02,0.79,0.292,0.421,0.157,0.279,0.436,103.0,106.0,113.0,106.0,103.0,102.0,71.0,100.0,88.0,93.0,108.0,106.0,0.403,0.312,0.093,0.193,0.93,0.81,1.91,-2.9,93.1,82.8,86.4,76.1,0.251,0.346,0.213,0.295,0.58,0.207,0.167,0.31,0.226,0.212,0.313,0.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-09-19,746579,Home Run,home_run,False,700932,680573,Kyle Manzardo,Simeon Woods Richardson,0,631f2b86-36ae-4ac8-b16b-61647a166b9e,680573.0,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,4.0,4.09,132.2,104.0,87.0,100.0,0.807,7.8,3.19,8.07,1.02,0.79,0.292,0.421,0.157,0.279,0.436,103.0,106.0,113.0,106.0,103.0,102.0,71.0,100.0,88.0,93.0,108.0,106.0,0.403,0.312,0.093,0.193,0.93,0.81,1.91,-2.9,93.1,82.8,86.4,76.1,0.251,0.346,0.213,0.295,0.58,0.207,0.167,0.31,0.226,0.212,0.313,0.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2024-09-19,746579,Pop Out,field_out,True,608070,680573,José Ramírez,Simeon Woods Richardson,0,4c0c11a4-3f24-4e28-bf9a-176606167157,680573.0,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,4.0,4.09,132.2,104.0,87.0,100.0,0.807,7.8,3.19,8.07,1.02,0.79,0.292,0.421,0.157,0.279,0.436,103.0,106.0,113.0,106.0,103.0,102.0,71.0,100.0,88.0,93.0,108.0,106.0,0.403,0.312,0.093,0.193,0.93,0.81,1.91,-2.9,93.1,82.8,86.4,76.1,0.251,0.346,0.213,0.295,0.58,0.207,0.167,0.31,0.226,0.212,0.313,0.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-09-19,746579,Groundout,field_out,True,647304,680573,Josh Naylor,Simeon Woods Richardson,0,f7c839d5-59b7-4da1-ac70-2a29e5f03374,680573.0,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,4.0,4.09,132.2,104.0,87.0,100.0,0.807,7.8,3.19,8.07,1.02,0.79,0.292,0.421,0.157,0.279,0.436,103.0,106.0,113.0,106.0,103.0,102.0,71.0,100.0,88.0,93.0,108.0,106.0,0.403,0.312,0.093,0.193,0.93,0.81,1.91,-2.9,93.1,82.8,86.4,76.1,0.251,0.346,0.213,0.295,0.58,0.207,0.167,0.31,0.226,0.212,0.313,0.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-09-19,746579,Single,single,False,668904,676282,Royce Lewis,Joey Cantillo,0,b186243a-43ff-4c94-9f65-6b83ed2d5154,676282.0,joeycantillo,Cantillo,Left,Joey Cantillo,CLE,4.63,3.95,35.0,95.0,96.0,93.0,0.71,9.51,3.34,7.46,1.54,1.29,0.204,0.473,0.172,0.355,0.434,89.0,90.0,95.0,97.0,110.0,104.0,96.0,91.0,87.0,115.0,103.0,102.0,0.485,0.087,0.142,0.285,-1.38,2.57,1.84,0.55,92.3,77.9,82.5,76.3,0.286,0.589,0.225,0.206,0.294,0.455,0.125,0.25,0.268,0.188,0.375,0.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-09-19,746579,Strikeout,strikeout,True,680777,676282,Ryan Jeffers,Joey Cantillo,0,034833b0-8a88-48bc-b3ed-3dae3daa5435,676282.0,joeycantillo,Cantillo,Left,Joey Cantillo,CLE,4.63,3.95,35.0,95.0,96.0,93.0,0.71,9.51,3.34,7.46,1.54,1.29,0.204,0.473,0.172,0.355,0.434,89.0,90.0,95.0,97.0,110.0,104.0,96.0,91.0,87.0,115.0,103.0,102.0,0.485,0.087,0.142,0.285,-1.38,2.57,1.84,0.55,92.3,77.9,82.5,76.3,0.286,0.589,0.225,0.206,0.294,0.455,0.125,0.25,0.268,0.188,0.375,0.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
