,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSL/C,wCH/C,vFA,vFC,vCH,vSL,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CU%,wSI/C,wCU/C,vSI,vCU,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-07-10,746773,Groundout,field_out,True,686797,689672,Brooks Lee,Drew Thorpe,0,2bf4d82d-c1aa-4962-83e5-ed4456120e19,689672.0,drewthorpe,Thorpe,Right,Drew Thorpe,CHW,3.58,3.56,32.2,98.0,82.0,94.0,0.783,5.23,4.13,5.23,1.1,0.91,0.286,0.378,0.276,0.204,0.375,93.0,105.0,104.0,66.0,96.0,85.0,97.0,97.0,101.0,77.0,91.0,87.0,0.344,0.132,0.17,0.354,0.39,-1.24,0.62,1.57,91.0,85.6,81.5,81.0,0.156,0.333,0.379,0.184,0.368,0.076,0.0,0.0,0.167,0.214,0.571,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-07-10,746773,Groundout,field_out,True,621043,689672,Carlos Correa,Drew Thorpe,0,57e7cb0f-0876-40bf-912b-99c0311d5442,689672.0,drewthorpe,Thorpe,Right,Drew Thorpe,CHW,3.58,3.56,32.2,98.0,82.0,94.0,0.783,5.23,4.13,5.23,1.1,0.91,0.286,0.378,0.276,0.204,0.375,93.0,105.0,104.0,66.0,96.0,85.0,97.0,97.0,101.0,77.0,91.0,87.0,0.344,0.132,0.17,0.354,0.39,-1.24,0.62,1.57,91.0,85.6,81.5,81.0,0.156,0.333,0.379,0.184,0.368,0.076,0.0,0.0,0.167,0.214,0.571,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-07-10,746773,Pop Out,field_out,True,596146,689672,Max Kepler,Drew Thorpe,0,e162f57c-1cb9-40ae-85f3-dbe6c18d1839,689672.0,drewthorpe,Thorpe,Right,Drew Thorpe,CHW,3.58,3.56,32.2,98.0,82.0,94.0,0.783,5.23,4.13,5.23,1.1,0.91,0.286,0.378,0.276,0.204,0.375,93.0,105.0,104.0,66.0,96.0,85.0,97.0,97.0,101.0,77.0,91.0,87.0,0.344,0.132,0.17,0.354,0.39,-1.24,0.62,1.57,91.0,85.6,81.5,81.0,0.156,0.333,0.379,0.184,0.368,0.076,0.0,0.0,0.167,0.214,0.571,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-07-10,746773,Lineout,field_out,True,502054,641154,Tommy Pham,Pablo López,0,2e1690db-1a0e-4aa0-b1c7-4f619482d1d1,641154.0,pablolopez,"López, P",Right,Pablo López,MIN,5.11,3.44,104.0,103.0,97.0,104.0,0.734,10.47,1.99,8.65,1.56,0.99,0.227,0.441,0.136,0.287,0.431,92.0,101.0,101.0,97.0,104.0,101.0,107.0,104.0,110.0,,,,0.394,,0.227,0.194,1.98,,-0.94,-0.41,94.6,,88.4,84.1,0.293,0.387,0.25,0.183,0.34,0.303,0.247,0.464,0.318,,,,83.0,102.0,107.0,97.0,108.0,106.0,0.076,0.11,-3.1,-2.56,94.2,81.9,0.255,0.574,0.338,0.452,0.677,0.095,,,,,,,,,
4,2024-07-10,746773,Groundout,field_out,True,683734,641154,Andrew Vaughn,Pablo López,0,7b9b06c4-37f8-4648-bddd-210226dea00c,641154.0,pablolopez,"López, P",Right,Pablo López,MIN,5.11,3.44,104.0,103.0,97.0,104.0,0.734,10.47,1.99,8.65,1.56,0.99,0.227,0.441,0.136,0.287,0.431,92.0,101.0,101.0,97.0,104.0,101.0,107.0,104.0,110.0,,,,0.394,,0.227,0.194,1.98,,-0.94,-0.41,94.6,,88.4,84.1,0.293,0.387,0.25,0.183,0.34,0.303,0.247,0.464,0.318,,,,83.0,102.0,107.0,97.0,108.0,106.0,0.076,0.11,-3.1,-2.56,94.2,81.9,0.255,0.574,0.338,0.452,0.677,0.095,,,,,,,,,
5,2024-07-10,746773,Groundout,field_out,True,673357,641154,Luis Robert Jr.,Pablo López,0,5f5d0eb4-b252-4f11-9901-fbecbdb68fb7,641154.0,pablolopez,"López, P",Right,Pablo López,MIN,5.11,3.44,104.0,103.0,97.0,104.0,0.734,10.47,1.99,8.65,1.56,0.99,0.227,0.441,0.136,0.287,0.431,92.0,101.0,101.0,97.0,104.0,101.0,107.0,104.0,110.0,,,,0.394,,0.227,0.194,1.98,,-0.94,-0.41,94.6,,88.4,84.1,0.293,0.387,0.25,0.183,0.34,0.303,0.247,0.464,0.318,,,,83.0,102.0,107.0,97.0,108.0,106.0,0.076,0.11,-3.1,-2.56,94.2,81.9,0.255,0.574,0.338,0.452,0.677,0.095,,,,,,,,,
6,2024-07-10,746773,Lineout,field_out,True,669304,689672,Jose Miranda,Drew Thorpe,0,a958fab6-18b6-4b22-8483-2acf07dd0aa3,689672.0,drewthorpe,Thorpe,Right,Drew Thorpe,CHW,3.58,3.56,32.2,98.0,82.0,94.0,0.783,5.23,4.13,5.23,1.1,0.91,0.286,0.378,0.276,0.204,0.375,93.0,105.0,104.0,66.0,96.0,85.0,97.0,97.0,101.0,77.0,91.0,87.0,0.344,0.132,0.17,0.354,0.39,-1.24,0.62,1.57,91.0,85.6,81.5,81.0,0.156,0.333,0.379,0.184,0.368,0.076,0.0,0.0,0.167,0.214,0.571,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-07-10,746773,Flyout,field_out,True,621439,689672,Byron Buxton,Drew Thorpe,0,70c6971a-7649-41e6-9fb5-0c10a2d32ad6,689672.0,drewthorpe,Thorpe,Right,Drew Thorpe,CHW,3.58,3.56,32.2,98.0,82.0,94.0,0.783,5.23,4.13,5.23,1.1,0.91,0.286,0.378,0.276,0.204,0.375,93.0,105.0,104.0,66.0,96.0,85.0,97.0,97.0,101.0,77.0,91.0,87.0,0.344,0.132,0.17,0.354,0.39,-1.24,0.62,1.57,91.0,85.6,81.5,81.0,0.156,0.333,0.379,0.184,0.368,0.076,0.0,0.0,0.167,0.214,0.571,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-07-10,746773,Single,single,False,670242,689672,Matt Wallner,Drew Thorpe,0,28f2eb9d-49fb-4f3a-9854-63b13b980eb5,689672.0,drewthorpe,Thorpe,Right,Drew Thorpe,CHW,3.58,3.56,32.2,98.0,82.0,94.0,0.783,5.23,4.13,5.23,1.1,0.91,0.286,0.378,0.276,0.204,0.375,93.0,105.0,104.0,66.0,96.0,85.0,97.0,97.0,101.0,77.0,91.0,87.0,0.344,0.132,0.17,0.354,0.39,-1.24,0.62,1.57,91.0,85.6,81.5,81.0,0.156,0.333,0.379,0.184,0.368,0.076,0.0,0.0,0.167,0.214,0.571,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-07-10,746773,Forceout,force_out,True,680777,689672,Ryan Jeffers,Drew Thorpe,1,c1890d73-57e2-4b5f-a11f-2a426acd0adb,689672.0,drewthorpe,Thorpe,Right,Drew Thorpe,CHW,3.58,3.56,32.2,98.0,82.0,94.0,0.783,5.23,4.13,5.23,1.1,0.91,0.286,0.378,0.276,0.204,0.375,93.0,105.0,104.0,66.0,96.0,85.0,97.0,97.0,101.0,77.0,91.0,87.0,0.344,0.132,0.17,0.354,0.39,-1.24,0.62,1.57,91.0,85.6,81.5,81.0,0.156,0.333,0.379,0.184,0.368,0.076,0.0,0.0,0.167,0.214,0.571,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,
