,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,wFA/C,wSI/C,wSL/C,wKC/C,vFA,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CH%,wFC/C,wCH/C,vFC,vCH,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-08-05,745184,Groundout,field_out,True,596019,669467,Francisco Lindor,Andre Pallante,0,95bdb679-da0e-4637-b8cf-f8c6b38c00c4,669467.0,andrepallante,Pallante,Right,Andre Pallante,STL,4.07,3.61,79.2,95.0,91.0,96.0,0.816,6.78,3.5,8.36,0.68,2.85,0.239,0.403,0.193,0.247,0.424,87.0,90.0,93.0,84.0,98.0,87.0,116.0,103.0,109.0,89.0,98.0,107.0,0.206,0.5,0.165,0.13,1.16,0.25,-0.08,-0.42,94.8,95.1,88.0,79.9,0.248,0.324,0.176,0.232,0.339,0.155,0.283,0.413,0.28,0.178,0.311,0.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-08-05,745184,Groundout,field_out,True,621438,669467,Tyrone Taylor,Andre Pallante,0,0fd50fc4-7001-4748-921d-9c28de3ffcaa,669467.0,andrepallante,Pallante,Right,Andre Pallante,STL,4.07,3.61,79.2,95.0,91.0,96.0,0.816,6.78,3.5,8.36,0.68,2.85,0.239,0.403,0.193,0.247,0.424,87.0,90.0,93.0,84.0,98.0,87.0,116.0,103.0,109.0,89.0,98.0,107.0,0.206,0.5,0.165,0.13,1.16,0.25,-0.08,-0.42,94.8,95.1,88.0,79.9,0.248,0.324,0.176,0.232,0.339,0.155,0.283,0.413,0.28,0.178,0.311,0.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-08-05,745184,Groundout,field_out,True,607043,669467,Brandon Nimmo,Andre Pallante,0,bb1f9ab8-e314-49f9-b1f5-bee5519abb52,669467.0,andrepallante,Pallante,Right,Andre Pallante,STL,4.07,3.61,79.2,95.0,91.0,96.0,0.816,6.78,3.5,8.36,0.68,2.85,0.239,0.403,0.193,0.247,0.424,87.0,90.0,93.0,84.0,98.0,87.0,116.0,103.0,109.0,89.0,98.0,107.0,0.206,0.5,0.165,0.13,1.16,0.25,-0.08,-0.42,94.8,95.1,88.0,79.9,0.248,0.324,0.176,0.232,0.339,0.155,0.283,0.413,0.28,0.178,0.311,0.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-08-05,745184,Strikeout,strikeout,True,691026,640455,Masyn Winn,Sean Manaea,0,06d6288d-9918-4368-8a3a-1ec31e743af3,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.46,4.13,130.0,97.0,87.0,96.0,0.765,8.93,3.6,7.27,0.9,0.85,0.258,0.379,0.149,0.331,0.439,80.0,104.0,100.0,86.0,100.0,98.0,89.0,88.0,92.0,,,,0.396,0.128,0.262,,0.53,1.09,0.35,,92.5,92.4,80.1,,0.191,0.338,0.272,0.226,0.338,0.201,0.174,0.435,0.32,,,,88.0,97.0,94.0,84.0,87.0,85.0,0.096,0.118,0.99,-1.48,88.4,85.5,0.172,0.312,0.411,0.299,0.463,0.246,0.222,0.25,0.179,,,,,,,,,,,,,,,
4,2024-08-05,745184,Pop Out,field_out,True,502054,640455,Tommy Pham,Sean Manaea,0,1947cb2f-79e6-4058-ba92-6c5773df1f9e,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.46,4.13,130.0,97.0,87.0,96.0,0.765,8.93,3.6,7.27,0.9,0.85,0.258,0.379,0.149,0.331,0.439,80.0,104.0,100.0,86.0,100.0,98.0,89.0,88.0,92.0,,,,0.396,0.128,0.262,,0.53,1.09,0.35,,92.5,92.4,80.1,,0.191,0.338,0.272,0.226,0.338,0.201,0.174,0.435,0.32,,,,88.0,97.0,94.0,84.0,87.0,85.0,0.096,0.118,0.99,-1.48,88.4,85.5,0.172,0.312,0.411,0.299,0.463,0.246,0.222,0.25,0.179,,,,,,,,,,,,,,,
5,2024-08-05,745184,Strikeout,strikeout,True,575929,640455,Willson Contreras,Sean Manaea,0,3bcef5cf-a38e-4964-81fc-769dca0eb066,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.46,4.13,130.0,97.0,87.0,96.0,0.765,8.93,3.6,7.27,0.9,0.85,0.258,0.379,0.149,0.331,0.439,80.0,104.0,100.0,86.0,100.0,98.0,89.0,88.0,92.0,,,,0.396,0.128,0.262,,0.53,1.09,0.35,,92.5,92.4,80.1,,0.191,0.338,0.272,0.226,0.338,0.201,0.174,0.435,0.32,,,,88.0,97.0,94.0,84.0,87.0,85.0,0.096,0.118,0.99,-1.48,88.4,85.5,0.172,0.312,0.411,0.299,0.463,0.246,0.222,0.25,0.179,,,,,,,,,,,,,,,
6,2024-08-05,745184,Strikeout,strikeout,True,502110,669467,J.D. Martinez,Andre Pallante,0,8878fcb3-f800-41c8-b37f-140083a7bcdc,669467.0,andrepallante,Pallante,Right,Andre Pallante,STL,4.07,3.61,79.2,95.0,91.0,96.0,0.816,6.78,3.5,8.36,0.68,2.85,0.239,0.403,0.193,0.247,0.424,87.0,90.0,93.0,84.0,98.0,87.0,116.0,103.0,109.0,89.0,98.0,107.0,0.206,0.5,0.165,0.13,1.16,0.25,-0.08,-0.42,94.8,95.1,88.0,79.9,0.248,0.324,0.176,0.232,0.339,0.155,0.283,0.413,0.28,0.178,0.311,0.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-08-05,745184,Walk,walk,False,624413,669467,Pete Alonso,Andre Pallante,0,b179ff3b-325e-4feb-a375-5856b798429d,669467.0,andrepallante,Pallante,Right,Andre Pallante,STL,4.07,3.61,79.2,95.0,91.0,96.0,0.816,6.78,3.5,8.36,0.68,2.85,0.239,0.403,0.193,0.247,0.424,87.0,90.0,93.0,84.0,98.0,87.0,116.0,103.0,109.0,89.0,98.0,107.0,0.206,0.5,0.165,0.13,1.16,0.25,-0.08,-0.42,94.8,95.1,88.0,79.9,0.248,0.324,0.176,0.232,0.339,0.155,0.283,0.413,0.28,0.178,0.311,0.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-08-05,745184,Single,single,False,578428,669467,Jose Iglesias,Andre Pallante,1,5557ff62-8c54-4cd0-9a9f-2997e9c5977b,669467.0,andrepallante,Pallante,Right,Andre Pallante,STL,4.07,3.61,79.2,95.0,91.0,96.0,0.816,6.78,3.5,8.36,0.68,2.85,0.239,0.403,0.193,0.247,0.424,87.0,90.0,93.0,84.0,98.0,87.0,116.0,103.0,109.0,89.0,98.0,107.0,0.206,0.5,0.165,0.13,1.16,0.25,-0.08,-0.42,94.8,95.1,88.0,79.9,0.248,0.324,0.176,0.232,0.339,0.155,0.283,0.413,0.28,0.178,0.311,0.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-08-05,745184,Forceout,force_out,True,643446,669467,Jeff McNeil,Andre Pallante,1,0a771f2b-8d71-4d27-b3f3-f90c64704a6f,669467.0,andrepallante,Pallante,Right,Andre Pallante,STL,4.07,3.61,79.2,95.0,91.0,96.0,0.816,6.78,3.5,8.36,0.68,2.85,0.239,0.403,0.193,0.247,0.424,87.0,90.0,93.0,84.0,98.0,87.0,116.0,103.0,109.0,89.0,98.0,107.0,0.206,0.5,0.165,0.13,1.16,0.25,-0.08,-0.42,94.8,95.1,88.0,79.9,0.248,0.324,0.176,0.232,0.339,0.155,0.283,0.413,0.28,0.178,0.311,0.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
