,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-09-22,746339,Single,single,False,621493,681293,Taylor Ward,Spencer Arrighetti,0,de24ecec-af41-4202-8210-3fef239ebd71,681293.0,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,4.61,3.98,142.2,99.0,95.0,99.0,0.74,10.54,3.91,8.77,1.32,0.85,0.249,0.435,0.145,0.311,0.446,89.0,97.0,91.0,118.0,99.0,104.0,91.0,100.0,99.0,117.0,93.0,101.0,65.0,99.0,97.0,0.409,0.194,0.11,0.201,0.086,-1.42,0.55,1.02,0.94,-2.7,94.1,88.1,85.5,80.8,78.4,0.307,0.535,0.193,0.254,0.456,0.23,0.171,0.282,0.415,0.113,0.226,0.395,0.405,0.524,0.383,,,,,,,,,,,,,,,,,,,,,
1,2024-09-22,746339,Strikeout,strikeout,True,687263,681293,Zach Neto,Spencer Arrighetti,0,4fbc6d38-a81f-4998-bb8e-66fc1f562eb9,681293.0,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,4.61,3.98,142.2,99.0,95.0,99.0,0.74,10.54,3.91,8.77,1.32,0.85,0.249,0.435,0.145,0.311,0.446,89.0,97.0,91.0,118.0,99.0,104.0,91.0,100.0,99.0,117.0,93.0,101.0,65.0,99.0,97.0,0.409,0.194,0.11,0.201,0.086,-1.42,0.55,1.02,0.94,-2.7,94.1,88.1,85.5,80.8,78.4,0.307,0.535,0.193,0.254,0.456,0.23,0.171,0.282,0.415,0.113,0.226,0.395,0.405,0.524,0.383,,,,,,,,,,,,,,,,,,,,,
2,2024-09-22,746339,Grounded Into DP,grounded_into_double_play,True,592273,681293,Brandon Drury,Spencer Arrighetti,1,3ba11d22-7286-464a-a365-25bc0899e6a5,681293.0,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,4.61,3.98,142.2,99.0,95.0,99.0,0.74,10.54,3.91,8.77,1.32,0.85,0.249,0.435,0.145,0.311,0.446,89.0,97.0,91.0,118.0,99.0,104.0,91.0,100.0,99.0,117.0,93.0,101.0,65.0,99.0,97.0,0.409,0.194,0.11,0.201,0.086,-1.42,0.55,1.02,0.94,-2.7,94.1,88.1,85.5,80.8,78.4,0.307,0.535,0.193,0.254,0.456,0.23,0.171,0.282,0.415,0.113,0.226,0.395,0.405,0.524,0.383,,,,,,,,,,,,,,,,,,,,,
3,2024-09-22,746339,Lineout,field_out,True,514888,656288,Jose Altuve,Griffin Canning,0,31bcab21-f885-4338-9cf1-d60776b0768a,656288.0,griffincanning,Canning,Right,Griffin Canning,LAA,5.24,4.75,166.2,98.0,87.0,97.0,0.772,6.8,3.46,9.18,1.62,1.03,0.229,0.43,0.126,0.363,0.402,96.0,102.0,102.0,74.0,96.0,95.0,72.0,94.0,86.0,106.0,100.0,111.0,,,,0.375,,0.239,0.109,0.267,-0.8,,-1.18,-0.5,0.43,93.4,,88.6,87.8,80.6,0.249,0.524,0.145,,,,0.261,0.37,0.248,,,,0.261,0.391,0.291,75.0,91.0,80.0,0.01,-7.0,93.0,0.294,0.464,0.327,0.429,0.857,0.0,,,,,,,,,
4,2024-09-22,746339,Single,single,False,670541,656288,Yordan Alvarez,Griffin Canning,0,803ba257-a028-425f-98e3-1b53b28b9613,656288.0,griffincanning,Canning,Right,Griffin Canning,LAA,5.24,4.75,166.2,98.0,87.0,97.0,0.772,6.8,3.46,9.18,1.62,1.03,0.229,0.43,0.126,0.363,0.402,96.0,102.0,102.0,74.0,96.0,95.0,72.0,94.0,86.0,106.0,100.0,111.0,,,,0.375,,0.239,0.109,0.267,-0.8,,-1.18,-0.5,0.43,93.4,,88.6,87.8,80.6,0.249,0.524,0.145,,,,0.261,0.37,0.248,,,,0.261,0.391,0.291,75.0,91.0,80.0,0.01,-7.0,93.0,0.294,0.464,0.327,0.429,0.857,0.0,,,,,,,,,
5,2024-09-22,746339,Strikeout,strikeout,True,663656,656288,Kyle Tucker,Griffin Canning,0,127d9b94-8c52-440a-b316-60994f50aefe,656288.0,griffincanning,Canning,Right,Griffin Canning,LAA,5.24,4.75,166.2,98.0,87.0,97.0,0.772,6.8,3.46,9.18,1.62,1.03,0.229,0.43,0.126,0.363,0.402,96.0,102.0,102.0,74.0,96.0,95.0,72.0,94.0,86.0,106.0,100.0,111.0,,,,0.375,,0.239,0.109,0.267,-0.8,,-1.18,-0.5,0.43,93.4,,88.6,87.8,80.6,0.249,0.524,0.145,,,,0.261,0.37,0.248,,,,0.261,0.391,0.291,75.0,91.0,80.0,0.01,-7.0,93.0,0.294,0.464,0.327,0.429,0.857,0.0,,,,,,,,,
6,2024-09-22,746339,Strikeout,strikeout,True,608324,656288,Alex Bregman,Griffin Canning,0,d0d0ccdd-c439-4dfa-961a-df44e679525c,656288.0,griffincanning,Canning,Right,Griffin Canning,LAA,5.24,4.75,166.2,98.0,87.0,97.0,0.772,6.8,3.46,9.18,1.62,1.03,0.229,0.43,0.126,0.363,0.402,96.0,102.0,102.0,74.0,96.0,95.0,72.0,94.0,86.0,106.0,100.0,111.0,,,,0.375,,0.239,0.109,0.267,-0.8,,-1.18,-0.5,0.43,93.4,,88.6,87.8,80.6,0.249,0.524,0.145,,,,0.261,0.37,0.248,,,,0.261,0.391,0.291,75.0,91.0,80.0,0.01,-7.0,93.0,0.294,0.464,0.327,0.429,0.857,0.0,,,,,,,,,
7,2024-09-22,746339,Groundout,field_out,True,676572,681293,Eric Wagaman,Spencer Arrighetti,0,7962ef6d-5a52-44eb-a3d8-91bc036611ee,681293.0,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,4.61,3.98,142.2,99.0,95.0,99.0,0.74,10.54,3.91,8.77,1.32,0.85,0.249,0.435,0.145,0.311,0.446,89.0,97.0,91.0,118.0,99.0,104.0,91.0,100.0,99.0,117.0,93.0,101.0,65.0,99.0,97.0,0.409,0.194,0.11,0.201,0.086,-1.42,0.55,1.02,0.94,-2.7,94.1,88.1,85.5,80.8,78.4,0.307,0.535,0.193,0.254,0.456,0.23,0.171,0.282,0.415,0.113,0.226,0.395,0.405,0.524,0.383,,,,,,,,,,,,,,,,,,,,,
8,2024-09-22,746339,Field Error,field_error,False,666160,681293,Mickey Moniak,Spencer Arrighetti,0,8bf568d3-b0b6-4ef7-8c03-ff7281fbf0d7,681293.0,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,4.61,3.98,142.2,99.0,95.0,99.0,0.74,10.54,3.91,8.77,1.32,0.85,0.249,0.435,0.145,0.311,0.446,89.0,97.0,91.0,118.0,99.0,104.0,91.0,100.0,99.0,117.0,93.0,101.0,65.0,99.0,97.0,0.409,0.194,0.11,0.201,0.086,-1.42,0.55,1.02,0.94,-2.7,94.1,88.1,85.5,80.8,78.4,0.307,0.535,0.193,0.254,0.456,0.23,0.171,0.282,0.415,0.113,0.226,0.395,0.405,0.524,0.383,,,,,,,,,,,,,,,,,,,,,
9,2024-09-22,746339,Flyout,field_out,True,681351,681293,Logan O'Hoppe,Spencer Arrighetti,0,1f4d0050-9353-42db-bccb-72daa2364516,681293.0,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,4.61,3.98,142.2,99.0,95.0,99.0,0.74,10.54,3.91,8.77,1.32,0.85,0.249,0.435,0.145,0.311,0.446,89.0,97.0,91.0,118.0,99.0,104.0,91.0,100.0,99.0,117.0,93.0,101.0,65.0,99.0,97.0,0.409,0.194,0.11,0.201,0.086,-1.42,0.55,1.02,0.94,-2.7,94.1,88.1,85.5,80.8,78.4,0.307,0.535,0.193,0.254,0.456,0.23,0.171,0.282,0.415,0.113,0.226,0.395,0.405,0.524,0.383,,,,,,,,,,,,,,,,,,,,,
