,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,vFA,vFC,vFS,vSI,vSL,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH
0,2024-05-29,746706,Groundout,field_out,True,680977,593423,Brendan Donovan,Frankie Montas,0,84a00607-0a7a-4d9a-b321-56dd42fdcb38,593423.0,frankiemontas,Montas,Right,Frankie Montas,CIN,4.85,4.79,89.0,100.0,99.0,99.0,0.784,7.28,3.84,8.39,1.42,1.07,0.204,0.405,0.178,0.271,0.421,85.0,104.0,98.0,85.0,101.0,97.0,117.0,98.0,100.0,106.0,94.0,92.0,120.0,97.0,106.0,0.155,0.344,0.173,0.218,0.11,-0.34,-2.54,-0.21,1.59,-0.61,95.3,90.2,85.7,94.3,84.9,0.231,0.433,0.19,0.221,0.338,0.121,0.214,0.329,0.426,0.378,0.711,0.209,0.217,0.435,0.294,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-05-29,746706,Flyout,field_out,True,663457,593423,Lars Nootbaar,Frankie Montas,0,00b0d385-e4d0-484f-a7cc-d0861afdfb7a,593423.0,frankiemontas,Montas,Right,Frankie Montas,CIN,4.85,4.79,89.0,100.0,99.0,99.0,0.784,7.28,3.84,8.39,1.42,1.07,0.204,0.405,0.178,0.271,0.421,85.0,104.0,98.0,85.0,101.0,97.0,117.0,98.0,100.0,106.0,94.0,92.0,120.0,97.0,106.0,0.155,0.344,0.173,0.218,0.11,-0.34,-2.54,-0.21,1.59,-0.61,95.3,90.2,85.7,94.3,84.9,0.231,0.433,0.19,0.221,0.338,0.121,0.214,0.329,0.426,0.378,0.711,0.209,0.217,0.435,0.294,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-05-29,746706,Pop Out,field_out,True,502671,593423,Paul Goldschmidt,Frankie Montas,0,28c14b45-782b-4ed2-bc55-971eb3d9504b,593423.0,frankiemontas,Montas,Right,Frankie Montas,CIN,4.85,4.79,89.0,100.0,99.0,99.0,0.784,7.28,3.84,8.39,1.42,1.07,0.204,0.405,0.178,0.271,0.421,85.0,104.0,98.0,85.0,101.0,97.0,117.0,98.0,100.0,106.0,94.0,92.0,120.0,97.0,106.0,0.155,0.344,0.173,0.218,0.11,-0.34,-2.54,-0.21,1.59,-0.61,95.3,90.2,85.7,94.3,84.9,0.231,0.433,0.19,0.221,0.338,0.121,0.214,0.329,0.426,0.378,0.711,0.209,0.217,0.435,0.294,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-05-29,746706,Walk,walk,False,670770,669467,TJ Friedl,Andre Pallante,0,e8913760-9dfa-4b6c-b97a-7631fdbfcb60,669467.0,andrepallante,Pallante,Right,Andre Pallante,STL,4.21,3.64,51.1,95.0,92.0,96.0,0.83,7.19,3.33,9.12,0.88,2.27,0.256,0.365,0.212,0.231,0.425,86.0,90.0,94.0,87.0,98.0,85.0,120.0,101.0,109.0,,,,,,,0.215,0.502,,,0.149,0.91,,,0.26,-2.57,94.8,,,95.1,88.1,0.272,0.37,0.16,0.225,0.325,0.151,,,,,,,0.44,0.64,0.302,93.0,101.0,108.0,0.134,1.18,79.8,0.103,0.207,0.354,,,,,,,,,,,,,,,
4,2024-05-29,746706,Groundout,field_out,True,682829,669467,Elly De La Cruz,Andre Pallante,1,cd96bb89-1fa0-41ae-99e2-956e4d87cec5,669467.0,andrepallante,Pallante,Right,Andre Pallante,STL,4.21,3.64,51.1,95.0,92.0,96.0,0.83,7.19,3.33,9.12,0.88,2.27,0.256,0.365,0.212,0.231,0.425,86.0,90.0,94.0,87.0,98.0,85.0,120.0,101.0,109.0,,,,,,,0.215,0.502,,,0.149,0.91,,,0.26,-2.57,94.8,,,95.1,88.1,0.272,0.37,0.16,0.225,0.325,0.151,,,,,,,0.44,0.64,0.302,93.0,101.0,108.0,0.134,1.18,79.8,0.103,0.207,0.354,,,,,,,,,,,,,,,
5,2024-05-29,746706,Walk,walk,False,600869,669467,Jeimer Candelario,Andre Pallante,0,21906a0c-ad64-4f9a-a3e2-18dde91bc224,669467.0,andrepallante,Pallante,Right,Andre Pallante,STL,4.21,3.64,51.1,95.0,92.0,96.0,0.83,7.19,3.33,9.12,0.88,2.27,0.256,0.365,0.212,0.231,0.425,86.0,90.0,94.0,87.0,98.0,85.0,120.0,101.0,109.0,,,,,,,0.215,0.502,,,0.149,0.91,,,0.26,-2.57,94.8,,,95.1,88.1,0.272,0.37,0.16,0.225,0.325,0.151,,,,,,,0.44,0.64,0.302,93.0,101.0,108.0,0.134,1.18,79.8,0.103,0.207,0.354,,,,,,,,,,,,,,,
6,2024-05-29,746706,Grounded Into DP,grounded_into_double_play,True,641584,669467,Jake Fraley,Andre Pallante,1,119b3c4c-88c6-4305-8696-beec95bf6de0,669467.0,andrepallante,Pallante,Right,Andre Pallante,STL,4.21,3.64,51.1,95.0,92.0,96.0,0.83,7.19,3.33,9.12,0.88,2.27,0.256,0.365,0.212,0.231,0.425,86.0,90.0,94.0,87.0,98.0,85.0,120.0,101.0,109.0,,,,,,,0.215,0.502,,,0.149,0.91,,,0.26,-2.57,94.8,,,95.1,88.1,0.272,0.37,0.16,0.225,0.325,0.151,,,,,,,0.44,0.64,0.302,93.0,101.0,108.0,0.134,1.18,79.8,0.103,0.207,0.354,,,,,,,,,,,,,,,
7,2024-05-29,746706,Lineout,field_out,True,676475,593423,Alec Burleson,Frankie Montas,0,b0b84b8b-afc3-4bb9-8a2b-c798d58fed0d,593423.0,frankiemontas,Montas,Right,Frankie Montas,CIN,4.85,4.79,89.0,100.0,99.0,99.0,0.784,7.28,3.84,8.39,1.42,1.07,0.204,0.405,0.178,0.271,0.421,85.0,104.0,98.0,85.0,101.0,97.0,117.0,98.0,100.0,106.0,94.0,92.0,120.0,97.0,106.0,0.155,0.344,0.173,0.218,0.11,-0.34,-2.54,-0.21,1.59,-0.61,95.3,90.2,85.7,94.3,84.9,0.231,0.433,0.19,0.221,0.338,0.121,0.214,0.329,0.426,0.378,0.711,0.209,0.217,0.435,0.294,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-05-29,746706,Strikeout,strikeout,True,669357,593423,Nolan Gorman,Frankie Montas,0,386772ea-2e6c-4d04-a1ce-a0ff68aa8f11,593423.0,frankiemontas,Montas,Right,Frankie Montas,CIN,4.85,4.79,89.0,100.0,99.0,99.0,0.784,7.28,3.84,8.39,1.42,1.07,0.204,0.405,0.178,0.271,0.421,85.0,104.0,98.0,85.0,101.0,97.0,117.0,98.0,100.0,106.0,94.0,92.0,120.0,97.0,106.0,0.155,0.344,0.173,0.218,0.11,-0.34,-2.54,-0.21,1.59,-0.61,95.3,90.2,85.7,94.3,84.9,0.231,0.433,0.19,0.221,0.338,0.121,0.214,0.329,0.426,0.378,0.711,0.209,0.217,0.435,0.294,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-05-29,746706,Flyout,field_out,True,671056,593423,Iván Herrera,Frankie Montas,0,07406855-7d3c-4704-9383-03d850a6d373,593423.0,frankiemontas,Montas,Right,Frankie Montas,CIN,4.85,4.79,89.0,100.0,99.0,99.0,0.784,7.28,3.84,8.39,1.42,1.07,0.204,0.405,0.178,0.271,0.421,85.0,104.0,98.0,85.0,101.0,97.0,117.0,98.0,100.0,106.0,94.0,92.0,120.0,97.0,106.0,0.155,0.344,0.173,0.218,0.11,-0.34,-2.54,-0.21,1.59,-0.61,95.3,90.2,85.7,94.3,84.9,0.231,0.433,0.19,0.221,0.338,0.121,0.214,0.329,0.426,0.378,0.711,0.209,0.217,0.435,0.294,,,,,,,,,,,,,,,,,,,,,,,,
10,2024-05-29,746706,Pop Out,field_out,True,668715,669467,Spencer Steer,Andre Pallante,0,835be625-402f-4f88-abc4-8901a087b541,669467.0,andrepallante,Pallante,Right,Andre Pallante,STL,4.21,3.64,51.1,95.0,92.0,96.0,0.83,7.19,3.33,9.12,0.88,2.27,0.256,0.365,0.212,0.231,0.425,86.0,90.0,94.0,87.0,98.0,85.0,120.0,101.0,109.0,,,,,,,0.215,0.502,,,0.149,0.91,,,0.26,-2.57,94.8,,,95.1,88.1,0.272,0.37,0.16,0.225,0.325,0.151,,,,,,,0.44,0.64,0.302,93.0,101.0,108.0,0.134,1.18,79.8,0.103,0.207,0.354,,,,,,,,,,,,,,,
