,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
0,2024-09-13,745207,Hit By Pitch,hit_by_pitch,False,543760,676106,Marcus Semien,Emerson Hancock,0,244a1d52-dc2f-4818-88b7-f191110c7201,676106.0,emersonhancock,Hancock,Right,Emerson Hancock,SEA,4.83,5.99,50.1,102.0,86.0,98.0,0.808,5.9,2.68,9.3,1.61,0.81,0.274,0.399,0.232,0.321,0.441,87.0,108.0,108.0,76.0,103.0,94.0,92.0,99.0,93.0,97.0,94.0,94.0,0.328,0.298,0.162,0.213,2.02,-1.98,-2.74,-0.57,93.3,86.6,93.1,84.3,0.339,0.61,0.154,0.233,0.317,0.228,0.2,0.364,0.263,0.28,0.52,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-09-13,745207,Single,single,False,669701,676106,Josh Smith,Emerson Hancock,1,2be6ef4a-3980-4ebf-93e8-180fdafea58e,676106.0,emersonhancock,Hancock,Right,Emerson Hancock,SEA,4.83,5.99,50.1,102.0,86.0,98.0,0.808,5.9,2.68,9.3,1.61,0.81,0.274,0.399,0.232,0.321,0.441,87.0,108.0,108.0,76.0,103.0,94.0,92.0,99.0,93.0,97.0,94.0,94.0,0.328,0.298,0.162,0.213,2.02,-1.98,-2.74,-0.57,93.3,86.6,93.1,84.3,0.339,0.61,0.154,0.233,0.317,0.228,0.2,0.364,0.263,0.28,0.52,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-09-13,745207,Strikeout,strikeout,True,694671,676106,Wyatt Langford,Emerson Hancock,0,5de67a3b-2f08-4a9c-ae5d-1805bc792575,676106.0,emersonhancock,Hancock,Right,Emerson Hancock,SEA,4.83,5.99,50.1,102.0,86.0,98.0,0.808,5.9,2.68,9.3,1.61,0.81,0.274,0.399,0.232,0.321,0.441,87.0,108.0,108.0,76.0,103.0,94.0,92.0,99.0,93.0,97.0,94.0,94.0,0.328,0.298,0.162,0.213,2.02,-1.98,-2.74,-0.57,93.3,86.6,93.1,84.3,0.339,0.61,0.154,0.233,0.317,0.228,0.2,0.364,0.263,0.28,0.52,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-09-13,745207,Flyout,field_out,True,666969,676106,Adolis García,Emerson Hancock,1,a42f887e-1ad0-47b1-8ab9-6cd3ebc5f422,676106.0,emersonhancock,Hancock,Right,Emerson Hancock,SEA,4.83,5.99,50.1,102.0,86.0,98.0,0.808,5.9,2.68,9.3,1.61,0.81,0.274,0.399,0.232,0.321,0.441,87.0,108.0,108.0,76.0,103.0,94.0,92.0,99.0,93.0,97.0,94.0,94.0,0.328,0.298,0.162,0.213,2.02,-1.98,-2.74,-0.57,93.3,86.6,93.1,84.3,0.339,0.61,0.154,0.233,0.317,0.228,0.2,0.364,0.263,0.28,0.52,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-09-13,745207,Single,single,False,663993,676106,Nathaniel Lowe,Emerson Hancock,1,49088349-345a-422f-820a-cd3eb4100c16,676106.0,emersonhancock,Hancock,Right,Emerson Hancock,SEA,4.83,5.99,50.1,102.0,86.0,98.0,0.808,5.9,2.68,9.3,1.61,0.81,0.274,0.399,0.232,0.321,0.441,87.0,108.0,108.0,76.0,103.0,94.0,92.0,99.0,93.0,97.0,94.0,94.0,0.328,0.298,0.162,0.213,2.02,-1.98,-2.74,-0.57,93.3,86.6,93.1,84.3,0.339,0.61,0.154,0.233,0.317,0.228,0.2,0.364,0.263,0.28,0.52,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-09-13,745207,Single,single,False,673962,676106,Josh Jung,Emerson Hancock,1,e02f6dd2-03a4-441e-88f0-39193800546a,676106.0,emersonhancock,Hancock,Right,Emerson Hancock,SEA,4.83,5.99,50.1,102.0,86.0,98.0,0.808,5.9,2.68,9.3,1.61,0.81,0.274,0.399,0.232,0.321,0.441,87.0,108.0,108.0,76.0,103.0,94.0,92.0,99.0,93.0,97.0,94.0,94.0,0.328,0.298,0.162,0.213,2.02,-1.98,-2.74,-0.57,93.3,86.6,93.1,84.3,0.339,0.61,0.154,0.233,0.317,0.228,0.2,0.364,0.263,0.28,0.52,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2024-09-13,745207,Groundout,field_out,True,641680,676106,Jonah Heim,Emerson Hancock,0,0e1de2b6-12b8-473d-bcd9-8864eff3a486,676106.0,emersonhancock,Hancock,Right,Emerson Hancock,SEA,4.83,5.99,50.1,102.0,86.0,98.0,0.808,5.9,2.68,9.3,1.61,0.81,0.274,0.399,0.232,0.321,0.441,87.0,108.0,108.0,76.0,103.0,94.0,92.0,99.0,93.0,97.0,94.0,94.0,0.328,0.298,0.162,0.213,2.02,-1.98,-2.74,-0.57,93.3,86.6,93.1,84.3,0.339,0.61,0.154,0.233,0.317,0.228,0.2,0.364,0.263,0.28,0.52,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-09-13,745207,Single,single,False,645302,594798,Victor Robles,Jacob deGrom,0,fe431477-a553-4a5b-920b-54db9418713b,594798.0,jacobdegrom,deGrom,Right,Jacob deGrom,TEX,0.0,2.27,3.2,101.0,152.0,120.0,0.71,9.82,0.0,9.82,0.0,0.6,0.182,0.364,0.455,0.364,0.459,132.0,91.0,98.0,140.0,106.0,127.0,,,,166.0,97.0,116.0,,0.426,0.508,0.049,2.29,,-1.44,4.56,97.2,90.5,,89.7,,,,0.167,0.333,0.154,,,,0.375,0.375,0.412,127.0,118.0,118.0,0.016,3.94,80.2,,,,,,,,,,,,,,,,,,,,,
8,2024-09-13,745207,Strikeout,strikeout,True,677594,594798,Julio Rodríguez,Jacob deGrom,0,0307456e-17bb-4a38-8b0d-63c55b7cd591,594798.0,jacobdegrom,deGrom,Right,Jacob deGrom,TEX,0.0,2.27,3.2,101.0,152.0,120.0,0.71,9.82,0.0,9.82,0.0,0.6,0.182,0.364,0.455,0.364,0.459,132.0,91.0,98.0,140.0,106.0,127.0,,,,166.0,97.0,116.0,,0.426,0.508,0.049,2.29,,-1.44,4.56,97.2,90.5,,89.7,,,,0.167,0.333,0.154,,,,0.375,0.375,0.412,127.0,118.0,118.0,0.016,3.94,80.2,,,,,,,,,,,,,,,,,,,,,
9,2024-09-13,745207,Flyout,field_out,True,663728,594798,Cal Raleigh,Jacob deGrom,0,946d0c6d-53e8-4b83-8918-2a7c11555f96,594798.0,jacobdegrom,deGrom,Right,Jacob deGrom,TEX,0.0,2.27,3.2,101.0,152.0,120.0,0.71,9.82,0.0,9.82,0.0,0.6,0.182,0.364,0.455,0.364,0.459,132.0,91.0,98.0,140.0,106.0,127.0,,,,166.0,97.0,116.0,,0.426,0.508,0.049,2.29,,-1.44,4.56,97.2,90.5,,89.7,,,,0.167,0.333,0.154,,,,0.375,0.375,0.412,127.0,118.0,118.0,0.016,3.94,80.2,,,,,,,,,,,,,,,,,,,,,
10,2024-09-13,745207,Strikeout,strikeout,True,668227,594798,Randy Arozarena,Jacob deGrom,1,9c6b742b-2622-4f1c-90b9-7364500d0907,594798.0,jacobdegrom,deGrom,Right,Jacob deGrom,TEX,0.0,2.27,3.2,101.0,152.0,120.0,0.71,9.82,0.0,9.82,0.0,0.6,0.182,0.364,0.455,0.364,0.459,132.0,91.0,98.0,140.0,106.0,127.0,,,,166.0,97.0,116.0,,0.426,0.508,0.049,2.29,,-1.44,4.56,97.2,90.5,,89.7,,,,0.167,0.333,0.154,,,,0.375,0.375,0.412,127.0,118.0,118.0,0.016,3.94,80.2,,,,,,,,,,,,,,,,,,,,,
11,2024-09-13,745207,Hit By Pitch,hit_by_pitch,False,677649,676106,Ezequiel Duran,Emerson Hancock,0,e8842113-da19-4b9f-8280-3d17036a1482,676106.0,emersonhancock,Hancock,Right,Emerson Hancock,SEA,4.83,5.99,50.1,102.0,86.0,98.0,0.808,5.9,2.68,9.3,1.61,0.81,0.274,0.399,0.232,0.321,0.441,87.0,108.0,108.0,76.0,103.0,94.0,92.0,99.0,93.0,97.0,94.0,94.0,0.328,0.298,0.162,0.213,2.02,-1.98,-2.74,-0.57,93.3,86.6,93.1,84.3,0.339,0.61,0.154,0.233,0.317,0.228,0.2,0.364,0.263,0.28,0.52,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
