,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,CH%,wFA/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSI,vSL,vKC,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff
0,2024-05-26,745653,Single,single,False,514888,605156,Jose Altuve,Aaron Brooks,0,fde05762-9c48-4e31-a431-335d7182e98e,605156.0,aaronbrooks,Brooks,Right,Aaron Brooks,OAK,5.06,6.58,26.2,101.0,88.0,96.0,0.81,4.05,2.7,11.14,1.35,1.39,0.224,0.429,0.071,0.357,0.4,98.0,100.0,104.0,61.0,90.0,75.0,87.0,107.0,99.0,106.0,104.0,107.0,107.0,98.0,96.0,0.243,0.28,0.325,0.017,0.134,-3.06,0.96,-0.25,5.07,-1.78,92.1,85.0,91.9,85.2,79.5,0.293,0.39,0.068,0.265,0.529,0.281,0.5,0.611,0.208,0.231,0.538,0.308,,,,,,,,,,,,,,,,,,
1,2024-05-26,745653,Grounded Into DP,grounded_into_double_play,True,663656,605156,Kyle Tucker,Aaron Brooks,1,e124a5dc-eed5-4087-a39d-a708e0ea7050,605156.0,aaronbrooks,Brooks,Right,Aaron Brooks,OAK,5.06,6.58,26.2,101.0,88.0,96.0,0.81,4.05,2.7,11.14,1.35,1.39,0.224,0.429,0.071,0.357,0.4,98.0,100.0,104.0,61.0,90.0,75.0,87.0,107.0,99.0,106.0,104.0,107.0,107.0,98.0,96.0,0.243,0.28,0.325,0.017,0.134,-3.06,0.96,-0.25,5.07,-1.78,92.1,85.0,91.9,85.2,79.5,0.293,0.39,0.068,0.265,0.529,0.281,0.5,0.611,0.208,0.231,0.538,0.308,,,,,,,,,,,,,,,,,,
2,2024-05-26,745653,Groundout,field_out,True,670541,605156,Yordan Alvarez,Aaron Brooks,0,26313b44-0515-40e7-aa30-9bd758d60993,605156.0,aaronbrooks,Brooks,Right,Aaron Brooks,OAK,5.06,6.58,26.2,101.0,88.0,96.0,0.81,4.05,2.7,11.14,1.35,1.39,0.224,0.429,0.071,0.357,0.4,98.0,100.0,104.0,61.0,90.0,75.0,87.0,107.0,99.0,106.0,104.0,107.0,107.0,98.0,96.0,0.243,0.28,0.325,0.017,0.134,-3.06,0.96,-0.25,5.07,-1.78,92.1,85.0,91.9,85.2,79.5,0.293,0.39,0.068,0.265,0.529,0.281,0.5,0.611,0.208,0.231,0.538,0.308,,,,,,,,,,,,,,,,,,
3,2024-05-26,745653,Groundout,field_out,True,647351,669854,Abraham Toro,Ronel Blanco,0,f5dd2634-71d7-401e-81ac-f4349b9d5132,669854.0,ronelblanco,Blanco,Right,Ronel Blanco,HOU,2.56,3.56,109.0,99.0,95.0,97.0,0.732,8.26,3.47,5.28,1.32,0.89,0.215,0.461,0.18,0.313,0.405,124.0,103.0,106.0,81.0,94.0,87.0,,,,84.0,103.0,100.0,,,,,0.368,0.323,,0.255,0.03,,2.64,,0.1,93.4,85.1,,86.3,,,,,0.164,0.224,0.31,0.179,0.439,0.188,0.179,0.366,0.353,73.0,98.0,101.0,0.054,2.82,79.1,0.0,0.0,0.476,,,,,,,,,
4,2024-05-26,745653,Lineout,field_out,True,668709,669854,JJ Bleday,Ronel Blanco,0,52774241-92e9-4abb-871b-9f2f00b3e6b6,669854.0,ronelblanco,Blanco,Right,Ronel Blanco,HOU,2.56,3.56,109.0,99.0,95.0,97.0,0.732,8.26,3.47,5.28,1.32,0.89,0.215,0.461,0.18,0.313,0.405,124.0,103.0,106.0,81.0,94.0,87.0,,,,84.0,103.0,100.0,,,,,0.368,0.323,,0.255,0.03,,2.64,,0.1,93.4,85.1,,86.3,,,,,0.164,0.224,0.31,0.179,0.439,0.188,0.179,0.366,0.353,73.0,98.0,101.0,0.054,2.82,79.1,0.0,0.0,0.476,,,,,,,,,
5,2024-05-26,745653,Strikeout,strikeout,True,609280,669854,Miguel Andujar,Ronel Blanco,0,d274808e-1711-481b-bfc5-16a04d7d9598,669854.0,ronelblanco,Blanco,Right,Ronel Blanco,HOU,2.56,3.56,109.0,99.0,95.0,97.0,0.732,8.26,3.47,5.28,1.32,0.89,0.215,0.461,0.18,0.313,0.405,124.0,103.0,106.0,81.0,94.0,87.0,,,,84.0,103.0,100.0,,,,,0.368,0.323,,0.255,0.03,,2.64,,0.1,93.4,85.1,,86.3,,,,,0.164,0.224,0.31,0.179,0.439,0.188,0.179,0.366,0.353,73.0,98.0,101.0,0.054,2.82,79.1,0.0,0.0,0.476,,,,,,,,,
6,2024-05-26,745653,Single,single,False,608324,605156,Alex Bregman,Aaron Brooks,0,3642c2ea-f5da-4150-97bb-ecdf08f33954,605156.0,aaronbrooks,Brooks,Right,Aaron Brooks,OAK,5.06,6.58,26.2,101.0,88.0,96.0,0.81,4.05,2.7,11.14,1.35,1.39,0.224,0.429,0.071,0.357,0.4,98.0,100.0,104.0,61.0,90.0,75.0,87.0,107.0,99.0,106.0,104.0,107.0,107.0,98.0,96.0,0.243,0.28,0.325,0.017,0.134,-3.06,0.96,-0.25,5.07,-1.78,92.1,85.0,91.9,85.2,79.5,0.293,0.39,0.068,0.265,0.529,0.281,0.5,0.611,0.208,0.231,0.538,0.308,,,,,,,,,,,,,,,,,,
7,2024-05-26,745653,Single,single,False,665161,605156,Jeremy Peña,Aaron Brooks,1,36c75856-b13e-40b9-934a-c55db5a7b17a,605156.0,aaronbrooks,Brooks,Right,Aaron Brooks,OAK,5.06,6.58,26.2,101.0,88.0,96.0,0.81,4.05,2.7,11.14,1.35,1.39,0.224,0.429,0.071,0.357,0.4,98.0,100.0,104.0,61.0,90.0,75.0,87.0,107.0,99.0,106.0,104.0,107.0,107.0,98.0,96.0,0.243,0.28,0.325,0.017,0.134,-3.06,0.96,-0.25,5.07,-1.78,92.1,85.0,91.9,85.2,79.5,0.293,0.39,0.068,0.265,0.529,0.281,0.5,0.611,0.208,0.231,0.538,0.308,,,,,,,,,,,,,,,,,,
8,2024-05-26,745653,Grounded Into DP,grounded_into_double_play,True,572138,605156,Jon Singleton,Aaron Brooks,1,113146d2-d83a-4479-96d5-d4730796f909,605156.0,aaronbrooks,Brooks,Right,Aaron Brooks,OAK,5.06,6.58,26.2,101.0,88.0,96.0,0.81,4.05,2.7,11.14,1.35,1.39,0.224,0.429,0.071,0.357,0.4,98.0,100.0,104.0,61.0,90.0,75.0,87.0,107.0,99.0,106.0,104.0,107.0,107.0,98.0,96.0,0.243,0.28,0.325,0.017,0.134,-3.06,0.96,-0.25,5.07,-1.78,92.1,85.0,91.9,85.2,79.5,0.293,0.39,0.068,0.265,0.529,0.281,0.5,0.611,0.208,0.231,0.538,0.308,,,,,,,,,,,,,,,,,,
9,2024-05-26,745653,Groundout,field_out,True,676694,605156,Jake Meyers,Aaron Brooks,0,488a2914-b1f8-4581-856d-3c49031976ae,605156.0,aaronbrooks,Brooks,Right,Aaron Brooks,OAK,5.06,6.58,26.2,101.0,88.0,96.0,0.81,4.05,2.7,11.14,1.35,1.39,0.224,0.429,0.071,0.357,0.4,98.0,100.0,104.0,61.0,90.0,75.0,87.0,107.0,99.0,106.0,104.0,107.0,107.0,98.0,96.0,0.243,0.28,0.325,0.017,0.134,-3.06,0.96,-0.25,5.07,-1.78,92.1,85.0,91.9,85.2,79.5,0.293,0.39,0.068,0.265,0.529,0.281,0.5,0.611,0.208,0.231,0.538,0.308,,,,,,,,,,,,,,,,,,
