,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vKN (sc),Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,KN%,wFA/C,wFC/C,wSI/C,wSL/C,wKN/C,vFA,vFC,vSI,vSL,KC_ba,KC_slg,KC_whiff,FF_ba,FF_slg,FF_whiff,ST_ba,ST_slg,ST_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff
10,2024-07-30,745389,Flyout,field_out,True,630105,607192,Jake Cronenworth,Tyler Glasnow,0,b9c1b503-db71-427c-80a6-5db8a30b5daf,607192.0,tylerglasnow,Glasnow,Right,Tyler Glasnow,LAD,3.49,2.62,134.0,101.0,118.0,106.0,0.715,11.28,2.35,6.18,1.01,1.39,0.215,0.379,0.167,0.29,0.469,,118.0,101.0,103.0,101.0,106.0,108.0,108.0,104.0,109.0,,,,0.087,0.45,,0.277,,0.9,,0.78,1.19,,96.3,,96.6,90.0,,,,0.215,0.421,0.213,,,,0.233,0.395,0.171,,,,139.0,98.0,110.0,0.186,1.95,83.7,0.2,0.333,0.404,0.098,0.174,0.475,,,,,,,,,,,,,,,,,,
11,2024-07-30,745389,Pop Out,field_out,True,605113,663362,Nick Ahmed,Matt Waldron,0,bf5b30df-656f-45fb-a54a-dfd8bac67352,663362.0,mattwaldron,Waldron,Right,Matt Waldron,SDP,4.79,4.0,142.2,104.0,83.0,99.0,0.804,8.2,2.52,8.64,1.2,0.91,0.208,0.4,0.165,0.305,0.439,77.6,57.0,107.0,91.0,73.0,108.0,102.0,115.0,101.0,106.0,83.0,98.0,90.0,0.144,0.191,0.084,0.199,0.382,0.17,1.46,0.98,0.46,-1.08,90.6,87.0,90.0,79.2,0.25,0.403,0.273,0.241,0.42,0.232,0.229,0.458,0.198,0.284,0.389,0.064,0.245,0.408,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2024-07-30,745389,Flyout,field_out,True,660271,663362,Shohei Ohtani,Matt Waldron,0,7c9b816a-a9a3-4a82-b462-c935ceb9e6cb,663362.0,mattwaldron,Waldron,Right,Matt Waldron,SDP,4.79,4.0,142.2,104.0,83.0,99.0,0.804,8.2,2.52,8.64,1.2,0.91,0.208,0.4,0.165,0.305,0.439,77.6,57.0,107.0,91.0,73.0,108.0,102.0,115.0,101.0,106.0,83.0,98.0,90.0,0.144,0.191,0.084,0.199,0.382,0.17,1.46,0.98,0.46,-1.08,90.6,87.0,90.0,79.2,0.25,0.403,0.273,0.241,0.42,0.232,0.229,0.458,0.198,0.284,0.389,0.064,0.245,0.408,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2024-07-30,745389,Flyout,field_out,True,669257,663362,Will Smith,Matt Waldron,0,902269ef-8099-4903-afe3-55057d6cbdb8,663362.0,mattwaldron,Waldron,Right,Matt Waldron,SDP,4.79,4.0,142.2,104.0,83.0,99.0,0.804,8.2,2.52,8.64,1.2,0.91,0.208,0.4,0.165,0.305,0.439,77.6,57.0,107.0,91.0,73.0,108.0,102.0,115.0,101.0,106.0,83.0,98.0,90.0,0.144,0.191,0.084,0.199,0.382,0.17,1.46,0.98,0.46,-1.08,90.6,87.0,90.0,79.2,0.25,0.403,0.273,0.241,0.42,0.232,0.229,0.458,0.198,0.284,0.389,0.064,0.245,0.408,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2024-07-30,745389,Home Run,home_run,False,592518,607192,Manny Machado,Tyler Glasnow,0,5793a6a0-26ac-473e-b09a-21b8f22d40e7,607192.0,tylerglasnow,Glasnow,Right,Tyler Glasnow,LAD,3.49,2.62,134.0,101.0,118.0,106.0,0.715,11.28,2.35,6.18,1.01,1.39,0.215,0.379,0.167,0.29,0.469,,118.0,101.0,103.0,101.0,106.0,108.0,108.0,104.0,109.0,,,,0.087,0.45,,0.277,,0.9,,0.78,1.19,,96.3,,96.6,90.0,,,,0.215,0.421,0.213,,,,0.233,0.395,0.171,,,,139.0,98.0,110.0,0.186,1.95,83.7,0.2,0.333,0.404,0.098,0.174,0.475,,,,,,,,,,,,,,,,,,
15,2024-07-30,745389,Flyout,field_out,True,593428,607192,Xander Bogaerts,Tyler Glasnow,0,012f38a5-e3a1-402f-a1e2-03afb569e0d1,607192.0,tylerglasnow,Glasnow,Right,Tyler Glasnow,LAD,3.49,2.62,134.0,101.0,118.0,106.0,0.715,11.28,2.35,6.18,1.01,1.39,0.215,0.379,0.167,0.29,0.469,,118.0,101.0,103.0,101.0,106.0,108.0,108.0,104.0,109.0,,,,0.087,0.45,,0.277,,0.9,,0.78,1.19,,96.3,,96.6,90.0,,,,0.215,0.421,0.213,,,,0.233,0.395,0.171,,,,139.0,98.0,110.0,0.186,1.95,83.7,0.2,0.333,0.404,0.098,0.174,0.475,,,,,,,,,,,,,,,,,,
16,2024-07-30,745389,Strikeout,strikeout,True,701538,607192,Jackson Merrill,Tyler Glasnow,0,ecc6810a-b0e0-4623-aed8-4f9943d27479,607192.0,tylerglasnow,Glasnow,Right,Tyler Glasnow,LAD,3.49,2.62,134.0,101.0,118.0,106.0,0.715,11.28,2.35,6.18,1.01,1.39,0.215,0.379,0.167,0.29,0.469,,118.0,101.0,103.0,101.0,106.0,108.0,108.0,104.0,109.0,,,,0.087,0.45,,0.277,,0.9,,0.78,1.19,,96.3,,96.6,90.0,,,,0.215,0.421,0.213,,,,0.233,0.395,0.171,,,,139.0,98.0,110.0,0.186,1.95,83.7,0.2,0.333,0.404,0.098,0.174,0.475,,,,,,,,,,,,,,,,,,
17,2024-07-30,745389,Strikeout,strikeout,True,444482,607192,David Peralta,Tyler Glasnow,0,d2fa5f2b-c18c-4148-a366-2c2d9e3c5537,607192.0,tylerglasnow,Glasnow,Right,Tyler Glasnow,LAD,3.49,2.62,134.0,101.0,118.0,106.0,0.715,11.28,2.35,6.18,1.01,1.39,0.215,0.379,0.167,0.29,0.469,,118.0,101.0,103.0,101.0,106.0,108.0,108.0,104.0,109.0,,,,0.087,0.45,,0.277,,0.9,,0.78,1.19,,96.3,,96.6,90.0,,,,0.215,0.421,0.213,,,,0.233,0.395,0.171,,,,139.0,98.0,110.0,0.186,1.95,83.7,0.2,0.333,0.404,0.098,0.174,0.475,,,,,,,,,,,,,,,,,,
18,2024-07-30,745389,Single,single,False,666158,663362,Gavin Lux,Matt Waldron,0,43a47085-05c4-4b1a-9995-7910d3ecf35f,663362.0,mattwaldron,Waldron,Right,Matt Waldron,SDP,4.79,4.0,142.2,104.0,83.0,99.0,0.804,8.2,2.52,8.64,1.2,0.91,0.208,0.4,0.165,0.305,0.439,77.6,57.0,107.0,91.0,73.0,108.0,102.0,115.0,101.0,106.0,83.0,98.0,90.0,0.144,0.191,0.084,0.199,0.382,0.17,1.46,0.98,0.46,-1.08,90.6,87.0,90.0,79.2,0.25,0.403,0.273,0.241,0.42,0.232,0.229,0.458,0.198,0.284,0.389,0.064,0.245,0.408,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2024-07-30,745389,Groundout,field_out,True,606192,663362,Teoscar Hernández,Matt Waldron,1,cbd33e47-98a9-428f-b3cd-43e0163e1d34,663362.0,mattwaldron,Waldron,Right,Matt Waldron,SDP,4.79,4.0,142.2,104.0,83.0,99.0,0.804,8.2,2.52,8.64,1.2,0.91,0.208,0.4,0.165,0.305,0.439,77.6,57.0,107.0,91.0,73.0,108.0,102.0,115.0,101.0,106.0,83.0,98.0,90.0,0.144,0.191,0.084,0.199,0.382,0.17,1.46,0.98,0.46,-1.08,90.6,87.0,90.0,79.2,0.25,0.403,0.273,0.241,0.42,0.232,0.229,0.458,0.198,0.284,0.389,0.064,0.245,0.408,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
