,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,wFC/C,wFS/C,vFC,vFS,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
75,2024-06-07,745737,Walk,walk,False,518692,641656,Freddie Freeman,Ian Hamilton,0,a302be5d-b37e-47d0-9d95-54e2115d8db3,641656.0,ianhamilton,"Hamilton, I",Right,Ian Hamilton,NYY,4.55,4.1,29.2,101.0,117.0,101.0,0.668,9.1,4.25,10.01,0.3,1.39,0.281,0.371,0.135,0.202,0.401,,,,,,,86.0,98.0,96.0,90.0,96.0,93.0,144.0,108.0,109.0,0.247,0.224,0.53,,,1.11,-3.02,-0.09,,,96.3,,95.6,88.4,,0.5,0.615,0.122,0.136,0.273,0.24,,,,0.254,0.343,0.454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2024-06-07,745737,Lineout,field_out,True,669257,641656,Will Smith,Ian Hamilton,0,3cdfd117-8d78-4eec-b446-cfe20d8644f3,641656.0,ianhamilton,"Hamilton, I",Right,Ian Hamilton,NYY,4.55,4.1,29.2,101.0,117.0,101.0,0.668,9.1,4.25,10.01,0.3,1.39,0.281,0.371,0.135,0.202,0.401,,,,,,,86.0,98.0,96.0,90.0,96.0,93.0,144.0,108.0,109.0,0.247,0.224,0.53,,,1.11,-3.02,-0.09,,,96.3,,95.6,88.4,,0.5,0.615,0.122,0.136,0.273,0.24,,,,0.254,0.343,0.454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2024-06-07,745737,Double,double,False,606192,641656,Teoscar Hernández,Ian Hamilton,1,f9608357-21ff-41d9-90c1-7f9b8da89069,641656.0,ianhamilton,"Hamilton, I",Right,Ian Hamilton,NYY,4.55,4.1,29.2,101.0,117.0,101.0,0.668,9.1,4.25,10.01,0.3,1.39,0.281,0.371,0.135,0.202,0.401,,,,,,,86.0,98.0,96.0,90.0,96.0,93.0,144.0,108.0,109.0,0.247,0.224,0.53,,,1.11,-3.02,-0.09,,,96.3,,95.6,88.4,,0.5,0.615,0.122,0.136,0.273,0.24,,,,0.254,0.343,0.454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2024-06-07,745737,Strikeout,strikeout,True,518792,642701,Jason Heyward,Dennis Santana,0,524575e9-e394-4dab-a20e-e571d741c68b,642701.0,dennissantana,"Santana, D",Right,Dennis Santana,- - -,5.9,4.16,39.2,100.0,101.0,98.0,0.768,7.71,3.4,9.76,0.68,0.93,0.215,0.38,0.182,0.281,0.439,78.0,95.0,86.0,,,,103.0,107.0,107.0,95.0,91.0,92.0,109.0,104.0,103.0,0.181,0.211,0.298,,0.079,-0.89,-0.04,-2.57,,0.81,95.8,89.1,95.2,86.6,,0.314,0.457,0.055,0.25,0.417,0.26,0.188,0.25,0.308,0.34,0.604,0.346,,,,103.0,100.0,98.0,,,,0.231,,1.2,,90.4,,,,,0.2,0.36,0.268,,,,,,,,,
79,2024-06-07,745737,Walk,walk,False,681624,642701,Andy Pages,Dennis Santana,0,e657cbc5-0c24-4ddb-8ee0-61e0201cf5cb,642701.0,dennissantana,"Santana, D",Right,Dennis Santana,- - -,5.9,4.16,39.2,100.0,101.0,98.0,0.768,7.71,3.4,9.76,0.68,0.93,0.215,0.38,0.182,0.281,0.439,78.0,95.0,86.0,,,,103.0,107.0,107.0,95.0,91.0,92.0,109.0,104.0,103.0,0.181,0.211,0.298,,0.079,-0.89,-0.04,-2.57,,0.81,95.8,89.1,95.2,86.6,,0.314,0.457,0.055,0.25,0.417,0.26,0.188,0.25,0.308,0.34,0.604,0.346,,,,103.0,100.0,98.0,,,,0.231,,1.2,,90.4,,,,,0.2,0.36,0.268,,,,,,,,,
80,2024-06-07,745737,Flyout,field_out,True,666158,642701,Gavin Lux,Dennis Santana,0,01475c9a-8d1b-461f-8814-73197faef5c2,642701.0,dennissantana,"Santana, D",Right,Dennis Santana,- - -,5.9,4.16,39.2,100.0,101.0,98.0,0.768,7.71,3.4,9.76,0.68,0.93,0.215,0.38,0.182,0.281,0.439,78.0,95.0,86.0,,,,103.0,107.0,107.0,95.0,91.0,92.0,109.0,104.0,103.0,0.181,0.211,0.298,,0.079,-0.89,-0.04,-2.57,,0.81,95.8,89.1,95.2,86.6,,0.314,0.457,0.055,0.25,0.417,0.26,0.188,0.25,0.308,0.34,0.604,0.346,,,,103.0,100.0,98.0,,,,0.231,,1.2,,90.4,,,,,0.2,0.36,0.268,,,,,,,,,
81,2024-06-07,745737,Strikeout,strikeout,True,657077,670990,Alex Verdugo,Yohan Ramírez,0,21a5e0bb-7c2b-4f16-b451-6867750e2eba,670990.0,yohanramirez,"Ramírez, Y",Right,Yohan Ramírez,- - -,4.68,4.1,42.1,94.0,120.0,100.0,0.782,8.93,2.76,8.5,0.85,1.19,0.283,0.408,0.183,0.233,0.441,,,,104.0,93.0,103.0,98.0,91.0,92.0,111.0,90.0,93.0,150.0,98.0,108.0,0.393,0.167,0.311,0.129,,1.16,-0.69,-0.66,0.34,,94.9,,94.4,81.6,81.3,0.317,0.492,0.153,0.226,0.323,0.172,,,,0.229,0.375,0.364,0.125,0.25,0.419,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2024-06-07,745737,Single,single,False,592450,670990,Aaron Judge,Yohan Ramírez,1,cdb4667f-dbca-437a-88a2-264f00adeae7,670990.0,yohanramirez,"Ramírez, Y",Right,Yohan Ramírez,- - -,4.68,4.1,42.1,94.0,120.0,100.0,0.782,8.93,2.76,8.5,0.85,1.19,0.283,0.408,0.183,0.233,0.441,,,,104.0,93.0,103.0,98.0,91.0,92.0,111.0,90.0,93.0,150.0,98.0,108.0,0.393,0.167,0.311,0.129,,1.16,-0.69,-0.66,0.34,,94.9,,94.4,81.6,81.3,0.317,0.492,0.153,0.226,0.323,0.172,,,,0.229,0.375,0.364,0.125,0.25,0.419,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2024-06-07,745737,Strikeout,strikeout,True,519317,670990,Giancarlo Stanton,Yohan Ramírez,0,998ca593-2de4-4b57-82dd-19ba642ab2b4,670990.0,yohanramirez,"Ramírez, Y",Right,Yohan Ramírez,- - -,4.68,4.1,42.1,94.0,120.0,100.0,0.782,8.93,2.76,8.5,0.85,1.19,0.283,0.408,0.183,0.233,0.441,,,,104.0,93.0,103.0,98.0,91.0,92.0,111.0,90.0,93.0,150.0,98.0,108.0,0.393,0.167,0.311,0.129,,1.16,-0.69,-0.66,0.34,,94.9,,94.4,81.6,81.3,0.317,0.492,0.153,0.226,0.323,0.172,,,,0.229,0.375,0.364,0.125,0.25,0.419,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2024-06-07,745737,Pop Out,field_out,True,519203,670990,Anthony Rizzo,Yohan Ramírez,0,893b583a-e236-4044-bcaa-6f2fba952999,670990.0,yohanramirez,"Ramírez, Y",Right,Yohan Ramírez,- - -,4.68,4.1,42.1,94.0,120.0,100.0,0.782,8.93,2.76,8.5,0.85,1.19,0.283,0.408,0.183,0.233,0.441,,,,104.0,93.0,103.0,98.0,91.0,92.0,111.0,90.0,93.0,150.0,98.0,108.0,0.393,0.167,0.311,0.129,,1.16,-0.69,-0.66,0.34,,94.9,,94.4,81.6,81.3,0.317,0.492,0.153,0.226,0.323,0.172,,,,0.229,0.375,0.364,0.125,0.25,0.419,,,,,,,,,,,,,,,,,,,,,,,,,,,
