,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CH%,wFA/C,wSL/C,wCH/C,vFA,vCH,vSL,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,ST_ba,ST_slg,ST_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC
0,2024-08-28,745866,Groundout,field_out,True,593160,701581,Whit Merrifield,David Festa,0,be5d7594-9829-4803-808b-a3561eae1eaa,701581.0,davidfesta,"Festa, D",Right,David Festa,MIN,4.89,4.11,42.1,101.0,100.0,103.0,0.738,10.84,2.55,8.29,1.7,0.79,0.246,0.439,0.193,0.351,0.408,71.0,108.0,107.0,104.0,97.0,98.0,123.0,101.0,106.0,0.407,0.316,0.277,-1.1,1.57,-0.9,94.8,88.5,86.2,0.304,0.571,0.194,0.203,0.339,0.25,0.2,0.5,0.417,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-08-28,745866,Home Run,home_run,False,624585,701581,Jorge Soler,David Festa,0,899b24d2-c075-43bf-965d-0aef09824ac1,701581.0,davidfesta,"Festa, D",Right,David Festa,MIN,4.89,4.11,42.1,101.0,100.0,103.0,0.738,10.84,2.55,8.29,1.7,0.79,0.246,0.439,0.193,0.351,0.408,71.0,108.0,107.0,104.0,97.0,98.0,123.0,101.0,106.0,0.407,0.316,0.277,-1.1,1.57,-0.9,94.8,88.5,86.2,0.304,0.571,0.194,0.203,0.339,0.25,0.2,0.5,0.417,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-08-28,745866,Strikeout,strikeout,True,542303,701581,Marcell Ozuna,David Festa,0,50be6cb8-95d5-40ff-89cb-634d57cf4449,701581.0,davidfesta,"Festa, D",Right,David Festa,MIN,4.89,4.11,42.1,101.0,100.0,103.0,0.738,10.84,2.55,8.29,1.7,0.79,0.246,0.439,0.193,0.351,0.408,71.0,108.0,107.0,104.0,97.0,98.0,123.0,101.0,106.0,0.407,0.316,0.277,-1.1,1.57,-0.9,94.8,88.5,86.2,0.304,0.571,0.194,0.203,0.339,0.25,0.2,0.5,0.417,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-08-28,745866,Groundout,field_out,True,621566,701581,Matt Olson,David Festa,0,551ef022-a790-4ef5-b307-0a91b85455c1,701581.0,davidfesta,"Festa, D",Right,David Festa,MIN,4.89,4.11,42.1,101.0,100.0,103.0,0.738,10.84,2.55,8.29,1.7,0.79,0.246,0.439,0.193,0.351,0.408,71.0,108.0,107.0,104.0,97.0,98.0,123.0,101.0,106.0,0.407,0.316,0.277,-1.1,1.57,-0.9,94.8,88.5,86.2,0.304,0.571,0.194,0.203,0.339,0.25,0.2,0.5,0.417,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-08-28,745866,Pop Out,field_out,True,622534,519242,Manuel Margot,Chris Sale,0,f589bb17-5d9d-4622-8139-9e95cde74b17,519242.0,chrissale,Sale,Left,Chris Sale,ATL,2.58,2.71,153.2,104.0,99.0,103.0,0.712,11.54,1.99,7.2,0.47,1.44,0.248,0.437,0.175,0.243,0.446,62.0,106.0,97.0,97.0,107.0,104.0,111.0,100.0,105.0,0.38,0.403,0.144,-0.07,2.17,2.72,95.0,87.2,78.8,0.277,0.447,0.243,0.173,0.226,0.42,0.163,0.207,0.233,112.0,100.0,97.0,0.074,-1.49,94.3,0.333,0.524,0.139,,,,,,,,,,,,,,,,,,
5,2024-08-28,745866,Strikeout,strikeout,True,680777,519242,Ryan Jeffers,Chris Sale,0,a969cb3f-fdf2-4d99-a76e-9eb467491c5c,519242.0,chrissale,Sale,Left,Chris Sale,ATL,2.58,2.71,153.2,104.0,99.0,103.0,0.712,11.54,1.99,7.2,0.47,1.44,0.248,0.437,0.175,0.243,0.446,62.0,106.0,97.0,97.0,107.0,104.0,111.0,100.0,105.0,0.38,0.403,0.144,-0.07,2.17,2.72,95.0,87.2,78.8,0.277,0.447,0.243,0.173,0.226,0.42,0.163,0.207,0.233,112.0,100.0,97.0,0.074,-1.49,94.3,0.333,0.524,0.139,,,,,,,,,,,,,,,,,,
6,2024-08-28,745866,Strikeout,strikeout,True,669304,519242,Jose Miranda,Chris Sale,0,eeb487c8-5472-405f-85c0-6358d84c91c9,519242.0,chrissale,Sale,Left,Chris Sale,ATL,2.58,2.71,153.2,104.0,99.0,103.0,0.712,11.54,1.99,7.2,0.47,1.44,0.248,0.437,0.175,0.243,0.446,62.0,106.0,97.0,97.0,107.0,104.0,111.0,100.0,105.0,0.38,0.403,0.144,-0.07,2.17,2.72,95.0,87.2,78.8,0.277,0.447,0.243,0.173,0.226,0.42,0.163,0.207,0.233,112.0,100.0,97.0,0.074,-1.49,94.3,0.333,0.524,0.139,,,,,,,,,,,,,,,,,,
7,2024-08-28,745866,Groundout,field_out,True,657656,701581,Ramón Laureano,David Festa,0,137501ed-82b3-44c8-8ebe-8789b2bd69f1,701581.0,davidfesta,"Festa, D",Right,David Festa,MIN,4.89,4.11,42.1,101.0,100.0,103.0,0.738,10.84,2.55,8.29,1.7,0.79,0.246,0.439,0.193,0.351,0.408,71.0,108.0,107.0,104.0,97.0,98.0,123.0,101.0,106.0,0.407,0.316,0.277,-1.1,1.57,-0.9,94.8,88.5,86.2,0.304,0.571,0.194,0.203,0.339,0.25,0.2,0.5,0.417,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-08-28,745866,Flyout,field_out,True,671739,701581,Michael Harris II,David Festa,0,9192d216-9fc1-44e8-baf7-d1b92eb2d29d,701581.0,davidfesta,"Festa, D",Right,David Festa,MIN,4.89,4.11,42.1,101.0,100.0,103.0,0.738,10.84,2.55,8.29,1.7,0.79,0.246,0.439,0.193,0.351,0.408,71.0,108.0,107.0,104.0,97.0,98.0,123.0,101.0,106.0,0.407,0.316,0.277,-1.1,1.57,-0.9,94.8,88.5,86.2,0.304,0.571,0.194,0.203,0.339,0.25,0.2,0.5,0.417,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-08-28,745866,Strikeout,strikeout,True,606115,701581,Orlando Arcia,David Festa,0,b74485b5-7435-406d-ab4b-9b5b91736c66,701581.0,davidfesta,"Festa, D",Right,David Festa,MIN,4.89,4.11,42.1,101.0,100.0,103.0,0.738,10.84,2.55,8.29,1.7,0.79,0.246,0.439,0.193,0.351,0.408,71.0,108.0,107.0,104.0,97.0,98.0,123.0,101.0,106.0,0.407,0.316,0.277,-1.1,1.57,-0.9,94.8,88.5,86.2,0.304,0.571,0.194,0.203,0.339,0.25,0.2,0.5,0.417,,,,,,,,,,,,,,,,,,,,,,,,,,,
