,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,CU%,wFS/C,wCU/C,vFS,vCU,CU_ba,CU_slg,CU_whiff,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
0,2024-04-17,745836,Single,single,False,665833,622663,Oneil Cruz,Luis Severino,0,190111fd-6d0d-4093-ad58-cb5c0e870708,622663.0,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.78,3.91,109.2,100.0,103.0,100.0,0.833,6.65,3.04,7.71,0.98,1.38,0.268,0.372,0.213,0.287,0.443,85.0,93.0,94.0,98.0,102.0,99.0,88.0,97.0,94.0,142.0,102.0,113.0,93.0,94.0,89.0,0.281,0.338,0.075,0.22,0.085,-0.23,-0.79,1.98,0.72,-1.35,96.0,93.0,85.9,95.5,85.8,0.244,0.409,0.201,0.246,0.361,0.137,0.216,0.27,0.283,0.241,0.345,0.207,0.29,0.484,0.143,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-04-17,745836,Flyout,field_out,True,668804,622663,Bryan Reynolds,Luis Severino,0,427e75bb-61c2-4ab0-a61f-2b4e7b1d76f8,622663.0,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.78,3.91,109.2,100.0,103.0,100.0,0.833,6.65,3.04,7.71,0.98,1.38,0.268,0.372,0.213,0.287,0.443,85.0,93.0,94.0,98.0,102.0,99.0,88.0,97.0,94.0,142.0,102.0,113.0,93.0,94.0,89.0,0.281,0.338,0.075,0.22,0.085,-0.23,-0.79,1.98,0.72,-1.35,96.0,93.0,85.9,95.5,85.8,0.244,0.409,0.201,0.246,0.361,0.137,0.216,0.27,0.283,0.241,0.345,0.207,0.29,0.484,0.143,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-04-17,745836,Grounded Into DP,grounded_into_double_play,True,656582,622663,Connor Joe,Luis Severino,1,b5226975-fc96-4b65-bea7-da49cfe91f8a,622663.0,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.78,3.91,109.2,100.0,103.0,100.0,0.833,6.65,3.04,7.71,0.98,1.38,0.268,0.372,0.213,0.287,0.443,85.0,93.0,94.0,98.0,102.0,99.0,88.0,97.0,94.0,142.0,102.0,113.0,93.0,94.0,89.0,0.281,0.338,0.075,0.22,0.085,-0.23,-0.79,1.98,0.72,-1.35,96.0,93.0,85.9,95.5,85.8,0.244,0.409,0.201,0.246,0.361,0.137,0.216,0.27,0.283,0.241,0.345,0.207,0.29,0.484,0.143,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-04-17,745836,Single,single,False,607043,663559,Brandon Nimmo,Bailey Falter,0,664ae86e-7915-44d4-8554-e61a90936a58,663559.0,baileyfalter,Falter,Left,Bailey Falter,PIT,4.08,4.96,90.1,100.0,89.0,96.0,0.827,6.08,2.79,7.97,1.2,0.79,0.283,0.351,0.149,0.293,0.48,,,,84.0,101.0,95.0,99.0,102.0,98.0,88.0,95.0,94.0,,,,0.144,0.511,,0.161,,1.03,,1.24,-0.06,,91.7,,,91.9,85.6,0.229,0.36,0.167,0.262,0.492,0.144,0.245,0.286,0.32,,,,,,,100.0,100.0,99.0,37.0,97.0,75.0,0.01,0.174,-6.89,-0.34,87.0,77.0,0.256,0.488,0.197,0.333,1.333,0.125,,,,,,
4,2024-04-17,745836,Strikeout,strikeout,True,516782,663559,Starling Marte,Bailey Falter,0,3944df21-daa6-446f-bdd1-6171db2b459c,663559.0,baileyfalter,Falter,Left,Bailey Falter,PIT,4.08,4.96,90.1,100.0,89.0,96.0,0.827,6.08,2.79,7.97,1.2,0.79,0.283,0.351,0.149,0.293,0.48,,,,84.0,101.0,95.0,99.0,102.0,98.0,88.0,95.0,94.0,,,,0.144,0.511,,0.161,,1.03,,1.24,-0.06,,91.7,,,91.9,85.6,0.229,0.36,0.167,0.262,0.492,0.144,0.245,0.286,0.32,,,,,,,100.0,100.0,99.0,37.0,97.0,75.0,0.01,0.174,-6.89,-0.34,87.0,77.0,0.256,0.488,0.197,0.333,1.333,0.125,,,,,,
5,2024-04-17,745836,Lineout,field_out,True,596019,663559,Francisco Lindor,Bailey Falter,0,958e909e-14a1-43df-8dd4-43df2c9836fc,663559.0,baileyfalter,Falter,Left,Bailey Falter,PIT,4.08,4.96,90.1,100.0,89.0,96.0,0.827,6.08,2.79,7.97,1.2,0.79,0.283,0.351,0.149,0.293,0.48,,,,84.0,101.0,95.0,99.0,102.0,98.0,88.0,95.0,94.0,,,,0.144,0.511,,0.161,,1.03,,1.24,-0.06,,91.7,,,91.9,85.6,0.229,0.36,0.167,0.262,0.492,0.144,0.245,0.286,0.32,,,,,,,100.0,100.0,99.0,37.0,97.0,75.0,0.01,0.174,-6.89,-0.34,87.0,77.0,0.256,0.488,0.197,0.333,1.333,0.125,,,,,,
6,2024-04-17,745836,Flyout,field_out,True,624413,663559,Pete Alonso,Bailey Falter,0,88443804-2780-4d06-b363-4f9f97453b8e,663559.0,baileyfalter,Falter,Left,Bailey Falter,PIT,4.08,4.96,90.1,100.0,89.0,96.0,0.827,6.08,2.79,7.97,1.2,0.79,0.283,0.351,0.149,0.293,0.48,,,,84.0,101.0,95.0,99.0,102.0,98.0,88.0,95.0,94.0,,,,0.144,0.511,,0.161,,1.03,,1.24,-0.06,,91.7,,,91.9,85.6,0.229,0.36,0.167,0.262,0.492,0.144,0.245,0.286,0.32,,,,,,,100.0,100.0,99.0,37.0,97.0,75.0,0.01,0.174,-6.89,-0.34,87.0,77.0,0.256,0.488,0.197,0.333,1.333,0.125,,,,,,
7,2024-04-17,745836,Single,single,False,642133,622663,Rowdy Tellez,Luis Severino,0,8b599122-7783-4ce6-9308-b0c3db516146,622663.0,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.78,3.91,109.2,100.0,103.0,100.0,0.833,6.65,3.04,7.71,0.98,1.38,0.268,0.372,0.213,0.287,0.443,85.0,93.0,94.0,98.0,102.0,99.0,88.0,97.0,94.0,142.0,102.0,113.0,93.0,94.0,89.0,0.281,0.338,0.075,0.22,0.085,-0.23,-0.79,1.98,0.72,-1.35,96.0,93.0,85.9,95.5,85.8,0.244,0.409,0.201,0.246,0.361,0.137,0.216,0.27,0.283,0.241,0.345,0.207,0.29,0.484,0.143,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-04-17,745836,Strikeout,strikeout,True,658668,622663,Edward Olivares,Luis Severino,0,b9c3cdeb-1b88-41d8-9bc4-f750fb5ee933,622663.0,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.78,3.91,109.2,100.0,103.0,100.0,0.833,6.65,3.04,7.71,0.98,1.38,0.268,0.372,0.213,0.287,0.443,85.0,93.0,94.0,98.0,102.0,99.0,88.0,97.0,94.0,142.0,102.0,113.0,93.0,94.0,89.0,0.281,0.338,0.075,0.22,0.085,-0.23,-0.79,1.98,0.72,-1.35,96.0,93.0,85.9,95.5,85.8,0.244,0.409,0.201,0.246,0.361,0.137,0.216,0.27,0.283,0.241,0.345,0.207,0.29,0.484,0.143,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-04-17,745836,Groundout,field_out,True,669261,622663,Jack Suwinski,Luis Severino,1,7af9bc8d-7ab1-4684-993f-9cd0fcf8e438,622663.0,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.78,3.91,109.2,100.0,103.0,100.0,0.833,6.65,3.04,7.71,0.98,1.38,0.268,0.372,0.213,0.287,0.443,85.0,93.0,94.0,98.0,102.0,99.0,88.0,97.0,94.0,142.0,102.0,113.0,93.0,94.0,89.0,0.281,0.338,0.075,0.22,0.085,-0.23,-0.79,1.98,0.72,-1.35,96.0,93.0,85.9,95.5,85.8,0.244,0.409,0.201,0.246,0.361,0.137,0.216,0.27,0.283,0.241,0.345,0.207,0.29,0.484,0.143,,,,,,,,,,,,,,,,,,,,,,,,
