,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,KC%,wFC/C,wKC/C,vFC,vKC,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-04-02,745273,Single,single,False,680757,622491,Steven Kwan,Luis Castillo,0,81c3c91d-0b6e-4a94-96df-920fdaeefa4d,622491.0,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.55,3.82,124.1,104.0,102.0,102.0,0.77,8.61,2.53,7.89,1.09,0.96,0.251,0.437,0.174,0.309,0.394,90.0,104.0,97.0,119.0,105.0,102.0,102.0,101.0,98.0,77.0,105.0,108.0,0.168,0.442,0.236,0.154,0.96,-0.32,1.27,-1.2,95.4,88.1,95.5,85.8,0.2,0.357,0.278,0.189,0.311,0.351,0.306,0.449,0.092,0.289,0.526,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-04-02,745273,Pop Out,field_out,True,665926,622491,Andrés Giménez,Luis Castillo,0,1a90f2a2-2f5b-4af4-b5c3-4161e781fedb,622491.0,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.55,3.82,124.1,104.0,102.0,102.0,0.77,8.61,2.53,7.89,1.09,0.96,0.251,0.437,0.174,0.309,0.394,90.0,104.0,97.0,119.0,105.0,102.0,102.0,101.0,98.0,77.0,105.0,108.0,0.168,0.442,0.236,0.154,0.96,-0.32,1.27,-1.2,95.4,88.1,95.5,85.8,0.2,0.357,0.278,0.189,0.311,0.351,0.306,0.449,0.092,0.289,0.526,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-04-02,745273,Strikeout,strikeout,True,608070,622491,José Ramírez,Luis Castillo,0,b8cfc78a-98d8-466b-9e01-23d488ee1c08,622491.0,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.55,3.82,124.1,104.0,102.0,102.0,0.77,8.61,2.53,7.89,1.09,0.96,0.251,0.437,0.174,0.309,0.394,90.0,104.0,97.0,119.0,105.0,102.0,102.0,101.0,98.0,77.0,105.0,108.0,0.168,0.442,0.236,0.154,0.96,-0.32,1.27,-1.2,95.4,88.1,95.5,85.8,0.2,0.357,0.278,0.189,0.311,0.351,0.306,0.449,0.092,0.289,0.526,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-04-02,745273,Forceout,force_out,True,647304,622491,Josh Naylor,Luis Castillo,1,a2476426-4702-45c0-8273-76574bd9eee7,622491.0,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.55,3.82,124.1,104.0,102.0,102.0,0.77,8.61,2.53,7.89,1.09,0.96,0.251,0.437,0.174,0.309,0.394,90.0,104.0,97.0,119.0,105.0,102.0,102.0,101.0,98.0,77.0,105.0,108.0,0.168,0.442,0.236,0.154,0.96,-0.32,1.27,-1.2,95.4,88.1,95.5,85.8,0.2,0.357,0.278,0.189,0.311,0.351,0.306,0.449,0.092,0.289,0.526,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-04-02,745273,Groundout,field_out,True,641487,669456,J.P. Crawford,Shane Bieber,0,fca7c808-3104-4ee4-9a74-12c85b23ec6d,669456.0,shanebieber,Bieber,Right,Shane Bieber,CLE,0.0,2.64,12.0,102.0,98.0,100.0,0.646,15.0,0.75,7.5,0.0,3.0,0.25,0.333,0.167,0.375,0.386,60.0,101.0,105.0,92.0,103.0,95.0,,,,120.0,103.0,108.0,,0.416,0.247,0.133,0.61,,6.64,-1.66,92.0,89.0,,85.3,0.308,0.462,0.167,0.125,0.188,0.64,,,,0.375,0.5,0.417,138.0,91.0,91.0,75.0,107.0,102.0,0.096,0.108,2.93,-1.71,86.6,82.8,0.25,0.25,0.6,0.0,0.0,0.0,,,,,,,,,,,,,,,
5,2024-04-02,745273,Single,single,False,677594,669456,Julio Rodríguez,Shane Bieber,0,ea1be19d-a4c3-488d-94fe-05e9db7eb4df,669456.0,shanebieber,Bieber,Right,Shane Bieber,CLE,0.0,2.64,12.0,102.0,98.0,100.0,0.646,15.0,0.75,7.5,0.0,3.0,0.25,0.333,0.167,0.375,0.386,60.0,101.0,105.0,92.0,103.0,95.0,,,,120.0,103.0,108.0,,0.416,0.247,0.133,0.61,,6.64,-1.66,92.0,89.0,,85.3,0.308,0.462,0.167,0.125,0.188,0.64,,,,0.375,0.5,0.417,138.0,91.0,91.0,75.0,107.0,102.0,0.096,0.108,2.93,-1.71,86.6,82.8,0.25,0.25,0.6,0.0,0.0,0.0,,,,,,,,,,,,,,,
6,2024-04-02,745273,Single,single,False,593871,669456,Jorge Polanco,Shane Bieber,1,08448abf-ad13-4957-9cf5-3ce07f51b4e0,669456.0,shanebieber,Bieber,Right,Shane Bieber,CLE,0.0,2.64,12.0,102.0,98.0,100.0,0.646,15.0,0.75,7.5,0.0,3.0,0.25,0.333,0.167,0.375,0.386,60.0,101.0,105.0,92.0,103.0,95.0,,,,120.0,103.0,108.0,,0.416,0.247,0.133,0.61,,6.64,-1.66,92.0,89.0,,85.3,0.308,0.462,0.167,0.125,0.188,0.64,,,,0.375,0.5,0.417,138.0,91.0,91.0,75.0,107.0,102.0,0.096,0.108,2.93,-1.71,86.6,82.8,0.25,0.25,0.6,0.0,0.0,0.0,,,,,,,,,,,,,,,
7,2024-04-02,745273,Lineout,field_out,True,571745,669456,Mitch Haniger,Shane Bieber,0,41a69765-8e44-4f0d-8015-886e1b4b01ef,669456.0,shanebieber,Bieber,Right,Shane Bieber,CLE,0.0,2.64,12.0,102.0,98.0,100.0,0.646,15.0,0.75,7.5,0.0,3.0,0.25,0.333,0.167,0.375,0.386,60.0,101.0,105.0,92.0,103.0,95.0,,,,120.0,103.0,108.0,,0.416,0.247,0.133,0.61,,6.64,-1.66,92.0,89.0,,85.3,0.308,0.462,0.167,0.125,0.188,0.64,,,,0.375,0.5,0.417,138.0,91.0,91.0,75.0,107.0,102.0,0.096,0.108,2.93,-1.71,86.6,82.8,0.25,0.25,0.6,0.0,0.0,0.0,,,,,,,,,,,,,,,
8,2024-04-02,745273,Pop Out,field_out,True,641598,669456,Mitch Garver,Shane Bieber,0,434a9eb2-4676-423f-b022-280852f5087a,669456.0,shanebieber,Bieber,Right,Shane Bieber,CLE,0.0,2.64,12.0,102.0,98.0,100.0,0.646,15.0,0.75,7.5,0.0,3.0,0.25,0.333,0.167,0.375,0.386,60.0,101.0,105.0,92.0,103.0,95.0,,,,120.0,103.0,108.0,,0.416,0.247,0.133,0.61,,6.64,-1.66,92.0,89.0,,85.3,0.308,0.462,0.167,0.125,0.188,0.64,,,,0.375,0.5,0.417,138.0,91.0,91.0,75.0,107.0,102.0,0.096,0.108,2.93,-1.71,86.6,82.8,0.25,0.25,0.6,0.0,0.0,0.0,,,,,,,,,,,,,,,
9,2024-04-02,745273,Strikeout,strikeout,True,671289,622491,Tyler Freeman,Luis Castillo,0,d09ae12d-5c15-44df-a474-c9538abb501b,622491.0,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.55,3.82,124.1,104.0,102.0,102.0,0.77,8.61,2.53,7.89,1.09,0.96,0.251,0.437,0.174,0.309,0.394,90.0,104.0,97.0,119.0,105.0,102.0,102.0,101.0,98.0,77.0,105.0,108.0,0.168,0.442,0.236,0.154,0.96,-0.32,1.27,-1.2,95.4,88.1,95.5,85.8,0.2,0.357,0.278,0.189,0.311,0.351,0.306,0.449,0.092,0.289,0.526,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
