,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,FA%,SL%,KC%,CH%,wFA/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSL,vKC,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,CU%,wFC/C,wSI/C,wCU/C,vFC,vSI,vCU,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,FS%,wFS/C,vFS,Stf+ FS,Loc+ FS,Pit+ FS
0,2024-08-31,744808,Strikeout,strikeout,True,664023,687792,Ian Happ,DJ Herz,0,82232dd1-72c4-4aae-93e8-2be8199f5470,687792.0,djherz,Herz,Left,DJ Herz,WSN,3.82,3.29,75.1,97.0,97.0,97.0,0.73,11.11,3.46,7.53,1.19,0.87,0.255,0.449,0.138,0.347,0.43,108.0,99.0,99.0,92.0,99.0,97.0,108.0,94.0,99.0,91.0,66.0,79.0,0.544,0.178,0.034,0.244,0.72,-1.56,0.61,0.79,93.6,83.6,86.2,81.1,0.231,0.343,0.314,0.185,0.333,0.258,0.237,0.475,0.264,0.25,0.25,0.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-08-31,744808,Lineout,field_out,True,621020,687792,Dansby Swanson,DJ Herz,0,310591b1-ef5b-4a04-b60b-da0a5c919dd9,687792.0,djherz,Herz,Left,DJ Herz,WSN,3.82,3.29,75.1,97.0,97.0,97.0,0.73,11.11,3.46,7.53,1.19,0.87,0.255,0.449,0.138,0.347,0.43,108.0,99.0,99.0,92.0,99.0,97.0,108.0,94.0,99.0,91.0,66.0,79.0,0.544,0.178,0.034,0.244,0.72,-1.56,0.61,0.79,93.6,83.6,86.2,81.1,0.231,0.343,0.314,0.185,0.333,0.258,0.237,0.475,0.264,0.25,0.25,0.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-08-31,744808,Groundout,field_out,True,673548,687792,Seiya Suzuki,DJ Herz,0,db1f573b-b125-4468-a3f6-8d12a77a0530,687792.0,djherz,Herz,Left,DJ Herz,WSN,3.82,3.29,75.1,97.0,97.0,97.0,0.73,11.11,3.46,7.53,1.19,0.87,0.255,0.449,0.138,0.347,0.43,108.0,99.0,99.0,92.0,99.0,97.0,108.0,94.0,99.0,91.0,66.0,79.0,0.544,0.178,0.034,0.244,0.72,-1.56,0.61,0.79,93.6,83.6,86.2,81.1,0.231,0.343,0.314,0.185,0.333,0.258,0.237,0.475,0.264,0.25,0.25,0.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-08-31,744808,Pop Out,field_out,True,686611,665871,Dylan Crews,Javier Assad,0,27c1dc26-8110-4cd7-8de4-c6656d733b69,665871.0,javierassad,Assad,Right,Javier Assad,CHC,3.14,4.58,131.2,99.0,86.0,94.0,0.852,7.59,3.83,8.27,1.09,1.06,0.272,0.364,0.16,0.28,0.424,71.0,93.0,90.0,69.0,102.0,92.0,115.0,95.0,102.0,,,,0.169,0.101,,0.045,-0.83,-1.49,,-1.35,91.5,83.8,80.2,,0.313,0.484,0.198,0.292,0.292,0.114,0.4,0.8,0.222,0.185,0.338,0.286,99.0,101.0,98.0,77.0,101.0,93.0,96.0,97.0,93.0,0.359,0.214,0.113,-0.78,1.28,-0.9,87.9,91.5,76.8,0.213,0.309,0.107,0.319,0.585,0.152,0.158,0.368,0.348,,,,,,
4,2024-08-31,744808,Strikeout,strikeout,True,695578,665871,James Wood,Javier Assad,0,d3ed2154-1a81-4b7b-a013-b419c8d914fd,665871.0,javierassad,Assad,Right,Javier Assad,CHC,3.14,4.58,131.2,99.0,86.0,94.0,0.852,7.59,3.83,8.27,1.09,1.06,0.272,0.364,0.16,0.28,0.424,71.0,93.0,90.0,69.0,102.0,92.0,115.0,95.0,102.0,,,,0.169,0.101,,0.045,-0.83,-1.49,,-1.35,91.5,83.8,80.2,,0.313,0.484,0.198,0.292,0.292,0.114,0.4,0.8,0.222,0.185,0.338,0.286,99.0,101.0,98.0,77.0,101.0,93.0,96.0,97.0,93.0,0.359,0.214,0.113,-0.78,1.28,-0.9,87.9,91.5,76.8,0.213,0.309,0.107,0.319,0.585,0.152,0.158,0.368,0.348,,,,,,
5,2024-08-31,744808,Lineout,field_out,True,671277,665871,Luis García Jr.,Javier Assad,0,b545b487-f376-4baa-9f93-73837311b5af,665871.0,javierassad,Assad,Right,Javier Assad,CHC,3.14,4.58,131.2,99.0,86.0,94.0,0.852,7.59,3.83,8.27,1.09,1.06,0.272,0.364,0.16,0.28,0.424,71.0,93.0,90.0,69.0,102.0,92.0,115.0,95.0,102.0,,,,0.169,0.101,,0.045,-0.83,-1.49,,-1.35,91.5,83.8,80.2,,0.313,0.484,0.198,0.292,0.292,0.114,0.4,0.8,0.222,0.185,0.338,0.286,99.0,101.0,98.0,77.0,101.0,93.0,96.0,97.0,93.0,0.359,0.214,0.113,-0.78,1.28,-0.9,87.9,91.5,76.8,0.213,0.309,0.107,0.319,0.585,0.152,0.158,0.368,0.348,,,,,,
6,2024-08-31,744808,Groundout,field_out,True,641355,687792,Cody Bellinger,DJ Herz,0,a86a3b76-7de7-46a9-ad91-44d078b0cd75,687792.0,djherz,Herz,Left,DJ Herz,WSN,3.82,3.29,75.1,97.0,97.0,97.0,0.73,11.11,3.46,7.53,1.19,0.87,0.255,0.449,0.138,0.347,0.43,108.0,99.0,99.0,92.0,99.0,97.0,108.0,94.0,99.0,91.0,66.0,79.0,0.544,0.178,0.034,0.244,0.72,-1.56,0.61,0.79,93.6,83.6,86.2,81.1,0.231,0.343,0.314,0.185,0.333,0.258,0.237,0.475,0.264,0.25,0.25,0.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-08-31,744808,Walk,walk,False,670623,687792,Isaac Paredes,DJ Herz,0,5ad49d11-d4e7-47c5-99a6-d33c50263215,687792.0,djherz,Herz,Left,DJ Herz,WSN,3.82,3.29,75.1,97.0,97.0,97.0,0.73,11.11,3.46,7.53,1.19,0.87,0.255,0.449,0.138,0.347,0.43,108.0,99.0,99.0,92.0,99.0,97.0,108.0,94.0,99.0,91.0,66.0,79.0,0.544,0.178,0.034,0.244,0.72,-1.56,0.61,0.79,93.6,83.6,86.2,81.1,0.231,0.343,0.314,0.185,0.333,0.258,0.237,0.475,0.264,0.25,0.25,0.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-08-31,744808,Groundout,field_out,True,683737,687792,Michael Busch,DJ Herz,1,601ac341-c547-484b-a7fd-d046b73b2f37,687792.0,djherz,Herz,Left,DJ Herz,WSN,3.82,3.29,75.1,97.0,97.0,97.0,0.73,11.11,3.46,7.53,1.19,0.87,0.255,0.449,0.138,0.347,0.43,108.0,99.0,99.0,92.0,99.0,97.0,108.0,94.0,99.0,91.0,66.0,79.0,0.544,0.178,0.034,0.244,0.72,-1.56,0.61,0.79,93.6,83.6,86.2,81.1,0.231,0.343,0.314,0.185,0.333,0.258,0.237,0.475,0.264,0.25,0.25,0.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-08-31,744808,Strikeout,strikeout,True,663538,687792,Nico Hoerner,DJ Herz,0,68ad696f-37ae-430d-8ac9-eb35cfa6a161,687792.0,djherz,Herz,Left,DJ Herz,WSN,3.82,3.29,75.1,97.0,97.0,97.0,0.73,11.11,3.46,7.53,1.19,0.87,0.255,0.449,0.138,0.347,0.43,108.0,99.0,99.0,92.0,99.0,97.0,108.0,94.0,99.0,91.0,66.0,79.0,0.544,0.178,0.034,0.244,0.72,-1.56,0.61,0.79,93.6,83.6,86.2,81.1,0.231,0.343,0.314,0.185,0.333,0.258,0.237,0.475,0.264,0.25,0.25,0.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
