,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FC%,FS%,wFA/C,wFC/C,wFS/C,vFA,vFC,vFS,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,SL%,CU%,CH%,wSI/C,wSL/C,wCU/C,wCH/C,vCH,vSI,vSL,vCU,ST_ba,ST_slg,ST_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff
0,2024-08-14,746677,Single,single,False,691026,641941,Masyn Winn,Emilio Pagán,0,59d16f35-ab3b-48f3-a48c-4db3f9bdd640,641941.0,emiliopagan,Pagán,Right,Emilio Pagán,CIN,4.4,3.3,28.2,106.0,108.0,107.0,0.752,9.73,2.83,9.1,1.57,0.68,0.269,0.436,0.179,0.372,0.431,117.0,103.0,107.0,91.0,115.0,110.0,101.0,106.0,98.0,0.58,0.279,0.142,0.1,-0.71,0.28,94.5,86.4,84.1,0.246,0.431,0.238,0.357,0.607,0.309,0.214,0.286,0.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-08-14,746677,Grounded Into DP,grounded_into_double_play,True,676475,641941,Alec Burleson,Emilio Pagán,1,7b5ea9fe-801f-44b6-a0f7-a3ff6fbf517b,641941.0,emiliopagan,Pagán,Right,Emilio Pagán,CIN,4.4,3.3,28.2,106.0,108.0,107.0,0.752,9.73,2.83,9.1,1.57,0.68,0.269,0.436,0.179,0.372,0.431,117.0,103.0,107.0,91.0,115.0,110.0,101.0,106.0,98.0,0.58,0.279,0.142,0.1,-0.71,0.28,94.5,86.4,84.1,0.246,0.431,0.238,0.357,0.607,0.309,0.214,0.286,0.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-08-14,746677,Strikeout,strikeout,True,575929,641941,Willson Contreras,Emilio Pagán,0,5b92e43d-3829-43de-b02f-e472c8c80f25,641941.0,emiliopagan,Pagán,Right,Emilio Pagán,CIN,4.4,3.3,28.2,106.0,108.0,107.0,0.752,9.73,2.83,9.1,1.57,0.68,0.269,0.436,0.179,0.372,0.431,117.0,103.0,107.0,91.0,115.0,110.0,101.0,106.0,98.0,0.58,0.279,0.142,0.1,-0.71,0.28,94.5,86.4,84.1,0.246,0.431,0.238,0.357,0.607,0.309,0.214,0.286,0.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-08-14,746677,Flyout,field_out,True,663697,502043,Jonathan India,Kyle Gibson,0,8fc5d60d-1cba-4a81-900e-b237bb3e98ed,502043.0,kylegibson,Gibson,Right,Kyle Gibson,STL,4.54,5.04,140.2,98.0,93.0,95.0,0.757,8.19,3.58,8.83,1.22,1.38,0.221,0.426,0.161,0.35,0.36,81.0,89.0,84.0,94.0,95.0,91.0,,,,0.125,0.209,,-0.95,0.01,,91.4,88.7,,0.255,0.564,0.056,0.33,0.505,0.209,,,,97.0,92.0,87.0,104.0,103.0,103.0,85.0,101.0,96.0,104.0,103.0,105.0,0.271,0.219,0.087,0.089,0.51,0.56,-2.04,0.49,84.9,90.7,80.8,78.4,0.214,0.338,0.416,0.272,0.404,0.086,0.208,0.292,0.343,0.313,0.719,0.451,,,
4,2024-08-14,746677,Strikeout,strikeout,True,682829,502043,Elly De La Cruz,Kyle Gibson,0,dae7b3ed-3a7b-4321-8988-11325e2061fe,502043.0,kylegibson,Gibson,Right,Kyle Gibson,STL,4.54,5.04,140.2,98.0,93.0,95.0,0.757,8.19,3.58,8.83,1.22,1.38,0.221,0.426,0.161,0.35,0.36,81.0,89.0,84.0,94.0,95.0,91.0,,,,0.125,0.209,,-0.95,0.01,,91.4,88.7,,0.255,0.564,0.056,0.33,0.505,0.209,,,,97.0,92.0,87.0,104.0,103.0,103.0,85.0,101.0,96.0,104.0,103.0,105.0,0.271,0.219,0.087,0.089,0.51,0.56,-2.04,0.49,84.9,90.7,80.8,78.4,0.214,0.338,0.416,0.272,0.404,0.086,0.208,0.292,0.343,0.313,0.719,0.451,,,
5,2024-08-14,746677,Pop Out,field_out,True,663886,502043,Tyler Stephenson,Kyle Gibson,0,1c8dc507-9639-4bb9-8291-4e30d8bac671,502043.0,kylegibson,Gibson,Right,Kyle Gibson,STL,4.54,5.04,140.2,98.0,93.0,95.0,0.757,8.19,3.58,8.83,1.22,1.38,0.221,0.426,0.161,0.35,0.36,81.0,89.0,84.0,94.0,95.0,91.0,,,,0.125,0.209,,-0.95,0.01,,91.4,88.7,,0.255,0.564,0.056,0.33,0.505,0.209,,,,97.0,92.0,87.0,104.0,103.0,103.0,85.0,101.0,96.0,104.0,103.0,105.0,0.271,0.219,0.087,0.089,0.51,0.56,-2.04,0.49,84.9,90.7,80.8,78.4,0.214,0.338,0.416,0.272,0.404,0.086,0.208,0.292,0.343,0.313,0.719,0.451,,,
6,2024-08-14,746677,Pop Out,field_out,True,571448,641941,Nolan Arenado,Emilio Pagán,0,c0e25cca-1a5d-4c2e-ad0d-6bba0f231c92,641941.0,emiliopagan,Pagán,Right,Emilio Pagán,CIN,4.4,3.3,28.2,106.0,108.0,107.0,0.752,9.73,2.83,9.1,1.57,0.68,0.269,0.436,0.179,0.372,0.431,117.0,103.0,107.0,91.0,115.0,110.0,101.0,106.0,98.0,0.58,0.279,0.142,0.1,-0.71,0.28,94.5,86.4,84.1,0.246,0.431,0.238,0.357,0.607,0.309,0.214,0.286,0.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-08-14,746677,Single,single,False,680977,641941,Brendan Donovan,Emilio Pagán,0,8b138d64-2775-4fe2-a968-c71cd904ce7a,641941.0,emiliopagan,Pagán,Right,Emilio Pagán,CIN,4.4,3.3,28.2,106.0,108.0,107.0,0.752,9.73,2.83,9.1,1.57,0.68,0.269,0.436,0.179,0.372,0.431,117.0,103.0,107.0,91.0,115.0,110.0,101.0,106.0,98.0,0.58,0.279,0.142,0.1,-0.71,0.28,94.5,86.4,84.1,0.246,0.431,0.238,0.357,0.607,0.309,0.214,0.286,0.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-08-14,746677,Grounded Into DP,grounded_into_double_play,True,502671,641941,Paul Goldschmidt,Emilio Pagán,1,1c4c8fb0-606e-4d70-a128-6eb13052b9f7,641941.0,emiliopagan,Pagán,Right,Emilio Pagán,CIN,4.4,3.3,28.2,106.0,108.0,107.0,0.752,9.73,2.83,9.1,1.57,0.68,0.269,0.436,0.179,0.372,0.431,117.0,103.0,107.0,91.0,115.0,110.0,101.0,106.0,98.0,0.58,0.279,0.142,0.1,-0.71,0.28,94.5,86.4,84.1,0.246,0.431,0.238,0.357,0.607,0.309,0.214,0.286,0.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-08-14,746677,Lineout,field_out,True,670770,502043,TJ Friedl,Kyle Gibson,0,1ed1de72-ad2d-42e4-8063-e6b3ab7dc645,502043.0,kylegibson,Gibson,Right,Kyle Gibson,STL,4.54,5.04,140.2,98.0,93.0,95.0,0.757,8.19,3.58,8.83,1.22,1.38,0.221,0.426,0.161,0.35,0.36,81.0,89.0,84.0,94.0,95.0,91.0,,,,0.125,0.209,,-0.95,0.01,,91.4,88.7,,0.255,0.564,0.056,0.33,0.505,0.209,,,,97.0,92.0,87.0,104.0,103.0,103.0,85.0,101.0,96.0,104.0,103.0,105.0,0.271,0.219,0.087,0.089,0.51,0.56,-2.04,0.49,84.9,90.7,80.8,78.4,0.214,0.338,0.416,0.272,0.404,0.086,0.208,0.292,0.343,0.313,0.719,0.451,,,
