,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,KC%,wFC/C,wKC/C,vFC,vKC,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-07-24,745877,Walk,walk,False,656941,595345,Kyle Schwarber,Steven Okert,0,387bdc84-7116-4cef-b065-d22d5ab668b1,595345.0,stevenokert,Okert,Left,Steven Okert,MIN,4.34,3.46,29.0,96.0,99.0,100.0,0.771,8.38,4.03,9.0,0.93,0.76,0.318,0.318,0.239,0.205,0.448,56.0,103.0,94.0,72.0,98.0,90.0,73.0,102.0,99.0,117.0,94.0,104.0,0.096,0.249,0.585,0.07,-3.48,-0.09,1.53,-2.56,92.9,88.4,92.9,80.8,0.143,0.27,0.319,0.414,0.655,0.074,0.3,0.4,0.059,0.417,0.5,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-07-24,745877,Single,single,False,607208,595345,Trea Turner,Steven Okert,1,b6445fde-6c40-4c13-8f09-93392b9ac32e,595345.0,stevenokert,Okert,Left,Steven Okert,MIN,4.34,3.46,29.0,96.0,99.0,100.0,0.771,8.38,4.03,9.0,0.93,0.76,0.318,0.318,0.239,0.205,0.448,56.0,103.0,94.0,72.0,98.0,90.0,73.0,102.0,99.0,117.0,94.0,104.0,0.096,0.249,0.585,0.07,-3.48,-0.09,1.53,-2.56,92.9,88.4,92.9,80.8,0.143,0.27,0.319,0.414,0.655,0.074,0.3,0.4,0.059,0.417,0.5,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-07-24,745877,Pop Out,field_out,True,547180,595345,Bryce Harper,Steven Okert,1,5da396b1-64e8-4c64-8bfb-f5f695f5836c,595345.0,stevenokert,Okert,Left,Steven Okert,MIN,4.34,3.46,29.0,96.0,99.0,100.0,0.771,8.38,4.03,9.0,0.93,0.76,0.318,0.318,0.239,0.205,0.448,56.0,103.0,94.0,72.0,98.0,90.0,73.0,102.0,99.0,117.0,94.0,104.0,0.096,0.249,0.585,0.07,-3.48,-0.09,1.53,-2.56,92.9,88.4,92.9,80.8,0.143,0.27,0.319,0.414,0.655,0.074,0.3,0.4,0.059,0.417,0.5,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-07-24,745877,Strikeout,strikeout,True,664761,701581,Alec Bohm,David Festa,0,8dd1a916-cf33-4ec0-b263-075bcd34790e,701581.0,davidfesta,"Festa, D",Right,David Festa,MIN,8.16,6.1,14.1,104.0,101.0,108.0,0.785,9.42,1.88,12.56,3.14,0.64,0.229,0.458,0.167,0.313,0.431,66.0,110.0,113.0,105.0,101.0,103.0,,,,120.0,104.0,110.0,,0.435,0.323,0.241,-1.44,,-4.06,-4.12,95.6,88.6,,86.6,0.348,0.696,0.179,0.304,0.609,0.185,,,,0.294,0.765,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-07-24,745877,Strikeout,strikeout,True,669016,701581,Brandon Marsh,David Festa,0,c81e0140-1141-4fc3-ad65-69f4d1e15b3c,701581.0,davidfesta,"Festa, D",Right,David Festa,MIN,8.16,6.1,14.1,104.0,101.0,108.0,0.785,9.42,1.88,12.56,3.14,0.64,0.229,0.458,0.167,0.313,0.431,66.0,110.0,113.0,105.0,101.0,103.0,,,,120.0,104.0,110.0,,0.435,0.323,0.241,-1.44,,-4.06,-4.12,95.6,88.6,,86.6,0.348,0.696,0.179,0.304,0.609,0.185,,,,0.294,0.765,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-07-24,745877,Flyout,field_out,True,650489,605400,Willi Castro,Aaron Nola,0,1879e359-b089-4cb4-b938-e3784358325e,605400.0,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.44,3.37,130.2,106.0,103.0,105.0,0.782,8.68,2.14,7.44,1.24,1.36,0.187,0.488,0.157,0.292,0.417,80.0,102.0,90.0,90.0,105.0,100.0,100.0,109.0,106.0,,,,0.21,0.26,,0.103,1.07,0.13,,-1.89,92.3,85.4,91.4,,,,,0.128,0.284,0.216,0.279,0.452,0.144,0.268,0.463,0.169,133.0,109.0,116.0,68.0,100.0,93.0,0.102,0.325,-2.35,1.72,87.4,79.2,0.201,0.325,0.349,0.395,0.763,0.145,,,,,,,,,,,,,,,
6,2024-07-24,745877,Strikeout,strikeout,True,663616,605400,Trevor Larnach,Aaron Nola,0,5ed89fd9-4625-4ae2-b117-c339a1432f70,605400.0,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.44,3.37,130.2,106.0,103.0,105.0,0.782,8.68,2.14,7.44,1.24,1.36,0.187,0.488,0.157,0.292,0.417,80.0,102.0,90.0,90.0,105.0,100.0,100.0,109.0,106.0,,,,0.21,0.26,,0.103,1.07,0.13,,-1.89,92.3,85.4,91.4,,,,,0.128,0.284,0.216,0.279,0.452,0.144,0.268,0.463,0.169,133.0,109.0,116.0,68.0,100.0,93.0,0.102,0.325,-2.35,1.72,87.4,79.2,0.201,0.325,0.349,0.395,0.763,0.145,,,,,,,,,,,,,,,
7,2024-07-24,745877,Double,double,False,621439,605400,Byron Buxton,Aaron Nola,0,f8aa4a20-ac7f-4f66-9014-7d149ab5d951,605400.0,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.44,3.37,130.2,106.0,103.0,105.0,0.782,8.68,2.14,7.44,1.24,1.36,0.187,0.488,0.157,0.292,0.417,80.0,102.0,90.0,90.0,105.0,100.0,100.0,109.0,106.0,,,,0.21,0.26,,0.103,1.07,0.13,,-1.89,92.3,85.4,91.4,,,,,0.128,0.284,0.216,0.279,0.452,0.144,0.268,0.463,0.169,133.0,109.0,116.0,68.0,100.0,93.0,0.102,0.325,-2.35,1.72,87.4,79.2,0.201,0.325,0.349,0.395,0.763,0.145,,,,,,,,,,,,,,,
8,2024-07-24,745877,Flyout,field_out,True,596146,605400,Max Kepler,Aaron Nola,0,c5bca60f-be9e-4874-a9d3-688ecb9822d9,605400.0,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.44,3.37,130.2,106.0,103.0,105.0,0.782,8.68,2.14,7.44,1.24,1.36,0.187,0.488,0.157,0.292,0.417,80.0,102.0,90.0,90.0,105.0,100.0,100.0,109.0,106.0,,,,0.21,0.26,,0.103,1.07,0.13,,-1.89,92.3,85.4,91.4,,,,,0.128,0.284,0.216,0.279,0.452,0.144,0.268,0.463,0.169,133.0,109.0,116.0,68.0,100.0,93.0,0.102,0.325,-2.35,1.72,87.4,79.2,0.201,0.325,0.349,0.395,0.763,0.145,,,,,,,,,,,,,,,
9,2024-07-24,745877,Double,double,False,592206,701581,Nick Castellanos,David Festa,0,a0bc8153-c1f7-418c-80cd-097da61a96ac,701581.0,davidfesta,"Festa, D",Right,David Festa,MIN,8.16,6.1,14.1,104.0,101.0,108.0,0.785,9.42,1.88,12.56,3.14,0.64,0.229,0.458,0.167,0.313,0.431,66.0,110.0,113.0,105.0,101.0,103.0,,,,120.0,104.0,110.0,,0.435,0.323,0.241,-1.44,,-4.06,-4.12,95.6,88.6,,86.6,0.348,0.696,0.179,0.304,0.609,0.185,,,,0.294,0.765,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
