,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
22,2024-06-04,745497,Home Run,home_run,False,669261,607192,Jack Suwinski,Tyler Glasnow,0,44f199ff-54c0-4217-80b2-8412fe8c8a9d,607192.0,tylerglasnow,Glasnow,Right,Tyler Glasnow,LAD,3.47,2.5,109.0,103.0,118.0,107.0,0.712,11.81,2.39,5.94,0.99,1.4,0.211,0.382,0.163,0.283,0.472,,,,139.0,99.0,112.0,117.0,102.0,103.0,110.0,105.0,110.0,0.476,0.266,0.182,,1.01,0.56,2.05,,96.3,,90.1,83.8,0.208,0.404,0.209,0.215,0.364,0.412,,,,0.104,0.195,0.462,98.0,107.0,109.0,0.076,2.5,96.5,0.129,0.161,0.188,,,,,,,,,,,,,,,,,,
23,2024-06-04,745497,Groundout,field_out,True,457705,607192,Andrew McCutchen,Tyler Glasnow,0,30b12820-0b61-4067-a2bf-bbfad4382f12,607192.0,tylerglasnow,Glasnow,Right,Tyler Glasnow,LAD,3.47,2.5,109.0,103.0,118.0,107.0,0.712,11.81,2.39,5.94,0.99,1.4,0.211,0.382,0.163,0.283,0.472,,,,139.0,99.0,112.0,117.0,102.0,103.0,110.0,105.0,110.0,0.476,0.266,0.182,,1.01,0.56,2.05,,96.3,,90.1,83.8,0.208,0.404,0.209,0.215,0.364,0.412,,,,0.104,0.195,0.462,98.0,107.0,109.0,0.076,2.5,96.5,0.129,0.161,0.188,,,,,,,,,,,,,,,,,,
24,2024-06-04,745497,Single,single,False,668804,607192,Bryan Reynolds,Tyler Glasnow,0,59005eaa-4cbe-40ac-83e7-64d63a7d565c,607192.0,tylerglasnow,Glasnow,Right,Tyler Glasnow,LAD,3.47,2.5,109.0,103.0,118.0,107.0,0.712,11.81,2.39,5.94,0.99,1.4,0.211,0.382,0.163,0.283,0.472,,,,139.0,99.0,112.0,117.0,102.0,103.0,110.0,105.0,110.0,0.476,0.266,0.182,,1.01,0.56,2.05,,96.3,,90.1,83.8,0.208,0.404,0.209,0.215,0.364,0.412,,,,0.104,0.195,0.462,98.0,107.0,109.0,0.076,2.5,96.5,0.129,0.161,0.188,,,,,,,,,,,,,,,,,,
25,2024-06-04,745497,Strikeout,strikeout,True,656582,607192,Connor Joe,Tyler Glasnow,0,1755a076-9684-4a97-9f2b-740634fce862,607192.0,tylerglasnow,Glasnow,Right,Tyler Glasnow,LAD,3.47,2.5,109.0,103.0,118.0,107.0,0.712,11.81,2.39,5.94,0.99,1.4,0.211,0.382,0.163,0.283,0.472,,,,139.0,99.0,112.0,117.0,102.0,103.0,110.0,105.0,110.0,0.476,0.266,0.182,,1.01,0.56,2.05,,96.3,,90.1,83.8,0.208,0.404,0.209,0.215,0.364,0.412,,,,0.104,0.195,0.462,98.0,107.0,109.0,0.076,2.5,96.5,0.129,0.161,0.188,,,,,,,,,,,,,,,,,,
26,2024-06-04,745497,Walk,walk,False,518792,683003,Jason Heyward,Jared Jones,0,29c4a3a1-2ec8-46c3-aff6-4eaa9ac18bda,683003.0,jaredjones,Jones,Right,Jared Jones,PIT,3.56,3.69,91.0,103.0,127.0,109.0,0.711,9.69,2.67,7.32,1.19,0.95,0.223,0.384,0.165,0.343,0.459,123.0,102.0,110.0,99.0,96.0,99.0,132.0,102.0,109.0,126.0,104.0,111.0,0.498,0.361,0.073,0.068,0.34,1.59,-1.54,-3.19,97.3,89.7,88.6,80.3,0.214,0.403,0.273,0.194,0.313,0.398,0.303,0.576,0.241,0.364,0.818,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2024-06-04,745497,Groundout,field_out,True,666158,683003,Gavin Lux,Jared Jones,1,aed04d95-9f22-43f6-a1dc-33624aa59d29,683003.0,jaredjones,Jones,Right,Jared Jones,PIT,3.56,3.69,91.0,103.0,127.0,109.0,0.711,9.69,2.67,7.32,1.19,0.95,0.223,0.384,0.165,0.343,0.459,123.0,102.0,110.0,99.0,96.0,99.0,132.0,102.0,109.0,126.0,104.0,111.0,0.498,0.361,0.073,0.068,0.34,1.59,-1.54,-3.19,97.3,89.7,88.6,80.3,0.214,0.403,0.273,0.194,0.313,0.398,0.303,0.576,0.241,0.364,0.818,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2024-06-04,745497,Groundout,field_out,True,500743,683003,Miguel Rojas,Jared Jones,1,f3aaa372-5796-4644-9a10-1d839acfd888,683003.0,jaredjones,Jones,Right,Jared Jones,PIT,3.56,3.69,91.0,103.0,127.0,109.0,0.711,9.69,2.67,7.32,1.19,0.95,0.223,0.384,0.165,0.343,0.459,123.0,102.0,110.0,99.0,96.0,99.0,132.0,102.0,109.0,126.0,104.0,111.0,0.498,0.361,0.073,0.068,0.34,1.59,-1.54,-3.19,97.3,89.7,88.6,80.3,0.214,0.403,0.273,0.194,0.313,0.398,0.303,0.576,0.241,0.364,0.818,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2024-06-04,745497,Lineout,field_out,True,621035,683003,Chris Taylor,Jared Jones,0,96768505-602a-44ab-bb73-cc781eae1764,683003.0,jaredjones,Jones,Right,Jared Jones,PIT,3.56,3.69,91.0,103.0,127.0,109.0,0.711,9.69,2.67,7.32,1.19,0.95,0.223,0.384,0.165,0.343,0.459,123.0,102.0,110.0,99.0,96.0,99.0,132.0,102.0,109.0,126.0,104.0,111.0,0.498,0.361,0.073,0.068,0.34,1.59,-1.54,-3.19,97.3,89.7,88.6,80.3,0.214,0.403,0.273,0.194,0.313,0.398,0.303,0.576,0.241,0.364,0.818,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2024-06-04,745497,Groundout,field_out,True,665833,607192,Oneil Cruz,Tyler Glasnow,0,a590913b-e9e3-4739-9fdc-5ac614ee78c8,607192.0,tylerglasnow,Glasnow,Right,Tyler Glasnow,LAD,3.47,2.5,109.0,103.0,118.0,107.0,0.712,11.81,2.39,5.94,0.99,1.4,0.211,0.382,0.163,0.283,0.472,,,,139.0,99.0,112.0,117.0,102.0,103.0,110.0,105.0,110.0,0.476,0.266,0.182,,1.01,0.56,2.05,,96.3,,90.1,83.8,0.208,0.404,0.209,0.215,0.364,0.412,,,,0.104,0.195,0.462,98.0,107.0,109.0,0.076,2.5,96.5,0.129,0.161,0.188,,,,,,,,,,,,,,,,,,
31,2024-06-04,745497,Groundout,field_out,True,663647,607192,Ke'Bryan Hayes,Tyler Glasnow,0,f253acd0-7444-47e2-b3fe-a1376295d5ac,607192.0,tylerglasnow,Glasnow,Right,Tyler Glasnow,LAD,3.47,2.5,109.0,103.0,118.0,107.0,0.712,11.81,2.39,5.94,0.99,1.4,0.211,0.382,0.163,0.283,0.472,,,,139.0,99.0,112.0,117.0,102.0,103.0,110.0,105.0,110.0,0.476,0.266,0.182,,1.01,0.56,2.05,,96.3,,90.1,83.8,0.208,0.404,0.209,0.215,0.364,0.412,,,,0.104,0.195,0.462,98.0,107.0,109.0,0.076,2.5,96.5,0.129,0.161,0.188,,,,,,,,,,,,,,,,,,
