,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,KC%,CH%,wFA/C,wFC/C,wSI/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vKC,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FS%,SL%,CU%,wFS/C,wSL/C,wCU/C,vFS,vSL,vCU,SL_ba,SL_slg,SL_whiff,ST_ba,ST_slg,ST_whiff,FS_ba,FS_slg,FS_whiff
0,2024-09-23,745527,Walk,walk,False,643565,605400,Mike Tauchman,Aaron Nola,0,962a00ba-1cde-46c1-af57-690ee51ed9e8,605400.0,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.52,3.76,194.1,105.0,104.0,104.0,0.775,8.8,2.32,8.34,1.34,1.29,0.213,0.473,0.162,0.312,0.4,78.0,102.0,90.0,90.0,104.0,99.0,100.0,109.0,106.0,135.0,106.0,114.0,68.0,98.0,91.0,0.207,0.277,0.093,0.327,0.097,0.77,-2.38,-0.36,1.11,-1.82,92.5,87.5,85.7,91.5,79.1,0.214,0.368,0.363,0.167,0.321,0.222,0.303,0.469,0.135,0.292,0.446,0.131,0.385,0.769,0.179,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-09-23,745527,Strikeout,strikeout,True,683737,605400,Michael Busch,Aaron Nola,0,5631ecda-d80c-4845-af03-cde83c12d52c,605400.0,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.52,3.76,194.1,105.0,104.0,104.0,0.775,8.8,2.32,8.34,1.34,1.29,0.213,0.473,0.162,0.312,0.4,78.0,102.0,90.0,90.0,104.0,99.0,100.0,109.0,106.0,135.0,106.0,114.0,68.0,98.0,91.0,0.207,0.277,0.093,0.327,0.097,0.77,-2.38,-0.36,1.11,-1.82,92.5,87.5,85.7,91.5,79.1,0.214,0.368,0.363,0.167,0.321,0.222,0.303,0.469,0.135,0.292,0.446,0.131,0.385,0.769,0.179,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-09-23,745527,Flyout,field_out,True,673548,605400,Seiya Suzuki,Aaron Nola,0,a10d69be-69a6-4b80-850c-b1299dc9f76a,605400.0,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.52,3.76,194.1,105.0,104.0,104.0,0.775,8.8,2.32,8.34,1.34,1.29,0.213,0.473,0.162,0.312,0.4,78.0,102.0,90.0,90.0,104.0,99.0,100.0,109.0,106.0,135.0,106.0,114.0,68.0,98.0,91.0,0.207,0.277,0.093,0.327,0.097,0.77,-2.38,-0.36,1.11,-1.82,92.5,87.5,85.7,91.5,79.1,0.214,0.368,0.363,0.167,0.321,0.222,0.303,0.469,0.135,0.292,0.446,0.131,0.385,0.769,0.179,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-09-23,745527,Caught Stealing 2B,caught_stealing_2b,True,641355,605400,Cody Bellinger,Aaron Nola,0,89238120-f8ce-4b67-9664-7464f921d43d,605400.0,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.52,3.76,194.1,105.0,104.0,104.0,0.775,8.8,2.32,8.34,1.34,1.29,0.213,0.473,0.162,0.312,0.4,78.0,102.0,90.0,90.0,104.0,99.0,100.0,109.0,106.0,135.0,106.0,114.0,68.0,98.0,91.0,0.207,0.277,0.093,0.327,0.097,0.77,-2.38,-0.36,1.11,-1.82,92.5,87.5,85.7,91.5,79.1,0.214,0.368,0.363,0.167,0.321,0.222,0.303,0.469,0.135,0.292,0.446,0.131,0.385,0.769,0.179,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-09-23,745527,Single,single,True,656941,663878,Kyle Schwarber,Nate Pearson,1,b0b4c1c2-d2e5-462e-bab6-4717d4044d8f,663878.0,natepearson,Pearson,Right,Nate Pearson,- - -,4.64,4.53,64.0,99.0,128.0,106.0,0.754,9.98,2.95,9.14,1.69,0.88,0.215,0.42,0.127,0.403,0.456,,,,126.0,97.0,101.0,95.0,109.0,104.0,,,,,,,0.016,0.461,,,,-1.54,,-6.9,,,97.7,,,97.2,,0.172,0.276,0.394,0.315,0.516,0.189,0.25,1.0,0.083,,,,,,,127.0,93.0,105.0,132.0,102.0,111.0,76.0,152.0,162.0,0.001,0.404,0.117,16.42,0.73,-0.08,88.3,87.9,80.9,0.226,0.405,0.383,,,,,,
5,2024-09-23,745527,Groundout,field_out,True,607208,663878,Trea Turner,Nate Pearson,0,d8e256b1-2717-45d6-8bea-b5504536c84c,663878.0,natepearson,Pearson,Right,Nate Pearson,- - -,4.64,4.53,64.0,99.0,128.0,106.0,0.754,9.98,2.95,9.14,1.69,0.88,0.215,0.42,0.127,0.403,0.456,,,,126.0,97.0,101.0,95.0,109.0,104.0,,,,,,,0.016,0.461,,,,-1.54,,-6.9,,,97.7,,,97.2,,0.172,0.276,0.394,0.315,0.516,0.189,0.25,1.0,0.083,,,,,,,127.0,93.0,105.0,132.0,102.0,111.0,76.0,152.0,162.0,0.001,0.404,0.117,16.42,0.73,-0.08,88.3,87.9,80.9,0.226,0.405,0.383,,,,,,
6,2024-09-23,745527,Walk,walk,False,547180,663878,Bryce Harper,Nate Pearson,0,d0c4ed84-9324-44be-8d39-2e659f61a434,663878.0,natepearson,Pearson,Right,Nate Pearson,- - -,4.64,4.53,64.0,99.0,128.0,106.0,0.754,9.98,2.95,9.14,1.69,0.88,0.215,0.42,0.127,0.403,0.456,,,,126.0,97.0,101.0,95.0,109.0,104.0,,,,,,,0.016,0.461,,,,-1.54,,-6.9,,,97.7,,,97.2,,0.172,0.276,0.394,0.315,0.516,0.189,0.25,1.0,0.083,,,,,,,127.0,93.0,105.0,132.0,102.0,111.0,76.0,152.0,162.0,0.001,0.404,0.117,16.42,0.73,-0.08,88.3,87.9,80.9,0.226,0.405,0.383,,,,,,
7,2024-09-23,745527,Forceout,force_out,True,664761,663878,Alec Bohm,Nate Pearson,1,837c8941-7b91-4dd4-9986-a1c75cc984c0,663878.0,natepearson,Pearson,Right,Nate Pearson,- - -,4.64,4.53,64.0,99.0,128.0,106.0,0.754,9.98,2.95,9.14,1.69,0.88,0.215,0.42,0.127,0.403,0.456,,,,126.0,97.0,101.0,95.0,109.0,104.0,,,,,,,0.016,0.461,,,,-1.54,,-6.9,,,97.7,,,97.2,,0.172,0.276,0.394,0.315,0.516,0.189,0.25,1.0,0.083,,,,,,,127.0,93.0,105.0,132.0,102.0,111.0,76.0,152.0,162.0,0.001,0.404,0.117,16.42,0.73,-0.08,88.3,87.9,80.9,0.226,0.405,0.383,,,,,,
8,2024-09-23,745527,Strikeout,strikeout,True,641355,605400,Cody Bellinger,Aaron Nola,0,3822173f-e92b-4001-b5d1-4850bdcedf80,605400.0,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.52,3.76,194.1,105.0,104.0,104.0,0.775,8.8,2.32,8.34,1.34,1.29,0.213,0.473,0.162,0.312,0.4,78.0,102.0,90.0,90.0,104.0,99.0,100.0,109.0,106.0,135.0,106.0,114.0,68.0,98.0,91.0,0.207,0.277,0.093,0.327,0.097,0.77,-2.38,-0.36,1.11,-1.82,92.5,87.5,85.7,91.5,79.1,0.214,0.368,0.363,0.167,0.321,0.222,0.303,0.469,0.135,0.292,0.446,0.131,0.385,0.769,0.179,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-09-23,745527,Single,single,False,670623,605400,Isaac Paredes,Aaron Nola,0,571ee71d-a60c-42ed-90a7-92c7c1930fa2,605400.0,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.52,3.76,194.1,105.0,104.0,104.0,0.775,8.8,2.32,8.34,1.34,1.29,0.213,0.473,0.162,0.312,0.4,78.0,102.0,90.0,90.0,104.0,99.0,100.0,109.0,106.0,135.0,106.0,114.0,68.0,98.0,91.0,0.207,0.277,0.093,0.327,0.097,0.77,-2.38,-0.36,1.11,-1.82,92.5,87.5,85.7,91.5,79.1,0.214,0.368,0.363,0.167,0.321,0.222,0.303,0.469,0.135,0.292,0.446,0.131,0.385,0.769,0.179,,,,,,,,,,,,,,,,,,,,,,,,,,,
