,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,FA%,SL%,KC%,wFA/C,wSL/C,wKC/C,vFA,vSL,vKC,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,CU%,CH%,wFC/C,wSI/C,wCU/C,wCH/C,vFC,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
50,2024-07-28,747173,Strikeout,strikeout,True,677950,656605,Alek Thomas,Mitch Keller,0,e4b0db69-fef9-4f5d-a058-6c747fd08e45,656605.0,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,3.84,3.92,152.1,102.0,100.0,100.0,0.809,8.15,2.48,8.68,1.0,1.09,0.289,0.384,0.14,0.318,0.446,88.0,103.0,96.0,132.0,104.0,113.0,,,,0.313,0.241,,0.37,-0.54,,94.5,85.0,,0.25,0.388,0.236,0.302,0.54,0.233,0.265,0.529,0.286,104.0,105.0,101.0,112.0,98.0,105.0,83.0,101.0,94.0,96.0,99.0,98.0,0.224,0.123,0.093,0.007,-0.11,0.37,-0.46,-11.28,90.5,90.2,93.6,78.4,0.248,0.355,0.129,0.208,0.352,0.237,0.243,0.514,0.207,0.75,1.25,0.0,,,,,,,,,
51,2024-07-28,747173,Strikeout,strikeout,True,518735,657044,Yasmani Grandal,Ryan Thompson,0,9421f654-69ee-4743-839f-f0073b190166,657044.0,ryanthompson,"Thompson, R",Right,Ryan Thompson,ARI,2.44,3.7,55.1,103.0,112.0,108.0,0.811,6.83,1.95,7.81,0.65,2.71,0.156,0.491,0.186,0.341,0.44,126.0,122.0,117.0,132.0,101.0,114.0,,,,0.106,0.237,,0.95,0.66,,92.6,79.0,,0.1,0.2,0.256,0.2,0.333,0.327,,,,,,,,,,103.0,101.0,104.0,,,,0.656,,,,,0.9,,,,,91.0,,0.262,0.39,0.163,,,,,,,,,,,,,,,,,,
52,2024-07-28,747173,Groundout,field_out,True,457705,657044,Andrew McCutchen,Ryan Thompson,0,92d67c2f-277a-477f-a3b7-11a5dfb599e7,657044.0,ryanthompson,"Thompson, R",Right,Ryan Thompson,ARI,2.44,3.7,55.1,103.0,112.0,108.0,0.811,6.83,1.95,7.81,0.65,2.71,0.156,0.491,0.186,0.341,0.44,126.0,122.0,117.0,132.0,101.0,114.0,,,,0.106,0.237,,0.95,0.66,,92.6,79.0,,0.1,0.2,0.256,0.2,0.333,0.327,,,,,,,,,,103.0,101.0,104.0,,,,0.656,,,,,0.9,,,,,91.0,,0.262,0.39,0.163,,,,,,,,,,,,,,,,,,
53,2024-07-28,747173,Groundout,field_out,True,665833,657044,Oneil Cruz,Ryan Thompson,0,2ad970a6-9a8d-4b60-8635-3696f173d513,657044.0,ryanthompson,"Thompson, R",Right,Ryan Thompson,ARI,2.44,3.7,55.1,103.0,112.0,108.0,0.811,6.83,1.95,7.81,0.65,2.71,0.156,0.491,0.186,0.341,0.44,126.0,122.0,117.0,132.0,101.0,114.0,,,,0.106,0.237,,0.95,0.66,,92.6,79.0,,0.1,0.2,0.256,0.2,0.333,0.327,,,,,,,,,,103.0,101.0,104.0,,,,0.656,,,,,0.9,,,,,91.0,,0.262,0.39,0.163,,,,,,,,,,,,,,,,,,
54,2024-07-28,747173,Walk,walk,False,621028,670280,Kevin Newman,David Bednar,0,9a9d8363-dac9-44e7-b040-d291525d72d8,670280.0,davidbednar,Bednar,Right,David Bednar,PIT,6.32,4.62,47.0,99.0,130.0,107.0,0.747,9.38,3.45,9.38,1.53,0.81,0.238,0.441,0.182,0.301,0.444,145.0,98.0,108.0,,,,,,,0.567,,,-1.02,,,97.2,,,0.286,0.527,0.234,,,,0.125,0.125,0.261,,,,98.0,93.0,98.0,,,,,,,,,0.207,,,,0.96,,,,,77.3,,,,,,,,,,,,,121.0,106.0,113.0,0.226,-0.44,92.1,0.259,0.407,0.362
55,2024-07-28,747173,Sac Bunt,sac_bunt,True,645444,670280,Jose Herrera,David Bednar,1,152ffd13-1ab5-462b-94bf-afa7ff1c3e36,670280.0,davidbednar,Bednar,Right,David Bednar,PIT,6.32,4.62,47.0,99.0,130.0,107.0,0.747,9.38,3.45,9.38,1.53,0.81,0.238,0.441,0.182,0.301,0.444,145.0,98.0,108.0,,,,,,,0.567,,,-1.02,,,97.2,,,0.286,0.527,0.234,,,,0.125,0.125,0.261,,,,98.0,93.0,98.0,,,,,,,,,0.207,,,,0.96,,,,,77.3,,,,,,,,,,,,,121.0,106.0,113.0,0.226,-0.44,92.1,0.259,0.407,0.362
56,2024-07-28,747173,Pop Out,field_out,True,682998,670280,Corbin Carroll,David Bednar,0,34683762-6b25-4704-b6d9-12e0a8996b04,670280.0,davidbednar,Bednar,Right,David Bednar,PIT,6.32,4.62,47.0,99.0,130.0,107.0,0.747,9.38,3.45,9.38,1.53,0.81,0.238,0.441,0.182,0.301,0.444,145.0,98.0,108.0,,,,,,,0.567,,,-1.02,,,97.2,,,0.286,0.527,0.234,,,,0.125,0.125,0.261,,,,98.0,93.0,98.0,,,,,,,,,0.207,,,,0.96,,,,,77.3,,,,,,,,,,,,,121.0,106.0,113.0,0.226,-0.44,92.1,0.259,0.407,0.362
57,2024-07-28,747173,Strikeout,strikeout,True,672695,670280,Geraldo Perdomo,David Bednar,0,bde05438-589e-499e-8844-419f3814cb4c,670280.0,davidbednar,Bednar,Right,David Bednar,PIT,6.32,4.62,47.0,99.0,130.0,107.0,0.747,9.38,3.45,9.38,1.53,0.81,0.238,0.441,0.182,0.301,0.444,145.0,98.0,108.0,,,,,,,0.567,,,-1.02,,,97.2,,,0.286,0.527,0.234,,,,0.125,0.125,0.261,,,,98.0,93.0,98.0,,,,,,,,,0.207,,,,0.96,,,,,77.3,,,,,,,,,,,,,121.0,106.0,113.0,0.226,-0.44,92.1,0.259,0.407,0.362
58,2024-07-28,747173,Double,double,False,642133,623149,Rowdy Tellez,Paul Sewald,0,2d7020b5-4864-4778-82bf-7485b3b46ced,623149.0,paulsewald,Sewald,Right,Paul Sewald,ARI,4.15,4.17,34.2,100.0,117.0,103.0,0.788,9.61,2.6,8.05,1.04,0.57,0.302,0.365,0.219,0.375,0.489,118.0,101.0,99.0,115.0,99.0,110.0,,,,0.601,0.391,,-0.53,1.03,,91.3,83.0,,0.253,0.446,0.238,,,,,,,88.0,62.0,70.0,,,,,,,,,,,,,0.007,,,,1.37,,84.2,,,,,,0.204,0.367,0.257,,,,,,,,,,,,,,,
59,2024-07-28,747173,Strikeout,strikeout,True,641943,623149,Joshua Palacios,Paul Sewald,0,d21281a0-ebfc-4510-b749-0f67865f450d,623149.0,paulsewald,Sewald,Right,Paul Sewald,ARI,4.15,4.17,34.2,100.0,117.0,103.0,0.788,9.61,2.6,8.05,1.04,0.57,0.302,0.365,0.219,0.375,0.489,118.0,101.0,99.0,115.0,99.0,110.0,,,,0.601,0.391,,-0.53,1.03,,91.3,83.0,,0.253,0.446,0.238,,,,,,,88.0,62.0,70.0,,,,,,,,,,,,,0.007,,,,1.37,,84.2,,,,,,0.204,0.367,0.257,,,,,,,,,,,,,,,
