,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,SI%,KC%,wSI/C,wKC/C,vSI,vKC,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff
0,2024-04-05,745033,Single,single,False,514888,674003,Jose Altuve,Cody Bradford,0,ee163ab3-666f-4f53-8355-caaab6619202,674003.0,codybradford,Bradford,Left,Cody Bradford,TEX,1.4,2.46,19.1,103.0,92.0,97.0,0.779,7.91,0.93,4.66,0.47,0.58,0.404,0.212,0.192,0.308,0.352,104.0,100.0,104.0,102.0,115.0,109.0,91.0,100.0,87.0,39.0,106.0,109.0,38.0,107.0,93.0,0.494,0.011,0.049,0.154,0.292,4.59,-4.35,8.51,2.09,0.62,90.4,86.3,81.4,84.2,75.7,0.1,0.175,0.24,0.278,0.333,0.35,0.143,0.143,0.077,0.0,0.0,0.571,,,,,,,,,,,,,,,,,,
1,2024-04-05,745033,Flyout,field_out,True,670541,674003,Yordan Alvarez,Cody Bradford,0,f875f5c5-e070-4654-87d3-c71979092297,674003.0,codybradford,Bradford,Left,Cody Bradford,TEX,1.4,2.46,19.1,103.0,92.0,97.0,0.779,7.91,0.93,4.66,0.47,0.58,0.404,0.212,0.192,0.308,0.352,104.0,100.0,104.0,102.0,115.0,109.0,91.0,100.0,87.0,39.0,106.0,109.0,38.0,107.0,93.0,0.494,0.011,0.049,0.154,0.292,4.59,-4.35,8.51,2.09,0.62,90.4,86.3,81.4,84.2,75.7,0.1,0.175,0.24,0.278,0.333,0.35,0.143,0.143,0.077,0.0,0.0,0.571,,,,,,,,,,,,,,,,,,
2,2024-04-05,745033,Flyout,field_out,True,663656,674003,Kyle Tucker,Cody Bradford,0,806ad6b9-aff0-40b9-bd93-80bc7c352434,674003.0,codybradford,Bradford,Left,Cody Bradford,TEX,1.4,2.46,19.1,103.0,92.0,97.0,0.779,7.91,0.93,4.66,0.47,0.58,0.404,0.212,0.192,0.308,0.352,104.0,100.0,104.0,102.0,115.0,109.0,91.0,100.0,87.0,39.0,106.0,109.0,38.0,107.0,93.0,0.494,0.011,0.049,0.154,0.292,4.59,-4.35,8.51,2.09,0.62,90.4,86.3,81.4,84.2,75.7,0.1,0.175,0.24,0.278,0.333,0.35,0.143,0.143,0.077,0.0,0.0,0.571,,,,,,,,,,,,,,,,,,
3,2024-04-05,745033,Forceout,force_out,True,608324,674003,Alex Bregman,Cody Bradford,1,966b73ab-c507-41f6-8e53-7cedfc238ea4,674003.0,codybradford,Bradford,Left,Cody Bradford,TEX,1.4,2.46,19.1,103.0,92.0,97.0,0.779,7.91,0.93,4.66,0.47,0.58,0.404,0.212,0.192,0.308,0.352,104.0,100.0,104.0,102.0,115.0,109.0,91.0,100.0,87.0,39.0,106.0,109.0,38.0,107.0,93.0,0.494,0.011,0.049,0.154,0.292,4.59,-4.35,8.51,2.09,0.62,90.4,86.3,81.4,84.2,75.7,0.1,0.175,0.24,0.278,0.333,0.35,0.143,0.143,0.077,0.0,0.0,0.571,,,,,,,,,,,,,,,,,,
4,2024-04-05,745033,Single,single,False,543760,686613,Marcus Semien,Hunter Brown,0,853a982b-cbc8-4eb5-9908-08e64eaeaa43,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,4.14,3.49,104.1,101.0,104.0,102.0,0.775,9.49,3.54,8.71,1.21,1.43,0.317,0.317,0.214,0.245,0.431,88.0,102.0,105.0,,,,106.0,101.0,100.0,114.0,105.0,107.0,95.0,107.0,105.0,0.376,0.157,0.071,,0.134,-0.55,0.16,1.74,,1.13,95.7,92.3,88.4,89.0,,0.272,0.483,0.287,0.208,0.271,0.327,0.28,0.5,0.281,0.192,0.192,0.25,90.0,100.0,98.0,130.0,99.0,106.0,0.134,0.127,0.46,-1.93,95.5,82.4,0.236,0.375,0.185,0.268,0.304,0.172
5,2024-04-05,745033,Lineout,field_out,True,608369,686613,Corey Seager,Hunter Brown,0,36ba807f-25ba-4dd9-880f-6763053005a4,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,4.14,3.49,104.1,101.0,104.0,102.0,0.775,9.49,3.54,8.71,1.21,1.43,0.317,0.317,0.214,0.245,0.431,88.0,102.0,105.0,,,,106.0,101.0,100.0,114.0,105.0,107.0,95.0,107.0,105.0,0.376,0.157,0.071,,0.134,-0.55,0.16,1.74,,1.13,95.7,92.3,88.4,89.0,,0.272,0.483,0.287,0.208,0.271,0.327,0.28,0.5,0.281,0.192,0.192,0.25,90.0,100.0,98.0,130.0,99.0,106.0,0.134,0.127,0.46,-1.93,95.5,82.4,0.236,0.375,0.185,0.268,0.304,0.172
6,2024-04-05,745033,Walk,walk,False,694671,686613,Wyatt Langford,Hunter Brown,1,cc4934a6-81d4-4335-9d38-59bf4da32537,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,4.14,3.49,104.1,101.0,104.0,102.0,0.775,9.49,3.54,8.71,1.21,1.43,0.317,0.317,0.214,0.245,0.431,88.0,102.0,105.0,,,,106.0,101.0,100.0,114.0,105.0,107.0,95.0,107.0,105.0,0.376,0.157,0.071,,0.134,-0.55,0.16,1.74,,1.13,95.7,92.3,88.4,89.0,,0.272,0.483,0.287,0.208,0.271,0.327,0.28,0.5,0.281,0.192,0.192,0.25,90.0,100.0,98.0,130.0,99.0,106.0,0.134,0.127,0.46,-1.93,95.5,82.4,0.236,0.375,0.185,0.268,0.304,0.172
7,2024-04-05,745033,Flyout,field_out,True,666969,686613,Adolis García,Hunter Brown,0,30244f2a-13ac-4543-9070-e25d86d1d2a5,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,4.14,3.49,104.1,101.0,104.0,102.0,0.775,9.49,3.54,8.71,1.21,1.43,0.317,0.317,0.214,0.245,0.431,88.0,102.0,105.0,,,,106.0,101.0,100.0,114.0,105.0,107.0,95.0,107.0,105.0,0.376,0.157,0.071,,0.134,-0.55,0.16,1.74,,1.13,95.7,92.3,88.4,89.0,,0.272,0.483,0.287,0.208,0.271,0.327,0.28,0.5,0.281,0.192,0.192,0.25,90.0,100.0,98.0,130.0,99.0,106.0,0.134,0.127,0.46,-1.93,95.5,82.4,0.236,0.375,0.185,0.268,0.304,0.172
8,2024-04-05,745033,Walk,walk,False,694497,686613,Evan Carter,Hunter Brown,1,545c35ae-6811-43fe-9269-fbe6e7f8f5d8,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,4.14,3.49,104.1,101.0,104.0,102.0,0.775,9.49,3.54,8.71,1.21,1.43,0.317,0.317,0.214,0.245,0.431,88.0,102.0,105.0,,,,106.0,101.0,100.0,114.0,105.0,107.0,95.0,107.0,105.0,0.376,0.157,0.071,,0.134,-0.55,0.16,1.74,,1.13,95.7,92.3,88.4,89.0,,0.272,0.483,0.287,0.208,0.271,0.327,0.28,0.5,0.281,0.192,0.192,0.25,90.0,100.0,98.0,130.0,99.0,106.0,0.134,0.127,0.46,-1.93,95.5,82.4,0.236,0.375,0.185,0.268,0.304,0.172
9,2024-04-05,745033,Strikeout,strikeout,True,665120,686613,Jared Walsh,Hunter Brown,0,24c8a16f-d8ae-44da-8b12-45a0bd29fa74,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,4.14,3.49,104.1,101.0,104.0,102.0,0.775,9.49,3.54,8.71,1.21,1.43,0.317,0.317,0.214,0.245,0.431,88.0,102.0,105.0,,,,106.0,101.0,100.0,114.0,105.0,107.0,95.0,107.0,105.0,0.376,0.157,0.071,,0.134,-0.55,0.16,1.74,,1.13,95.7,92.3,88.4,89.0,,0.272,0.483,0.287,0.208,0.271,0.327,0.28,0.5,0.281,0.192,0.192,0.25,90.0,100.0,98.0,130.0,99.0,106.0,0.134,0.127,0.46,-1.93,95.5,82.4,0.236,0.375,0.185,0.268,0.304,0.172
