,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-09-27,746580,Double,double,False,514888,676282,Jose Altuve,Joey Cantillo,0,734ce8ed-4c67-444d-a447-33beca7f3963,676282.0,joeycantillo,Cantillo,Left,Joey Cantillo,CLE,4.89,3.88,38.2,95.0,97.0,93.0,0.721,10.24,3.49,8.15,1.4,1.39,0.212,0.462,0.154,0.346,0.436,94.0,90.0,96.0,95.0,109.0,105.0,96.0,91.0,87.0,112.0,104.0,103.0,0.488,0.084,0.152,0.276,-1.29,2.07,1.01,0.26,92.2,77.8,82.6,76.2,0.292,0.585,0.22,0.216,0.324,0.437,0.172,0.276,0.271,0.188,0.375,0.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-09-27,746580,Single,single,False,663656,676282,Kyle Tucker,Joey Cantillo,1,4cb24faa-c03a-4fb6-a9d0-90ffec47cdbb,676282.0,joeycantillo,Cantillo,Left,Joey Cantillo,CLE,4.89,3.88,38.2,95.0,97.0,93.0,0.721,10.24,3.49,8.15,1.4,1.39,0.212,0.462,0.154,0.346,0.436,94.0,90.0,96.0,95.0,109.0,105.0,96.0,91.0,87.0,112.0,104.0,103.0,0.488,0.084,0.152,0.276,-1.29,2.07,1.01,0.26,92.2,77.8,82.6,76.2,0.292,0.585,0.22,0.216,0.324,0.437,0.172,0.276,0.271,0.188,0.375,0.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-09-27,746580,Sac Fly,sac_fly,True,608324,676282,Alex Bregman,Joey Cantillo,1,1613d346-bddb-4dfb-9bcf-a2301a5d42cf,676282.0,joeycantillo,Cantillo,Left,Joey Cantillo,CLE,4.89,3.88,38.2,95.0,97.0,93.0,0.721,10.24,3.49,8.15,1.4,1.39,0.212,0.462,0.154,0.346,0.436,94.0,90.0,96.0,95.0,109.0,105.0,96.0,91.0,87.0,112.0,104.0,103.0,0.488,0.084,0.152,0.276,-1.29,2.07,1.01,0.26,92.2,77.8,82.6,76.2,0.292,0.585,0.22,0.216,0.324,0.437,0.172,0.276,0.271,0.188,0.375,0.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-09-27,746580,Strikeout,strikeout,True,673237,676282,Yainer Diaz,Joey Cantillo,0,911cc349-566f-4dec-9b82-9da1bccc12a9,676282.0,joeycantillo,Cantillo,Left,Joey Cantillo,CLE,4.89,3.88,38.2,95.0,97.0,93.0,0.721,10.24,3.49,8.15,1.4,1.39,0.212,0.462,0.154,0.346,0.436,94.0,90.0,96.0,95.0,109.0,105.0,96.0,91.0,87.0,112.0,104.0,103.0,0.488,0.084,0.152,0.276,-1.29,2.07,1.01,0.26,92.2,77.8,82.6,76.2,0.292,0.585,0.22,0.216,0.324,0.437,0.172,0.276,0.271,0.188,0.375,0.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-09-27,746580,Fielders Choice,fielders_choice,False,605170,676282,Victor Caratini,Joey Cantillo,1,2f185240-8c05-40e4-b72b-7b9355ce3733,676282.0,joeycantillo,Cantillo,Left,Joey Cantillo,CLE,4.89,3.88,38.2,95.0,97.0,93.0,0.721,10.24,3.49,8.15,1.4,1.39,0.212,0.462,0.154,0.346,0.436,94.0,90.0,96.0,95.0,109.0,105.0,96.0,91.0,87.0,112.0,104.0,103.0,0.488,0.084,0.152,0.276,-1.29,2.07,1.01,0.26,92.2,77.8,82.6,76.2,0.292,0.585,0.22,0.216,0.324,0.437,0.172,0.276,0.271,0.188,0.375,0.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-09-27,746580,Strikeout,strikeout,True,701305,676282,Zach Dezenzo,Joey Cantillo,0,8401bd8f-4bba-4701-99bd-68558593badb,676282.0,joeycantillo,Cantillo,Left,Joey Cantillo,CLE,4.89,3.88,38.2,95.0,97.0,93.0,0.721,10.24,3.49,8.15,1.4,1.39,0.212,0.462,0.154,0.346,0.436,94.0,90.0,96.0,95.0,109.0,105.0,96.0,91.0,87.0,112.0,104.0,103.0,0.488,0.084,0.152,0.276,-1.29,2.07,1.01,0.26,92.2,77.8,82.6,76.2,0.292,0.585,0.22,0.216,0.324,0.437,0.172,0.276,0.271,0.188,0.375,0.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2024-09-27,746580,Walk,walk,False,680757,669854,Steven Kwan,Ronel Blanco,0,fa6451c2-8510-4b12-9002-c7caf07f8e49,669854.0,ronelblanco,Blanco,Right,Ronel Blanco,HOU,2.8,3.97,167.1,100.0,94.0,98.0,0.733,8.93,3.66,6.13,1.18,0.95,0.21,0.453,0.178,0.317,0.405,119.0,104.0,108.0,75.0,96.0,100.0,85.0,95.0,90.0,89.0,103.0,101.0,0.383,0.302,0.094,0.221,-0.42,2.24,2.55,-0.16,93.4,85.2,86.4,80.1,0.232,0.497,0.192,0.188,0.356,0.343,0.071,0.071,0.376,0.18,0.284,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-09-27,746580,Grounded Into DP,grounded_into_double_play,True,700932,669854,Kyle Manzardo,Ronel Blanco,1,53be3221-709d-41b0-85fe-bff103adaa85,669854.0,ronelblanco,Blanco,Right,Ronel Blanco,HOU,2.8,3.97,167.1,100.0,94.0,98.0,0.733,8.93,3.66,6.13,1.18,0.95,0.21,0.453,0.178,0.317,0.405,119.0,104.0,108.0,75.0,96.0,100.0,85.0,95.0,90.0,89.0,103.0,101.0,0.383,0.302,0.094,0.221,-0.42,2.24,2.55,-0.16,93.4,85.2,86.4,80.1,0.232,0.497,0.192,0.188,0.356,0.343,0.071,0.071,0.376,0.18,0.284,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-09-27,746580,Walk,walk,False,608070,669854,José Ramírez,Ronel Blanco,0,1ce663e4-c550-47cb-a862-573399b5499e,669854.0,ronelblanco,Blanco,Right,Ronel Blanco,HOU,2.8,3.97,167.1,100.0,94.0,98.0,0.733,8.93,3.66,6.13,1.18,0.95,0.21,0.453,0.178,0.317,0.405,119.0,104.0,108.0,75.0,96.0,100.0,85.0,95.0,90.0,89.0,103.0,101.0,0.383,0.302,0.094,0.221,-0.42,2.24,2.55,-0.16,93.4,85.2,86.4,80.1,0.232,0.497,0.192,0.188,0.356,0.343,0.071,0.071,0.376,0.18,0.284,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-09-27,746580,Groundout,field_out,True,647304,669854,Josh Naylor,Ronel Blanco,1,f2f1a5b7-cba6-4d93-9ced-39e1400ced96,669854.0,ronelblanco,Blanco,Right,Ronel Blanco,HOU,2.8,3.97,167.1,100.0,94.0,98.0,0.733,8.93,3.66,6.13,1.18,0.95,0.21,0.453,0.178,0.317,0.405,119.0,104.0,108.0,75.0,96.0,100.0,85.0,95.0,90.0,89.0,103.0,101.0,0.383,0.302,0.094,0.221,-0.42,2.24,2.55,-0.16,93.4,85.2,86.4,80.1,0.232,0.497,0.192,0.188,0.356,0.343,0.071,0.071,0.376,0.18,0.284,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
