,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wCU/C,wCH/C,vFA,vFC,vCH,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,ST_ba,ST_slg,ST_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
10,2024-09-17,746987,Walk,walk,False,622268,544150,Donovan Walton,Albert Suárez,1,5ce6df47-817f-44c7-bb98-6c1eb3fd3a44,544150.0,albertsuarez,"Suárez, A",Right,Albert Suárez,BAL,3.74,4.17,127.2,100.0,89.0,97.0,0.788,7.33,2.96,8.88,1.06,0.84,0.244,0.429,0.135,0.307,0.39,99.0,100.0,105.0,95.0,99.0,98.0,90.0,101.0,96.0,75.0,99.0,91.0,0.5,0.196,0.131,0.174,-0.29,0.59,0.51,-0.59,94.8,86.3,86.1,79.0,0.274,0.457,0.232,0.279,0.442,0.219,0.247,0.376,0.309,0.177,0.323,0.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2024-09-17,746987,Sac Fly,sac_fly,True,689172,544150,Brett Wisely,Albert Suárez,1,c2c328ce-086c-4fad-88c1-00203426afbc,544150.0,albertsuarez,"Suárez, A",Right,Albert Suárez,BAL,3.74,4.17,127.2,100.0,89.0,97.0,0.788,7.33,2.96,8.88,1.06,0.84,0.244,0.429,0.135,0.307,0.39,99.0,100.0,105.0,95.0,99.0,98.0,90.0,101.0,96.0,75.0,99.0,91.0,0.5,0.196,0.131,0.174,-0.29,0.59,0.51,-0.59,94.8,86.3,86.1,79.0,0.274,0.457,0.232,0.279,0.442,0.219,0.247,0.376,0.309,0.177,0.323,0.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2024-09-17,746987,Single,single,False,573262,544150,Mike Yastrzemski,Albert Suárez,1,f9b70788-4024-41fd-a82e-60d73c0d06d1,544150.0,albertsuarez,"Suárez, A",Right,Albert Suárez,BAL,3.74,4.17,127.2,100.0,89.0,97.0,0.788,7.33,2.96,8.88,1.06,0.84,0.244,0.429,0.135,0.307,0.39,99.0,100.0,105.0,95.0,99.0,98.0,90.0,101.0,96.0,75.0,99.0,91.0,0.5,0.196,0.131,0.174,-0.29,0.59,0.51,-0.59,94.8,86.3,86.1,79.0,0.274,0.457,0.232,0.279,0.442,0.219,0.247,0.376,0.309,0.177,0.323,0.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2024-09-17,746987,Pop Out,field_out,True,666149,544150,Tyler Fitzgerald,Albert Suárez,0,73c37e52-1b64-4d09-87aa-47bee7ef2a69,544150.0,albertsuarez,"Suárez, A",Right,Albert Suárez,BAL,3.74,4.17,127.2,100.0,89.0,97.0,0.788,7.33,2.96,8.88,1.06,0.84,0.244,0.429,0.135,0.307,0.39,99.0,100.0,105.0,95.0,99.0,98.0,90.0,101.0,96.0,75.0,99.0,91.0,0.5,0.196,0.131,0.174,-0.29,0.59,0.51,-0.59,94.8,86.3,86.1,79.0,0.274,0.457,0.232,0.279,0.442,0.219,0.247,0.376,0.309,0.177,0.323,0.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2024-09-17,746987,Groundout,field_out,True,623993,605483,Anthony Santander,Blake Snell,0,ce648548-cf9b-4f0a-a982-34720f107d31,605483.0,blakesnell,Snell,Left,Blake Snell,SFG,3.12,2.54,104.0,98.0,122.0,104.0,0.641,12.55,3.81,5.63,0.52,1.03,0.263,0.404,0.171,0.254,0.356,110.0,108.0,116.0,148.0,99.0,109.0,116.0,96.0,100.0,,,,0.464,,0.26,0.176,1.16,,2.25,0.95,95.9,,85.5,81.1,0.2,0.303,0.241,0.236,0.319,0.47,,,,0.111,0.183,0.493,106.0,87.0,91.0,0.101,0.12,88.7,0.167,0.267,0.446,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2024-09-17,746987,Strikeout,strikeout,True,650391,605483,Eloy Jiménez,Blake Snell,0,4c0eb4ea-f9ef-4a0a-9751-844244a2e04c,605483.0,blakesnell,Snell,Left,Blake Snell,SFG,3.12,2.54,104.0,98.0,122.0,104.0,0.641,12.55,3.81,5.63,0.52,1.03,0.263,0.404,0.171,0.254,0.356,110.0,108.0,116.0,148.0,99.0,109.0,116.0,96.0,100.0,,,,0.464,,0.26,0.176,1.16,,2.25,0.95,95.9,,85.5,81.1,0.2,0.303,0.241,0.236,0.319,0.47,,,,0.111,0.183,0.493,106.0,87.0,91.0,0.101,0.12,88.7,0.167,0.267,0.446,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2024-09-17,746987,Single,single,False,656896,605483,Emmanuel Rivera,Blake Snell,0,1bd46673-0531-433f-a819-5c96f97bd32e,605483.0,blakesnell,Snell,Left,Blake Snell,SFG,3.12,2.54,104.0,98.0,122.0,104.0,0.641,12.55,3.81,5.63,0.52,1.03,0.263,0.404,0.171,0.254,0.356,110.0,108.0,116.0,148.0,99.0,109.0,116.0,96.0,100.0,,,,0.464,,0.26,0.176,1.16,,2.25,0.95,95.9,,85.5,81.1,0.2,0.303,0.241,0.236,0.319,0.47,,,,0.111,0.183,0.493,106.0,87.0,91.0,0.101,0.12,88.7,0.167,0.267,0.446,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2024-09-17,746987,Strikeout,strikeout,True,656775,605483,Cedric Mullins,Blake Snell,0,f0397f8a-51f0-406f-bb35-0e6c61c6a7dd,605483.0,blakesnell,Snell,Left,Blake Snell,SFG,3.12,2.54,104.0,98.0,122.0,104.0,0.641,12.55,3.81,5.63,0.52,1.03,0.263,0.404,0.171,0.254,0.356,110.0,108.0,116.0,148.0,99.0,109.0,116.0,96.0,100.0,,,,0.464,,0.26,0.176,1.16,,2.25,0.95,95.9,,85.5,81.1,0.2,0.303,0.241,0.236,0.319,0.47,,,,0.111,0.183,0.493,106.0,87.0,91.0,0.101,0.12,88.7,0.167,0.267,0.446,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2024-09-17,746987,Strikeout,strikeout,True,664774,544150,LaMonte Wade Jr.,Albert Suárez,0,e3d5581a-7353-4a85-9deb-d7fed3cc6315,544150.0,albertsuarez,"Suárez, A",Right,Albert Suárez,BAL,3.74,4.17,127.2,100.0,89.0,97.0,0.788,7.33,2.96,8.88,1.06,0.84,0.244,0.429,0.135,0.307,0.39,99.0,100.0,105.0,95.0,99.0,98.0,90.0,101.0,96.0,75.0,99.0,91.0,0.5,0.196,0.131,0.174,-0.29,0.59,0.51,-0.59,94.8,86.3,86.1,79.0,0.274,0.457,0.232,0.279,0.442,0.219,0.247,0.376,0.309,0.177,0.323,0.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2024-09-17,746987,Field Error,field_error,False,671218,544150,Heliot Ramos,Albert Suárez,1,26a399f9-3fe0-42ea-a085-ce7e4a0b21d7,544150.0,albertsuarez,"Suárez, A",Right,Albert Suárez,BAL,3.74,4.17,127.2,100.0,89.0,97.0,0.788,7.33,2.96,8.88,1.06,0.84,0.244,0.429,0.135,0.307,0.39,99.0,100.0,105.0,95.0,99.0,98.0,90.0,101.0,96.0,75.0,99.0,91.0,0.5,0.196,0.131,0.174,-0.29,0.59,0.51,-0.59,94.8,86.3,86.1,79.0,0.274,0.457,0.232,0.279,0.442,0.219,0.247,0.376,0.309,0.177,0.323,0.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
