,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFS,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CH%,wFC/C,wCH/C,vFC,vCH,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff
0,2024-09-11,744881,Flyout,field_out,True,596019,670102,Francisco Lindor,Bowden Francis,0,23b02edd-a4e3-4ea3-a5f2-6d958c7aec57,670102.0,bowdenfrancis,Francis,Right,Bowden Francis,TOR,3.5,3.55,92.2,102.0,97.0,104.0,0.799,7.96,1.94,6.41,1.55,0.73,0.245,0.494,0.183,0.323,0.466,100.0,93.0,100.0,94.0,106.0,107.0,76.0,104.0,94.0,94.0,90.0,91.0,107.0,104.0,111.0,0.025,0.514,0.188,0.093,0.18,2.09,1.46,5.97,-2.22,-1.8,93.0,83.9,90.9,82.0,73.5,0.175,0.381,0.183,0.169,0.169,0.24,0.292,0.563,0.215,0.3,0.7,0.449,0.111,0.111,0.083,,,,,,,,,,,,,,,,,,,,,
1,2024-09-11,744881,Flyout,field_out,True,578428,670102,Jose Iglesias,Bowden Francis,0,6428e4ce-9e4d-4216-89f3-38fb1dadafd5,670102.0,bowdenfrancis,Francis,Right,Bowden Francis,TOR,3.5,3.55,92.2,102.0,97.0,104.0,0.799,7.96,1.94,6.41,1.55,0.73,0.245,0.494,0.183,0.323,0.466,100.0,93.0,100.0,94.0,106.0,107.0,76.0,104.0,94.0,94.0,90.0,91.0,107.0,104.0,111.0,0.025,0.514,0.188,0.093,0.18,2.09,1.46,5.97,-2.22,-1.8,93.0,83.9,90.9,82.0,73.5,0.175,0.381,0.183,0.169,0.169,0.24,0.292,0.563,0.215,0.3,0.7,0.449,0.111,0.111,0.083,,,,,,,,,,,,,,,,,,,,,
2,2024-09-11,744881,Strikeout,strikeout,True,668901,670102,Mark Vientos,Bowden Francis,0,a407d25c-04af-4ca6-bb7a-0846cd1f476b,670102.0,bowdenfrancis,Francis,Right,Bowden Francis,TOR,3.5,3.55,92.2,102.0,97.0,104.0,0.799,7.96,1.94,6.41,1.55,0.73,0.245,0.494,0.183,0.323,0.466,100.0,93.0,100.0,94.0,106.0,107.0,76.0,104.0,94.0,94.0,90.0,91.0,107.0,104.0,111.0,0.025,0.514,0.188,0.093,0.18,2.09,1.46,5.97,-2.22,-1.8,93.0,83.9,90.9,82.0,73.5,0.175,0.381,0.183,0.169,0.169,0.24,0.292,0.563,0.215,0.3,0.7,0.449,0.111,0.111,0.083,,,,,,,,,,,,,,,,,,,,,
3,2024-09-11,744881,Walk,walk,False,543807,640455,George Springer,Sean Manaea,0,48e15895-15bd-419c-83d5-00af59c21099,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.26,3.74,171.0,97.0,89.0,96.0,0.758,9.32,3.21,6.53,0.95,0.88,0.265,0.382,0.155,0.321,0.433,,,,87.0,104.0,99.0,93.0,100.0,97.0,88.0,87.0,92.0,,,,0.434,0.119,,0.254,,1.12,,1.49,0.48,,92.4,,92.3,79.6,,0.167,0.295,0.309,,,,,,,0.174,0.435,0.32,0.195,0.312,0.215,83.0,98.0,94.0,84.0,88.0,85.0,0.076,0.117,0.98,-1.0,88.4,85.4,0.186,0.31,0.391,0.264,0.437,0.249,0.222,0.25,0.179
4,2024-09-11,744881,Forceout,force_out,True,664770,640455,Nathan Lukes,Sean Manaea,1,333aa4ba-2303-4b5a-9bd4-aee8b50b3860,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.26,3.74,171.0,97.0,89.0,96.0,0.758,9.32,3.21,6.53,0.95,0.88,0.265,0.382,0.155,0.321,0.433,,,,87.0,104.0,99.0,93.0,100.0,97.0,88.0,87.0,92.0,,,,0.434,0.119,,0.254,,1.12,,1.49,0.48,,92.4,,92.3,79.6,,0.167,0.295,0.309,,,,,,,0.174,0.435,0.32,0.195,0.312,0.215,83.0,98.0,94.0,84.0,88.0,85.0,0.076,0.117,0.98,-1.0,88.4,85.4,0.186,0.31,0.391,0.264,0.437,0.249,0.222,0.25,0.179
5,2024-09-11,744881,Strikeout,strikeout,True,665489,640455,Vladimir Guerrero Jr.,Sean Manaea,1,8b7ac492-db9b-4a0f-b3bc-49286a036473,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.26,3.74,171.0,97.0,89.0,96.0,0.758,9.32,3.21,6.53,0.95,0.88,0.265,0.382,0.155,0.321,0.433,,,,87.0,104.0,99.0,93.0,100.0,97.0,88.0,87.0,92.0,,,,0.434,0.119,,0.254,,1.12,,1.49,0.48,,92.4,,92.3,79.6,,0.167,0.295,0.309,,,,,,,0.174,0.435,0.32,0.195,0.312,0.215,83.0,98.0,94.0,84.0,88.0,85.0,0.076,0.117,0.98,-1.0,88.4,85.4,0.186,0.31,0.391,0.264,0.437,0.249,0.222,0.25,0.179
6,2024-09-11,744881,Flyout,field_out,True,676391,640455,Ernie Clement,Sean Manaea,0,e896d71b-340e-4074-8d11-e0ee0ac1a465,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.26,3.74,171.0,97.0,89.0,96.0,0.758,9.32,3.21,6.53,0.95,0.88,0.265,0.382,0.155,0.321,0.433,,,,87.0,104.0,99.0,93.0,100.0,97.0,88.0,87.0,92.0,,,,0.434,0.119,,0.254,,1.12,,1.49,0.48,,92.4,,92.3,79.6,,0.167,0.295,0.309,,,,,,,0.174,0.435,0.32,0.195,0.312,0.215,83.0,98.0,94.0,84.0,88.0,85.0,0.076,0.117,0.98,-1.0,88.4,85.4,0.186,0.31,0.391,0.264,0.437,0.249,0.222,0.25,0.179
7,2024-09-11,744881,Pop Out,field_out,True,607043,670102,Brandon Nimmo,Bowden Francis,0,1336b958-2557-4039-b0d2-ac760f2dd1d5,670102.0,bowdenfrancis,Francis,Right,Bowden Francis,TOR,3.5,3.55,92.2,102.0,97.0,104.0,0.799,7.96,1.94,6.41,1.55,0.73,0.245,0.494,0.183,0.323,0.466,100.0,93.0,100.0,94.0,106.0,107.0,76.0,104.0,94.0,94.0,90.0,91.0,107.0,104.0,111.0,0.025,0.514,0.188,0.093,0.18,2.09,1.46,5.97,-2.22,-1.8,93.0,83.9,90.9,82.0,73.5,0.175,0.381,0.183,0.169,0.169,0.24,0.292,0.563,0.215,0.3,0.7,0.449,0.111,0.111,0.083,,,,,,,,,,,,,,,,,,,,,
8,2024-09-11,744881,Pop Out,field_out,True,624413,670102,Pete Alonso,Bowden Francis,0,ca2ac7df-8079-4736-9998-86393d4bd50b,670102.0,bowdenfrancis,Francis,Right,Bowden Francis,TOR,3.5,3.55,92.2,102.0,97.0,104.0,0.799,7.96,1.94,6.41,1.55,0.73,0.245,0.494,0.183,0.323,0.466,100.0,93.0,100.0,94.0,106.0,107.0,76.0,104.0,94.0,94.0,90.0,91.0,107.0,104.0,111.0,0.025,0.514,0.188,0.093,0.18,2.09,1.46,5.97,-2.22,-1.8,93.0,83.9,90.9,82.0,73.5,0.175,0.381,0.183,0.169,0.169,0.24,0.292,0.563,0.215,0.3,0.7,0.449,0.111,0.111,0.083,,,,,,,,,,,,,,,,,,,,,
9,2024-09-11,744881,Pop Out,field_out,True,502110,670102,J.D. Martinez,Bowden Francis,0,74d1cacd-1554-48a1-9653-66b3b83bc891,670102.0,bowdenfrancis,Francis,Right,Bowden Francis,TOR,3.5,3.55,92.2,102.0,97.0,104.0,0.799,7.96,1.94,6.41,1.55,0.73,0.245,0.494,0.183,0.323,0.466,100.0,93.0,100.0,94.0,106.0,107.0,76.0,104.0,94.0,94.0,90.0,91.0,107.0,104.0,111.0,0.025,0.514,0.188,0.093,0.18,2.09,1.46,5.97,-2.22,-1.8,93.0,83.9,90.9,82.0,73.5,0.175,0.381,0.183,0.169,0.169,0.24,0.292,0.563,0.215,0.3,0.7,0.449,0.111,0.111,0.083,,,,,,,,,,,,,,,,,,,,,
