,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff
0,2024-07-14,745551,Lineout,field_out,True,671732,689147,Lawrence Butler,Orion Kerkering,0,1ef4a55c-faca-4b41-a49f-d12f1e53eafc,689147.0,orionkerkering,Kerkering,Right,Orion Kerkering,0.264,0.319,0.275,0.216,0.27,0.275,0.13,0.13,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-07-14,745551,Lineout,field_out,True,609280,689147,Miguel Andujar,Orion Kerkering,0,9cc2d278-2711-41d7-bb6c-2f9967450859,689147.0,orionkerkering,Kerkering,Right,Orion Kerkering,0.264,0.319,0.275,0.216,0.27,0.275,0.13,0.13,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-07-14,745551,Groundout,field_out,True,668709,689147,JJ Bleday,Orion Kerkering,0,21837ad7-8a35-45ec-9779-251b3d24ddbe,689147.0,orionkerkering,Kerkering,Right,Orion Kerkering,0.264,0.319,0.275,0.216,0.27,0.275,0.13,0.13,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-07-14,745551,Strikeout,strikeout,True,656941,683155,Kyle Schwarber,Joey Estes,0,0c1a65ee-7071-49a9-8c48-e0bfb23ea0b0,683155.0,joeyestes,Estes,Right,Joey Estes,0.261,0.522,0.213,0.231,0.427,0.194,0.333,0.333,0.0,OAK,5.29,4.22,63.0,108.0,95.0,106.0,0.815,7.0,2.14,8.57,1.14,0.44,0.267,0.415,0.149,0.308,0.492,86.0,90.0,94.0,84.0,108.0,102.0,57.0,108.0,118.0,115.0,114.0,118.0,111.0,89.0,91.0,0.006,0.555,0.014,0.326,0.099,0.75,-13.92,-1.29,0.49,-6.26,92.7,86.4,84.7,90.9,79.7,0.529,1.059,0.282,,,,,,,,,,,,
4,2024-07-14,745551,Home Run,home_run,False,607208,683155,Trea Turner,Joey Estes,0,e5d7784c-e180-4d2b-8b74-b96dc4a248a2,683155.0,joeyestes,Estes,Right,Joey Estes,0.261,0.522,0.213,0.231,0.427,0.194,0.333,0.333,0.0,OAK,5.29,4.22,63.0,108.0,95.0,106.0,0.815,7.0,2.14,8.57,1.14,0.44,0.267,0.415,0.149,0.308,0.492,86.0,90.0,94.0,84.0,108.0,102.0,57.0,108.0,118.0,115.0,114.0,118.0,111.0,89.0,91.0,0.006,0.555,0.014,0.326,0.099,0.75,-13.92,-1.29,0.49,-6.26,92.7,86.4,84.7,90.9,79.7,0.529,1.059,0.282,,,,,,,,,,,,
5,2024-07-14,745551,Pop Out,field_out,True,547180,683155,Bryce Harper,Joey Estes,0,bd994c98-0948-4e10-9011-102bcd25c40a,683155.0,joeyestes,Estes,Right,Joey Estes,0.261,0.522,0.213,0.231,0.427,0.194,0.333,0.333,0.0,OAK,5.29,4.22,63.0,108.0,95.0,106.0,0.815,7.0,2.14,8.57,1.14,0.44,0.267,0.415,0.149,0.308,0.492,86.0,90.0,94.0,84.0,108.0,102.0,57.0,108.0,118.0,115.0,114.0,118.0,111.0,89.0,91.0,0.006,0.555,0.014,0.326,0.099,0.75,-13.92,-1.29,0.49,-6.26,92.7,86.4,84.7,90.9,79.7,0.529,1.059,0.282,,,,,,,,,,,,
6,2024-07-14,745551,Double,double,False,664761,683155,Alec Bohm,Joey Estes,0,35ce80dd-bd8c-418e-9a65-78d94bc51b14,683155.0,joeyestes,Estes,Right,Joey Estes,0.261,0.522,0.213,0.231,0.427,0.194,0.333,0.333,0.0,OAK,5.29,4.22,63.0,108.0,95.0,106.0,0.815,7.0,2.14,8.57,1.14,0.44,0.267,0.415,0.149,0.308,0.492,86.0,90.0,94.0,84.0,108.0,102.0,57.0,108.0,118.0,115.0,114.0,118.0,111.0,89.0,91.0,0.006,0.555,0.014,0.326,0.099,0.75,-13.92,-1.29,0.49,-6.26,92.7,86.4,84.7,90.9,79.7,0.529,1.059,0.282,,,,,,,,,,,,
7,2024-07-14,745551,Flyout,field_out,True,681082,683155,Bryson Stott,Joey Estes,0,0caafaa4-54d4-49d7-be01-3976d0fe9d9d,683155.0,joeyestes,Estes,Right,Joey Estes,0.261,0.522,0.213,0.231,0.427,0.194,0.333,0.333,0.0,OAK,5.29,4.22,63.0,108.0,95.0,106.0,0.815,7.0,2.14,8.57,1.14,0.44,0.267,0.415,0.149,0.308,0.492,86.0,90.0,94.0,84.0,108.0,102.0,57.0,108.0,118.0,115.0,114.0,118.0,111.0,89.0,91.0,0.006,0.555,0.014,0.326,0.099,0.75,-13.92,-1.29,0.49,-6.26,92.7,86.4,84.7,90.9,79.7,0.529,1.059,0.282,,,,,,,,,,,,
8,2024-07-14,745551,Walk,walk,False,667670,675650,Brent Rooker,Michael Mercado,0,76fa2877-a68b-487e-a225-9843314eb545,675650.0,michaelmercado,Mercado,Right,Michael Mercado,,,,0.471,1.235,0.149,,,,PHI,9.26,7.1,11.2,96.0,97.0,94.0,0.794,6.17,6.17,9.26,4.63,0.57,0.132,0.5,0.026,0.421,0.427,125.0,108.0,124.0,101.0,92.0,91.0,,,,,,,84.0,100.0,91.0,,0.467,0.273,,0.04,-5.99,-2.43,,,-0.32,95.3,88.0,89.5,,,,,,100.0,96.0,97.0,0.22,4.11,83.1,0.25,0.688,0.321,0.0,0.0,0.208
9,2024-07-14,745551,Strikeout,strikeout,True,669127,675650,Shea Langeliers,Michael Mercado,0,b068899b-9b1c-4f96-a0bf-b61b7d94ec42,675650.0,michaelmercado,Mercado,Right,Michael Mercado,,,,0.471,1.235,0.149,,,,PHI,9.26,7.1,11.2,96.0,97.0,94.0,0.794,6.17,6.17,9.26,4.63,0.57,0.132,0.5,0.026,0.421,0.427,125.0,108.0,124.0,101.0,92.0,91.0,,,,,,,84.0,100.0,91.0,,0.467,0.273,,0.04,-5.99,-2.43,,,-0.32,95.3,88.0,89.5,,,,,,100.0,96.0,97.0,0.22,4.11,83.1,0.25,0.688,0.321,0.0,0.0,0.208
