,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,CH%,wFC/C,wSI/C,wSL/C,wCH/C,vFC,vCH,vSI,vSL,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,FA%,CU%,wFA/C,wCU/C,vFA,vCU,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-07-20,745478,Flyout,field_out,True,656941,682847,Kyle Schwarber,Luis L. Ortiz,0,3352493b-df8f-4aaf-b0fb-22beaab62d8f,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,0.21,0.346,0.293,0.25,0.353,0.134,0.219,0.297,0.268,0.286,0.343,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-07-20,745478,Groundout,field_out,True,607208,682847,Trea Turner,Luis L. Ortiz,0,347f1991-cde1-4fb2-9190-82a09ab18138,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,0.21,0.346,0.293,0.25,0.353,0.134,0.219,0.297,0.268,0.286,0.343,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-07-20,745478,Flyout,field_out,True,547180,682847,Bryce Harper,Luis L. Ortiz,0,e3c78201-3c23-48d9-8362-45a2f2d78eaf,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,0.21,0.346,0.293,0.25,0.353,0.134,0.219,0.297,0.268,0.286,0.343,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-07-20,745478,Flyout,field_out,True,457705,650911,Andrew McCutchen,Cristopher Sánchez,0,7c5ce63a-f586-4cd6-a1ef-d1229127d230,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,0.217,0.319,0.292,0.343,0.436,0.1,,,,,,,PHI,2.96,3.49,103.1,101.0,93.0,105.0,0.783,7.58,2.44,8.62,0.17,3.23,0.218,0.41,0.205,0.303,0.415,84.0,104.0,113.0,98.0,99.0,98.0,95.0,100.0,104.0,86.0,52.0,74.0,0.477,0.002,0.184,0.337,2.59,-0.18,1.12,2.05,86.5,85.2,94.4,84.1,0.166,0.185,0.385,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-07-20,745478,Single,single,False,668804,650911,Bryan Reynolds,Cristopher Sánchez,0,f3c1502e-1934-4ecd-9164-8e9a4268fcc6,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,0.217,0.319,0.292,0.343,0.436,0.1,,,,,,,PHI,2.96,3.49,103.1,101.0,93.0,105.0,0.783,7.58,2.44,8.62,0.17,3.23,0.218,0.41,0.205,0.303,0.415,84.0,104.0,113.0,98.0,99.0,98.0,95.0,100.0,104.0,86.0,52.0,74.0,0.477,0.002,0.184,0.337,2.59,-0.18,1.12,2.05,86.5,85.2,94.4,84.1,0.166,0.185,0.385,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-07-20,745478,Flyout,field_out,True,656582,650911,Connor Joe,Cristopher Sánchez,1,91ac0698-309e-4a57-b7e5-5795c8a27fb6,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,0.217,0.319,0.292,0.343,0.436,0.1,,,,,,,PHI,2.96,3.49,103.1,101.0,93.0,105.0,0.783,7.58,2.44,8.62,0.17,3.23,0.218,0.41,0.205,0.303,0.415,84.0,104.0,113.0,98.0,99.0,98.0,95.0,100.0,104.0,86.0,52.0,74.0,0.477,0.002,0.184,0.337,2.59,-0.18,1.12,2.05,86.5,85.2,94.4,84.1,0.166,0.185,0.385,,,,,,,,,,,,,,,,,,,,,,,,
6,2024-07-20,745478,Lineout,field_out,True,693304,650911,Nick Gonzales,Cristopher Sánchez,0,efc5a76a-b18a-441b-bb7e-e921fc067e50,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,0.217,0.319,0.292,0.343,0.436,0.1,,,,,,,PHI,2.96,3.49,103.1,101.0,93.0,105.0,0.783,7.58,2.44,8.62,0.17,3.23,0.218,0.41,0.205,0.303,0.415,84.0,104.0,113.0,98.0,99.0,98.0,95.0,100.0,104.0,86.0,52.0,74.0,0.477,0.002,0.184,0.337,2.59,-0.18,1.12,2.05,86.5,85.2,94.4,84.1,0.166,0.185,0.385,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-07-20,745478,Flyout,field_out,True,664761,682847,Alec Bohm,Luis L. Ortiz,0,c51b97eb-e71d-4123-ae58-9de427f57bb1,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,0.21,0.346,0.293,0.25,0.353,0.134,0.219,0.297,0.268,0.286,0.343,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-07-20,745478,Walk,walk,False,592663,682847,J.T. Realmuto,Luis L. Ortiz,0,08829063-ae98-4720-afd3-2549125e1967,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,0.21,0.346,0.293,0.25,0.353,0.134,0.219,0.297,0.268,0.286,0.343,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-07-20,745478,Flyout,field_out,True,681082,682847,Bryson Stott,Luis L. Ortiz,0,7a24b6c3-1ed7-4fe1-a06d-e002b57ccaf7,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,0.21,0.346,0.293,0.25,0.353,0.134,0.219,0.297,0.268,0.286,0.343,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
