,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff
0,2024-04-12,747055,Strikeout,strikeout,True,694192,669330,Jackson Chourio,Tyler Wells,0,f8d192a9-a66f-49e1-b095-c0f2f404a663,669330.0,tylerwells,"Wells, T",Right,Tyler Wells,BAL,5.87,7.37,15.1,105.0,103.0,100.0,0.769,7.63,1.76,10.57,1.76,0.83,0.196,0.51,0.216,0.373,0.394,110.0,115.0,117.0,99.0,105.0,100.0,93.0,99.0,96.0,124.0,100.0,91.0,104.0,106.0,96.0,0.344,0.178,0.104,0.185,0.189,-2.88,-1.37,-6.35,1.95,2.88,92.5,88.1,85.8,84.3,76.1,0.32,0.72,0.196,0.143,0.143,0.28,0.2,0.2,0.417,0.333,0.667,0.227,0.5,0.833,0.286,,,,,,,,,
1,2024-04-12,747055,Groundout,field_out,True,661388,669330,William Contreras,Tyler Wells,0,0ad4ba5a-e495-46c9-a19c-14ede38c748d,669330.0,tylerwells,"Wells, T",Right,Tyler Wells,BAL,5.87,7.37,15.1,105.0,103.0,100.0,0.769,7.63,1.76,10.57,1.76,0.83,0.196,0.51,0.216,0.373,0.394,110.0,115.0,117.0,99.0,105.0,100.0,93.0,99.0,96.0,124.0,100.0,91.0,104.0,106.0,96.0,0.344,0.178,0.104,0.185,0.189,-2.88,-1.37,-6.35,1.95,2.88,92.5,88.1,85.8,84.3,76.1,0.32,0.72,0.196,0.143,0.143,0.28,0.2,0.2,0.417,0.333,0.667,0.227,0.5,0.833,0.286,,,,,,,,,
2,2024-04-12,747055,Single,single,False,592885,669330,Christian Yelich,Tyler Wells,0,252b8c4a-b7da-4832-8dff-86471cbc46e3,669330.0,tylerwells,"Wells, T",Right,Tyler Wells,BAL,5.87,7.37,15.1,105.0,103.0,100.0,0.769,7.63,1.76,10.57,1.76,0.83,0.196,0.51,0.216,0.373,0.394,110.0,115.0,117.0,99.0,105.0,100.0,93.0,99.0,96.0,124.0,100.0,91.0,104.0,106.0,96.0,0.344,0.178,0.104,0.185,0.189,-2.88,-1.37,-6.35,1.95,2.88,92.5,88.1,85.8,84.3,76.1,0.32,0.72,0.196,0.143,0.143,0.28,0.2,0.2,0.417,0.333,0.667,0.227,0.5,0.833,0.286,,,,,,,,,
3,2024-04-12,747055,Flyout,field_out,True,642715,669330,Willy Adames,Tyler Wells,0,24702b07-e193-4ac9-97bf-2a3f9d0560e1,669330.0,tylerwells,"Wells, T",Right,Tyler Wells,BAL,5.87,7.37,15.1,105.0,103.0,100.0,0.769,7.63,1.76,10.57,1.76,0.83,0.196,0.51,0.216,0.373,0.394,110.0,115.0,117.0,99.0,105.0,100.0,93.0,99.0,96.0,124.0,100.0,91.0,104.0,106.0,96.0,0.344,0.178,0.104,0.185,0.189,-2.88,-1.37,-6.35,1.95,2.88,92.5,88.1,85.8,84.3,76.1,0.32,0.72,0.196,0.143,0.143,0.28,0.2,0.2,0.417,0.333,0.667,0.227,0.5,0.833,0.286,,,,,,,,,
4,2024-04-12,747055,Strikeout,strikeout,True,683002,642547,Gunnar Henderson,Freddy Peralta,0,b4b76eaa-5aae-4e49-864f-45fbfc94f8a0,642547.0,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,4.11,3.74,103.0,99.0,107.0,102.0,0.71,11.36,3.15,7.6,1.22,0.92,0.248,0.38,0.233,0.31,0.387,76.0,94.0,88.0,103.0,102.0,111.0,121.0,99.0,103.0,99.0,104.0,110.0,,,,0.536,,0.248,0.046,0.17,0.0,,0.53,-1.65,1.06,94.5,,88.0,81.1,77.3,0.238,0.411,0.277,0.22,0.254,0.386,0.308,0.538,0.233,,,,0.194,0.337,0.393,,,,,,,,,
5,2024-04-12,747055,Double,double,False,681297,642547,Colton Cowser,Freddy Peralta,0,5eff872c-be03-4fc4-99cd-82e4da2b8f23,642547.0,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,4.11,3.74,103.0,99.0,107.0,102.0,0.71,11.36,3.15,7.6,1.22,0.92,0.248,0.38,0.233,0.31,0.387,76.0,94.0,88.0,103.0,102.0,111.0,121.0,99.0,103.0,99.0,104.0,110.0,,,,0.536,,0.248,0.046,0.17,0.0,,0.53,-1.65,1.06,94.5,,88.0,81.1,77.3,0.238,0.411,0.277,0.22,0.254,0.386,0.308,0.538,0.233,,,,0.194,0.337,0.393,,,,,,,,,
6,2024-04-12,747055,Flyout,field_out,True,623993,642547,Anthony Santander,Freddy Peralta,0,eb578a0e-335b-41b0-aab8-2f12254d71a0,642547.0,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,4.11,3.74,103.0,99.0,107.0,102.0,0.71,11.36,3.15,7.6,1.22,0.92,0.248,0.38,0.233,0.31,0.387,76.0,94.0,88.0,103.0,102.0,111.0,121.0,99.0,103.0,99.0,104.0,110.0,,,,0.536,,0.248,0.046,0.17,0.0,,0.53,-1.65,1.06,94.5,,88.0,81.1,77.3,0.238,0.411,0.277,0.22,0.254,0.386,0.308,0.538,0.233,,,,0.194,0.337,0.393,,,,,,,,,
7,2024-04-12,747055,Strikeout,strikeout,True,656811,642547,Ryan O'Hearn,Freddy Peralta,0,9fc61f3b-abfb-4a31-a0b9-bf60c203d5fc,642547.0,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,4.11,3.74,103.0,99.0,107.0,102.0,0.71,11.36,3.15,7.6,1.22,0.92,0.248,0.38,0.233,0.31,0.387,76.0,94.0,88.0,103.0,102.0,111.0,121.0,99.0,103.0,99.0,104.0,110.0,,,,0.536,,0.248,0.046,0.17,0.0,,0.53,-1.65,1.06,94.5,,88.0,81.1,77.3,0.238,0.411,0.277,0.22,0.254,0.386,0.308,0.538,0.233,,,,0.194,0.337,0.393,,,,,,,,,
8,2024-04-12,747055,Pop Out,field_out,True,686217,669330,Sal Frelick,Tyler Wells,0,08f106e8-d5ab-4fc3-8550-d42819a8ef50,669330.0,tylerwells,"Wells, T",Right,Tyler Wells,BAL,5.87,7.37,15.1,105.0,103.0,100.0,0.769,7.63,1.76,10.57,1.76,0.83,0.196,0.51,0.216,0.373,0.394,110.0,115.0,117.0,99.0,105.0,100.0,93.0,99.0,96.0,124.0,100.0,91.0,104.0,106.0,96.0,0.344,0.178,0.104,0.185,0.189,-2.88,-1.37,-6.35,1.95,2.88,92.5,88.1,85.8,84.3,76.1,0.32,0.72,0.196,0.143,0.143,0.28,0.2,0.2,0.417,0.333,0.667,0.227,0.5,0.833,0.286,,,,,,,,,
9,2024-04-12,747055,Double,double,False,656555,669330,Rhys Hoskins,Tyler Wells,0,c6221707-af4a-4311-90a3-c549e93960e7,669330.0,tylerwells,"Wells, T",Right,Tyler Wells,BAL,5.87,7.37,15.1,105.0,103.0,100.0,0.769,7.63,1.76,10.57,1.76,0.83,0.196,0.51,0.216,0.373,0.394,110.0,115.0,117.0,99.0,105.0,100.0,93.0,99.0,96.0,124.0,100.0,91.0,104.0,106.0,96.0,0.344,0.178,0.104,0.185,0.189,-2.88,-1.37,-6.35,1.95,2.88,92.5,88.1,85.8,84.3,76.1,0.32,0.72,0.196,0.143,0.143,0.28,0.2,0.2,0.417,0.333,0.667,0.227,0.5,0.833,0.286,,,,,,,,,
