,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-04-21,747133,Pop Out,field_out,True,543760,670241,Marcus Semien,Darius Vines,0,e1b49041-202d-47f6-9091-8b2d92504e63,670241.0,dariusvines,Vines,Right,Darius Vines,ATL,7.82,6.38,12.2,103.0,79.0,98.0,0.769,5.68,2.84,12.08,2.13,1.0,0.326,0.391,0.196,0.348,0.444,88.0,107.0,102.0,56.0,94.0,91.0,67.0,105.0,95.0,104.0,106.0,114.0,88.0,87.0,81.0,0.375,0.125,0.116,0.06,0.323,-3.84,-3.97,2.06,2.08,-1.47,90.9,83.6,81.5,82.8,78.4,0.4,0.7,0.024,0.2,0.55,0.175,0.5,0.5,0.571,0.25,0.25,0.647,0.333,0.333,0.2,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-04-21,747133,Groundout,field_out,True,608369,670241,Corey Seager,Darius Vines,0,b12e494b-1786-4adc-953e-8caa8058e822,670241.0,dariusvines,Vines,Right,Darius Vines,ATL,7.82,6.38,12.2,103.0,79.0,98.0,0.769,5.68,2.84,12.08,2.13,1.0,0.326,0.391,0.196,0.348,0.444,88.0,107.0,102.0,56.0,94.0,91.0,67.0,105.0,95.0,104.0,106.0,114.0,88.0,87.0,81.0,0.375,0.125,0.116,0.06,0.323,-3.84,-3.97,2.06,2.08,-1.47,90.9,83.6,81.5,82.8,78.4,0.4,0.7,0.024,0.2,0.55,0.175,0.5,0.5,0.571,0.25,0.25,0.647,0.333,0.333,0.2,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-04-21,747133,Strikeout,strikeout,True,694497,670241,Evan Carter,Darius Vines,0,9c66ab0e-9f6f-4dbd-976f-708ba1afc69a,670241.0,dariusvines,Vines,Right,Darius Vines,ATL,7.82,6.38,12.2,103.0,79.0,98.0,0.769,5.68,2.84,12.08,2.13,1.0,0.326,0.391,0.196,0.348,0.444,88.0,107.0,102.0,56.0,94.0,91.0,67.0,105.0,95.0,104.0,106.0,114.0,88.0,87.0,81.0,0.375,0.125,0.116,0.06,0.323,-3.84,-3.97,2.06,2.08,-1.47,90.9,83.6,81.5,82.8,78.4,0.4,0.7,0.024,0.2,0.55,0.175,0.5,0.5,0.571,0.25,0.25,0.647,0.333,0.333,0.2,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-04-21,747133,Single,single,False,660670,547179,Ronald Acuña Jr.,Michael Lorenzen,0,7ba3dbd0-175f-4d33-a496-19aaa3a001ed,547179.0,michaellorenzen,Lorenzen,Right,Michael Lorenzen,TEX,3.52,4.83,92.0,97.0,95.0,95.0,0.803,6.36,4.3,6.65,1.27,1.11,0.228,0.375,0.193,0.336,0.412,94.0,100.0,99.0,102.0,90.0,94.0,89.0,95.0,90.0,125.0,99.0,108.0,94.0,94.0,93.0,0.27,0.111,0.145,0.072,0.197,0.95,1.38,-1.69,0.92,1.61,94.0,90.2,84.7,84.5,81.8,0.154,0.295,0.202,0.145,0.217,0.347,0.175,0.425,0.241,0.077,0.308,0.172,0.111,0.111,0.367,83.0,102.0,95.0,0.205,-0.46,93.8,0.302,0.465,0.055,,,,,,,,,,,,,,,
4,2024-04-21,747133,Walk,walk,False,671739,547179,Michael Harris II,Michael Lorenzen,1,d1e14e63-c5ac-44e2-8ccd-d83b76635a8b,547179.0,michaellorenzen,Lorenzen,Right,Michael Lorenzen,TEX,3.52,4.83,92.0,97.0,95.0,95.0,0.803,6.36,4.3,6.65,1.27,1.11,0.228,0.375,0.193,0.336,0.412,94.0,100.0,99.0,102.0,90.0,94.0,89.0,95.0,90.0,125.0,99.0,108.0,94.0,94.0,93.0,0.27,0.111,0.145,0.072,0.197,0.95,1.38,-1.69,0.92,1.61,94.0,90.2,84.7,84.5,81.8,0.154,0.295,0.202,0.145,0.217,0.347,0.175,0.425,0.241,0.077,0.308,0.172,0.111,0.111,0.367,83.0,102.0,95.0,0.205,-0.46,93.8,0.302,0.465,0.055,,,,,,,,,,,,,,,
5,2024-04-21,747133,Strikeout,strikeout,True,663586,547179,Austin Riley,Michael Lorenzen,0,405c1b1b-1419-4f53-872b-e41d3e46b29e,547179.0,michaellorenzen,Lorenzen,Right,Michael Lorenzen,TEX,3.52,4.83,92.0,97.0,95.0,95.0,0.803,6.36,4.3,6.65,1.27,1.11,0.228,0.375,0.193,0.336,0.412,94.0,100.0,99.0,102.0,90.0,94.0,89.0,95.0,90.0,125.0,99.0,108.0,94.0,94.0,93.0,0.27,0.111,0.145,0.072,0.197,0.95,1.38,-1.69,0.92,1.61,94.0,90.2,84.7,84.5,81.8,0.154,0.295,0.202,0.145,0.217,0.347,0.175,0.425,0.241,0.077,0.308,0.172,0.111,0.111,0.367,83.0,102.0,95.0,0.205,-0.46,93.8,0.302,0.465,0.055,,,,,,,,,,,,,,,
6,2024-04-21,747133,Strikeout,strikeout,True,621566,547179,Matt Olson,Michael Lorenzen,0,5e9d1fef-0d63-467d-a213-a508d1baca4b,547179.0,michaellorenzen,Lorenzen,Right,Michael Lorenzen,TEX,3.52,4.83,92.0,97.0,95.0,95.0,0.803,6.36,4.3,6.65,1.27,1.11,0.228,0.375,0.193,0.336,0.412,94.0,100.0,99.0,102.0,90.0,94.0,89.0,95.0,90.0,125.0,99.0,108.0,94.0,94.0,93.0,0.27,0.111,0.145,0.072,0.197,0.95,1.38,-1.69,0.92,1.61,94.0,90.2,84.7,84.5,81.8,0.154,0.295,0.202,0.145,0.217,0.347,0.175,0.425,0.241,0.077,0.308,0.172,0.111,0.111,0.367,83.0,102.0,95.0,0.205,-0.46,93.8,0.302,0.465,0.055,,,,,,,,,,,,,,,
7,2024-04-21,747133,Home Run,home_run,False,542303,547179,Marcell Ozuna,Michael Lorenzen,1,f32887df-fcac-4be7-ad80-5636a6002c14,547179.0,michaellorenzen,Lorenzen,Right,Michael Lorenzen,TEX,3.52,4.83,92.0,97.0,95.0,95.0,0.803,6.36,4.3,6.65,1.27,1.11,0.228,0.375,0.193,0.336,0.412,94.0,100.0,99.0,102.0,90.0,94.0,89.0,95.0,90.0,125.0,99.0,108.0,94.0,94.0,93.0,0.27,0.111,0.145,0.072,0.197,0.95,1.38,-1.69,0.92,1.61,94.0,90.2,84.7,84.5,81.8,0.154,0.295,0.202,0.145,0.217,0.347,0.175,0.425,0.241,0.077,0.308,0.172,0.111,0.111,0.367,83.0,102.0,95.0,0.205,-0.46,93.8,0.302,0.465,0.055,,,,,,,,,,,,,,,
8,2024-04-21,747133,Groundout,field_out,True,606115,547179,Orlando Arcia,Michael Lorenzen,0,d535d57f-e7c4-4111-82ad-12e9a1f7e5a2,547179.0,michaellorenzen,Lorenzen,Right,Michael Lorenzen,TEX,3.52,4.83,92.0,97.0,95.0,95.0,0.803,6.36,4.3,6.65,1.27,1.11,0.228,0.375,0.193,0.336,0.412,94.0,100.0,99.0,102.0,90.0,94.0,89.0,95.0,90.0,125.0,99.0,108.0,94.0,94.0,93.0,0.27,0.111,0.145,0.072,0.197,0.95,1.38,-1.69,0.92,1.61,94.0,90.2,84.7,84.5,81.8,0.154,0.295,0.202,0.145,0.217,0.347,0.175,0.425,0.241,0.077,0.308,0.172,0.111,0.111,0.367,83.0,102.0,95.0,0.205,-0.46,93.8,0.302,0.465,0.055,,,,,,,,,,,,,,,
9,2024-04-21,747133,Groundout,field_out,True,666969,670241,Adolis García,Darius Vines,0,ae0ec436-462b-4cc4-b9d3-f7f68b893313,670241.0,dariusvines,Vines,Right,Darius Vines,ATL,7.82,6.38,12.2,103.0,79.0,98.0,0.769,5.68,2.84,12.08,2.13,1.0,0.326,0.391,0.196,0.348,0.444,88.0,107.0,102.0,56.0,94.0,91.0,67.0,105.0,95.0,104.0,106.0,114.0,88.0,87.0,81.0,0.375,0.125,0.116,0.06,0.323,-3.84,-3.97,2.06,2.08,-1.47,90.9,83.6,81.5,82.8,78.4,0.4,0.7,0.024,0.2,0.55,0.175,0.5,0.5,0.571,0.25,0.25,0.647,0.333,0.333,0.2,,,,,,,,,,,,,,,,,,,,,,,,
