,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,vSC (sc),SC%,wSC/C
0,2024-07-20,746121,Pop Out,field_out,True,608701,680736,Rob Refsnyder,Justin Wrobleski,0,9596dc74-59ae-44cc-9162-4a73962f7d40,680736.0,justinwrobleski,Wrobleski,Left,Justin Wrobleski,LAD,6.3,7.37,10.0,100.0,88.0,100.0,0.811,7.2,3.6,9.0,3.6,0.47,0.4,0.2,0.267,0.333,0.513,66.0,99.0,103.0,49.0,121.0,132.0,99.0,99.0,101.0,53.0,87.0,76.0,99.0,115.0,109.0,53.0,91.0,92.0,0.038,0.556,0.15,0.188,0.006,0.063,0.68,-6.77,-7.62,-7.93,3.88,-0.28,95.1,88.1,82.8,92.7,84.5,80.6,0.182,0.364,0.182,0.25,0.833,0.308,0.667,2.0,0.154,,,,,,,,,,,,,,,,,,
1,2024-07-20,746121,Single,single,False,680776,680736,Jarren Duran,Justin Wrobleski,0,c408227b-ab02-424c-bd74-90377b2350b6,680736.0,justinwrobleski,Wrobleski,Left,Justin Wrobleski,LAD,6.3,7.37,10.0,100.0,88.0,100.0,0.811,7.2,3.6,9.0,3.6,0.47,0.4,0.2,0.267,0.333,0.513,66.0,99.0,103.0,49.0,121.0,132.0,99.0,99.0,101.0,53.0,87.0,76.0,99.0,115.0,109.0,53.0,91.0,92.0,0.038,0.556,0.15,0.188,0.006,0.063,0.68,-6.77,-7.62,-7.93,3.88,-0.28,95.1,88.1,82.8,92.7,84.5,80.6,0.182,0.364,0.182,0.25,0.833,0.308,0.667,2.0,0.154,,,,,,,,,,,,,,,,,,
2,2024-07-20,746121,Strikeout,strikeout,True,641933,680736,Tyler O'Neill,Justin Wrobleski,0,40935e58-f615-4a94-93a7-b7e6357396f5,680736.0,justinwrobleski,Wrobleski,Left,Justin Wrobleski,LAD,6.3,7.37,10.0,100.0,88.0,100.0,0.811,7.2,3.6,9.0,3.6,0.47,0.4,0.2,0.267,0.333,0.513,66.0,99.0,103.0,49.0,121.0,132.0,99.0,99.0,101.0,53.0,87.0,76.0,99.0,115.0,109.0,53.0,91.0,92.0,0.038,0.556,0.15,0.188,0.006,0.063,0.68,-6.77,-7.62,-7.93,3.88,-0.28,95.1,88.1,82.8,92.7,84.5,80.6,0.182,0.364,0.182,0.25,0.833,0.308,0.667,2.0,0.154,,,,,,,,,,,,,,,,,,
3,2024-07-20,746121,Strikeout,strikeout,True,646240,680736,Rafael Devers,Justin Wrobleski,0,5e78b7f3-d5c2-4474-88ac-7216e5ea469d,680736.0,justinwrobleski,Wrobleski,Left,Justin Wrobleski,LAD,6.3,7.37,10.0,100.0,88.0,100.0,0.811,7.2,3.6,9.0,3.6,0.47,0.4,0.2,0.267,0.333,0.513,66.0,99.0,103.0,49.0,121.0,132.0,99.0,99.0,101.0,53.0,87.0,76.0,99.0,115.0,109.0,53.0,91.0,92.0,0.038,0.556,0.15,0.188,0.006,0.063,0.68,-6.77,-7.62,-7.93,3.88,-0.28,95.1,88.1,82.8,92.7,84.5,80.6,0.182,0.364,0.182,0.25,0.833,0.308,0.667,2.0,0.154,,,,,,,,,,,,,,,,,,
4,2024-07-20,746121,Groundout,field_out,True,660271,678394,Shohei Ohtani,Brayan Bello,0,3a44b193-905c-42f6-be72-b7913d2c448a,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,5.32,4.64,89.2,100.0,103.0,104.0,0.754,8.53,3.31,9.94,1.41,2.03,0.216,0.363,0.165,0.275,0.404,90.0,101.0,100.0,,,,73.0,108.0,97.0,104.0,102.0,104.0,117.0,98.0,111.0,,,,0.402,0.023,,0.285,,0.29,6.0,,-1.35,-1.46,,0.33,96.3,,87.3,95.8,86.9,,0.0,0.0,0.15,0.291,0.465,0.352,,,,0.364,0.536,0.12,0.168,0.345,0.363,,,,,,,,,,,,
5,2024-07-20,746121,Strikeout,strikeout,True,669257,678394,Will Smith,Brayan Bello,0,e053001a-9b41-4ee0-9364-bf407af04c9a,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,5.32,4.64,89.2,100.0,103.0,104.0,0.754,8.53,3.31,9.94,1.41,2.03,0.216,0.363,0.165,0.275,0.404,90.0,101.0,100.0,,,,73.0,108.0,97.0,104.0,102.0,104.0,117.0,98.0,111.0,,,,0.402,0.023,,0.285,,0.29,6.0,,-1.35,-1.46,,0.33,96.3,,87.3,95.8,86.9,,0.0,0.0,0.15,0.291,0.465,0.352,,,,0.364,0.536,0.12,0.168,0.345,0.363,,,,,,,,,,,,
6,2024-07-20,746121,Single,single,False,518692,678394,Freddie Freeman,Brayan Bello,0,064468b7-ad44-4f62-b859-6bd0382e609b,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,5.32,4.64,89.2,100.0,103.0,104.0,0.754,8.53,3.31,9.94,1.41,2.03,0.216,0.363,0.165,0.275,0.404,90.0,101.0,100.0,,,,73.0,108.0,97.0,104.0,102.0,104.0,117.0,98.0,111.0,,,,0.402,0.023,,0.285,,0.29,6.0,,-1.35,-1.46,,0.33,96.3,,87.3,95.8,86.9,,0.0,0.0,0.15,0.291,0.465,0.352,,,,0.364,0.536,0.12,0.168,0.345,0.363,,,,,,,,,,,,
7,2024-07-20,746121,Strikeout,strikeout,True,606192,678394,Teoscar Hernández,Brayan Bello,0,c482e7c4-4ab3-427e-81dc-3dfba3099fa4,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,5.32,4.64,89.2,100.0,103.0,104.0,0.754,8.53,3.31,9.94,1.41,2.03,0.216,0.363,0.165,0.275,0.404,90.0,101.0,100.0,,,,73.0,108.0,97.0,104.0,102.0,104.0,117.0,98.0,111.0,,,,0.402,0.023,,0.285,,0.29,6.0,,-1.35,-1.46,,0.33,96.3,,87.3,95.8,86.9,,0.0,0.0,0.15,0.291,0.465,0.352,,,,0.364,0.536,0.12,0.168,0.345,0.363,,,,,,,,,,,,
8,2024-07-20,746121,Strikeout,strikeout,True,657136,680736,Connor Wong,Justin Wrobleski,0,07996596-2da6-472c-b70a-a1fa3c9008b5,680736.0,justinwrobleski,Wrobleski,Left,Justin Wrobleski,LAD,6.3,7.37,10.0,100.0,88.0,100.0,0.811,7.2,3.6,9.0,3.6,0.47,0.4,0.2,0.267,0.333,0.513,66.0,99.0,103.0,49.0,121.0,132.0,99.0,99.0,101.0,53.0,87.0,76.0,99.0,115.0,109.0,53.0,91.0,92.0,0.038,0.556,0.15,0.188,0.006,0.063,0.68,-6.77,-7.62,-7.93,3.88,-0.28,95.1,88.1,82.8,92.7,84.5,80.6,0.182,0.364,0.182,0.25,0.833,0.308,0.667,2.0,0.154,,,,,,,,,,,,,,,,,,
9,2024-07-20,746121,Double,double,False,663853,680736,Romy Gonzalez,Justin Wrobleski,0,26b2930d-2b93-4747-86ec-6fce84e16924,680736.0,justinwrobleski,Wrobleski,Left,Justin Wrobleski,LAD,6.3,7.37,10.0,100.0,88.0,100.0,0.811,7.2,3.6,9.0,3.6,0.47,0.4,0.2,0.267,0.333,0.513,66.0,99.0,103.0,49.0,121.0,132.0,99.0,99.0,101.0,53.0,87.0,76.0,99.0,115.0,109.0,53.0,91.0,92.0,0.038,0.556,0.15,0.188,0.006,0.063,0.68,-6.77,-7.62,-7.93,3.88,-0.28,95.1,88.1,82.8,92.7,84.5,80.6,0.182,0.364,0.182,0.25,0.833,0.308,0.667,2.0,0.154,,,,,,,,,,,,,,,,,,
