,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,SI%,FA%,CU%,CH%,wFA/C,wSI/C,wCU/C,wCH/C,vFA,vCH,vSI,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-07-14,746686,Flyout,field_out,True,665862,666157,Jazz Chisholm Jr.,Nick Lodolo,0,9ba65979-7629-4ef3-978a-28a526379866,666157.0,nicklodolo,Lodolo,Left,Nick Lodolo,CIN,3.33,3.49,78.1,99.0,104.0,97.0,0.726,9.31,2.76,7.35,1.03,1.2,0.275,0.422,0.161,0.28,0.441,98.0,100.0,94.0,88.0,93.0,101.0,117.0,103.0,98.0,108.0,95.0,92.0,0.107,0.45,0.278,0.165,0.57,-1.02,0.16,0.65,94.1,87.9,94.1,81.5,0.221,0.372,0.22,0.198,0.25,0.455,0.2,0.333,0.288,0.289,0.632,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-07-14,746686,Strikeout,strikeout,True,650559,666157,Bryan De La Cruz,Nick Lodolo,0,dffe4577-b83f-43c4-8c71-effb7b6e9b81,666157.0,nicklodolo,Lodolo,Left,Nick Lodolo,CIN,3.33,3.49,78.1,99.0,104.0,97.0,0.726,9.31,2.76,7.35,1.03,1.2,0.275,0.422,0.161,0.28,0.441,98.0,100.0,94.0,88.0,93.0,101.0,117.0,103.0,98.0,108.0,95.0,92.0,0.107,0.45,0.278,0.165,0.57,-1.02,0.16,0.65,94.1,87.9,94.1,81.5,0.221,0.372,0.22,0.198,0.25,0.455,0.2,0.333,0.288,0.289,0.632,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-07-14,746686,Lineout,field_out,True,605137,666157,Josh Bell,Nick Lodolo,0,dadf284e-da80-4348-ae2f-3923b143fd9d,666157.0,nicklodolo,Lodolo,Left,Nick Lodolo,CIN,3.33,3.49,78.1,99.0,104.0,97.0,0.726,9.31,2.76,7.35,1.03,1.2,0.275,0.422,0.161,0.28,0.441,98.0,100.0,94.0,88.0,93.0,101.0,117.0,103.0,98.0,108.0,95.0,92.0,0.107,0.45,0.278,0.165,0.57,-1.02,0.16,0.65,94.1,87.9,94.1,81.5,0.221,0.372,0.22,0.198,0.25,0.455,0.2,0.333,0.288,0.289,0.632,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-07-14,746686,Lineout,field_out,True,663697,669432,Jonathan India,Trevor Rogers,0,fbe2a766-d677-4c61-9184-75eeaf6ca129,669432.0,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,MIA,4.72,4.89,95.1,99.0,85.0,97.0,0.797,7.46,4.15,9.82,1.04,1.43,0.22,0.414,0.132,0.336,0.39,115.0,108.0,117.0,,,,69.0,100.0,93.0,87.0,96.0,91.0,0.231,0.325,,0.233,-0.74,0.22,,-0.95,92.1,85.8,91.6,,0.261,0.486,0.23,,,,0.299,0.393,0.251,0.27,0.45,0.119,73.0,89.0,89.0,0.21,-1.71,82.5,0.262,0.475,0.288,,,,,,,,,,,,,,,,,,
4,2024-07-14,746686,Flyout,field_out,True,682829,669432,Elly De La Cruz,Trevor Rogers,0,54acd0d8-e7f6-4952-94cd-33d5d85e2e27,669432.0,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,MIA,4.72,4.89,95.1,99.0,85.0,97.0,0.797,7.46,4.15,9.82,1.04,1.43,0.22,0.414,0.132,0.336,0.39,115.0,108.0,117.0,,,,69.0,100.0,93.0,87.0,96.0,91.0,0.231,0.325,,0.233,-0.74,0.22,,-0.95,92.1,85.8,91.6,,0.261,0.486,0.23,,,,0.299,0.393,0.251,0.27,0.45,0.119,73.0,89.0,89.0,0.21,-1.71,82.5,0.262,0.475,0.288,,,,,,,,,,,,,,,,,,
5,2024-07-14,746686,Flyout,field_out,True,600869,669432,Jeimer Candelario,Trevor Rogers,0,64509aa7-fdd7-43d0-aab7-294d4e530b67,669432.0,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,MIA,4.72,4.89,95.1,99.0,85.0,97.0,0.797,7.46,4.15,9.82,1.04,1.43,0.22,0.414,0.132,0.336,0.39,115.0,108.0,117.0,,,,69.0,100.0,93.0,87.0,96.0,91.0,0.231,0.325,,0.233,-0.74,0.22,,-0.95,92.1,85.8,91.6,,0.261,0.486,0.23,,,,0.299,0.393,0.251,0.27,0.45,0.119,73.0,89.0,89.0,0.21,-1.71,82.5,0.262,0.475,0.288,,,,,,,,,,,,,,,,,,
6,2024-07-14,746686,Lineout,field_out,True,669394,666157,Jake Burger,Nick Lodolo,0,26b92a66-23b0-46d4-a7e5-7f25f2314dd0,666157.0,nicklodolo,Lodolo,Left,Nick Lodolo,CIN,3.33,3.49,78.1,99.0,104.0,97.0,0.726,9.31,2.76,7.35,1.03,1.2,0.275,0.422,0.161,0.28,0.441,98.0,100.0,94.0,88.0,93.0,101.0,117.0,103.0,98.0,108.0,95.0,92.0,0.107,0.45,0.278,0.165,0.57,-1.02,0.16,0.65,94.1,87.9,94.1,81.5,0.221,0.372,0.22,0.198,0.25,0.455,0.2,0.333,0.288,0.289,0.632,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-07-14,746686,Strikeout,strikeout,True,669364,666157,Xavier Edwards,Nick Lodolo,0,35284f52-bb5a-456a-ac36-6ef099e2c403,666157.0,nicklodolo,Lodolo,Left,Nick Lodolo,CIN,3.33,3.49,78.1,99.0,104.0,97.0,0.726,9.31,2.76,7.35,1.03,1.2,0.275,0.422,0.161,0.28,0.441,98.0,100.0,94.0,88.0,93.0,101.0,117.0,103.0,98.0,108.0,95.0,92.0,0.107,0.45,0.278,0.165,0.57,-1.02,0.16,0.65,94.1,87.9,94.1,81.5,0.221,0.372,0.22,0.198,0.25,0.455,0.2,0.333,0.288,0.289,0.632,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-07-14,746686,Strikeout,strikeout,True,660821,666157,Jesús Sánchez,Nick Lodolo,0,4790c29f-7a6c-4e3f-b021-f834e15a18f0,666157.0,nicklodolo,Lodolo,Left,Nick Lodolo,CIN,3.33,3.49,78.1,99.0,104.0,97.0,0.726,9.31,2.76,7.35,1.03,1.2,0.275,0.422,0.161,0.28,0.441,98.0,100.0,94.0,88.0,93.0,101.0,117.0,103.0,98.0,108.0,95.0,92.0,0.107,0.45,0.278,0.165,0.57,-1.02,0.16,0.65,94.1,87.9,94.1,81.5,0.221,0.372,0.22,0.198,0.25,0.455,0.2,0.333,0.288,0.289,0.632,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-07-14,746686,Strikeout,strikeout,True,668715,669432,Spencer Steer,Trevor Rogers,0,7f4f6d72-2934-4fd3-9df8-7693b18c94ee,669432.0,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,MIA,4.72,4.89,95.1,99.0,85.0,97.0,0.797,7.46,4.15,9.82,1.04,1.43,0.22,0.414,0.132,0.336,0.39,115.0,108.0,117.0,,,,69.0,100.0,93.0,87.0,96.0,91.0,0.231,0.325,,0.233,-0.74,0.22,,-0.95,92.1,85.8,91.6,,0.261,0.486,0.23,,,,0.299,0.393,0.251,0.27,0.45,0.119,73.0,89.0,89.0,0.21,-1.71,82.5,0.262,0.475,0.288,,,,,,,,,,,,,,,,,,
