,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU
0,2024-07-26,747174,Walk,walk,False,457705,668678,Andrew McCutchen,Zac Gallen,0,e535ea65-96f8-44d8-b55a-c4094c2c861f,668678.0,zacgallen,Gallen,Right,Zac Gallen,ARI,3.7,4.17,87.2,99.0,100.0,100.0,0.763,8.83,3.08,8.21,0.82,1.37,0.214,0.423,0.141,0.379,0.353,86.0,105.0,96.0,100.0,94.0,96.0,132.0,80.0,80.0,101.0,101.0,100.0,105.0,108.0,112.0,91.0,91.0,84.0,0.002,0.483,0.031,0.086,0.275,0.123,-1.0,-0.38,-0.99,0.15,2.6,0.59,93.4,90.3,86.8,94.7,86.5,80.6,0.302,0.483,0.141,0.142,0.208,0.368,0.26,0.4,0.289,0.261,0.435,0.32,0.2,0.8,0.375,,,,,,,,,,,,
1,2024-07-26,747174,Strikeout,strikeout,True,665833,668678,Oneil Cruz,Zac Gallen,0,0324eb2c-a3bf-43fd-b7ad-5c35d5a3b856,668678.0,zacgallen,Gallen,Right,Zac Gallen,ARI,3.7,4.17,87.2,99.0,100.0,100.0,0.763,8.83,3.08,8.21,0.82,1.37,0.214,0.423,0.141,0.379,0.353,86.0,105.0,96.0,100.0,94.0,96.0,132.0,80.0,80.0,101.0,101.0,100.0,105.0,108.0,112.0,91.0,91.0,84.0,0.002,0.483,0.031,0.086,0.275,0.123,-1.0,-0.38,-0.99,0.15,2.6,0.59,93.4,90.3,86.8,94.7,86.5,80.6,0.302,0.483,0.141,0.142,0.208,0.368,0.26,0.4,0.289,0.261,0.435,0.32,0.2,0.8,0.375,,,,,,,,,,,,
2,2024-07-26,747174,Single,single,False,693304,668678,Nick Gonzales,Zac Gallen,1,02279562-7aa1-4d47-99ab-b19f7463eec8,668678.0,zacgallen,Gallen,Right,Zac Gallen,ARI,3.7,4.17,87.2,99.0,100.0,100.0,0.763,8.83,3.08,8.21,0.82,1.37,0.214,0.423,0.141,0.379,0.353,86.0,105.0,96.0,100.0,94.0,96.0,132.0,80.0,80.0,101.0,101.0,100.0,105.0,108.0,112.0,91.0,91.0,84.0,0.002,0.483,0.031,0.086,0.275,0.123,-1.0,-0.38,-0.99,0.15,2.6,0.59,93.4,90.3,86.8,94.7,86.5,80.6,0.302,0.483,0.141,0.142,0.208,0.368,0.26,0.4,0.289,0.261,0.435,0.32,0.2,0.8,0.375,,,,,,,,,,,,
3,2024-07-26,747174,Hit By Pitch,hit_by_pitch,False,642133,668678,Rowdy Tellez,Zac Gallen,1,b1a347fc-b53d-4001-a4e0-0913cc5af16b,668678.0,zacgallen,Gallen,Right,Zac Gallen,ARI,3.7,4.17,87.2,99.0,100.0,100.0,0.763,8.83,3.08,8.21,0.82,1.37,0.214,0.423,0.141,0.379,0.353,86.0,105.0,96.0,100.0,94.0,96.0,132.0,80.0,80.0,101.0,101.0,100.0,105.0,108.0,112.0,91.0,91.0,84.0,0.002,0.483,0.031,0.086,0.275,0.123,-1.0,-0.38,-0.99,0.15,2.6,0.59,93.4,90.3,86.8,94.7,86.5,80.6,0.302,0.483,0.141,0.142,0.208,0.368,0.26,0.4,0.289,0.261,0.435,0.32,0.2,0.8,0.375,,,,,,,,,,,,
4,2024-07-26,747174,Single,single,False,641943,668678,Joshua Palacios,Zac Gallen,1,fa2cfc8a-da22-4fd0-bfe4-0e2a3b181f12,668678.0,zacgallen,Gallen,Right,Zac Gallen,ARI,3.7,4.17,87.2,99.0,100.0,100.0,0.763,8.83,3.08,8.21,0.82,1.37,0.214,0.423,0.141,0.379,0.353,86.0,105.0,96.0,100.0,94.0,96.0,132.0,80.0,80.0,101.0,101.0,100.0,105.0,108.0,112.0,91.0,91.0,84.0,0.002,0.483,0.031,0.086,0.275,0.123,-1.0,-0.38,-0.99,0.15,2.6,0.59,93.4,90.3,86.8,94.7,86.5,80.6,0.302,0.483,0.141,0.142,0.208,0.368,0.26,0.4,0.289,0.261,0.435,0.32,0.2,0.8,0.375,,,,,,,,,,,,
5,2024-07-26,747174,Flyout,field_out,True,663647,668678,Ke'Bryan Hayes,Zac Gallen,1,e32e146b-bc29-4ec3-a231-c201dae02988,668678.0,zacgallen,Gallen,Right,Zac Gallen,ARI,3.7,4.17,87.2,99.0,100.0,100.0,0.763,8.83,3.08,8.21,0.82,1.37,0.214,0.423,0.141,0.379,0.353,86.0,105.0,96.0,100.0,94.0,96.0,132.0,80.0,80.0,101.0,101.0,100.0,105.0,108.0,112.0,91.0,91.0,84.0,0.002,0.483,0.031,0.086,0.275,0.123,-1.0,-0.38,-0.99,0.15,2.6,0.59,93.4,90.3,86.8,94.7,86.5,80.6,0.302,0.483,0.141,0.142,0.208,0.368,0.26,0.4,0.289,0.261,0.435,0.32,0.2,0.8,0.375,,,,,,,,,,,,
6,2024-07-26,747174,Strikeout,strikeout,True,669261,668678,Jack Suwinski,Zac Gallen,0,b9c2d65d-5dde-4017-aaca-53ade50eef09,668678.0,zacgallen,Gallen,Right,Zac Gallen,ARI,3.7,4.17,87.2,99.0,100.0,100.0,0.763,8.83,3.08,8.21,0.82,1.37,0.214,0.423,0.141,0.379,0.353,86.0,105.0,96.0,100.0,94.0,96.0,132.0,80.0,80.0,101.0,101.0,100.0,105.0,108.0,112.0,91.0,91.0,84.0,0.002,0.483,0.031,0.086,0.275,0.123,-1.0,-0.38,-0.99,0.15,2.6,0.59,93.4,90.3,86.8,94.7,86.5,80.6,0.302,0.483,0.141,0.142,0.208,0.368,0.26,0.4,0.289,0.261,0.435,0.32,0.2,0.8,0.375,,,,,,,,,,,,
7,2024-07-26,747174,Pop Out,field_out,True,682998,682847,Corbin Carroll,Luis L. Ortiz,0,501781f3-9b5c-48cb-983a-3d78fae39ed4,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231,0.333,0.255,,,,,,,0.207,0.359,0.291,0.234,0.277,0.153,0.25,0.347,0.138,,,,,,,,,
8,2024-07-26,747174,Groundout,field_out,True,606466,682847,Ketel Marte,Luis L. Ortiz,0,11e763fc-40f4-4b1d-91fc-76f2fdc7f8e3,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231,0.333,0.255,,,,,,,0.207,0.359,0.291,0.234,0.277,0.153,0.25,0.347,0.138,,,,,,,,,
9,2024-07-26,747174,Strikeout,strikeout,True,592626,682847,Joc Pederson,Luis L. Ortiz,0,46339460-834d-4cfc-9b73-0187632fa399,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231,0.333,0.255,,,,,,,0.207,0.359,0.291,0.234,0.277,0.153,0.25,0.347,0.138,,,,,,,,,
