,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff
0,2024-09-06,746104,Lineout,field_out,True,680757,689017,Steven Kwan,Landon Knack,0,e9f02fb7-e12d-4df3-9c00-c50486788a1d,689017.0,landonknack,Knack,Right,Landon Knack,LAD,3.0,3.46,54.0,98.0,104.0,99.0,0.772,8.67,2.17,6.5,1.67,0.64,0.195,0.523,0.168,0.349,0.416,73.0,91.0,91.0,80.0,90.0,89.0,114.0,99.0,101.0,121.0,108.0,106.0,0.45,0.235,0.151,0.164,-0.02,1.42,1.07,0.94,93.2,84.0,84.9,79.2,0.227,0.534,0.21,0.189,0.321,0.27,0.139,0.278,0.259,0.19,0.19,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-09-06,746104,Lineout,field_out,True,665926,689017,Andrés Giménez,Landon Knack,0,e994f98e-b5b3-4a31-83b1-c41e481d67d4,689017.0,landonknack,Knack,Right,Landon Knack,LAD,3.0,3.46,54.0,98.0,104.0,99.0,0.772,8.67,2.17,6.5,1.67,0.64,0.195,0.523,0.168,0.349,0.416,73.0,91.0,91.0,80.0,90.0,89.0,114.0,99.0,101.0,121.0,108.0,106.0,0.45,0.235,0.151,0.164,-0.02,1.42,1.07,0.94,93.2,84.0,84.9,79.2,0.227,0.534,0.21,0.189,0.321,0.27,0.139,0.278,0.259,0.19,0.19,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-09-06,746104,Groundout,field_out,True,608070,689017,José Ramírez,Landon Knack,0,d69881d6-9e82-427a-a27d-b8fc13bbe63c,689017.0,landonknack,Knack,Right,Landon Knack,LAD,3.0,3.46,54.0,98.0,104.0,99.0,0.772,8.67,2.17,6.5,1.67,0.64,0.195,0.523,0.168,0.349,0.416,73.0,91.0,91.0,80.0,90.0,89.0,114.0,99.0,101.0,121.0,108.0,106.0,0.45,0.235,0.151,0.164,-0.02,1.42,1.07,0.94,93.2,84.0,84.9,79.2,0.227,0.534,0.21,0.189,0.321,0.27,0.139,0.278,0.259,0.19,0.19,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-09-06,746104,Flyout,field_out,True,660271,571510,Shohei Ohtani,Matthew Boyd,0,afbb9407-7644-4654-8d54-9beb6141c451,571510.0,matthewboyd,Boyd,Left,Matthew Boyd,CLE,2.2,3.01,28.2,102.0,74.0,95.0,0.712,8.16,1.57,5.34,0.94,0.67,0.316,0.303,0.171,0.329,0.417,81.0,106.0,99.0,81.0,90.0,91.0,64.0,101.0,92.0,75.0,98.0,97.0,0.336,0.206,0.059,0.258,3.16,2.22,1.81,0.23,92.0,81.2,79.4,74.1,0.087,0.087,0.262,0.13,0.217,0.425,0.214,0.393,0.339,0.167,0.167,0.556,80.0,106.0,94.0,0.14,0.16,91.8,0.238,0.571,0.081,,,,,,,,,,,,,,,,,,,,,
4,2024-09-06,746104,Double,double,False,605141,571510,Mookie Betts,Matthew Boyd,0,36cf7fae-a18b-4e95-9289-7c074b496ef3,571510.0,matthewboyd,Boyd,Left,Matthew Boyd,CLE,2.2,3.01,28.2,102.0,74.0,95.0,0.712,8.16,1.57,5.34,0.94,0.67,0.316,0.303,0.171,0.329,0.417,81.0,106.0,99.0,81.0,90.0,91.0,64.0,101.0,92.0,75.0,98.0,97.0,0.336,0.206,0.059,0.258,3.16,2.22,1.81,0.23,92.0,81.2,79.4,74.1,0.087,0.087,0.262,0.13,0.217,0.425,0.214,0.393,0.339,0.167,0.167,0.556,80.0,106.0,94.0,0.14,0.16,91.8,0.238,0.571,0.081,,,,,,,,,,,,,,,,,,,,,
5,2024-09-06,746104,Strikeout,strikeout,True,518692,571510,Freddie Freeman,Matthew Boyd,0,5c2d89f4-0a10-486a-837b-2d643d6edf5a,571510.0,matthewboyd,Boyd,Left,Matthew Boyd,CLE,2.2,3.01,28.2,102.0,74.0,95.0,0.712,8.16,1.57,5.34,0.94,0.67,0.316,0.303,0.171,0.329,0.417,81.0,106.0,99.0,81.0,90.0,91.0,64.0,101.0,92.0,75.0,98.0,97.0,0.336,0.206,0.059,0.258,3.16,2.22,1.81,0.23,92.0,81.2,79.4,74.1,0.087,0.087,0.262,0.13,0.217,0.425,0.214,0.393,0.339,0.167,0.167,0.556,80.0,106.0,94.0,0.14,0.16,91.8,0.238,0.571,0.081,,,,,,,,,,,,,,,,,,,,,
6,2024-09-06,746104,Hit By Pitch,hit_by_pitch,False,606192,571510,Teoscar Hernández,Matthew Boyd,0,442156c1-9bd4-4b2c-8d1a-0f24dbee3fe6,571510.0,matthewboyd,Boyd,Left,Matthew Boyd,CLE,2.2,3.01,28.2,102.0,74.0,95.0,0.712,8.16,1.57,5.34,0.94,0.67,0.316,0.303,0.171,0.329,0.417,81.0,106.0,99.0,81.0,90.0,91.0,64.0,101.0,92.0,75.0,98.0,97.0,0.336,0.206,0.059,0.258,3.16,2.22,1.81,0.23,92.0,81.2,79.4,74.1,0.087,0.087,0.262,0.13,0.217,0.425,0.214,0.393,0.339,0.167,0.167,0.556,80.0,106.0,94.0,0.14,0.16,91.8,0.238,0.571,0.081,,,,,,,,,,,,,,,,,,,,,
7,2024-09-06,746104,Flyout,field_out,True,669257,571510,Will Smith,Matthew Boyd,0,d11ab4ad-3e45-42eb-b4ab-ec90b670b4a0,571510.0,matthewboyd,Boyd,Left,Matthew Boyd,CLE,2.2,3.01,28.2,102.0,74.0,95.0,0.712,8.16,1.57,5.34,0.94,0.67,0.316,0.303,0.171,0.329,0.417,81.0,106.0,99.0,81.0,90.0,91.0,64.0,101.0,92.0,75.0,98.0,97.0,0.336,0.206,0.059,0.258,3.16,2.22,1.81,0.23,92.0,81.2,79.4,74.1,0.087,0.087,0.262,0.13,0.217,0.425,0.214,0.393,0.339,0.167,0.167,0.556,80.0,106.0,94.0,0.14,0.16,91.8,0.238,0.571,0.081,,,,,,,,,,,,,,,,,,,,,
8,2024-09-06,746104,Strikeout,strikeout,True,647304,689017,Josh Naylor,Landon Knack,0,179443ea-fafc-408a-a8a3-554801a7bc28,689017.0,landonknack,Knack,Right,Landon Knack,LAD,3.0,3.46,54.0,98.0,104.0,99.0,0.772,8.67,2.17,6.5,1.67,0.64,0.195,0.523,0.168,0.349,0.416,73.0,91.0,91.0,80.0,90.0,89.0,114.0,99.0,101.0,121.0,108.0,106.0,0.45,0.235,0.151,0.164,-0.02,1.42,1.07,0.94,93.2,84.0,84.9,79.2,0.227,0.534,0.21,0.189,0.321,0.27,0.139,0.278,0.259,0.19,0.19,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-09-06,746104,Strikeout,strikeout,True,657041,689017,Lane Thomas,Landon Knack,0,8b8875f0-991e-4410-8ec6-3baab1f87cbb,689017.0,landonknack,Knack,Right,Landon Knack,LAD,3.0,3.46,54.0,98.0,104.0,99.0,0.772,8.67,2.17,6.5,1.67,0.64,0.195,0.523,0.168,0.349,0.416,73.0,91.0,91.0,80.0,90.0,89.0,114.0,99.0,101.0,121.0,108.0,106.0,0.45,0.235,0.151,0.164,-0.02,1.42,1.07,0.94,93.2,84.0,84.9,79.2,0.227,0.534,0.21,0.189,0.321,0.27,0.139,0.278,0.259,0.19,0.19,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
