,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff
0,2024-09-24,746743,Lineout,field_out,True,621493,686563,Taylor Ward,Jonathan Cannon,0,edaece69-0a4a-44f8-8c6e-d95960bb8736,686563.0,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.49,4.37,124.1,101.0,92.0,99.0,0.806,6.59,2.9,9.05,1.3,0.96,0.223,0.389,0.171,0.29,0.394,95.0,105.0,106.0,73.0,104.0,97.0,86.0,100.0,93.0,117.0,100.0,107.0,79.0,101.0,93.0,0.28,0.123,0.192,0.218,0.187,-1.13,0.39,0.44,-1.39,-0.22,94.3,90.2,85.7,93.3,81.9,0.287,0.449,0.128,0.248,0.394,0.269,0.255,0.489,0.282,0.263,0.45,0.191,0.25,0.411,0.252,,,,,,,,,,,,
1,2024-09-24,746743,Groundout,field_out,True,687263,686563,Zach Neto,Jonathan Cannon,0,8d65a355-bcd3-49d8-a862-72f78579bbd7,686563.0,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.49,4.37,124.1,101.0,92.0,99.0,0.806,6.59,2.9,9.05,1.3,0.96,0.223,0.389,0.171,0.29,0.394,95.0,105.0,106.0,73.0,104.0,97.0,86.0,100.0,93.0,117.0,100.0,107.0,79.0,101.0,93.0,0.28,0.123,0.192,0.218,0.187,-1.13,0.39,0.44,-1.39,-0.22,94.3,90.2,85.7,93.3,81.9,0.287,0.449,0.128,0.248,0.394,0.269,0.255,0.489,0.282,0.263,0.45,0.191,0.25,0.411,0.252,,,,,,,,,,,,
2,2024-09-24,746743,Flyout,field_out,True,694384,686563,Nolan Schanuel,Jonathan Cannon,0,394dbdf9-b340-4d4c-b8db-7f3cacab4bf6,686563.0,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.49,4.37,124.1,101.0,92.0,99.0,0.806,6.59,2.9,9.05,1.3,0.96,0.223,0.389,0.171,0.29,0.394,95.0,105.0,106.0,73.0,104.0,97.0,86.0,100.0,93.0,117.0,100.0,107.0,79.0,101.0,93.0,0.28,0.123,0.192,0.218,0.187,-1.13,0.39,0.44,-1.39,-0.22,94.3,90.2,85.7,93.3,81.9,0.287,0.449,0.128,0.248,0.394,0.269,0.255,0.489,0.282,0.263,0.45,0.191,0.25,0.411,0.252,,,,,,,,,,,,
3,2024-09-24,746743,Groundout,field_out,True,670032,686799,Nicky Lopez,Jack Kochanowicz,0,469bbe1d-97a3-4aa3-8be2-779f4961e377,686799.0,jackkochanowicz,Kochanowicz,Right,Jack Kochanowicz,LAA,3.99,4.97,65.1,101.0,100.0,102.0,0.867,3.44,1.38,9.37,0.96,2.33,0.202,0.39,0.152,0.35,0.513,74.0,103.0,98.0,87.0,95.0,90.0,99.0,103.0,102.0,,,,,,,0.724,0.062,,,0.03,-1.87,,0.89,,-3.35,96.3,,88.3,95.8,,0.286,0.411,0.121,0.333,0.444,0.067,,,,,,,0.167,0.5,0.364,111.0,95.0,106.0,0.184,-1.06,85.0,0.235,0.412,0.25,,,
4,2024-09-24,746743,Strikeout,strikeout,True,673357,686799,Luis Robert Jr.,Jack Kochanowicz,0,20822541-3a1d-4cc5-8031-c5ec22adfdcf,686799.0,jackkochanowicz,Kochanowicz,Right,Jack Kochanowicz,LAA,3.99,4.97,65.1,101.0,100.0,102.0,0.867,3.44,1.38,9.37,0.96,2.33,0.202,0.39,0.152,0.35,0.513,74.0,103.0,98.0,87.0,95.0,90.0,99.0,103.0,102.0,,,,,,,0.724,0.062,,,0.03,-1.87,,0.89,,-3.35,96.3,,88.3,95.8,,0.286,0.411,0.121,0.333,0.444,0.067,,,,,,,0.167,0.5,0.364,111.0,95.0,106.0,0.184,-1.06,85.0,0.235,0.412,0.25,,,
5,2024-09-24,746743,Single,single,False,643217,686799,Andrew Benintendi,Jack Kochanowicz,0,14a4f7f0-acd0-4632-839f-5f09726da3e0,686799.0,jackkochanowicz,Kochanowicz,Right,Jack Kochanowicz,LAA,3.99,4.97,65.1,101.0,100.0,102.0,0.867,3.44,1.38,9.37,0.96,2.33,0.202,0.39,0.152,0.35,0.513,74.0,103.0,98.0,87.0,95.0,90.0,99.0,103.0,102.0,,,,,,,0.724,0.062,,,0.03,-1.87,,0.89,,-3.35,96.3,,88.3,95.8,,0.286,0.411,0.121,0.333,0.444,0.067,,,,,,,0.167,0.5,0.364,111.0,95.0,106.0,0.184,-1.06,85.0,0.235,0.412,0.25,,,
6,2024-09-24,746743,Strikeout,strikeout,True,683734,686799,Andrew Vaughn,Jack Kochanowicz,0,195bcee6-4463-40ad-8b66-1c3449bb9223,686799.0,jackkochanowicz,Kochanowicz,Right,Jack Kochanowicz,LAA,3.99,4.97,65.1,101.0,100.0,102.0,0.867,3.44,1.38,9.37,0.96,2.33,0.202,0.39,0.152,0.35,0.513,74.0,103.0,98.0,87.0,95.0,90.0,99.0,103.0,102.0,,,,,,,0.724,0.062,,,0.03,-1.87,,0.89,,-3.35,96.3,,88.3,95.8,,0.286,0.411,0.121,0.333,0.444,0.067,,,,,,,0.167,0.5,0.364,111.0,95.0,106.0,0.184,-1.06,85.0,0.235,0.412,0.25,,,
7,2024-09-24,746743,Groundout,field_out,True,607680,686563,Kevin Pillar,Jonathan Cannon,0,e4d19e14-c535-472c-80d9-d53cd157d110,686563.0,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.49,4.37,124.1,101.0,92.0,99.0,0.806,6.59,2.9,9.05,1.3,0.96,0.223,0.389,0.171,0.29,0.394,95.0,105.0,106.0,73.0,104.0,97.0,86.0,100.0,93.0,117.0,100.0,107.0,79.0,101.0,93.0,0.28,0.123,0.192,0.218,0.187,-1.13,0.39,0.44,-1.39,-0.22,94.3,90.2,85.7,93.3,81.9,0.287,0.449,0.128,0.248,0.394,0.269,0.255,0.489,0.282,0.263,0.45,0.191,0.25,0.411,0.252,,,,,,,,,,,,
8,2024-09-24,746743,Flyout,field_out,True,681351,686563,Logan O'Hoppe,Jonathan Cannon,0,a82bfa78-d537-4864-a5a2-2d7c1f0761f1,686563.0,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.49,4.37,124.1,101.0,92.0,99.0,0.806,6.59,2.9,9.05,1.3,0.96,0.223,0.389,0.171,0.29,0.394,95.0,105.0,106.0,73.0,104.0,97.0,86.0,100.0,93.0,117.0,100.0,107.0,79.0,101.0,93.0,0.28,0.123,0.192,0.218,0.187,-1.13,0.39,0.44,-1.39,-0.22,94.3,90.2,85.7,93.3,81.9,0.287,0.449,0.128,0.248,0.394,0.269,0.255,0.489,0.282,0.263,0.45,0.191,0.25,0.411,0.252,,,,,,,,,,,,
9,2024-09-24,746743,Flyout,field_out,True,666160,686563,Mickey Moniak,Jonathan Cannon,0,d8425f03-f386-49b8-a18b-ec35a09c054a,686563.0,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.49,4.37,124.1,101.0,92.0,99.0,0.806,6.59,2.9,9.05,1.3,0.96,0.223,0.389,0.171,0.29,0.394,95.0,105.0,106.0,73.0,104.0,97.0,86.0,100.0,93.0,117.0,100.0,107.0,79.0,101.0,93.0,0.28,0.123,0.192,0.218,0.187,-1.13,0.39,0.44,-1.39,-0.22,94.3,90.2,85.7,93.3,81.9,0.287,0.449,0.128,0.248,0.394,0.269,0.255,0.489,0.282,0.263,0.45,0.191,0.25,0.411,0.252,,,,,,,,,,,,
