,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU
0,2024-03-31,746815,Pop Out,field_out,True,678009,607200,Parker Meadows,Erick Fedde,0,2581dc93-5504-4b01-be48-d3f01b96c1b2,607200.0,erickfedde,Fedde,Right,Erick Fedde,CHW,2.99,3.59,111.1,105.0,92.0,100.0,0.805,8.0,2.43,7.76,0.89,1.26,0.269,0.358,0.183,0.294,0.393,85.0,111.0,108.0,59.0,103.0,102.0,80.0,107.0,94.0,127.0,101.0,105.0,78.0,104.0,97.0,0.306,0.001,0.299,0.198,0.196,-1.85,1.18,0.74,0.47,0.17,94.1,90.1,87.9,93.2,83.7,0.246,0.358,0.203,0.242,0.387,0.258,0.216,0.295,0.142,0.184,0.382,0.26,,,,,,,,,,,,,,,,,,
1,2024-03-31,746815,Strikeout,strikeout,True,679529,607200,Spencer Torkelson,Erick Fedde,0,156f8f7f-4a0b-4755-82e5-4d9b06b006c2,607200.0,erickfedde,Fedde,Right,Erick Fedde,CHW,2.99,3.59,111.1,105.0,92.0,100.0,0.805,8.0,2.43,7.76,0.89,1.26,0.269,0.358,0.183,0.294,0.393,85.0,111.0,108.0,59.0,103.0,102.0,80.0,107.0,94.0,127.0,101.0,105.0,78.0,104.0,97.0,0.306,0.001,0.299,0.198,0.196,-1.85,1.18,0.74,0.47,0.17,94.1,90.1,87.9,93.2,83.7,0.246,0.358,0.203,0.242,0.387,0.258,0.216,0.295,0.142,0.184,0.382,0.26,,,,,,,,,,,,,,,,,,
2,2024-03-31,746815,Single,single,False,681481,607200,Kerry Carpenter,Erick Fedde,0,3df7324d-4ff3-4bb5-9051-d3ef88c9a6b8,607200.0,erickfedde,Fedde,Right,Erick Fedde,CHW,2.99,3.59,111.1,105.0,92.0,100.0,0.805,8.0,2.43,7.76,0.89,1.26,0.269,0.358,0.183,0.294,0.393,85.0,111.0,108.0,59.0,103.0,102.0,80.0,107.0,94.0,127.0,101.0,105.0,78.0,104.0,97.0,0.306,0.001,0.299,0.198,0.196,-1.85,1.18,0.74,0.47,0.17,94.1,90.1,87.9,93.2,83.7,0.246,0.358,0.203,0.242,0.387,0.258,0.216,0.295,0.142,0.184,0.382,0.26,,,,,,,,,,,,,,,,,,
3,2024-03-31,746815,Groundout,field_out,True,682985,607200,Riley Greene,Erick Fedde,0,81c2610a-1138-4dd8-8297-70c2ad14825f,607200.0,erickfedde,Fedde,Right,Erick Fedde,CHW,2.99,3.59,111.1,105.0,92.0,100.0,0.805,8.0,2.43,7.76,0.89,1.26,0.269,0.358,0.183,0.294,0.393,85.0,111.0,108.0,59.0,103.0,102.0,80.0,107.0,94.0,127.0,101.0,105.0,78.0,104.0,97.0,0.306,0.001,0.299,0.198,0.196,-1.85,1.18,0.74,0.47,0.17,94.1,90.1,87.9,93.2,83.7,0.246,0.358,0.203,0.242,0.387,0.258,0.216,0.295,0.142,0.184,0.382,0.26,,,,,,,,,,,,,,,,,,
4,2024-03-31,746815,Single,single,False,643217,656427,Andrew Benintendi,Jack Flaherty,0,b40f8229-86f8-4846-b2e9-f2748c5e622b,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,DET,3.13,2.9,100.2,104.0,96.0,104.0,0.697,11.35,1.52,7.15,1.34,1.25,0.224,0.461,0.159,0.306,0.389,94.0,82.0,78.0,96.0,106.0,104.0,70.0,86.0,72.0,95.0,105.0,107.0,,,,0.024,0.44,,0.313,0.033,0.74,,-7.15,0.85,-0.51,93.6,,86.0,90.7,84.9,0.75,1.5,0.3,,,,0.143,0.429,0.133,0.205,0.426,0.391,103.0,104.0,108.0,0.191,2.33,77.5,0.226,0.377,0.25,0.161,0.194,0.445,,,,,,
5,2024-03-31,746815,Groundout,field_out,True,660162,656427,Yoán Moncada,Jack Flaherty,1,5021973e-fdf0-4a3c-8471-f364363bf7f4,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,DET,3.13,2.9,100.2,104.0,96.0,104.0,0.697,11.35,1.52,7.15,1.34,1.25,0.224,0.461,0.159,0.306,0.389,94.0,82.0,78.0,96.0,106.0,104.0,70.0,86.0,72.0,95.0,105.0,107.0,,,,0.024,0.44,,0.313,0.033,0.74,,-7.15,0.85,-0.51,93.6,,86.0,90.7,84.9,0.75,1.5,0.3,,,,0.143,0.429,0.133,0.205,0.426,0.391,103.0,104.0,108.0,0.191,2.33,77.5,0.226,0.377,0.25,0.161,0.194,0.445,,,,,,
6,2024-03-31,746815,Strikeout,strikeout,True,673357,656427,Luis Robert Jr.,Jack Flaherty,0,be18f50f-216f-4d08-8d0f-8c10878b3b67,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,DET,3.13,2.9,100.2,104.0,96.0,104.0,0.697,11.35,1.52,7.15,1.34,1.25,0.224,0.461,0.159,0.306,0.389,94.0,82.0,78.0,96.0,106.0,104.0,70.0,86.0,72.0,95.0,105.0,107.0,,,,0.024,0.44,,0.313,0.033,0.74,,-7.15,0.85,-0.51,93.6,,86.0,90.7,84.9,0.75,1.5,0.3,,,,0.143,0.429,0.133,0.205,0.426,0.391,103.0,104.0,108.0,0.191,2.33,77.5,0.226,0.377,0.25,0.161,0.194,0.445,,,,,,
7,2024-03-31,746815,Groundout,field_out,True,650391,656427,Eloy Jiménez,Jack Flaherty,0,e3457c75-7376-4b3a-b730-82d298eaa62b,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,DET,3.13,2.9,100.2,104.0,96.0,104.0,0.697,11.35,1.52,7.15,1.34,1.25,0.224,0.461,0.159,0.306,0.389,94.0,82.0,78.0,96.0,106.0,104.0,70.0,86.0,72.0,95.0,105.0,107.0,,,,0.024,0.44,,0.313,0.033,0.74,,-7.15,0.85,-0.51,93.6,,86.0,90.7,84.9,0.75,1.5,0.3,,,,0.143,0.429,0.133,0.205,0.426,0.391,103.0,104.0,108.0,0.191,2.33,77.5,0.226,0.377,0.25,0.161,0.194,0.445,,,,,,
8,2024-03-31,746815,Strikeout,strikeout,True,592192,607200,Mark Canha,Erick Fedde,0,8f0655e3-c393-4e76-adbf-d2c0f1575d26,607200.0,erickfedde,Fedde,Right,Erick Fedde,CHW,2.99,3.59,111.1,105.0,92.0,100.0,0.805,8.0,2.43,7.76,0.89,1.26,0.269,0.358,0.183,0.294,0.393,85.0,111.0,108.0,59.0,103.0,102.0,80.0,107.0,94.0,127.0,101.0,105.0,78.0,104.0,97.0,0.306,0.001,0.299,0.198,0.196,-1.85,1.18,0.74,0.47,0.17,94.1,90.1,87.9,93.2,83.7,0.246,0.358,0.203,0.242,0.387,0.258,0.216,0.295,0.142,0.184,0.382,0.26,,,,,,,,,,,,,,,,,,
9,2024-03-31,746815,Lineout,field_out,True,690993,607200,Colt Keith,Erick Fedde,0,2a6e51a2-8d8c-40e4-bc77-3758641cd674,607200.0,erickfedde,Fedde,Right,Erick Fedde,CHW,2.99,3.59,111.1,105.0,92.0,100.0,0.805,8.0,2.43,7.76,0.89,1.26,0.269,0.358,0.183,0.294,0.393,85.0,111.0,108.0,59.0,103.0,102.0,80.0,107.0,94.0,127.0,101.0,105.0,78.0,104.0,97.0,0.306,0.001,0.299,0.198,0.196,-1.85,1.18,0.74,0.47,0.17,94.1,90.1,87.9,93.2,83.7,0.246,0.358,0.203,0.242,0.387,0.258,0.216,0.295,0.142,0.184,0.382,0.26,,,,,,,,,,,,,,,,,,
